#code_ligand_num    score   
1a30_ligand_1       -4.7488885
1a30_ligand_10      -10.733291
1a30_ligand_102     -8.0313091
1a30_ligand_103     -9.4718504
1a30_ligand_106     -5.634376
1a30_ligand_109     -8.0135117
1a30_ligand_111     -5.6611919
1a30_ligand_114     -11.34516
1a30_ligand_115     -9.8611174
1a30_ligand_116     -5.9431453
1a30_ligand_121     -8.6295643
1a30_ligand_123     -7.2721376
1a30_ligand_126     -7.344223
1a30_ligand_13      -10.430773
1a30_ligand_130     -6.347034
1a30_ligand_131     -8.340867
1a30_ligand_147     -5.4127417
1a30_ligand_151     -12.541066
1a30_ligand_16      -5.9001603
1a30_ligand_165     -11.074406
1a30_ligand_169     -10.861474
1a30_ligand_182     -10.508613
1a30_ligand_186     -10.356502
1a30_ligand_188     -10.32819
1a30_ligand_190     -10.302556
1a30_ligand_191     -10.248994
1a30_ligand_195     -10.209413
1a30_ligand_198     -10.183287
1a30_ligand_203     -8.6972685
1a30_ligand_208     -5.3036366
1a30_ligand_215     -5.4642868
1a30_ligand_219     -5.4304905
1a30_ligand_22      -9.2724619
1a30_ligand_226     -6.0015235
1a30_ligand_228     -6.1425214
1a30_ligand_231     -3.8616357
1a30_ligand_234     -6.4558949
1a30_ligand_239     -6.797482
1a30_ligand_242     -4.307312
1a30_ligand_243     -7.2370949
1a30_ligand_245     -3.8093398
1a30_ligand_246     -7.5863104
1a30_ligand_249     -6.9699359
1a30_ligand_25      -7.4667087
1a30_ligand_259     -5.7511005
1a30_ligand_268     -12.009994
1a30_ligand_269     -7.0366302
1a30_ligand_27      -10.481389
1a30_ligand_271     -7.2643909
1a30_ligand_272     -7.2395487
1a30_ligand_280     -5.5336428
1a30_ligand_284     -10.660469
1a30_ligand_29      -6.7154226
1a30_ligand_291     -4.8812737
1a30_ligand_296     -9.15026
1a30_ligand_307     -8.9364109
1a30_ligand_319     -9.0277195
1a30_ligand_32      -7.5354724
1a30_ligand_328     -9.0932074
1a30_ligand_336     -5.6929359
1a30_ligand_341     -5.1660495
1a30_ligand_342     -5.9662766
1a30_ligand_349     -6.7729478
1a30_ligand_350     -7.0621095
1a30_ligand_366     -4.5869594
1a30_ligand_376     -3.6570411
1a30_ligand_380     -5.37326
1a30_ligand_39      -8.1945553
1a30_ligand_395     -4.3093524
1a30_ligand_402     -4.0859714
