#code_ligand_num    score   
1a30_ligand_107     -9.4698362
1a30_ligand_108     -9.9464808
1a30_ligand_109     -12.10076
1a30_ligand_11      -13.268432
1a30_ligand_124     -13.537675
1a30_ligand_126     -10.077951
1a30_ligand_127     -11.788363
1a30_ligand_130     -10.462803
1a30_ligand_136     -10.963301
1a30_ligand_138     -13.201395
1a30_ligand_143     -10.946984
1a30_ligand_145     -10.54862
1a30_ligand_146     -9.2612314
1a30_ligand_154     -17.015619
1a30_ligand_157     -17.65885
1a30_ligand_159     -16.060827
1a30_ligand_160     -16.110197
1a30_ligand_165     -15.908533
1a30_ligand_168     -15.834465
1a30_ligand_169     -15.072485
1a30_ligand_172     -14.851065
1a30_ligand_176     -15.151769
1a30_ligand_179     -15.969641
1a30_ligand_181     -14.48863
1a30_ligand_190     -14.25209
1a30_ligand_193     -14.421842
1a30_ligand_195     -13.923647
1a30_ligand_196     -13.770962
1a30_ligand_20      -7.2277656
1a30_ligand_204     -5.0706129
1a30_ligand_205     -7.2460232
1a30_ligand_210     -6.4306302
1a30_ligand_214     -7.9447265
1a30_ligand_219     -5.7974949
1a30_ligand_221     -9.6566181
1a30_ligand_222     -6.4149208
1a30_ligand_224     -2.6476102
1a30_ligand_226     -8.9073277
1a30_ligand_227     -8.0604191
1a30_ligand_228     -3.7929051
1a30_ligand_230     -7.0622725
1a30_ligand_239     -9.2557278
1a30_ligand_245     -3.2790406
1a30_ligand_247     -7.554925
1a30_ligand_255     -11.507861
1a30_ligand_258     -8.4985819
1a30_ligand_264     -13.179747
1a30_ligand_272     -10.174885
1a30_ligand_280     -7.2326961
1a30_ligand_282     -15.062442
1a30_ligand_283     -6.1061735
1a30_ligand_288     -10.843879
1a30_ligand_289     -8.4130859
1a30_ligand_29      -12.673511
1a30_ligand_294     -11.460406
1a30_ligand_298     -13.052417
1a30_ligand_299     -13.900903
1a30_ligand_30      -11.18842
1a30_ligand_301     -10.911194
1a30_ligand_304     -10.063712
1a30_ligand_306     -13.407036
1a30_ligand_31      -6.8450041
1a30_ligand_310     -14.617399
1a30_ligand_311     -9.7937546
1a30_ligand_314     -8.1072388
1a30_ligand_315     -10.612234
1a30_ligand_316     -17.138807
1a30_ligand_317     -8.6627102
1a30_ligand_318     -11.316901
1a30_ligand_32      -11.010577
1a30_ligand_332     -17.188318
1a30_ligand_334     -10.040279
1a30_ligand_336     -9.5527391
1a30_ligand_345     -11.466355
1a30_ligand_346     -13.183252
1a30_ligand_348     -10.290834
1a30_ligand_35      -12.004483
1a30_ligand_356     -13.92051
1a30_ligand_360     -7.1724091
1a30_ligand_373     -11.428814
1a30_ligand_39      -7.949574
1a30_ligand_399     -14.012697
1a30_ligand_4       -11.501627
1a30_ligand_400     -6.7896409
1a30_ligand_407     -12.86029
1a30_ligand_43      -9.2471514
1a30_ligand_440     -9.0609074
1a30_ligand_441     -14.427834
1a30_ligand_459     -17.028833
1a30_ligand_485     -14.96914
1a30_ligand_5       -10.057714
1a30_ligand_50      -13.033126
1a30_ligand_72      -8.6527691
1a30_ligand_78      -11.831076
1a30_ligand_8       -13.634593
1a30_ligand_84      -11.069702
1a30_ligand_87      -13.254026
1a30_ligand_89      -11.312527
1a30_ligand_95      -11.050702
1a30_ligand_96      -7.7645488
1bcu_ligand_1       -11.768685
1bcu_ligand_155     -12.669573
1bcu_ligand_160     -12.234663
1bcu_ligand_166     -12.671065
1bcu_ligand_176     -11.74698
1bcu_ligand_178     -11.912959
1bcu_ligand_179     -11.649309
1bcu_ligand_180     -12.215248
1bcu_ligand_189     -12.17595
1bcu_ligand_190     -11.885991
1bcu_ligand_191     -11.356943
1bcu_ligand_192     -11.328942
1bcu_ligand_196     -11.286476
1bcu_ligand_197     -11.498466
1bcu_ligand_2       -10.550018
1bcu_ligand_204     -4.3294678
1bcu_ligand_207     -8.7812786
1bcu_ligand_208     -4.072228
1bcu_ligand_211     -3.5663207
1bcu_ligand_212     -10.772021
1bcu_ligand_219     -4.5816059
1bcu_ligand_224     -6.8021908
1bcu_ligand_227     -12.49713
1bcu_ligand_228     -1.2021053
1bcu_ligand_230     -6.8571067
1bcu_ligand_231     -7.3199162
1bcu_ligand_233     -3.2743819
1bcu_ligand_235     -5.1980615
1bcu_ligand_238     -8.1110764
1bcu_ligand_240     -5.5889401
1bcu_ligand_241     -8.2137918
1bcu_ligand_242     -7.9632707
1bcu_ligand_246     -4.4539251
1bcu_ligand_250     -5.6021156
1bcu_ligand_252     -11.118597
1bcu_ligand_253     -10.051489
1bcu_ligand_257     -10.636661
1bcu_ligand_258     -10.186734
1bcu_ligand_264     -3.6095262
1bcu_ligand_267     -7.3298097
1bcu_ligand_268     -1.6740326
1bcu_ligand_275     -9.4139519
1bcu_ligand_286     -9.5736437
1bcu_ligand_287     -3.0833929
1bcu_ligand_289     -6.1919079
1bcu_ligand_295     -4.8889208
1bcu_ligand_297     -3.006144
1bcu_ligand_298     -6.9676313
1bcu_ligand_307     -13.071631
1bcu_ligand_319     -11.301197
1bcu_ligand_338     -10.441672
1bcu_ligand_341     -11.877337
1bcu_ligand_344     -9.9061089
1bcu_ligand_348     -11.929515
1bcu_ligand_357     -2.286092
1bcu_ligand_359     -0.22970022
1bcu_ligand_364     -0.43689787
1bcu_ligand_366     -0.86296171
1bcu_ligand_371     -0.48409694
1bcu_ligand_372     -0.95981312
1bcu_ligand_373     -0.33200198
1bcu_ligand_374     -0.015105732
1bcu_ligand_375     -0.0034014394
1bcu_ligand_376     -0.95070195
1bcu_ligand_379     -0.065634973
1bcu_ligand_380     -0.067054041
1bcu_ligand_381     -0.040705822
1bcu_ligand_386     -0.080634318
1bcu_ligand_388     -0.43032351
1bcu_ligand_389     -0.45692858
1bcu_ligand_390     -0.035740051
1bcu_ligand_391     -0.012431892
1bcu_ligand_392     0.0024463835
1bcu_ligand_393     0.0078057544
1bcu_ligand_395     -0.00041949126
1bcu_ligand_396     -0.26554427
1bcu_ligand_397     -0.0038628106
1bcu_ligand_398     -0.033237804
1bcu_ligand_399     -0.28894529
1bcu_ligand_400     -0.13479333
1bcu_ligand_401     -1.4535514
1bcu_ligand_403     -0.9929949
1bcu_ligand_409     -0.8095004
1bcu_ligand_410     -0.60247171
1bcu_ligand_421     -2.6040497
1bcu_ligand_426     -1.2789112
1bcu_ligand_427     -1.1737832
1bcu_ligand_429     -1.2991451
1bcu_ligand_432     -1.2302612
1bcu_ligand_445     -1.4721507
1bcu_ligand_447     -0.31644401
1bcu_ligand_450     -0.76069456
1bcu_ligand_452     -2.2823668
1bcu_ligand_461     -7.8192058
1bcu_ligand_462     -2.2271979
1bcu_ligand_467     -3.5461297
1bcu_ligand_468     -3.7874374
1bcu_ligand_487     -1.1491426
1bcu_ligand_496     -3.145659
1bcu_ligand_500     -3.0813005
1bzc_ligand_102     -7.1286063
1bzc_ligand_106     -8.0000238
1bzc_ligand_107     -11.130662
1bzc_ligand_109     -13.411557
1bzc_ligand_11      -8.9247141
1bzc_ligand_110     -7.159081
1bzc_ligand_111     -9.833087
1bzc_ligand_112     -9.9405746
1bzc_ligand_115     -10.344563
1bzc_ligand_117     -8.1895962
1bzc_ligand_118     -12.249223
1bzc_ligand_120     -10.592929
1bzc_ligand_122     -8.3522072
1bzc_ligand_128     -9.148674
1bzc_ligand_130     -10.629374
1bzc_ligand_133     -10.429178
1bzc_ligand_137     -7.5625758
1bzc_ligand_140     -8.5315523
1bzc_ligand_143     -10.026763
1bzc_ligand_146     -10.353601
1bzc_ligand_147     -6.8999958
1bzc_ligand_152     -13.656356
1bzc_ligand_153     -13.391734
1bzc_ligand_155     -12.856099
1bzc_ligand_159     -12.605055
1bzc_ligand_161     -12.282217
1bzc_ligand_173     -11.343969
1bzc_ligand_176     -11.238634
1bzc_ligand_177     -11.305289
1bzc_ligand_178     -11.225627
1bzc_ligand_191     -10.869687
1bzc_ligand_196     -11.031099
1bzc_ligand_199     -11.066023
1bzc_ligand_201     -8.2064161
1bzc_ligand_205     -10.629406
1bzc_ligand_208     -9.0682077
1bzc_ligand_212     -8.1583986
1bzc_ligand_221     -6.2588739
1bzc_ligand_222     -6.551434
1bzc_ligand_229     -6.0336776
1bzc_ligand_231     -6.1239648
1bzc_ligand_232     -7.1803465
1bzc_ligand_237     -4.7506928
1bzc_ligand_248     -7.0164366
1bzc_ligand_25      -10.369338
1bzc_ligand_258     -7.3113508
1bzc_ligand_262     -5.9924555
1bzc_ligand_263     -6.8653364
1bzc_ligand_265     -6.7143617
1bzc_ligand_267     -7.6973038
1bzc_ligand_269     -5.6142478
1bzc_ligand_27      -9.2157688
1bzc_ligand_271     -7.1693583
1bzc_ligand_281     -7.9302287
1bzc_ligand_29      -9.1415949
1bzc_ligand_297     -6.4329638
1bzc_ligand_299     -10.246869
1bzc_ligand_30      -9.3407726
1bzc_ligand_303     -8.6021605
1bzc_ligand_304     -7.6167002
1bzc_ligand_308     -11.455238
1bzc_ligand_309     -7.6089411
1bzc_ligand_312     -9.2573271
1bzc_ligand_314     -9.3373098
1bzc_ligand_319     -7.4819822
1bzc_ligand_321     -8.2310133
1bzc_ligand_324     -7.1592736
1bzc_ligand_328     -9.6986494
1bzc_ligand_329     -8.6103382
1bzc_ligand_336     -10.419709
1bzc_ligand_34      -9.9593973
1bzc_ligand_340     -7.8439169
1bzc_ligand_343     -8.4388018
1bzc_ligand_35      -7.5732551
1bzc_ligand_352     -10.785747
1bzc_ligand_354     -13.185659
1bzc_ligand_36      -9.2878904
1bzc_ligand_374     -12.358852
1bzc_ligand_38      -9.9006224
1bzc_ligand_382     -9.6559801
1bzc_ligand_386     -10.721594
1bzc_ligand_390     -12.638856
1bzc_ligand_405     -9.1333208
1bzc_ligand_406     -7.6781054
1bzc_ligand_407     -8.5957365
1bzc_ligand_434     -7.5384455
1bzc_ligand_437     -10.626674
1bzc_ligand_442     -10.136966
1bzc_ligand_446     -6.2076321
1bzc_ligand_452     -12.169167
