#code_ligand_num    score   
1a30_ligand_1       -21.581163
1a30_ligand_102     -23.707432
1a30_ligand_106     -20.986835
1a30_ligand_111     -22.399837
1a30_ligand_112     -19.550848
1a30_ligand_114     -23.973991
1a30_ligand_118     -23.561363
1a30_ligand_119     -20.872458
1a30_ligand_126     -23.829575
1a30_ligand_128     -24.285559
1a30_ligand_13      -21.207027
1a30_ligand_15      -20.952837
1a30_ligand_157     -21.89736
1a30_ligand_162     -21.540667
1a30_ligand_165     -21.34713
1a30_ligand_166     -21.28425
1a30_ligand_172     -21.041962
1a30_ligand_173     -20.989874
1a30_ligand_175     -20.975288
1a30_ligand_176     -20.95842
1a30_ligand_179     -20.870262
1a30_ligand_185     -20.734865
1a30_ligand_187     -20.64418
1a30_ligand_192     -20.553782
1a30_ligand_193     -20.547306
1a30_ligand_20      -21.544357
1a30_ligand_202     -20.023478
1a30_ligand_203     -20.031036
1a30_ligand_207     -18.343218
1a30_ligand_209     -19.254616
1a30_ligand_210     -18.277653
1a30_ligand_212     -18.264425
1a30_ligand_215     -19.988037
1a30_ligand_217     -20.381495
1a30_ligand_220     -15.634272
1a30_ligand_223     -21.683748
1a30_ligand_225     -19.068338
1a30_ligand_226     -17.37756
1a30_ligand_227     -19.598459
1a30_ligand_229     -18.662266
1a30_ligand_23      -22.516216
1a30_ligand_232     -14.435617
1a30_ligand_235     -18.124535
1a30_ligand_236     -17.79771
1a30_ligand_242     -17.712189
1a30_ligand_243     -21.527369
1a30_ligand_244     -18.186178
1a30_ligand_246     -19.540617
1a30_ligand_249     -15.574304
1a30_ligand_260     -20.23682
1a30_ligand_267     -15.340296
1a30_ligand_270     -20.103563
1a30_ligand_272     -16.069267
1a30_ligand_274     -18.180845
1a30_ligand_275     -15.660387
1a30_ligand_277     -18.482439
1a30_ligand_28      -19.616127
1a30_ligand_280     -16.063007
1a30_ligand_281     -18.509495
1a30_ligand_287     -18.356806
1a30_ligand_289     -16.078842
1a30_ligand_294     -18.442209
1a30_ligand_295     -17.315577
1a30_ligand_296     -20.689358
1a30_ligand_298     -17.169048
1a30_ligand_300     -17.946842
1a30_ligand_306     -15.642509
1a30_ligand_33      -21.84446
1a30_ligand_330     -18.018978
1a30_ligand_338     -20.18107
1a30_ligand_340     -18.014883
1a30_ligand_342     -18.313116
1a30_ligand_350     -19.484282
1a30_ligand_36      -22.686646
1a30_ligand_360     -19.187033
1a30_ligand_373     -22.872911
1a30_ligand_379     -22.657982
1a30_ligand_381     -20.894609
1a30_ligand_389     -19.88273
1a30_ligand_391     -21.212645
1a30_ligand_399     -20.94174
1a30_ligand_400     -19.375256
1a30_ligand_416     -19.33728
1a30_ligand_425     -20.920225
1a30_ligand_427     -19.111519
1a30_ligand_43      -20.222769
1a30_ligand_431     -18.42651
1a30_ligand_445     -18.887243
1a30_ligand_446     -19.329704
1a30_ligand_456     -20.448488
1a30_ligand_46      -24.367178
1a30_ligand_473     -20.08272
1a30_ligand_493     -20.390293
1a30_ligand_56      -22.522079
1a30_ligand_59      -19.651318
1a30_ligand_64      -23.201481
1a30_ligand_71      -19.66754
1a30_ligand_73      -20.841867
1a30_ligand_75      -20.778614
1a30_ligand_99      -22.842648
1bcu_ligand_10      -14.681297
1bcu_ligand_13      -14.486268
1bcu_ligand_130     -13.951146
1bcu_ligand_136     -14.809426
1bcu_ligand_156     -14.899325
1bcu_ligand_157     -14.858117
1bcu_ligand_159     -14.786401
1bcu_ligand_17      -14.509093
1bcu_ligand_173     -14.615201
1bcu_ligand_177     -14.571939
1bcu_ligand_178     -14.563018
