#code_ligand_num    score   
1a30_ligand_10      -11.262855
1a30_ligand_100     -7.5142579
1a30_ligand_103     -11.009459
1a30_ligand_107     -8.5802431
1a30_ligand_110     -7.2266932
1a30_ligand_111     -7.7210069
1a30_ligand_118     -9.5716114
1a30_ligand_12      -15.882977
1a30_ligand_128     -12.009015
1a30_ligand_130     -10.882499
1a30_ligand_136     -8.9448433
1a30_ligand_140     -12.874388
1a30_ligand_142     -10.878956
1a30_ligand_143     -12.430964
1a30_ligand_146     -7.8535128
1a30_ligand_148     -11.265813
1a30_ligand_149     -10.576367
1a30_ligand_16      -10.273087
1a30_ligand_17      -9.2919617
1a30_ligand_187     -14.078982
1a30_ligand_191     -13.957509
1a30_ligand_194     -13.842308
1a30_ligand_214     -10.385362
1a30_ligand_215     -10.945282
1a30_ligand_219     -11.839186
1a30_ligand_229     -12.284394
1a30_ligand_23      -12.80716
1a30_ligand_232     -7.8530831
1a30_ligand_238     -15.15998
1a30_ligand_24      -13.323959
1a30_ligand_240     -8.9947319
1a30_ligand_244     -9.543314
1a30_ligand_251     -13.086621
1a30_ligand_256     -12.319551
1a30_ligand_265     -11.952394
1a30_ligand_269     -11.502014
1a30_ligand_275     -13.161169
1a30_ligand_277     -13.801884
1a30_ligand_285     -9.3849516
1a30_ligand_287     -12.083481
1a30_ligand_289     -14.589442
1a30_ligand_290     -10.491405
1a30_ligand_291     -11.637397
1a30_ligand_299     -11.452334
1a30_ligand_3       -11.670541
1a30_ligand_30      -11.039218
1a30_ligand_301     -10.701562
1a30_ligand_302     -11.614974
1a30_ligand_305     -9.1844254
1a30_ligand_310     -10.657965
1a30_ligand_311     -6.7588806
1a30_ligand_319     -15.921749
1a30_ligand_321     -12.331975
1a30_ligand_322     -10.091599
1a30_ligand_324     -11.508583
1a30_ligand_325     -11.08911
1a30_ligand_33      -11.533596
1a30_ligand_335     -10.363718
1a30_ligand_337     -9.2720757
1a30_ligand_340     -8.4551744
1a30_ligand_341     -7.8994217
1a30_ligand_342     -13.896644
1a30_ligand_344     -10.314195
1a30_ligand_345     -7.6937771
1a30_ligand_349     -11.069589
1a30_ligand_354     -13.893907
1a30_ligand_361     -11.310093
1a30_ligand_372     -12.114444
1a30_ligand_38      -6.9937243
1a30_ligand_382     -16.368275
1a30_ligand_385     -10.555717
1a30_ligand_39      -10.682667
1a30_ligand_394     -9.9361954
1a30_ligand_401     -12.687017
1a30_ligand_41      -9.5509491
1a30_ligand_412     -12.148839
1a30_ligand_414     -15.85725
1a30_ligand_424     -13.780076
1a30_ligand_429     -10.592147
1a30_ligand_45      -11.813122
1a30_ligand_46      -9.3713846
1a30_ligand_48      -7.4384055
1a30_ligand_5       -13.010378
1a30_ligand_50      -8.7686825
1a30_ligand_51      -8.9510937
1a30_ligand_55      -7.7817469
1a30_ligand_58      -11.576491
1a30_ligand_63      -7.269053
1a30_ligand_70      -9.9079647
1a30_ligand_74      -10.185152
1a30_ligand_76      -10.100451
1a30_ligand_79      -8.0781822
1a30_ligand_8       -11.191597
1a30_ligand_82      -8.1069613
1a30_ligand_83      -7.3638487
1a30_ligand_85      -8.5832348
1a30_ligand_88      -11.724153
1a30_ligand_92      -10.003667
1a30_ligand_96      -10.65528
1a30_ligand_98      -10.778123
1bcu_ligand_104     -5.6484151
1bcu_ligand_119     -8.4391756
1bcu_ligand_155     -10.413344
1bcu_ligand_160     -10.073752
1bcu_ligand_169     -9.6772785
1bcu_ligand_181     -9.2123146
