#code_ligand_num    score   
1a30_ligand_101     -19.111937
1a30_ligand_102     -15.843997
1a30_ligand_103     -14.326102
1a30_ligand_107     -14.227694
1a30_ligand_109     -14.047914
1a30_ligand_110     -15.286454
1a30_ligand_112     -19.216583
1a30_ligand_115     -16.991634
1a30_ligand_117     -15.252493
1a30_ligand_12      -9.9318962
1a30_ligand_120     -14.562577
1a30_ligand_128     -9.374773
1a30_ligand_13      -7.7501993
1a30_ligand_131     -13.641011
1a30_ligand_133     -14.5369
1a30_ligand_134     -17.277714
1a30_ligand_136     -12.818443
1a30_ligand_140     -20.462482
1a30_ligand_141     -16.124121
1a30_ligand_142     -20.275995
1a30_ligand_15      -13.549398
1a30_ligand_179     -15.710163
1a30_ligand_183     -15.49172
1a30_ligand_188     -15.586043
1a30_ligand_193     -15.323078
1a30_ligand_2       -13.862236
1a30_ligand_202     -2.1412454
1a30_ligand_203     -9.7396622
1a30_ligand_204     -7.7309937
1a30_ligand_207     -8.9546995
1a30_ligand_209     -3.5955222
1a30_ligand_211     -3.2201989
1a30_ligand_212     -8.1651707
1a30_ligand_216     -4.3537097
1a30_ligand_219     -5.6492939
1a30_ligand_221     -9.4688816
1a30_ligand_224     -11.071359
1a30_ligand_228     -1.9134516
1a30_ligand_230     -13.403477
1a30_ligand_231     -2.7915044
1a30_ligand_232     -14.293691
1a30_ligand_233     -13.240027
1a30_ligand_234     -4.0590267
1a30_ligand_235     -12.620759
1a30_ligand_238     -10.592405
1a30_ligand_245     -9.0796413
1a30_ligand_247     -12.72702
1a30_ligand_248     -11.285169
1a30_ligand_254     -9.8894033
1a30_ligand_26      -8.3506136
1a30_ligand_274     -12.31115
1a30_ligand_275     -12.98622
1a30_ligand_28      -8.339303
1a30_ligand_281     -15.737554
1a30_ligand_286     -13.795633
1a30_ligand_289     -10.641166
1a30_ligand_294     -4.7161617
1a30_ligand_295     -12.520096
1a30_ligand_3       -15.580897
1a30_ligand_301     -13.013974
1a30_ligand_309     -14.556262
1a30_ligand_312     -17.09207
1a30_ligand_316     -11.692332
1a30_ligand_320     -3.0223465
1a30_ligand_328     -11.824363
1a30_ligand_33      -16.835485
1a30_ligand_337     -13.032745
1a30_ligand_338     -14.435148
1a30_ligand_34      -9.8188839
1a30_ligand_347     -12.617198
1a30_ligand_350     -11.013155
1a30_ligand_375     -16.751074
1a30_ligand_377     -17.815306
1a30_ligand_38      -11.076691
1a30_ligand_382     -16.351656
1a30_ligand_387     -14.981119
1a30_ligand_39      -11.782276
1a30_ligand_397     -11.722919
1a30_ligand_40      -16.783209
1a30_ligand_418     -6.0062213
1a30_ligand_42      -15.550117
1a30_ligand_43      -11.089995
1a30_ligand_441     -9.4661894
1a30_ligand_468     -11.981489
1a30_ligand_47      -10.252501
1a30_ligand_48      -12.886683
1a30_ligand_488     -16.272293
1a30_ligand_49      -13.119963
1a30_ligand_51      -14.75666
1a30_ligand_56      -6.9630556
1a30_ligand_61      -17.908396
1a30_ligand_63      -13.684713
1a30_ligand_7       -14.903683
1a30_ligand_73      -11.127329
1a30_ligand_8       -14.280674
1a30_ligand_81      -13.119695
1a30_ligand_84      -11.041817
1a30_ligand_88      -14.665623
1a30_ligand_90      -11.857836
1a30_ligand_97      -16.235558
1bcu_ligand_102     -4.5874557
1bcu_ligand_111     -10.601496
1bcu_ligand_154     -12.285809
1bcu_ligand_155     -11.873258
1bcu_ligand_16      -9.9244709
1bcu_ligand_161     -11.675424
1bcu_ligand_164     -11.583397
1bcu_ligand_166     -11.524511
1bcu_ligand_177     -11.465335
1bcu_ligand_178     -11.392872
1bcu_ligand_182     -11.288662
1bcu_ligand_191     -11.115799
1bcu_ligand_192     -11.092955
1bcu_ligand_195     -11.055573
1bcu_ligand_199     -10.927679
1bcu_ligand_200     -10.871489
1bcu_ligand_207     -10.72892
1bcu_ligand_21      -9.6529179
1bcu_ligand_222     -12.090673
1bcu_ligand_224     -9.6088934
1bcu_ligand_226     -10.303704
1bcu_ligand_227     -10.850176
1bcu_ligand_235     -10.187489
1bcu_ligand_236     -8.7476091
1bcu_ligand_24      -9.5096884
1bcu_ligand_240     -11.126235
1bcu_ligand_244     -11.554801
1bcu_ligand_254     -9.2853394
1bcu_ligand_259     -6.899271
1bcu_ligand_26      -11.621792
1bcu_ligand_261     -5.9200683
1bcu_ligand_266     -8.5476627
1bcu_ligand_269     -11.663169
1bcu_ligand_270     -7.8909512
1bcu_ligand_274     -9.5703106
1bcu_ligand_282     -9.3974495
1bcu_ligand_286     -9.7397728
1bcu_ligand_289     -10.496488
1bcu_ligand_295     -9.499424
1bcu_ligand_297     -9.2445755
1bcu_ligand_299     -9.1608667
1bcu_ligand_324     -11.801932
1bcu_ligand_326     -9.8275537
1bcu_ligand_327     -9.7681742
1bcu_ligand_330     -10.169242
1bcu_ligand_336     -9.3722839
1bcu_ligand_340     -9.7137299
1bcu_ligand_342     -9.9514866
1bcu_ligand_346     -8.8630791
1bcu_ligand_347     -7.59622
1bcu_ligand_348     -9.2927914
1bcu_ligand_351     -10.080708
1bcu_ligand_357     -9.529376
1bcu_ligand_362     -9.2020941
1bcu_ligand_364     -10.81832
1bcu_ligand_368     -8.2330627
1bcu_ligand_369     -9.5026274
1bcu_ligand_370     -9.1780634
1bcu_ligand_371     -11.135996
1bcu_ligand_374     -7.983561
1bcu_ligand_375     -0.39316407
1bcu_ligand_377     -7.9826231
1bcu_ligand_378     -3.1992452
1bcu_ligand_379     -4.9102426
1bcu_ligand_380     -9.1038685
1bcu_ligand_382     -0.08186128
1bcu_ligand_383     -6.8474627
