#code_ligand_num    score   
1a30_ligand_101     -185.50 
1a30_ligand_103     21.15   
1a30_ligand_114     21.32   
1a30_ligand_115     15.64   
1a30_ligand_120     17.24   
1a30_ligand_122     17.01   
1a30_ligand_135     25.15   
1a30_ligand_143     20.35   
1a30_ligand_148     20.72   
1a30_ligand_158     -48.38  
1a30_ligand_159     -59.94  
1a30_ligand_16      28.83   
1a30_ligand_163     -39.22  
1a30_ligand_167     -58.05  
1a30_ligand_171     -35.74  
1a30_ligand_175     -27.32  
1a30_ligand_176     -25.86  
1a30_ligand_177     -51.49  
1a30_ligand_178     -70.18  
1a30_ligand_179     -46.24  
1a30_ligand_18      33.13   
1a30_ligand_186     -34.26  
1a30_ligand_189     -46.08  
1a30_ligand_190     -52.39  
1a30_ligand_191     -67.73  
1a30_ligand_194     -76.60  
1a30_ligand_195     -53.67  
1a30_ligand_196     -57.27  
1a30_ligand_199     -63.84  
1a30_ligand_203     -39.96  
1a30_ligand_204     -40.79  
1a30_ligand_206     -1.23   
1a30_ligand_207     -4.45   
1a30_ligand_209     -31.84  
1a30_ligand_211     -41.83  
1a30_ligand_213     -11.21  
1a30_ligand_215     -20.32  
1a30_ligand_216     -18.13  
1a30_ligand_217     -4.64   
1a30_ligand_221     -24.64  
1a30_ligand_222     0.43    
1a30_ligand_223     -9.00   
1a30_ligand_225     -25.54  
1a30_ligand_226     -17.53  
1a30_ligand_229     -21.30  
1a30_ligand_232     -17.99  
1a30_ligand_234     -28.78  
1a30_ligand_237     -10.88  
1a30_ligand_239     -54.95  
1a30_ligand_241     -24.28  
1a30_ligand_242     -45.74  
1a30_ligand_247     -21.11  
1a30_ligand_249     -25.85  
1a30_ligand_265     -32.90  
1a30_ligand_269     -10.59  
1a30_ligand_27      33.27   
1a30_ligand_273     -26.11  
1a30_ligand_282     -23.78  
1a30_ligand_284     -31.39  
1a30_ligand_285     -35.86  
1a30_ligand_287     -42.78  
1a30_ligand_293     -22.39  
1a30_ligand_294     -38.72  
1a30_ligand_296     -48.90  
1a30_ligand_297     -32.62  
1a30_ligand_30      35.44   
1a30_ligand_309     -51.84  
1a30_ligand_317     -35.56  
1a30_ligand_329     -35.42  
1a30_ligand_334     -40.51  
1a30_ligand_341     -53.81  
1a30_ligand_343     -31.02  
1a30_ligand_344     -39.09  
1a30_ligand_349     -53.08  
1a30_ligand_356     16.57   
1a30_ligand_36      21.73   
1a30_ligand_4       25.65   
1a30_ligand_400     7.11    
1a30_ligand_43      30.86   
1a30_ligand_44      25.92   
1a30_ligand_454     11.94   
1a30_ligand_5       23.29   
1a30_ligand_51      13.41   
1a30_ligand_52      28.62   
1a30_ligand_53      14.88   
1a30_ligand_57      12.88   
1a30_ligand_65      30.87   
1a30_ligand_68      22.18   
1a30_ligand_71      17.32   
1a30_ligand_76      9.52    
1a30_ligand_77      21.45   
1a30_ligand_80      18.55   
1a30_ligand_83      19.51   
1a30_ligand_85      15.25   
1a30_ligand_86      20.04   
1a30_ligand_87      -1989.39
1a30_ligand_9       -173.41 
1a30_ligand_91      19.50   
1a30_ligand_93      -1981.69
1a30_ligand_96      20.66   
1bcu_ligand_155     30.60   
1bcu_ligand_164     22.06   
1bcu_ligand_167     30.94   
1bcu_ligand_171     24.68   
1bcu_ligand_178     27.01   
1bcu_ligand_184     15.16   
1bcu_ligand_185     25.46   
1bcu_ligand_189     27.28   
1bcu_ligand_195     23.62   
1bcu_ligand_203     28.06   
1bcu_ligand_215     26.60   
1bcu_ligand_218     22.78   
1bcu_ligand_223     31.15   
1bcu_ligand_224     23.61   
1bcu_ligand_227     28.31   
1bcu_ligand_229     24.17   
1bcu_ligand_231     20.84   
1bcu_ligand_234     18.90   
1bcu_ligand_241     27.94   
1bcu_ligand_242     18.86   
1bcu_ligand_243     32.98   
1bcu_ligand_245     36.06   
1bcu_ligand_246     19.31   
1bcu_ligand_247     17.94   
1bcu_ligand_248     32.95   
1bcu_ligand_251     20.64   
1bcu_ligand_252     24.05   
1bcu_ligand_254     21.18   
1bcu_ligand_255     31.04   
1bcu_ligand_261     21.53   
1bcu_ligand_263     16.81   
1bcu_ligand_268     30.07   
1bcu_ligand_272     21.36   
1bcu_ligand_274     22.77   
1bcu_ligand_275     17.14   
1bcu_ligand_277     15.15   
1bcu_ligand_278     18.84   
1bcu_ligand_279     33.34   
1bcu_ligand_280     6.93    
1bcu_ligand_283     31.29   
1bcu_ligand_289     21.68   
1bcu_ligand_290     22.29   
1bcu_ligand_292     25.59   
1bcu_ligand_294     24.62   
1bcu_ligand_299     29.83   
1bcu_ligand_302     18.49   
1bcu_ligand_314     15.21   
1bcu_ligand_32      44.92   
1bcu_ligand_329     15.43   
1bcu_ligand_330     5.94    
1bcu_ligand_334     22.56   
1bcu_ligand_336     14.18   
1bcu_ligand_342     33.90   
1bcu_ligand_343     5.61    
1bcu_ligand_346     11.33   
1bcu_ligand_364     25.88   
1bcu_ligand_365     26.75   
1bcu_ligand_366     26.74   
1bcu_ligand_367     20.77   
1bcu_ligand_370     20.60   
1bcu_ligand_371     21.66   
1bcu_ligand_372     36.17   
1bcu_ligand_373     29.36   
1bcu_ligand_376     18.40   
1bcu_ligand_377     30.35   
1bcu_ligand_381     26.53   
1bcu_ligand_382     23.13   
1bcu_ligand_383     29.78   
1bcu_ligand_384     20.83   
1bcu_ligand_385     27.36   
1bcu_ligand_387     30.13   
1bcu_ligand_389     18.93   
1bcu_ligand_390     14.38   
1bcu_ligand_392     22.62   
1bcu_ligand_394     33.80   
1bcu_ligand_395     28.77   
1bcu_ligand_396     17.09   
1bcu_ligand_397     22.76   
1bcu_ligand_398     29.03   
1bcu_ligand_399     28.96   
1bcu_ligand_400     10.11   
1bcu_ligand_401     25.07   
1bcu_ligand_405     40.61   
1bcu_ligand_406     34.13   
1bcu_ligand_415     33.17   
1bcu_ligand_430     33.84   
1bcu_ligand_431     28.07   
1bcu_ligand_436     21.26   
1bcu_ligand_437     29.23   
1bcu_ligand_444     20.20   
1bcu_ligand_447     25.65   
1bcu_ligand_456     15.46   
1bcu_ligand_457     20.19   
1bcu_ligand_463     19.08   
1bcu_ligand_469     39.61   
1bcu_ligand_470     18.34   
1bcu_ligand_474     27.66   
1bcu_ligand_477     28.83   
1bcu_ligand_481     42.82   
1bcu_ligand_95      39.43   
1bzc_ligand_102     30.83   
1bzc_ligand_114     30.34   
1bzc_ligand_118     28.40   
1bzc_ligand_119     33.34   
1bzc_ligand_14      36.16   
1bzc_ligand_140     35.56   
1bzc_ligand_141     32.05   
1bzc_ligand_155     -57.97  
1bzc_ligand_156     -104.05 
1bzc_ligand_157     -43.17  
1bzc_ligand_16      32.84   
1bzc_ligand_162     -62.61  
1bzc_ligand_166     -30.70  
1bzc_ligand_170     -91.44  
1bzc_ligand_173     -91.96  
1bzc_ligand_175     -56.20  
1bzc_ligand_176     -46.09  
1bzc_ligand_187     -74.51  
1bzc_ligand_188     -66.94  
1bzc_ligand_189     -23.39  
1bzc_ligand_191     -47.61  
1bzc_ligand_194     -44.72  
1bzc_ligand_196     -32.49  
1bzc_ligand_2       32.18   
1bzc_ligand_202     1.72    
1bzc_ligand_203     -3.02   
1bzc_ligand_204     -21.94  
1bzc_ligand_207     -1.85   
1bzc_ligand_208     -12.25  
1bzc_ligand_209     2.29    
1bzc_ligand_212     -2.30   
1bzc_ligand_216     -18.25  
1bzc_ligand_218     -10.06  
1bzc_ligand_22      36.46   
1bzc_ligand_221     -4.47   
1bzc_ligand_224     -12.13  
1bzc_ligand_227     -13.11  
1bzc_ligand_230     4.95    
1bzc_ligand_231     -6.17   
1bzc_ligand_233     -1.84   
1bzc_ligand_235     -16.56  
1bzc_ligand_238     -14.61  
1bzc_ligand_240     -11.73  
1bzc_ligand_245     -7.27   
1bzc_ligand_246     -30.43  
1bzc_ligand_247     -17.45  
1bzc_ligand_249     -25.79  
1bzc_ligand_250     2.31    
1bzc_ligand_256     -27.95  
1bzc_ligand_26      33.45   
1bzc_ligand_262     -35.88  
1bzc_ligand_268     -3.43   
1bzc_ligand_274     -12.36  
1bzc_ligand_276     -36.51  
1bzc_ligand_278     -27.86  
1bzc_ligand_279     -27.35  
1bzc_ligand_283     -74.44  
1bzc_ligand_286     -60.91  
1bzc_ligand_287     -20.34  
1bzc_ligand_289     -52.88  
1bzc_ligand_29      31.28   
1bzc_ligand_290     -31.97  
1bzc_ligand_295     -34.51  
1bzc_ligand_297     -63.92  
1bzc_ligand_299     -23.07  
1bzc_ligand_305     -43.43  
1bzc_ligand_308     -8.67   
1bzc_ligand_310     -41.59  
1bzc_ligand_311     -26.71  
1bzc_ligand_316     -35.88  
1bzc_ligand_320     -43.36  
1bzc_ligand_327     -25.76  
1bzc_ligand_330     -49.45  
1bzc_ligand_340     -55.91  
1bzc_ligand_342     -42.31  
1bzc_ligand_343     -31.64  
1bzc_ligand_344     -52.48  
1bzc_ligand_358     -8.31   
1bzc_ligand_359     8.95    
1bzc_ligand_360     -32.52  
1bzc_ligand_371     -6.57   
1bzc_ligand_373     13.00   
1bzc_ligand_374     2.32    
1bzc_ligand_376     -29.55  
1bzc_ligand_382     7.40    
1bzc_ligand_395     -37.87  
1bzc_ligand_414     8.58    
1bzc_ligand_42      39.77   
1bzc_ligand_421     7.35    
1bzc_ligand_428     -29.28  
1bzc_ligand_436     -43.57  
1bzc_ligand_450     6.46    
1bzc_ligand_454     -6.11   
1bzc_ligand_460     19.24   
1bzc_ligand_463     -15.60  
1bzc_ligand_471     10.29   
1bzc_ligand_483     5.71    
1bzc_ligand_492     12.67   
