#code_ligand_num    score   
1a30_ligand_102     10.86   
1a30_ligand_103     23.31   
1a30_ligand_106     14.39   
1a30_ligand_11      24.53   
1a30_ligand_111     15.68   
1a30_ligand_115     15.24   
1a30_ligand_12      25.56   
1a30_ligand_125     18.67   
1a30_ligand_128     14.69   
1a30_ligand_13      23.03   
1a30_ligand_134     11.72   
1a30_ligand_136     13.72   
1a30_ligand_137     14.00   
1a30_ligand_139     17.49   
1a30_ligand_14      17.31   
1a30_ligand_141     16.79   
1a30_ligand_144     18.44   
1a30_ligand_145     6.65    
1a30_ligand_146     22.35   
1a30_ligand_147     16.23   
1a30_ligand_149     8.52    
1a30_ligand_150     12.90   
1a30_ligand_16      23.57   
1a30_ligand_160     -40.17  
1a30_ligand_168     -13.75  
1a30_ligand_173     -52.25  
1a30_ligand_180     -17.02  
1a30_ligand_187     -54.75  
1a30_ligand_192     -77.83  
1a30_ligand_194     -24.95  
1a30_ligand_195     -54.56  
1a30_ligand_20      22.08   
1a30_ligand_204     -13.62  
1a30_ligand_211     2.15    
1a30_ligand_214     -2.09   
1a30_ligand_224     -0.66   
1a30_ligand_227     0.46    
1a30_ligand_230     1.16    
1a30_ligand_238     -0.44   
1a30_ligand_239     -17.95  
1a30_ligand_242     0.61    
1a30_ligand_248     -7.48   
1a30_ligand_250     -4.18   
1a30_ligand_267     -9.88   
1a30_ligand_269     -37.06  
1a30_ligand_282     -24.32  
1a30_ligand_285     -24.38  
1a30_ligand_29      19.94   
1a30_ligand_290     -15.80  
1a30_ligand_297     -14.54  
1a30_ligand_30      27.08   
1a30_ligand_300     -1.60   
1a30_ligand_303     -37.92  
1a30_ligand_305     -13.40  
1a30_ligand_307     -48.63  
1a30_ligand_318     -54.36  
1a30_ligand_325     -19.36  
1a30_ligand_33      23.93   
1a30_ligand_334     -25.69  
1a30_ligand_336     -18.63  
1a30_ligand_338     -48.33  
1a30_ligand_342     -11.09  
1a30_ligand_347     -29.47  
1a30_ligand_350     -19.73  
1a30_ligand_355     1.39    
1a30_ligand_367     -4.75   
1a30_ligand_37      20.06   
1a30_ligand_371     1.39    
1a30_ligand_375     11.12   
1a30_ligand_379     8.13    
1a30_ligand_38      22.90   
1a30_ligand_381     -2.41   
1a30_ligand_383     1.26    
1a30_ligand_384     7.74    
1a30_ligand_397     5.36    
1a30_ligand_399     -11.86  
1a30_ligand_4       21.99   
1a30_ligand_40      19.66   
1a30_ligand_403     7.38    
1a30_ligand_414     1.94    
1a30_ligand_42      24.95   
1a30_ligand_434     -1.33   
1a30_ligand_44      23.31   
1a30_ligand_440     1.05    
1a30_ligand_455     2.82    
1a30_ligand_467     4.48    
1a30_ligand_47      26.44   
1a30_ligand_478     2.90    
1a30_ligand_53      16.35   
1a30_ligand_63      12.82   
1a30_ligand_69      13.77   
1a30_ligand_71      9.39    
1a30_ligand_83      15.41   
1a30_ligand_89      11.46   
1a30_ligand_90      15.59   
1a30_ligand_92      9.16    
1a30_ligand_93      9.74    
1a30_ligand_94      12.54   
1a30_ligand_96      22.19   
1a30_ligand_97      12.19   
1bcu_ligand_127     25.98   
1bcu_ligand_134     29.88   
1bcu_ligand_152     -16.33  
1bcu_ligand_176     -8.57   
1bcu_ligand_179     2.68    
1bcu_ligand_182     -18.50  
1bcu_ligand_188     -16.91  
1bcu_ligand_189     -3.92   
1bcu_ligand_199     -0.45   
1bcu_ligand_200     -24.51  
1bcu_ligand_205     14.07   
1bcu_ligand_207     15.85   
1bcu_ligand_211     14.13   
1bcu_ligand_214     14.86   
1bcu_ligand_216     25.49   
1bcu_ligand_227     4.95    
1bcu_ligand_228     9.32    
1bcu_ligand_230     15.49   
1bcu_ligand_233     18.86   
1bcu_ligand_234     12.47   
1bcu_ligand_238     7.14    
1bcu_ligand_249     20.95   
1bcu_ligand_261     -13.82  
1bcu_ligand_262     20.13   
1bcu_ligand_268     -9.33   
1bcu_ligand_273     -6.02   
1bcu_ligand_274     6.23    
1bcu_ligand_285     11.25   
1bcu_ligand_289     8.40    
1bcu_ligand_291     2.02    
1bcu_ligand_293     8.36    
1bcu_ligand_316     -15.12  
1bcu_ligand_324     -18.14  
1bcu_ligand_326     5.39    
1bcu_ligand_336     -5.81   
1bcu_ligand_337     3.34    
1bcu_ligand_340     11.16   
1bcu_ligand_341     6.94    
1bcu_ligand_343     16.23   
1bcu_ligand_348     -8.69   
1bcu_ligand_351     29.56   
1bcu_ligand_355     16.43   
1bcu_ligand_356     2.79    
1bcu_ligand_358     28.85   
1bcu_ligand_360     10.21   
1bcu_ligand_361     24.22   
1bcu_ligand_367     13.28   
1bcu_ligand_368     15.87   
1bcu_ligand_369     11.75   
1bcu_ligand_372     5.43    
1bcu_ligand_374     12.60   
1bcu_ligand_375     -189.65 
1bcu_ligand_377     6.08    
1bcu_ligand_378     1.69    
1bcu_ligand_379     17.50   
1bcu_ligand_381     4.47    
1bcu_ligand_383     4.17    
1bcu_ligand_386     4.28    
1bcu_ligand_388     7.62    
1bcu_ligand_389     4.62    
1bcu_ligand_390     9.49    
1bcu_ligand_391     12.38   
1bcu_ligand_392     6.29    
1bcu_ligand_393     6.37    
1bcu_ligand_394     4.06    
1bcu_ligand_395     3.14    
1bcu_ligand_396     9.69    
1bcu_ligand_398     6.80    
1bcu_ligand_399     8.18    
1bcu_ligand_401     19.23   
1bcu_ligand_402     31.70   
1bcu_ligand_409     20.13   
1bcu_ligand_411     26.64   
1bcu_ligand_425     9.43    
1bcu_ligand_426     7.44    
1bcu_ligand_430     10.51   
1bcu_ligand_432     19.74   
1bcu_ligand_437     17.71   
1bcu_ligand_439     13.33   
1bcu_ligand_442     3.67    
1bcu_ligand_443     1.51    
1bcu_ligand_444     24.97   
1bcu_ligand_446     12.23   
1bcu_ligand_447     -1.45   
