#code_ligand_num    score   
1a30_ligand_103     -38.75  
1a30_ligand_106     -25.63  
1a30_ligand_107     -37.98  
1a30_ligand_115     -46.28  
1a30_ligand_116     -32.59  
1a30_ligand_121     -26.94  
1a30_ligand_129     -48.98  
1a30_ligand_133     -39.11  
1a30_ligand_146     -44.52  
1a30_ligand_149     -54.08  
1a30_ligand_150     -32.16  
1a30_ligand_152     -142.56 
1a30_ligand_157     -114.32 
1a30_ligand_160     -127.76 
1a30_ligand_161     -144.81 
1a30_ligand_164     -111.61 
1a30_ligand_168     -120.85 
1a30_ligand_172     -128.89 
1a30_ligand_177     -159.53 
1a30_ligand_181     -108.26 
1a30_ligand_182     -156.08 
1a30_ligand_183     -127.42 
1a30_ligand_184     -172.65 
1a30_ligand_186     -110.87 
1a30_ligand_187     -154.60 
1a30_ligand_188     -120.51 
1a30_ligand_190     -127.39 
1a30_ligand_191     -97.60  
1a30_ligand_200     -122.27 
1a30_ligand_201     -88.02  
1a30_ligand_202     -119.46 
1a30_ligand_203     -106.24 
1a30_ligand_205     -99.64  
1a30_ligand_206     -120.30 
1a30_ligand_209     -96.17  
1a30_ligand_21      -29.55  
1a30_ligand_210     -97.29  
1a30_ligand_211     -96.34  
1a30_ligand_213     -108.93 
1a30_ligand_215     -109.09 
1a30_ligand_219     -74.43  
1a30_ligand_222     -112.23 
1a30_ligand_226     -136.96 
1a30_ligand_229     -118.24 
1a30_ligand_230     -113.08 
1a30_ligand_232     -97.38  
1a30_ligand_235     -108.96 
1a30_ligand_236     -112.46 
1a30_ligand_239     -122.03 
1a30_ligand_240     -107.31 
1a30_ligand_244     -122.83 
1a30_ligand_246     -86.54  
1a30_ligand_250     -100.43 
1a30_ligand_254     -111.75 
1a30_ligand_256     -126.07 
1a30_ligand_260     -115.33 
1a30_ligand_262     -106.68 
1a30_ligand_265     -133.89 
1a30_ligand_274     -112.31 
1a30_ligand_277     -128.68 
1a30_ligand_283     -100.17 
1a30_ligand_286     -121.11 
1a30_ligand_287     -117.88 
1a30_ligand_291     -131.48 
1a30_ligand_293     -111.15 
1a30_ligand_294     -126.08 
1a30_ligand_296     -116.51 
1a30_ligand_298     -139.45 
1a30_ligand_317     -107.90 
1a30_ligand_318     -128.68 
1a30_ligand_320     -128.00 
1a30_ligand_322     -134.55 
1a30_ligand_325     -118.55 
1a30_ligand_339     -113.84 
1a30_ligand_344     -126.55 
1a30_ligand_345     -146.83 
1a30_ligand_349     -139.31 
1a30_ligand_357     -26.54  
1a30_ligand_367     -36.99  
1a30_ligand_369     -31.40  
1a30_ligand_372     -24.01  
1a30_ligand_373     -46.36  
1a30_ligand_383     -59.33  
1a30_ligand_385     -40.45  
1a30_ligand_395     -62.09  
1a30_ligand_400     -77.58  
1a30_ligand_437     -49.66  
1a30_ligand_444     -32.16  
1a30_ligand_489     -55.90  
1a30_ligand_493     -71.09  
1a30_ligand_61      -50.74  
1a30_ligand_62      -55.68  
1a30_ligand_65      -27.78  
1a30_ligand_68      -30.62  
1a30_ligand_73      -22.25  
1a30_ligand_78      -35.19  
1a30_ligand_79      -25.44  
1a30_ligand_80      -37.36  
1a30_ligand_82      -66.42  
1a30_ligand_97      -17.83  
1bcu_ligand_118     24.26   
1bcu_ligand_127     24.12   
1bcu_ligand_129     21.69   
1bcu_ligand_133     20.59   
1bcu_ligand_140     24.97   
1bcu_ligand_171     -26.27  
1bcu_ligand_172     -54.39  
1bcu_ligand_173     -44.44  
1bcu_ligand_189     -62.59  
1bcu_ligand_190     -25.15  
1bcu_ligand_191     -36.27  
1bcu_ligand_192     -11.58  
1bcu_ligand_193     5.42    
1bcu_ligand_194     -43.04  
1bcu_ligand_195     -23.69  
1bcu_ligand_196     -26.61  
1bcu_ligand_197     -10.06  
1bcu_ligand_198     -58.83  
1bcu_ligand_199     -5.63   
1bcu_ligand_200     -70.03  
1bcu_ligand_201     16.13   
1bcu_ligand_202     15.07   
1bcu_ligand_203     6.33    
1bcu_ligand_204     10.92   
1bcu_ligand_207     -1.53   
1bcu_ligand_208     5.43    
1bcu_ligand_209     -9.39   
1bcu_ligand_210     3.91    
1bcu_ligand_211     -1.77   
1bcu_ligand_212     -2.10   
1bcu_ligand_213     -0.58   
1bcu_ligand_214     1.18    
1bcu_ligand_215     1.35    
1bcu_ligand_216     -10.60  
1bcu_ligand_217     -12.77  
1bcu_ligand_218     -16.74  
1bcu_ligand_219     -19.85  
1bcu_ligand_221     -6.85   
1bcu_ligand_222     -6.18   
1bcu_ligand_223     -3.81   
1bcu_ligand_224     -9.88   
1bcu_ligand_225     3.66    
1bcu_ligand_226     -1.97   
1bcu_ligand_227     -12.47  
1bcu_ligand_228     -4.96   
1bcu_ligand_229     -10.06  
1bcu_ligand_233     -7.13   
1bcu_ligand_235     -4.70   
1bcu_ligand_236     -19.82  
1bcu_ligand_237     -16.45  
1bcu_ligand_238     -22.63  
1bcu_ligand_239     -6.09   
1bcu_ligand_240     -12.82  
1bcu_ligand_241     -1.33   
1bcu_ligand_242     -6.27   
1bcu_ligand_243     -23.92  
1bcu_ligand_244     -3.98   
1bcu_ligand_245     -15.28  
1bcu_ligand_246     -30.31  
1bcu_ligand_247     -32.08  
1bcu_ligand_248     -44.43  
1bcu_ligand_249     -9.82   
1bcu_ligand_250     -25.00  
1bcu_ligand_259     -12.75  
1bcu_ligand_260     5.29    
1bcu_ligand_263     4.81    
1bcu_ligand_272     -23.56  
1bcu_ligand_277     -23.68  
1bcu_ligand_291     -48.88  
1bcu_ligand_293     -24.24  
1bcu_ligand_297     -27.65  
1bcu_ligand_298     -21.00  
1bcu_ligand_349     -25.15  
1bcu_ligand_372     -192.34 
1bcu_ligand_374     19.20   
1bcu_ligand_378     23.02   
1bcu_ligand_379     7.90    
1bcu_ligand_380     15.56   
1bcu_ligand_382     24.69   
1bcu_ligand_384     4.38    
1bcu_ligand_386     7.19    
1bcu_ligand_387     -9.76   
1bcu_ligand_388     -1.21   
1bcu_ligand_389     -3.51   
1bcu_ligand_393     -4.50   
