#code_ligand_num    score   
1a30_ligand_1       14.11   
1a30_ligand_101     11.71   
1a30_ligand_104     11.56   
1a30_ligand_108     9.84    
1a30_ligand_109     9.10    
1a30_ligand_114     6.96    
1a30_ligand_121     12.26   
1a30_ligand_126     13.73   
1a30_ligand_132     9.03    
1a30_ligand_135     15.28   
1a30_ligand_139     10.35   
1a30_ligand_145     8.76    
1a30_ligand_16      15.76   
1a30_ligand_160     -37.52  
1a30_ligand_163     -49.27  
1a30_ligand_165     -22.41  
1a30_ligand_167     -45.85  
1a30_ligand_17      15.84   
1a30_ligand_18      12.87   
1a30_ligand_184     -48.99  
1a30_ligand_194     -39.53  
1a30_ligand_198     -39.11  
1a30_ligand_201     -7.03   
1a30_ligand_202     3.62    
1a30_ligand_203     -7.14   
1a30_ligand_204     -4.87   
1a30_ligand_207     -1210.42
1a30_ligand_217     -6.90   
1a30_ligand_219     -35.00  
1a30_ligand_22      13.40   
1a30_ligand_220     -26.98  
1a30_ligand_221     -4.67   
1a30_ligand_227     -5.34   
1a30_ligand_230     0.30    
1a30_ligand_236     -16.82  
1a30_ligand_240     -7.73   
1a30_ligand_242     -13.40  
1a30_ligand_249     -17.30  
1a30_ligand_250     -2.36   
1a30_ligand_255     -7.07   
1a30_ligand_26      13.77   
1a30_ligand_264     -20.50  
1a30_ligand_265     -23.52  
1a30_ligand_266     -19.84  
1a30_ligand_269     -34.24  
1a30_ligand_27      19.49   
1a30_ligand_278     -20.33  
1a30_ligand_280     -30.98  
1a30_ligand_285     -20.08  
1a30_ligand_291     -14.61  
1a30_ligand_294     -32.13  
1a30_ligand_295     -10.89  
1a30_ligand_296     -37.56  
1a30_ligand_297     -17.68  
1a30_ligand_3       20.83   
1a30_ligand_302     -49.21  
1a30_ligand_304     -34.12  
1a30_ligand_310     -9.51   
1a30_ligand_314     -7.55   
1a30_ligand_315     -21.34  
1a30_ligand_319     -12.60  
1a30_ligand_320     -19.99  
1a30_ligand_321     -26.05  
1a30_ligand_322     -41.32  
1a30_ligand_324     -33.98  
1a30_ligand_327     -33.79  
1a30_ligand_330     -17.09  
1a30_ligand_334     -42.96  
1a30_ligand_335     -34.64  
1a30_ligand_338     -25.01  
1a30_ligand_339     0.85    
1a30_ligand_347     -23.59  
1a30_ligand_349     -44.45  
1a30_ligand_35      11.91   
1a30_ligand_372     -6.94   
1a30_ligand_380     6.05    
1a30_ligand_393     4.49    
1a30_ligand_395     6.80    
1a30_ligand_40      14.24   
1a30_ligand_41      18.18   
1a30_ligand_413     7.83    
1a30_ligand_416     9.19    
1a30_ligand_439     0.20    
1a30_ligand_443     8.18    
1a30_ligand_451     7.44    
1a30_ligand_454     -1.40   
1a30_ligand_474     5.65    
1a30_ligand_49      14.50   
1a30_ligand_490     1.99    
1a30_ligand_56      18.59   
1a30_ligand_58      12.39   
1a30_ligand_6       16.19   
1a30_ligand_67      11.07   
1a30_ligand_71      13.67   
1a30_ligand_72      -188.11 
1a30_ligand_86      7.69    
1a30_ligand_94      9.19    
1a30_ligand_96      8.16    
1a30_ligand_98      9.19    
1a30_ligand_99      18.58   
1bcu_ligand_153     8.33    
