#code_ligand_num    score   
1a30_ligand_1       22.61   
1a30_ligand_104     14.47   
1a30_ligand_117     13.60   
1a30_ligand_120     12.15   
1a30_ligand_138     6.07    
1a30_ligand_139     13.03   
1a30_ligand_15      22.73   
1a30_ligand_152     -51.68  
1a30_ligand_153     -52.73  
1a30_ligand_155     -54.68  
1a30_ligand_157     -29.85  
1a30_ligand_158     -44.73  
1a30_ligand_16      19.94   
1a30_ligand_170     -50.54  
1a30_ligand_171     -44.58  
1a30_ligand_187     -30.06  
1a30_ligand_188     -56.35  
1a30_ligand_191     -14.72  
1a30_ligand_192     -33.11  
1a30_ligand_196     -20.52  
1a30_ligand_197     -51.24  
1a30_ligand_198     -40.54  
1a30_ligand_200     -36.14  
1a30_ligand_21      21.07   
1a30_ligand_210     -18.84  
1a30_ligand_215     -48.97  
1a30_ligand_218     -31.82  
1a30_ligand_219     -10.70  
1a30_ligand_22      17.94   
1a30_ligand_220     -19.28  
1a30_ligand_223     -19.46  
1a30_ligand_225     -12.58  
1a30_ligand_226     -49.74  
1a30_ligand_228     -10.09  
1a30_ligand_229     -28.47  
1a30_ligand_230     -58.70  
1a30_ligand_231     -19.35  
1a30_ligand_232     -25.12  
1a30_ligand_233     -23.85  
1a30_ligand_234     -45.64  
1a30_ligand_235     -30.03  
1a30_ligand_236     -39.76  
1a30_ligand_237     -30.27  
1a30_ligand_238     -23.70  
1a30_ligand_239     -26.15  
1a30_ligand_240     -30.93  
1a30_ligand_242     -16.50  
1a30_ligand_243     -22.16  
1a30_ligand_245     -27.52  
1a30_ligand_248     -24.24  
1a30_ligand_250     -28.74  
1a30_ligand_253     -22.61  
1a30_ligand_255     -26.71  
1a30_ligand_260     -25.56  
1a30_ligand_261     -40.31  
1a30_ligand_263     -42.60  
1a30_ligand_265     -23.20  
1a30_ligand_270     -34.13  
1a30_ligand_271     -33.72  
1a30_ligand_273     -13.81  
1a30_ligand_274     -32.80  
1a30_ligand_275     -33.69  
1a30_ligand_278     -36.42  
1a30_ligand_283     -39.32  
1a30_ligand_284     -23.07  
1a30_ligand_291     -17.52  
1a30_ligand_292     -27.49  
1a30_ligand_294     -73.61  
1a30_ligand_295     -16.88  
1a30_ligand_297     -35.17  
1a30_ligand_298     -38.37  
1a30_ligand_3       15.32   
1a30_ligand_301     -39.47  
1a30_ligand_31      21.15   
1a30_ligand_311     -24.17  
1a30_ligand_316     -22.37  
1a30_ligand_317     -34.16  
1a30_ligand_323     -34.74  
1a30_ligand_327     -32.61  
1a30_ligand_329     -33.39  
1a30_ligand_338     -29.02  
1a30_ligand_341     -29.34  
1a30_ligand_348     -10.91  
1a30_ligand_361     0.44    
1a30_ligand_364     -1.71   
1a30_ligand_374     9.53    
1a30_ligand_393     -11.26  
1a30_ligand_400     -0.07   
1a30_ligand_412     3.57    
1a30_ligand_42      20.67   
1a30_ligand_420     0.91    
1a30_ligand_44      21.44   
1a30_ligand_52      13.40   
1a30_ligand_59      10.18   
1a30_ligand_62      19.36   
1a30_ligand_66      17.56   
1a30_ligand_70      17.71   
1a30_ligand_74      18.50   
1a30_ligand_86      12.44   
1a30_ligand_98      17.63   
1bcu_ligand_103     26.13   
1bcu_ligand_11      29.75   
1bcu_ligand_111     26.34   
1bcu_ligand_115     28.01   
1bcu_ligand_117     27.10   
1bcu_ligand_12      26.73   
1bcu_ligand_13      29.16   
1bcu_ligand_140     6.90    
1bcu_ligand_15      26.69   
1bcu_ligand_161     22.75   
1bcu_ligand_164     19.48   
1bcu_ligand_175     25.04   
1bcu_ligand_180     7.22    
1bcu_ligand_186     10.67   
1bcu_ligand_191     19.72   
1bcu_ligand_193     25.79   
1bcu_ligand_202     24.00   
1bcu_ligand_205     11.27   
1bcu_ligand_208     23.81   
1bcu_ligand_210     20.45   
1bcu_ligand_211     22.80   
1bcu_ligand_217     22.79   
1bcu_ligand_221     19.85   
1bcu_ligand_224     17.17   
1bcu_ligand_231     23.79   
1bcu_ligand_239     24.70   
1bcu_ligand_240     25.46   
1bcu_ligand_246     20.43   
1bcu_ligand_247     22.57   
1bcu_ligand_248     23.99   
1bcu_ligand_255     17.49   
1bcu_ligand_26      26.48   
1bcu_ligand_263     -1.23   
1bcu_ligand_264     23.46   
1bcu_ligand_269     9.09    
1bcu_ligand_271     7.25    
1bcu_ligand_272     12.02   
1bcu_ligand_281     21.20   
1bcu_ligand_283     11.44   
1bcu_ligand_286     21.47   
1bcu_ligand_287     12.57   
1bcu_ligand_288     21.43   
1bcu_ligand_294     10.37   
1bcu_ligand_295     22.81   
1bcu_ligand_3       26.98   
1bcu_ligand_300     12.96   
1bcu_ligand_301     21.44   
1bcu_ligand_303     4.93    
1bcu_ligand_304     6.68    
1bcu_ligand_305     15.95   
1bcu_ligand_308     13.85   
1bcu_ligand_318     19.09   
1bcu_ligand_320     8.98    
1bcu_ligand_321     17.92   
1bcu_ligand_325     5.14    
1bcu_ligand_326     4.61    
1bcu_ligand_331     6.92    
1bcu_ligand_332     10.84   
1bcu_ligand_335     17.74   
1bcu_ligand_337     16.64   
1bcu_ligand_341     18.22   
1bcu_ligand_342     13.49   
1bcu_ligand_345     12.54   
1bcu_ligand_346     19.24   
1bcu_ligand_347     2.42    
1bcu_ligand_348     1.20    
1bcu_ligand_349     11.45   
1bcu_ligand_361     27.17   
1bcu_ligand_362     26.05   
1bcu_ligand_368     25.29   
1bcu_ligand_369     19.37   
1bcu_ligand_380     24.77   
1bcu_ligand_382     20.55   
1bcu_ligand_383     22.46   
1bcu_ligand_384     22.69   
1bcu_ligand_386     19.62   
1bcu_ligand_387     22.36   
1bcu_ligand_390     22.09   
1bcu_ligand_393     21.55   
1bcu_ligand_394     25.35   
1bcu_ligand_395     24.66   
1bcu_ligand_396     17.70   
1bcu_ligand_398     20.05   
1bcu_ligand_400     23.49   
1bcu_ligand_401     13.10   
1bcu_ligand_412     22.12   
1bcu_ligand_413     25.27   
1bcu_ligand_428     20.01   
1bcu_ligand_436     22.38   
1bcu_ligand_440     22.55   
1bcu_ligand_445     19.38   
1bcu_ligand_450     20.63   
1bcu_ligand_461     22.56   
1bcu_ligand_56      26.96   
1bcu_ligand_57      23.20   
1bcu_ligand_61      11.39   
1bcu_ligand_62      24.37   
1bcu_ligand_77      24.76   
1bcu_ligand_8       27.42   
1bcu_ligand_81      26.27   
1bzc_ligand_10      26.91   
1bzc_ligand_105     25.79   
1bzc_ligand_107     23.63   
1bzc_ligand_11      30.53   
1bzc_ligand_114     11.62   
1bzc_ligand_115     17.00   
1bzc_ligand_120     26.02   
1bzc_ligand_128     28.08   
1bzc_ligand_136     25.91   
1bzc_ligand_146     29.30   
1bzc_ligand_153     -13.55  
1bzc_ligand_165     -8.08   
1bzc_ligand_167     -4.93   
1bzc_ligand_170     -7.69   
1bzc_ligand_173     -31.94  
1bzc_ligand_174     -12.06  
1bzc_ligand_178     -12.96  
1bzc_ligand_18      30.15   
1bzc_ligand_184     -29.00  
1bzc_ligand_187     -57.58  
1bzc_ligand_188     -42.86  
1bzc_ligand_189     -3.21   
1bzc_ligand_190     3.33    
1bzc_ligand_193     -7.66   
1bzc_ligand_194     4.97    
1bzc_ligand_195     -43.13  
1bzc_ligand_197     -17.00  
1bzc_ligand_198     -31.79  
1bzc_ligand_199     -24.33  
1bzc_ligand_200     -14.14  
1bzc_ligand_203     9.01    
1bzc_ligand_207     19.08   
1bzc_ligand_208     10.16   
1bzc_ligand_209     7.53    
1bzc_ligand_210     11.22   
1bzc_ligand_213     8.75    
1bzc_ligand_219     -19.01  
1bzc_ligand_223     -2.95   
1bzc_ligand_224     4.25    
1bzc_ligand_225     -18.66  
1bzc_ligand_228     0.20    
1bzc_ligand_229     -5.19   
1bzc_ligand_233     11.99   
1bzc_ligand_234     8.46    
1bzc_ligand_236     -5.15   
1bzc_ligand_237     8.29    
1bzc_ligand_239     7.93    
1bzc_ligand_243     -11.44  
1bzc_ligand_244     -2.74   
1bzc_ligand_247     -25.18  
1bzc_ligand_249     8.90    
1bzc_ligand_255     -21.00  
1bzc_ligand_256     -38.49  
1bzc_ligand_258     -24.09  
1bzc_ligand_263     -2.15   
1bzc_ligand_268     0.80    
1bzc_ligand_273     -10.97  
1bzc_ligand_274     -8.02   
1bzc_ligand_280     -56.59  
1bzc_ligand_283     -3.36   
1bzc_ligand_286     -14.74  
1bzc_ligand_287     -6.74   
1bzc_ligand_289     -8.79   
1bzc_ligand_292     -17.48  
1bzc_ligand_293     -5.45   
1bzc_ligand_294     -19.73  
1bzc_ligand_296     3.44    
1bzc_ligand_299     -23.57  
1bzc_ligand_307     -25.21  
1bzc_ligand_310     -9.68   
1bzc_ligand_319     2.86    
1bzc_ligand_324     -4.97   
1bzc_ligand_326     -53.95  
1bzc_ligand_331     -18.24  
1bzc_ligand_337     -17.82  
1bzc_ligand_341     -11.33  
1bzc_ligand_342     -20.69  
1bzc_ligand_348     -44.41  
1bzc_ligand_349     -6.18   
1bzc_ligand_36      30.72   
1bzc_ligand_377     11.60   
1bzc_ligand_380     4.47    
1bzc_ligand_384     -20.67  
1bzc_ligand_387     -8.17   
1bzc_ligand_392     -22.04  
1bzc_ligand_393     -23.44  
1bzc_ligand_395     -12.52  
1bzc_ligand_398     -17.05  
1bzc_ligand_399     -21.86  
1bzc_ligand_400     -20.79  
1bzc_ligand_44      31.44   
1bzc_ligand_449     10.35   
1bzc_ligand_452     16.80   
1bzc_ligand_477     24.49   
1bzc_ligand_59      29.56   
1bzc_ligand_62      22.05   
1bzc_ligand_65      35.13   
1bzc_ligand_70      21.55   
1bzc_ligand_86      32.14   
1bzc_ligand_89      30.50   
1c5z_ligand_113     17.81   
1c5z_ligand_148     17.80   
1c5z_ligand_151     11.05   
1c5z_ligand_154     11.46   
1c5z_ligand_155     9.47    
1c5z_ligand_157     9.32    
1c5z_ligand_160     10.91   
1c5z_ligand_161     10.21   
1c5z_ligand_162     11.49   
1c5z_ligand_167     9.09    
1c5z_ligand_168     12.18   
1c5z_ligand_169     12.76   
1c5z_ligand_170     11.61   
1c5z_ligand_171     8.42    
1c5z_ligand_173     10.11   
1c5z_ligand_174     13.98   
1c5z_ligand_180     8.58    
1c5z_ligand_186     8.77    
1c5z_ligand_187     3.48    
1c5z_ligand_189     12.99   
1c5z_ligand_19      18.98   
1c5z_ligand_194     13.62   
1c5z_ligand_198     9.50    
1c5z_ligand_199     14.00   
1c5z_ligand_200     9.76    
1c5z_ligand_202     8.62    
1c5z_ligand_204     13.66   
1c5z_ligand_205     13.50   
1c5z_ligand_206     9.53    
1c5z_ligand_209     2.81    
1c5z_ligand_21      17.56   
1c5z_ligand_210     13.23   
1c5z_ligand_212     14.11   
1c5z_ligand_214     7.66    
1c5z_ligand_216     11.56   
1c5z_ligand_218     10.21   
1c5z_ligand_222     8.94    
1c5z_ligand_223     10.32   
1c5z_ligand_225     12.83   
1c5z_ligand_227     3.79    
1c5z_ligand_228     11.03   
1c5z_ligand_229     8.91    
1c5z_ligand_23      18.40   
1c5z_ligand_232     9.31    
1c5z_ligand_233     10.49   
1c5z_ligand_234     4.65    
1c5z_ligand_235     12.62   
1c5z_ligand_236     12.87   
1c5z_ligand_237     15.11   
1c5z_ligand_238     13.94   
1c5z_ligand_240     5.76    
1c5z_ligand_241     16.73   
1c5z_ligand_242     13.00   
1c5z_ligand_243     7.03    
1c5z_ligand_244     10.94   
1c5z_ligand_245     13.23   
1c5z_ligand_246     12.57   
1c5z_ligand_255     13.96   
1c5z_ligand_260     11.50   
1c5z_ligand_261     11.19   
1c5z_ligand_266     13.04   
1c5z_ligand_275     16.56   
1c5z_ligand_276     6.90    
