#code_ligand_num    score   
1a30_ligand_102     13.79   
1a30_ligand_104     8.54    
1a30_ligand_105     -1988.19
1a30_ligand_107     14.50   
1a30_ligand_111     10.44   
1a30_ligand_116     12.76   
1a30_ligand_122     16.22   
1a30_ligand_123     15.37   
1a30_ligand_124     15.04   
1a30_ligand_130     12.07   
1a30_ligand_141     16.90   
1a30_ligand_144     18.96   
1a30_ligand_147     16.48   
1a30_ligand_15      21.36   
1a30_ligand_150     21.12   
1a30_ligand_153     -79.37  
1a30_ligand_161     -41.01  
1a30_ligand_173     -41.91  
1a30_ligand_174     -21.19  
1a30_ligand_175     -43.66  
1a30_ligand_178     -10.34  
1a30_ligand_18      21.20   
1a30_ligand_181     -47.09  
1a30_ligand_185     -63.69  
1a30_ligand_186     -63.18  
1a30_ligand_201     -6.80   
1a30_ligand_202     4.17    
1a30_ligand_206     -4.67   
1a30_ligand_207     -12.62  
1a30_ligand_208     -18.47  
1a30_ligand_209     -1.00   
1a30_ligand_21      24.97   
1a30_ligand_210     -2.69   
1a30_ligand_211     -24.82  
1a30_ligand_213     -0.66   
1a30_ligand_216     -6.39   
1a30_ligand_217     -5.72   
1a30_ligand_221     -22.55  
1a30_ligand_222     -2.52   
1a30_ligand_223     -2.59   
1a30_ligand_226     -196.19 
1a30_ligand_228     -7.45   
1a30_ligand_231     -12.44  
1a30_ligand_232     -24.98  
1a30_ligand_237     -19.21  
1a30_ligand_238     -0.30   
1a30_ligand_241     -1.88   
1a30_ligand_243     -3206.38
1a30_ligand_245     3.61    
1a30_ligand_246     -2.10   
1a30_ligand_247     -11.35  
1a30_ligand_249     -14.92  
1a30_ligand_250     -13.25  
1a30_ligand_259     -41.27  
1a30_ligand_26      18.11   
1a30_ligand_261     -21.23  
1a30_ligand_278     -29.58  
1a30_ligand_280     -41.47  
1a30_ligand_287     -8.64   
1a30_ligand_292     -30.82  
1a30_ligand_294     -3.01   
1a30_ligand_297     -69.73  
1a30_ligand_301     -30.22  
1a30_ligand_322     -34.59  
1a30_ligand_328     -51.41  
1a30_ligand_329     -45.18  
1a30_ligand_33      19.63   
1a30_ligand_339     -29.80  
1a30_ligand_34      23.10   
1a30_ligand_340     -35.67  
1a30_ligand_345     -9.79   
1a30_ligand_350     -43.08  
1a30_ligand_351     9.36    
1a30_ligand_38      22.28   
1a30_ligand_388     13.23   
1a30_ligand_395     6.67    
1a30_ligand_398     20.53   
1a30_ligand_412     4.41    
1a30_ligand_43      20.16   
1a30_ligand_441     19.54   
1a30_ligand_448     -1.71   
1a30_ligand_449     5.75    
1a30_ligand_452     22.20   
1a30_ligand_46      24.31   
1a30_ligand_469     18.11   
1a30_ligand_484     -3.09   
1a30_ligand_488     18.83   
1a30_ligand_500     -12.20  
1a30_ligand_59      17.52   
1a30_ligand_60      22.22   
1a30_ligand_62      13.71   
1a30_ligand_63      17.89   
1a30_ligand_76      18.58   
1a30_ligand_78      15.85   
1a30_ligand_82      16.67   
1a30_ligand_84      24.38   
1a30_ligand_85      18.83   
1a30_ligand_88      19.27   
1a30_ligand_95      12.51   
1a30_ligand_99      22.44   
1bcu_ligand_152     2.88    
1bcu_ligand_156     7.99    
1bcu_ligand_173     1.42    
1bcu_ligand_175     -0.96   
1bcu_ligand_181     5.96    
1bcu_ligand_184     9.31    
1bcu_ligand_19      30.17   
1bcu_ligand_191     -9.05   
1bcu_ligand_194     14.65   
1bcu_ligand_196     -8.72   
1bcu_ligand_197     4.75    
1bcu_ligand_202     22.72   
1bcu_ligand_210     20.70   
1bcu_ligand_216     23.59   
1bcu_ligand_217     24.29   
1bcu_ligand_220     12.79   
1bcu_ligand_226     22.95   
1bcu_ligand_228     25.08   
1bcu_ligand_229     18.02   
1bcu_ligand_230     24.73   
1bcu_ligand_232     25.74   
1bcu_ligand_241     4.18    
1bcu_ligand_243     16.93   
1bcu_ligand_244     15.42   
1bcu_ligand_245     9.82    
1bcu_ligand_247     20.06   
1bcu_ligand_248     14.36   
1bcu_ligand_250     12.46   
1bcu_ligand_251     9.86    
1bcu_ligand_254     4.87    
1bcu_ligand_263     11.28   
1bcu_ligand_264     22.53   
1bcu_ligand_272     10.45   
1bcu_ligand_274     11.43   
1bcu_ligand_276     5.50    
1bcu_ligand_277     2.37    
1bcu_ligand_279     9.08    
1bcu_ligand_281     2.03    
1bcu_ligand_285     9.18    
1bcu_ligand_287     11.14   
1bcu_ligand_292     18.52   
1bcu_ligand_293     8.08    
1bcu_ligand_299     1.15    
1bcu_ligand_301     5.06    
1bcu_ligand_314     -0.04   
1bcu_ligand_329     -6.82   
1bcu_ligand_332     -11.04  
1bcu_ligand_333     10.89   
1bcu_ligand_338     19.38   
1bcu_ligand_340     4.46    
1bcu_ligand_346     4.41    
1bcu_ligand_351     11.82   
1bcu_ligand_354     12.54   
1bcu_ligand_356     10.33   
1bcu_ligand_357     8.64    
1bcu_ligand_358     -0.93   
1bcu_ligand_360     0.85    
1bcu_ligand_363     10.96   
1bcu_ligand_368     10.80   
1bcu_ligand_369     0.07    
1bcu_ligand_372     6.46    
1bcu_ligand_374     -391.93 
1bcu_ligand_375     1.54    
1bcu_ligand_376     2.95    
1bcu_ligand_377     7.32    
1bcu_ligand_378     7.55    
1bcu_ligand_379     7.90    
1bcu_ligand_381     -193.06 
1bcu_ligand_382     7.25    
1bcu_ligand_385     9.99    
1bcu_ligand_386     9.78    
1bcu_ligand_387     13.35   
1bcu_ligand_388     -7.61   
1bcu_ligand_390     10.36   
1bcu_ligand_394     -192.58 
1bcu_ligand_395     8.00    
1bcu_ligand_396     4.49    
1bcu_ligand_397     7.26    
1bcu_ligand_398     3.42    
1bcu_ligand_399     -2.66   
1bcu_ligand_400     8.65    
1bcu_ligand_404     20.95   
1bcu_ligand_420     10.88   
1bcu_ligand_421     8.60    
1bcu_ligand_425     12.41   
1bcu_ligand_427     3.44    
1bcu_ligand_433     10.47   
1bcu_ligand_437     6.20    
1bcu_ligand_439     7.36    
1bcu_ligand_445     15.32   
1bcu_ligand_450     1.51    
1bcu_ligand_460     9.55    
1bcu_ligand_461     7.06    
1bcu_ligand_465     10.51   
1bcu_ligand_469     13.47   
1bcu_ligand_476     10.81   
1bcu_ligand_478     10.01   
1bcu_ligand_496     8.03    
1bcu_ligand_497     4.50    
1bcu_ligand_498     7.11    
1bzc_ligand_102     32.70   
1bzc_ligand_103     40.37   
1bzc_ligand_104     22.72   
1bzc_ligand_110     18.72   
1bzc_ligand_131     18.16   
1bzc_ligand_134     36.57   
1bzc_ligand_149     37.01   
1bzc_ligand_151     -6.42   
1bzc_ligand_152     -39.45  
