#code_ligand_num    score   
1a30_ligand_102     -25.30  
1a30_ligand_103     -13.16  
1a30_ligand_105     -10.22  
1a30_ligand_106     3.32    
1a30_ligand_108     -2.53   
1a30_ligand_11      13.91   
1a30_ligand_111     -7.10   
1a30_ligand_113     -13.84  
1a30_ligand_114     1.88    
1a30_ligand_117     -7.02   
1a30_ligand_126     3.49    
1a30_ligand_128     7.54    
1a30_ligand_129     -4.73   
1a30_ligand_13      -1.21   
1a30_ligand_130     -13.91  
1a30_ligand_132     -9.25   
1a30_ligand_133     -7.57   
1a30_ligand_136     -11.51  
1a30_ligand_142     -8.24   
1a30_ligand_143     -17.23  
1a30_ligand_146     -8.72   
1a30_ligand_175     -74.41  
1a30_ligand_183     -88.63  
1a30_ligand_185     -71.46  
1a30_ligand_187     -115.44 
1a30_ligand_19      -2.62   
1a30_ligand_192     -89.29  
1a30_ligand_195     -116.86 
1a30_ligand_199     -88.95  
1a30_ligand_202     -53.41  
1a30_ligand_204     -58.44  
1a30_ligand_205     -61.74  
1a30_ligand_206     -48.53  
1a30_ligand_212     -43.07  
1a30_ligand_216     -60.41  
1a30_ligand_223     -54.30  
1a30_ligand_225     -68.43  
1a30_ligand_226     -68.43  
1a30_ligand_228     -88.62  
1a30_ligand_230     -69.95  
1a30_ligand_233     -59.91  
1a30_ligand_234     -73.63  
1a30_ligand_237     -62.65  
1a30_ligand_240     -84.83  
1a30_ligand_242     -70.83  
1a30_ligand_25      2.24    
1a30_ligand_253     -58.00  
1a30_ligand_258     -93.48  
1a30_ligand_268     -69.77  
1a30_ligand_27      1.45    
1a30_ligand_279     -92.30  
1a30_ligand_280     -87.88  
1a30_ligand_282     -75.81  
1a30_ligand_285     -71.31  
1a30_ligand_286     -110.63 
1a30_ligand_288     -62.83  
1a30_ligand_289     -62.88  
1a30_ligand_293     -77.27  
1a30_ligand_297     -83.04  
1a30_ligand_298     -80.17  
1a30_ligand_300     -103.05 
1a30_ligand_301     -84.14  
1a30_ligand_312     -79.13  
1a30_ligand_315     -67.73  
1a30_ligand_316     -66.40  
1a30_ligand_319     -65.33  
1a30_ligand_325     -64.38  
1a30_ligand_332     -102.30 
1a30_ligand_335     -65.72  
1a30_ligand_342     -81.08  
1a30_ligand_347     -61.40  
1a30_ligand_350     -78.89  
1a30_ligand_366     -10.39  
1a30_ligand_378     -3.47   
1a30_ligand_380     -16.86  
1a30_ligand_394     -20.31  
1a30_ligand_397     -1.26   
1a30_ligand_398     -33.87  
1a30_ligand_41      0.81    
1a30_ligand_42      -0.49   
1a30_ligand_430     -10.36  
1a30_ligand_447     -1.20   
1a30_ligand_49      6.85    
1a30_ligand_52      5.22    
1a30_ligand_54      -4.57   
1a30_ligand_59      -5.59   
1a30_ligand_62      -19.13  
1a30_ligand_65      -13.31  
1a30_ligand_7       -5.59   
1a30_ligand_72      -18.91  
1a30_ligand_75      -22.47  
1a30_ligand_78      -1.94   
1a30_ligand_79      -1.11   
1a30_ligand_80      17.65   
1a30_ligand_81      -10.73  
1a30_ligand_83      -7.50   
1a30_ligand_85      -5.75   
1a30_ligand_88      -9.68   
1a30_ligand_97      -13.90  
1a30_ligand_99      -11.81  
1bcu_ligand_102     21.00   
1bcu_ligand_153     -11.05  
1bcu_ligand_154     -6.76   
1bcu_ligand_155     -24.71  
1bcu_ligand_157     -16.75  
1bcu_ligand_159     -18.07  
1bcu_ligand_164     -14.86  
1bcu_ligand_177     -46.80  
1bcu_ligand_181     -13.88  
1bcu_ligand_183     -0.14   
1bcu_ligand_185     2.15    
1bcu_ligand_189     -14.51  
1bcu_ligand_190     -40.76  
1bcu_ligand_191     -8.08   
1bcu_ligand_193     13.88   
1bcu_ligand_194     9.10    
1bcu_ligand_195     -6.13   
1bcu_ligand_196     -0.38   
1bcu_ligand_198     -1.30   
1bcu_ligand_199     -44.02  
1bcu_ligand_202     20.10   
1bcu_ligand_205     8.70    
1bcu_ligand_206     6.33    
1bcu_ligand_216     0.26    
1bcu_ligand_217     1.48    
1bcu_ligand_225     3.43    
1bcu_ligand_226     10.22   
1bcu_ligand_234     -4.01   
1bcu_ligand_238     -6.10   
1bcu_ligand_240     -8.47   
1bcu_ligand_241     10.55   
1bcu_ligand_242     -2.90   
1bcu_ligand_244     -0.95   
1bcu_ligand_246     4.50    
1bcu_ligand_247     6.48    
1bcu_ligand_248     12.03   
1bcu_ligand_249     -5.84   
1bcu_ligand_250     2.08    
1bcu_ligand_257     12.97   
1bcu_ligand_259     13.89   
1bcu_ligand_266     5.27    
1bcu_ligand_269     3.57    
1bcu_ligand_275     -12.60  
1bcu_ligand_282     -2.85   
1bcu_ligand_283     -11.72  
1bcu_ligand_286     -12.29  
1bcu_ligand_288     8.24    
1bcu_ligand_289     -0.15   
1bcu_ligand_293     -0.07   
1bcu_ligand_294     4.91    
1bcu_ligand_296     -2.47   
1bcu_ligand_297     -2.89   
1bcu_ligand_311     5.06    
1bcu_ligand_314     -15.64  
1bcu_ligand_325     -0.73   
1bcu_ligand_330     -6.80   
1bcu_ligand_331     -20.50  
1bcu_ligand_334     -1.45   
1bcu_ligand_336     -0.88   
1bcu_ligand_338     0.91    
1bcu_ligand_342     -15.16  
1bcu_ligand_344     -8.26   
1bcu_ligand_347     -5.56   
1bcu_ligand_348     5.13    
1bcu_ligand_350     -3.02   
1bcu_ligand_354     17.35   
1bcu_ligand_361     -6.95   
1bcu_ligand_367     5.37    
1bcu_ligand_371     -14.66  
1bcu_ligand_373     10.37   
1bcu_ligand_375     9.25    
1bcu_ligand_376     -25.72  
1bcu_ligand_377     10.75   
1bcu_ligand_380     -16.68  
1bcu_ligand_382     7.39    
1bcu_ligand_383     13.58   
1bcu_ligand_386     -0.03   
1bcu_ligand_388     -13.44  
1bcu_ligand_389     -1.09   
1bcu_ligand_390     -30.63  
1bcu_ligand_392     -14.90  
1bcu_ligand_393     9.71    
1bcu_ligand_395     11.86   
1bcu_ligand_398     13.30   
1bcu_ligand_399     8.71    
