#code_ligand_num    score   
1a30_ligand_1       6.85    
1a30_ligand_102     -5.93   
1a30_ligand_106     -2.33   
1a30_ligand_111     3.27    
1a30_ligand_112     -1.18   
1a30_ligand_114     10.76   
1a30_ligand_118     -2.63   
1a30_ligand_119     3.85    
1a30_ligand_126     -2.52   
1a30_ligand_128     1.42    
1a30_ligand_13      4.33    
1a30_ligand_15      6.21    
1a30_ligand_157     -85.69  
1a30_ligand_162     -94.80  
1a30_ligand_165     -98.55  
1a30_ligand_166     -68.86  
1a30_ligand_172     -49.40  
1a30_ligand_173     -44.38  
1a30_ligand_175     -51.03  
1a30_ligand_176     -59.97  
1a30_ligand_179     -76.11  
1a30_ligand_185     -62.58  
1a30_ligand_187     -99.50  
1a30_ligand_192     -43.63  
1a30_ligand_193     -54.74  
1a30_ligand_20      11.64   
1a30_ligand_202     -19.31  
1a30_ligand_203     -34.84  
1a30_ligand_207     -32.68  
1a30_ligand_209     -39.50  
1a30_ligand_210     -38.15  
1a30_ligand_212     -44.78  
1a30_ligand_215     -32.88  
1a30_ligand_217     -42.54  
1a30_ligand_220     -44.21  
1a30_ligand_223     -29.61  
1a30_ligand_225     -44.11  
1a30_ligand_226     -73.26  
1a30_ligand_227     -47.65  
1a30_ligand_229     -78.06  
1a30_ligand_23      11.46   
1a30_ligand_232     -73.17  
1a30_ligand_235     -49.10  
1a30_ligand_236     -49.92  
1a30_ligand_242     -60.73  
1a30_ligand_243     -38.25  
1a30_ligand_244     -75.29  
1a30_ligand_246     -48.05  
1a30_ligand_249     -66.13  
1a30_ligand_260     -61.51  
1a30_ligand_267     -69.88  
1a30_ligand_270     -43.36  
1a30_ligand_272     -58.81  
1a30_ligand_274     -37.12  
1a30_ligand_275     -60.14  
1a30_ligand_277     -51.95  
1a30_ligand_28      11.06   
1a30_ligand_280     -41.15  
1a30_ligand_281     -46.13  
1a30_ligand_287     -57.29  
1a30_ligand_289     -58.72  
1a30_ligand_294     -40.92  
1a30_ligand_295     -42.80  
1a30_ligand_296     -62.24  
1a30_ligand_298     -53.28  
1a30_ligand_300     -53.80  
1a30_ligand_306     -40.37  
1a30_ligand_33      3.49    
1a30_ligand_330     -50.88  
1a30_ligand_338     -52.20  
1a30_ligand_340     -49.45  
1a30_ligand_342     -46.39  
1a30_ligand_350     -61.67  
1a30_ligand_36      12.89   
1a30_ligand_360     11.94   
1a30_ligand_373     -5.22   
1a30_ligand_379     1.60    
1a30_ligand_381     0.93    
1a30_ligand_389     2.06    
1a30_ligand_391     0.97    
1a30_ligand_399     -1.73   
1a30_ligand_400     2.95    
1a30_ligand_416     -12.94  
1a30_ligand_425     -9.32   
1a30_ligand_427     -14.76  
1a30_ligand_43      11.94   
1a30_ligand_431     -24.83  
1a30_ligand_445     -12.28  
1a30_ligand_446     -15.02  
1a30_ligand_456     -0.83   
1a30_ligand_46      15.61   
1a30_ligand_473     -5.67   
1a30_ligand_493     -0.92   
1a30_ligand_56      0.87    
1a30_ligand_59      1.78    
1a30_ligand_64      12.19   
1a30_ligand_71      1.83    
1a30_ligand_73      -1.70   
1a30_ligand_75      9.54    
1a30_ligand_99      9.10    
1bcu_ligand_10      33.43   
1bcu_ligand_13      33.67   
1bcu_ligand_130     34.36   
1bcu_ligand_136     32.34   
1bcu_ligand_156     19.36   
1bcu_ligand_157     15.21   
1bcu_ligand_159     14.80   
1bcu_ligand_17      34.13   
1bcu_ligand_173     22.42   
1bcu_ligand_177     26.92   
1bcu_ligand_178     18.68   
1bcu_ligand_179     19.52   
1bcu_ligand_184     9.33    
1bcu_ligand_186     21.54   
1bcu_ligand_187     25.44   
1bcu_ligand_190     8.93    
1bcu_ligand_191     23.07   
1bcu_ligand_192     10.87   
1bcu_ligand_195     13.53   
1bcu_ligand_197     20.16   
1bcu_ligand_200     30.19   
1bcu_ligand_202     26.96   
1bcu_ligand_204     31.43   
1bcu_ligand_213     29.71   
1bcu_ligand_214     25.58   
1bcu_ligand_215     29.59   
1bcu_ligand_219     25.29   
1bcu_ligand_222     24.17   
1bcu_ligand_224     27.42   
1bcu_ligand_226     23.15   
1bcu_ligand_230     22.89   
1bcu_ligand_233     19.72   
1bcu_ligand_234     23.65   
1bcu_ligand_236     20.56   
1bcu_ligand_237     24.97   
1bcu_ligand_239     23.80   
1bcu_ligand_244     29.28   
1bcu_ligand_247     22.88   
1bcu_ligand_248     23.02   
1bcu_ligand_249     21.14   
1bcu_ligand_250     20.96   
1bcu_ligand_257     19.77   
1bcu_ligand_259     21.93   
1bcu_ligand_260     19.36   
1bcu_ligand_264     9.43    
1bcu_ligand_270     17.92   
1bcu_ligand_274     11.04   
1bcu_ligand_277     22.03   
1bcu_ligand_284     23.04   
1bcu_ligand_285     27.15   
1bcu_ligand_286     10.64   
1bcu_ligand_287     21.63   
1bcu_ligand_289     13.12   
1bcu_ligand_292     21.75   
1bcu_ligand_296     19.78   
1bcu_ligand_297     22.85   
1bcu_ligand_298     13.31   
1bcu_ligand_299     17.98   
1bcu_ligand_300     22.29   
1bcu_ligand_301     15.24   
1bcu_ligand_303     12.08   
1bcu_ligand_306     10.77   
1bcu_ligand_309     19.96   
1bcu_ligand_310     2.21    
1bcu_ligand_311     11.11   
1bcu_ligand_315     4.31    
1bcu_ligand_319     16.37   
1bcu_ligand_320     22.46   
1bcu_ligand_323     14.80   
1bcu_ligand_326     26.11   
1bcu_ligand_328     22.63   
1bcu_ligand_329     18.85   
1bcu_ligand_330     22.19   
1bcu_ligand_331     20.73   
1bcu_ligand_333     12.14   
1bcu_ligand_335     22.09   
1bcu_ligand_336     19.56   
1bcu_ligand_337     20.28   
1bcu_ligand_338     23.10   
1bcu_ligand_339     5.25    
1bcu_ligand_343     20.28   
1bcu_ligand_344     21.33   
1bcu_ligand_346     21.18   
1bcu_ligand_348     16.58   
1bcu_ligand_35      33.95   
1bcu_ligand_363     23.23   
1bcu_ligand_374     27.24   
1bcu_ligand_377     28.00   
1bcu_ligand_383     27.72   
1bcu_ligand_385     22.80   
1bcu_ligand_392     26.25   
1bcu_ligand_395     24.24   
1bcu_ligand_399     21.85   
1bcu_ligand_414     25.23   
1bcu_ligand_438     31.32   
1bcu_ligand_445     24.43   
1bcu_ligand_446     22.27   
1bcu_ligand_448     26.02   
1bcu_ligand_76      32.34   
1bcu_ligand_9       33.04   
1bzc_ligand_114     -0.85   
1bzc_ligand_127     -7.85   
1bzc_ligand_128     -30.07  
1bzc_ligand_152     -78.03  
