#code_ligand_num    score   
1a30_ligand_100     9.32    
1a30_ligand_105     8.66    
1a30_ligand_106     7.76    
1a30_ligand_108     13.26   
1a30_ligand_119     14.41   
1a30_ligand_13      16.67   
1a30_ligand_134     11.84   
1a30_ligand_138     10.08   
1a30_ligand_14      16.33   
1a30_ligand_141     9.94    
1a30_ligand_148     13.54   
1a30_ligand_15      19.15   
1a30_ligand_158     -53.28  
1a30_ligand_159     -69.46  
1a30_ligand_16      17.25   
1a30_ligand_166     -42.54  
1a30_ligand_167     -38.93  
1a30_ligand_169     -39.94  
1a30_ligand_171     -89.88  
1a30_ligand_182     -20.81  
1a30_ligand_196     -82.88  
1a30_ligand_197     -16.83  
1a30_ligand_2       19.08   
1a30_ligand_202     -1.93   
1a30_ligand_203     -8.34   
1a30_ligand_206     4.37    
1a30_ligand_207     -6.58   
1a30_ligand_21      16.27   
1a30_ligand_215     -12.35  
1a30_ligand_216     -2.22   
1a30_ligand_217     -11.62  
1a30_ligand_218     2.76    
1a30_ligand_219     -3.08   
1a30_ligand_22      23.76   
1a30_ligand_220     -17.71  
1a30_ligand_225     -0.48   
1a30_ligand_23      19.24   
1a30_ligand_233     -3.00   
1a30_ligand_239     -12.31  
1a30_ligand_243     -10.01  
1a30_ligand_246     -14.40  
1a30_ligand_248     -6.53   
1a30_ligand_253     -30.55  
1a30_ligand_26      16.21   
1a30_ligand_27      20.37   
1a30_ligand_274     -11.57  
1a30_ligand_275     -21.50  
1a30_ligand_279     -15.55  
1a30_ligand_282     -38.66  
1a30_ligand_29      16.61   
1a30_ligand_290     -21.61  
1a30_ligand_291     -10.19  
1a30_ligand_294     -36.42  
1a30_ligand_310     -20.11  
1a30_ligand_314     -13.60  
1a30_ligand_315     -21.11  
1a30_ligand_318     -41.96  
1a30_ligand_323     -14.57  
1a30_ligand_326     -28.71  
1a30_ligand_329     -11.82  
1a30_ligand_34      15.81   
1a30_ligand_353     -1.01   
1a30_ligand_356     3.26    
1a30_ligand_357     7.38    
1a30_ligand_36      21.07   
1a30_ligand_363     3.38    
1a30_ligand_366     0.98    
1a30_ligand_372     -1.47   
1a30_ligand_379     12.32   
1a30_ligand_38      20.04   
1a30_ligand_39      13.43   
1a30_ligand_391     -0.84   
1a30_ligand_395     -9.60   
1a30_ligand_398     5.41    
1a30_ligand_411     1.24    
1a30_ligand_42      16.36   
1a30_ligand_421     9.75    
1a30_ligand_45      15.61   
1a30_ligand_467     -1.56   
1a30_ligand_481     9.30    
1a30_ligand_49      14.90   
1a30_ligand_496     9.52    
1a30_ligand_52      18.96   
1a30_ligand_56      10.28   
1a30_ligand_59      12.69   
1a30_ligand_6       16.39   
1a30_ligand_63      19.14   
1a30_ligand_64      14.68   
1a30_ligand_68      13.35   
1a30_ligand_7       16.34   
1a30_ligand_73      11.33   
1a30_ligand_76      16.55   
1a30_ligand_81      13.27   
1a30_ligand_82      15.20   
1a30_ligand_88      14.10   
1a30_ligand_9       23.64   
1a30_ligand_94      14.78   
1a30_ligand_95      4.67    
1a30_ligand_97      12.15   
1a30_ligand_99      10.04   
1bcu_ligand_105     24.06   
1bcu_ligand_126     -30.91  
1bcu_ligand_153     5.53    
1bcu_ligand_170     20.27   
1bcu_ligand_172     20.85   
1bcu_ligand_188     14.86   
1bcu_ligand_189     17.83   
1bcu_ligand_211     16.38   
1bcu_ligand_220     18.32   
1bcu_ligand_221     17.10   
1bcu_ligand_239     17.05   
1bcu_ligand_241     21.85   
1bcu_ligand_248     16.60   
1bcu_ligand_250     15.44   
1bcu_ligand_252     11.07   
1bcu_ligand_256     11.93   
1bcu_ligand_258     14.89   
1bcu_ligand_26      25.59   
1bcu_ligand_265     17.28   
1bcu_ligand_269     17.92   
1bcu_ligand_270     7.25    
1bcu_ligand_273     22.98   
1bcu_ligand_277     18.87   
1bcu_ligand_278     20.28   
1bcu_ligand_284     19.35   
1bcu_ligand_286     8.06    
1bcu_ligand_288     9.38    
1bcu_ligand_293     9.97    
1bcu_ligand_300     17.44   
1bcu_ligand_312     13.33   
1bcu_ligand_327     12.74   
1bcu_ligand_329     15.46   
1bcu_ligand_342     15.39   
1bcu_ligand_343     15.95   
1bcu_ligand_345     14.57   
1bcu_ligand_347     18.61   
1bcu_ligand_352     15.90   
1bcu_ligand_361     13.01   
1bcu_ligand_362     9.93    
1bcu_ligand_364     13.56   
1bcu_ligand_365     12.32   
1bcu_ligand_366     10.46   
1bcu_ligand_367     9.93    
1bcu_ligand_369     8.30    
1bcu_ligand_371     1.10    
1bcu_ligand_372     4.05    
1bcu_ligand_374     4.61    
1bcu_ligand_376     6.44    
1bcu_ligand_377     3.76    
1bcu_ligand_379     6.56    
1bcu_ligand_380     6.42    
1bcu_ligand_381     -396.31 
1bcu_ligand_382     6.03    
1bcu_ligand_383     6.86    
1bcu_ligand_385     6.37    
1bcu_ligand_386     3.04    
1bcu_ligand_387     3.37    
1bcu_ligand_388     5.20    
1bcu_ligand_389     8.21    
1bcu_ligand_390     7.07    
1bcu_ligand_392     3.81    
1bcu_ligand_393     -395.78 
1bcu_ligand_395     4.60    
1bcu_ligand_396     2.70    
1bcu_ligand_398     -11.48  
1bcu_ligand_399     -395.94 
1bcu_ligand_400     -194.77 
1bcu_ligand_401     19.72   
1bcu_ligand_408     17.01   
1bcu_ligand_411     17.33   
1bcu_ligand_413     16.13   
1bcu_ligand_415     14.61   
1bcu_ligand_416     9.56    
1bcu_ligand_417     20.66   
1bcu_ligand_418     9.93    
1bcu_ligand_422     9.25    
1bcu_ligand_424     17.65   
1bcu_ligand_426     4.62    
1bcu_ligand_429     7.55    
1bcu_ligand_439     14.31   
1bcu_ligand_440     5.43    
1bcu_ligand_444     6.99    
1bcu_ligand_445     5.84    
1bcu_ligand_446     -190.11 
1bcu_ligand_447     0.62    
1bcu_ligand_454     24.42   
1bcu_ligand_455     20.89   
1bcu_ligand_459     23.51   
1bcu_ligand_464     14.91   
1bcu_ligand_469     16.32   
1bcu_ligand_477     14.19   
1bcu_ligand_481     9.22    
1bcu_ligand_485     7.36    
1bcu_ligand_486     5.68    
1bcu_ligand_488     15.79   
1bcu_ligand_489     6.30    
1bcu_ligand_492     3.95    
1bcu_ligand_495     9.97    
1bcu_ligand_496     18.01   
1bcu_ligand_73      23.85   
1bzc_ligand_102     21.07   
1bzc_ligand_113     14.46   
1bzc_ligand_126     22.90   
1bzc_ligand_127     13.10   
1bzc_ligand_136     16.93   
1bzc_ligand_143     19.54   
1bzc_ligand_145     18.17   
1bzc_ligand_147     19.60   
1bzc_ligand_152     -38.85  
1bzc_ligand_157     -37.49  
1bzc_ligand_168     -31.49  
1bzc_ligand_169     -27.29  
1bzc_ligand_17      25.10   
1bzc_ligand_175     2.95    
1bzc_ligand_176     -23.41  
1bzc_ligand_177     -15.70  
1bzc_ligand_178     -35.85  
1bzc_ligand_179     -37.20  
1bzc_ligand_182     -50.18  
1bzc_ligand_184     -15.97  
1bzc_ligand_185     -15.43  
1bzc_ligand_188     -35.97  
1bzc_ligand_192     -16.21  
1bzc_ligand_193     3.81    
1bzc_ligand_194     -29.80  
1bzc_ligand_198     -21.84  
1bzc_ligand_209     6.65    
1bzc_ligand_21      25.44   
1bzc_ligand_210     11.48   
1bzc_ligand_212     5.89    
1bzc_ligand_214     14.69   
1bzc_ligand_215     -16.62  
1bzc_ligand_216     11.06   
1bzc_ligand_218     -4.17   
1bzc_ligand_22      27.16   
1bzc_ligand_222     -7.86   
1bzc_ligand_226     -2.48   
1bzc_ligand_227     11.80   
1bzc_ligand_230     10.52   
1bzc_ligand_231     7.08    
1bzc_ligand_233     -9.48   
1bzc_ligand_234     10.33   
1bzc_ligand_238     -7.07   
1bzc_ligand_240     -0.29   
1bzc_ligand_244     12.33   
1bzc_ligand_245     13.72   
1bzc_ligand_246     6.03    
1bzc_ligand_250     5.68    
1bzc_ligand_258     -14.06  
1bzc_ligand_262     -13.78  
1bzc_ligand_264     -4.16   
1bzc_ligand_274     -1.46   
1bzc_ligand_275     -14.78  
1bzc_ligand_276     -18.57  
1bzc_ligand_280     0.64    
1bzc_ligand_287     0.05    
1bzc_ligand_289     5.22    
1bzc_ligand_290     -2.32   
1bzc_ligand_295     -40.67  
1bzc_ligand_297     -4.52   
1bzc_ligand_301     -31.86  
1bzc_ligand_308     -10.13  
1bzc_ligand_316     -9.39   
1bzc_ligand_319     -28.54  
1bzc_ligand_327     -17.70  
1bzc_ligand_328     -11.90  
