#code_ligand_num    score   
1a30_ligand_102     17.79   
1a30_ligand_119     14.26   
1a30_ligand_121     12.83   
1a30_ligand_128     19.22   
1a30_ligand_129     10.10   
1a30_ligand_130     12.52   
1a30_ligand_135     11.08   
1a30_ligand_139     16.42   
1a30_ligand_143     14.22   
1a30_ligand_15      19.40   
1a30_ligand_154     -20.52  
1a30_ligand_156     -26.12  
1a30_ligand_159     -22.35  
1a30_ligand_163     -31.35  
1a30_ligand_165     -24.61  
1a30_ligand_169     -20.17  
1a30_ligand_172     -29.33  
1a30_ligand_177     -27.78  
1a30_ligand_180     -18.74  
1a30_ligand_190     -32.83  
1a30_ligand_193     -23.35  
1a30_ligand_195     -44.40  
1a30_ligand_207     -12.94  
1a30_ligand_21      18.62   
1a30_ligand_212     -27.99  
1a30_ligand_214     -2.01   
1a30_ligand_217     -19.52  
1a30_ligand_218     -8.18   
1a30_ligand_221     -20.24  
1a30_ligand_222     -7.38   
1a30_ligand_226     -11.25  
1a30_ligand_231     -10.06  
1a30_ligand_238     -8.54   
1a30_ligand_239     -12.15  
1a30_ligand_245     -3.68   
1a30_ligand_249     -24.73  
1a30_ligand_25      18.67   
1a30_ligand_250     0.87    
1a30_ligand_26      18.35   
1a30_ligand_260     -29.34  
1a30_ligand_263     -36.09  
1a30_ligand_264     -5.37   
1a30_ligand_270     -22.84  
1a30_ligand_285     -13.12  
1a30_ligand_286     -16.94  
1a30_ligand_289     -8.79   
1a30_ligand_291     -38.70  
1a30_ligand_300     -2.79   
1a30_ligand_302     -8.82   
1a30_ligand_307     -42.08  
1a30_ligand_308     -21.45  
1a30_ligand_311     -9.76   
1a30_ligand_313     1.28    
1a30_ligand_317     -16.18  
1a30_ligand_319     -20.81  
1a30_ligand_32      19.71   
1a30_ligand_320     -38.50  
1a30_ligand_322     -48.04  
1a30_ligand_323     -30.16  
1a30_ligand_326     -14.28  
1a30_ligand_327     -6.70   
1a30_ligand_328     -25.45  
1a30_ligand_33      20.76   
1a30_ligand_331     -18.70  
1a30_ligand_332     -24.87  
1a30_ligand_334     -44.10  
1a30_ligand_339     -16.48  
1a30_ligand_343     -47.10  
1a30_ligand_348     -5.89   
1a30_ligand_35      18.58   
1a30_ligand_36      19.27   
1a30_ligand_37      22.03   
1a30_ligand_379     6.24    
1a30_ligand_388     10.93   
1a30_ligand_39      21.31   
1a30_ligand_391     0.89    
1a30_ligand_392     14.05   
1a30_ligand_393     9.83    
1a30_ligand_397     0.19    
1a30_ligand_398     12.72   
1a30_ligand_399     -0.55   
1a30_ligand_429     9.87    
1a30_ligand_445     11.58   
1a30_ligand_45      23.73   
1a30_ligand_49      17.74   
1a30_ligand_498     7.42    
1a30_ligand_55      15.78   
1a30_ligand_58      17.17   
1a30_ligand_60      17.03   
1a30_ligand_62      16.90   
1a30_ligand_66      17.99   
1a30_ligand_67      16.48   
