#code_ligand_num    score   
1a30_ligand_103     11.90   
1a30_ligand_104     -594.72 
1a30_ligand_107     -192.69 
1a30_ligand_11      -590.69 
1a30_ligand_111     5.16    
1a30_ligand_116     8.15    
1a30_ligand_119     0.03    
1a30_ligand_123     -1996.27
1a30_ligand_128     -2603.18
1a30_ligand_13      10.52   
1a30_ligand_130     18.78   
1a30_ligand_140     -593.83 
1a30_ligand_15      -1993.59
1a30_ligand_154     -102.97 
1a30_ligand_155     -43.20  
1a30_ligand_161     -77.84  
1a30_ligand_162     -66.98  
1a30_ligand_169     -55.74  
1a30_ligand_17      -1191.12
1a30_ligand_170     -55.14  
1a30_ligand_172     -89.51  
1a30_ligand_178     -102.35 
1a30_ligand_18      16.41   
1a30_ligand_199     -76.11  
1a30_ligand_202     -10.62  
1a30_ligand_207     -35.54  
1a30_ligand_209     -50.04  
1a30_ligand_212     -49.50  
1a30_ligand_214     -45.62  
1a30_ligand_216     -28.46  
1a30_ligand_22      15.16   
1a30_ligand_221     -38.15  
1a30_ligand_225     -42.07  
1a30_ligand_229     -39.85  
1a30_ligand_23      17.96   
1a30_ligand_230     -55.48  
1a30_ligand_232     -46.22  
1a30_ligand_237     -40.32  
1a30_ligand_241     -101.18 
1a30_ligand_242     -43.92  
1a30_ligand_247     -58.41  
1a30_ligand_256     -64.16  
1a30_ligand_257     -41.53  
1a30_ligand_26      11.24   
1a30_ligand_27      15.11   
1a30_ligand_28      -1188.31
1a30_ligand_281     -38.23  
1a30_ligand_283     -53.75  
1a30_ligand_29      -1189.14
1a30_ligand_293     -63.50  
1a30_ligand_3       14.65   
1a30_ligand_300     -78.51  
1a30_ligand_302     -61.92  
1a30_ligand_308     -38.84  
1a30_ligand_31      9.93    
1a30_ligand_313     -42.42  
1a30_ligand_319     -40.39  
1a30_ligand_333     -40.14  
1a30_ligand_336     -55.58  
1a30_ligand_347     -51.96  
1a30_ligand_348     -63.75  
1a30_ligand_37      12.26   
1a30_ligand_383     -30.54  
1a30_ligand_385     -23.38  
1a30_ligand_386     -3.77   
1a30_ligand_39      -1990.60
1a30_ligand_398     -14.64  
1a30_ligand_4       10.93   
1a30_ligand_400     -11.03  
1a30_ligand_41      13.00   
1a30_ligand_44      -3184.92
1a30_ligand_45      7.41    
1a30_ligand_454     -2.19   
1a30_ligand_46      11.58   
1a30_ligand_47      10.86   
1a30_ligand_48      -189.73 
1a30_ligand_51      9.36    
1a30_ligand_52      -2795.60
1a30_ligand_53      -193.21 
1a30_ligand_55      -1192.27
1a30_ligand_56      -1990.54
1a30_ligand_58      9.89    
1a30_ligand_61      13.48   
