#code_ligand_num    score   
1a30_ligand_10      11.80   
1a30_ligand_101     13.58   
1a30_ligand_102     13.93   
1a30_ligand_108     13.33   
1a30_ligand_109     11.52   
1a30_ligand_11      10.32   
1a30_ligand_110     15.30   
1a30_ligand_111     12.99   
1a30_ligand_114     9.96    
1a30_ligand_116     12.80   
1a30_ligand_120     0.96    
1a30_ligand_122     4.58    
1a30_ligand_123     6.70    
1a30_ligand_124     7.45    
1a30_ligand_129     9.45    
1a30_ligand_133     10.81   
1a30_ligand_134     15.05   
1a30_ligand_139     11.05   
1a30_ligand_14      10.11   
1a30_ligand_147     5.20    
1a30_ligand_152     -64.12  
1a30_ligand_157     -94.99  
1a30_ligand_16      12.91   
1a30_ligand_162     -68.20  
1a30_ligand_163     -54.28  
1a30_ligand_164     -78.78  
1a30_ligand_168     -67.57  
1a30_ligand_170     -62.69  
1a30_ligand_186     -34.00  
1a30_ligand_189     -32.32  
1a30_ligand_195     -74.44  
1a30_ligand_202     -16.70  
1a30_ligand_203     1.80    
1a30_ligand_209     -5.74   
1a30_ligand_210     1.36    
1a30_ligand_212     -6.95   
1a30_ligand_217     -2.72   
1a30_ligand_218     -21.94  
1a30_ligand_220     -7.75   
1a30_ligand_222     -43.31  
1a30_ligand_223     5.03    
1a30_ligand_224     -6.51   
1a30_ligand_226     -5.67   
1a30_ligand_230     -9.60   
1a30_ligand_232     -8.12   
1a30_ligand_235     -9.51   
1a30_ligand_236     -7.54   
1a30_ligand_238     -0.38   
1a30_ligand_244     -5.40   
1a30_ligand_246     -4.50   
1a30_ligand_249     -4.27   
1a30_ligand_256     -16.81  
1a30_ligand_263     -15.68  
1a30_ligand_27      19.37   
1a30_ligand_271     -22.10  
1a30_ligand_273     -42.76  
1a30_ligand_29      11.83   
1a30_ligand_298     -22.04  
1a30_ligand_299     -27.32  
1a30_ligand_311     -20.75  
1a30_ligand_317     -6.43   
1a30_ligand_318     -32.18  
1a30_ligand_32      15.73   
1a30_ligand_322     -18.20  
1a30_ligand_33      8.04    
1a30_ligand_333     -31.66  
1a30_ligand_337     -26.31  
1a30_ligand_340     -10.98  
1a30_ligand_350     -17.30  
1a30_ligand_357     -0.73   
1a30_ligand_36      12.17   
1a30_ligand_363     2.08    
1a30_ligand_366     -3.07   
1a30_ligand_37      12.52   
1a30_ligand_373     -8.51   
1a30_ligand_376     -11.24  
1a30_ligand_382     -21.22  
1a30_ligand_385     -0.44   
1a30_ligand_389     -13.75  
1a30_ligand_390     -26.83  
1a30_ligand_394     -10.73  
1a30_ligand_43      10.02   
1a30_ligand_435     -8.79   
1a30_ligand_44      16.77   
1a30_ligand_447     -10.95  
1a30_ligand_46      12.78   
1a30_ligand_471     -0.06   
1a30_ligand_49      16.77   
1a30_ligand_499     -9.73   
1a30_ligand_56      9.49    
1a30_ligand_6       14.23   
1a30_ligand_60      13.01   
1a30_ligand_63      12.43   
1a30_ligand_64      11.97   
1a30_ligand_75      8.45    
1a30_ligand_77      10.42   
1a30_ligand_79      11.99   
1a30_ligand_86      11.74   
1a30_ligand_95      11.47   
1a30_ligand_96      8.46    
1bcu_ligand_127     17.88   
1bcu_ligand_138     17.96   
1bcu_ligand_148     19.83   
1bcu_ligand_152     -36.68  
1bcu_ligand_153     -30.21  
1bcu_ligand_154     -25.36  
1bcu_ligand_169     -33.05  
1bcu_ligand_171     -11.58  
1bcu_ligand_190     -20.47  
1bcu_ligand_191     -1.56   
1bcu_ligand_199     2.80    
1bcu_ligand_208     15.71   
1bcu_ligand_209     12.95   
1bcu_ligand_215     12.41   
1bcu_ligand_216     12.14   
1bcu_ligand_217     17.29   
1bcu_ligand_220     16.69   
1bcu_ligand_221     19.07   
1bcu_ligand_223     15.63   
1bcu_ligand_229     14.51   
1bcu_ligand_232     12.66   
1bcu_ligand_236     14.70   
1bcu_ligand_239     14.18   
1bcu_ligand_240     9.99    
1bcu_ligand_244     12.79   
1bcu_ligand_245     3.81    
1bcu_ligand_246     13.50   
1bcu_ligand_247     12.84   
1bcu_ligand_25      22.74   
1bcu_ligand_258     16.55   
1bcu_ligand_259     1.97    
1bcu_ligand_261     -1.26   
1bcu_ligand_262     4.33    
1bcu_ligand_266     11.92   
1bcu_ligand_268     14.55   
1bcu_ligand_286     10.30   
1bcu_ligand_293     5.80    
1bcu_ligand_294     11.84   
1bcu_ligand_295     -12.08  
1bcu_ligand_315     1.76    
1bcu_ligand_318     -4.65   
1bcu_ligand_321     7.88    
1bcu_ligand_323     -0.21   
1bcu_ligand_328     9.57    
1bcu_ligand_340     6.15    
1bcu_ligand_348     -19.11  
1bcu_ligand_354     15.88   
1bcu_ligand_360     10.98   
1bcu_ligand_362     12.21   
1bcu_ligand_365     10.19   
1bcu_ligand_369     7.76    
1bcu_ligand_370     -0.22   
1bcu_ligand_372     12.83   
1bcu_ligand_373     2.53    
1bcu_ligand_375     3.07    
1bcu_ligand_376     13.19   
1bcu_ligand_377     11.11   
1bcu_ligand_378     8.29    
1bcu_ligand_379     4.76    
1bcu_ligand_380     3.97    
1bcu_ligand_382     8.30    
1bcu_ligand_385     -0.12   
1bcu_ligand_386     5.32    
1bcu_ligand_387     6.77    
1bcu_ligand_388     9.25    
1bcu_ligand_389     12.98   
1bcu_ligand_390     3.65    
1bcu_ligand_392     7.44    
1bcu_ligand_395     6.90    
1bcu_ligand_397     9.03    
1bcu_ligand_398     10.34   
1bcu_ligand_399     10.27   
1bcu_ligand_400     1.74    
1bcu_ligand_401     9.38    
1bcu_ligand_407     9.64    
1bcu_ligand_408     3.73    
1bcu_ligand_410     5.24    
1bcu_ligand_412     10.74   
1bcu_ligand_417     0.43    
1bcu_ligand_424     5.84    
1bcu_ligand_426     0.78    
1bcu_ligand_440     5.33    
1bcu_ligand_443     -3.12   
1bcu_ligand_445     6.07    
1bcu_ligand_448     2.97    
1bcu_ligand_453     3.53    
1bcu_ligand_456     14.52   
1bcu_ligand_457     12.53   
1bcu_ligand_46      21.61   
1bcu_ligand_461     6.03    
1bcu_ligand_463     14.02   
1bcu_ligand_467     12.80   
1bcu_ligand_471     11.66   
1bcu_ligand_473     5.30    
1bcu_ligand_492     15.81   
1bcu_ligand_495     4.31    
1bcu_ligand_498     5.95    
1bcu_ligand_9       21.58   
1bcu_ligand_98      24.91   
1bcu_ligand_99      22.39   
1bzc_ligand_11      27.11   
1bzc_ligand_110     16.27   
1bzc_ligand_113     25.31   
1bzc_ligand_115     18.13   
1bzc_ligand_117     14.51   
1bzc_ligand_118     12.19   
1bzc_ligand_122     19.15   
1bzc_ligand_127     11.65   
