#code_ligand_num    score   
1a30_ligand_101     11.60   
1a30_ligand_106     16.33   
1a30_ligand_110     17.94   
1a30_ligand_113     8.85    
1a30_ligand_118     10.00   
1a30_ligand_119     10.32   
1a30_ligand_121     11.39   
1a30_ligand_122     11.89   
1a30_ligand_123     17.33   
1a30_ligand_128     18.47   
1a30_ligand_130     14.38   
1a30_ligand_135     13.68   
1a30_ligand_136     15.66   
1a30_ligand_14      21.73   
1a30_ligand_148     10.95   
1a30_ligand_158     -25.99  
1a30_ligand_160     -52.87  
1a30_ligand_168     -51.33  
1a30_ligand_170     -49.71  
1a30_ligand_186     -27.12  
1a30_ligand_187     -42.01  
1a30_ligand_188     -43.86  
1a30_ligand_20      18.79   
1a30_ligand_208     -9.34   
1a30_ligand_211     -0.39   
1a30_ligand_212     6.92    
1a30_ligand_213     -11.90  
1a30_ligand_215     -12.23  
1a30_ligand_218     -19.43  
1a30_ligand_220     -5.01   
1a30_ligand_222     -7.42   
1a30_ligand_224     1.65    
1a30_ligand_226     -10.33  
1a30_ligand_229     -17.98  
1a30_ligand_234     -2.77   
1a30_ligand_237     -3.49   
1a30_ligand_244     -11.17  
1a30_ligand_247     -3.88   
1a30_ligand_248     -4.59   
1a30_ligand_249     -4.54   
1a30_ligand_250     -1.58   
1a30_ligand_265     -0.79   
1a30_ligand_273     -21.01  
1a30_ligand_275     -7.23   
1a30_ligand_282     -17.55  
1a30_ligand_285     -1.95   
1a30_ligand_287     -15.13  
1a30_ligand_296     -30.74  
1a30_ligand_299     -68.22  
1a30_ligand_30      20.10   
1a30_ligand_300     -19.15  
1a30_ligand_304     -19.06  
1a30_ligand_305     -8.68   
1a30_ligand_307     -10.67  
1a30_ligand_308     -33.47  
1a30_ligand_310     -25.93  
1a30_ligand_318     -29.18  
1a30_ligand_319     -22.89  
1a30_ligand_335     -4.27   
1a30_ligand_337     -32.54  
1a30_ligand_34      24.44   
1a30_ligand_344     -12.28  
1a30_ligand_351     1.60    
1a30_ligand_360     7.65    
1a30_ligand_369     11.98   
1a30_ligand_38      23.92   
1a30_ligand_383     13.36   
1a30_ligand_389     8.88    
1a30_ligand_393     1.57    
1a30_ligand_403     12.54   
1a30_ligand_42      19.77   
1a30_ligand_423     13.29   
1a30_ligand_427     -3.34   
1a30_ligand_435     4.89    
1a30_ligand_442     6.44    
1a30_ligand_444     11.68   
1a30_ligand_445     10.21   
1a30_ligand_447     3.10    
1a30_ligand_467     17.98   
1a30_ligand_5       18.12   
1a30_ligand_51      9.16    
1a30_ligand_52      13.57   
1a30_ligand_53      12.58   
1a30_ligand_56      6.60    
1a30_ligand_58      22.35   
1a30_ligand_59      16.49   
1a30_ligand_64      19.98   
1a30_ligand_66      21.10   
1a30_ligand_69      -186.92 
1a30_ligand_7       19.15   
1a30_ligand_74      10.75   
1a30_ligand_76      19.31   
1a30_ligand_79      11.03   
1a30_ligand_81      14.18   
1a30_ligand_85      9.52    
1a30_ligand_87      17.16   
1a30_ligand_88      11.29   
1a30_ligand_9       18.90   
1a30_ligand_94      14.97   
1a30_ligand_96      12.89   
1bcu_ligand_1       19.90   
1bcu_ligand_104     18.30   
1bcu_ligand_107     18.48   
1bcu_ligand_118     15.66   
1bcu_ligand_150     18.61   
1bcu_ligand_161     1.85    
1bcu_ligand_181     2.06    
1bcu_ligand_188     -14.06  
1bcu_ligand_195     2.33    
1bcu_ligand_212     13.02   
1bcu_ligand_213     12.24   
1bcu_ligand_214     10.97   
1bcu_ligand_228     7.52    
1bcu_ligand_23      20.52   
1bcu_ligand_231     13.65   
1bcu_ligand_232     16.76   
1bcu_ligand_233     9.29    
1bcu_ligand_235     13.17   
1bcu_ligand_236     14.58   
1bcu_ligand_239     8.12    
1bcu_ligand_24      20.69   
1bcu_ligand_241     12.51   
1bcu_ligand_243     7.70    
1bcu_ligand_247     12.53   
1bcu_ligand_255     16.14   
1bcu_ligand_265     10.71   
1bcu_ligand_284     11.33   
1bcu_ligand_290     12.52   
1bcu_ligand_30      18.85   
1bcu_ligand_301     0.94    
1bcu_ligand_308     -7.79   
1bcu_ligand_316     4.93    
1bcu_ligand_320     7.04    
1bcu_ligand_321     -7.67   
1bcu_ligand_330     0.59    
1bcu_ligand_335     -3.96   
1bcu_ligand_341     15.15   
1bcu_ligand_343     9.81    
1bcu_ligand_345     5.71    
1bcu_ligand_351     11.49   
1bcu_ligand_352     5.92    
1bcu_ligand_357     9.84    
1bcu_ligand_362     10.32   
1bcu_ligand_363     7.42    
1bcu_ligand_369     6.96    
1bcu_ligand_370     12.80   
1bcu_ligand_371     3.52    
1bcu_ligand_373     7.75    
1bcu_ligand_375     7.86    
1bcu_ligand_377     3.77    
1bcu_ligand_378     6.59    
1bcu_ligand_380     3.85    
1bcu_ligand_383     3.61    
1bcu_ligand_385     4.89    
1bcu_ligand_386     1.02    
1bcu_ligand_387     -0.43   
1bcu_ligand_388     4.09    
1bcu_ligand_39      19.05   
1bcu_ligand_390     6.50    
1bcu_ligand_392     3.25    
1bcu_ligand_393     3.27    
1bcu_ligand_395     4.52    
1bcu_ligand_396     5.30    
1bcu_ligand_397     1.71    
1bcu_ligand_399     1.27    
1bcu_ligand_400     9.08    
1bcu_ligand_401     5.26    
1bcu_ligand_403     1.79    
1bcu_ligand_405     9.58    
1bcu_ligand_408     11.21   
1bcu_ligand_410     12.28   
1bcu_ligand_413     3.84    
1bcu_ligand_414     7.59    
1bcu_ligand_415     7.49    
1bcu_ligand_417     10.37   
1bcu_ligand_420     3.09    
1bcu_ligand_421     6.03    
1bcu_ligand_422     0.01    
1bcu_ligand_425     -195.20 
1bcu_ligand_429     10.26   
1bcu_ligand_430     -196.67 
1bcu_ligand_433     7.49    
1bcu_ligand_439     3.85    
1bcu_ligand_442     5.51    
1bcu_ligand_447     3.21    
1bcu_ligand_449     8.62    
1bcu_ligand_456     13.89   
1bcu_ligand_459     2.80    
1bcu_ligand_46      18.84   
1bcu_ligand_460     12.02   
1bcu_ligand_462     -1.43   
1bcu_ligand_48      19.56   
1bcu_ligand_480     6.53    
1bcu_ligand_482     12.34   
1bcu_ligand_483     10.17   
1bcu_ligand_485     4.93    
1bcu_ligand_488     2.24    
1bcu_ligand_494     9.95    
1bcu_ligand_7       18.44   
1bcu_ligand_86      -39.63  
1bzc_ligand_1       24.73   
1bzc_ligand_115     23.32   
1bzc_ligand_117     19.46   
1bzc_ligand_120     24.03   
1bzc_ligand_123     19.61   
1bzc_ligand_15      20.08   
1bzc_ligand_152     -19.94  
1bzc_ligand_16      20.79   
1bzc_ligand_176     -30.87  
1bzc_ligand_18      23.85   
1bzc_ligand_191     -29.96  
1bzc_ligand_192     -27.19  
1bzc_ligand_198     -20.16  
1bzc_ligand_200     -34.28  
1bzc_ligand_202     14.10   
1bzc_ligand_204     6.35    
1bzc_ligand_206     0.95    
1bzc_ligand_208     3.97    
1bzc_ligand_210     5.10    
1bzc_ligand_212     14.10   
1bzc_ligand_217     15.14   
1bzc_ligand_218     4.91    
1bzc_ligand_219     7.05    
1bzc_ligand_221     1.94    
1bzc_ligand_222     -26.50  
1bzc_ligand_225     3.45    
1bzc_ligand_227     8.68    
1bzc_ligand_228     -13.08  
1bzc_ligand_229     -4.14   
1bzc_ligand_233     8.53    
1bzc_ligand_235     6.72    
1bzc_ligand_238     7.63    
1bzc_ligand_245     -3.79   
1bzc_ligand_246     5.16    
1bzc_ligand_247     -1.00   
1bzc_ligand_249     4.07    
1bzc_ligand_25      21.92   
1bzc_ligand_250     1.94    
1bzc_ligand_251     14.31   
1bzc_ligand_257     -7.86   
1bzc_ligand_26      23.40   
1bzc_ligand_262     -9.29   
1bzc_ligand_265     -4.78   
1bzc_ligand_277     9.60    
1bzc_ligand_279     -32.15  
1bzc_ligand_286     -0.40   
1bzc_ligand_292     -18.65  
1bzc_ligand_297     6.09    
1bzc_ligand_299     -1.84   
1bzc_ligand_304     -55.80  
1bzc_ligand_309     -6.54   
1bzc_ligand_31      26.01   
1bzc_ligand_311     -16.78  
1bzc_ligand_312     -2.81   
1bzc_ligand_314     -2.62   
1bzc_ligand_317     -15.04  
1bzc_ligand_319     -10.98  
1bzc_ligand_32      23.32   
1bzc_ligand_329     -16.37  
1bzc_ligand_330     -25.73  
1bzc_ligand_333     5.40    
1bzc_ligand_334     -17.92  
1bzc_ligand_340     1.18    
1bzc_ligand_344     -9.54   
1bzc_ligand_347     -7.71   
1bzc_ligand_352     4.36    
1bzc_ligand_354     -10.34  
1bzc_ligand_360     -196.52 
1bzc_ligand_369     15.94   
1bzc_ligand_37      23.09   
1bzc_ligand_370     10.17   
1bzc_ligand_375     -3604.32
1bzc_ligand_377     9.84    
1bzc_ligand_38      24.13   
1bzc_ligand_385     7.75    
1bzc_ligand_388     3.53    
1bzc_ligand_389     0.05    
1bzc_ligand_398     6.75    
1bzc_ligand_42      25.43   
1bzc_ligand_43      18.94   
1bzc_ligand_443     1.03    
1bzc_ligand_446     3.85    
1bzc_ligand_447     -1.66   
1bzc_ligand_450     -11.21  
1bzc_ligand_49      27.63   
1bzc_ligand_54      21.85   
1bzc_ligand_58      23.72   
1bzc_ligand_60      21.76   
1bzc_ligand_61      17.52   
1bzc_ligand_63      -1981.25
1bzc_ligand_78      16.48   
1bzc_ligand_80      24.64   
1bzc_ligand_85      18.66   
1bzc_ligand_87      18.90   
1bzc_ligand_9       28.72   
1bzc_ligand_90      20.85   
1bzc_ligand_92      11.87   
1bzc_ligand_94      12.43   
1bzc_ligand_96      20.84   
1bzc_ligand_98      19.05   
1c5z_ligand_122     13.69   
1c5z_ligand_136     12.02   
1c5z_ligand_139     9.60    
1c5z_ligand_140     11.30   
1c5z_ligand_143     12.12   
1c5z_ligand_154     6.13    
1c5z_ligand_160     9.82    
1c5z_ligand_162     10.06   
1c5z_ligand_168     -1.92   
1c5z_ligand_171     8.43    
1c5z_ligand_181     6.33    
1c5z_ligand_182     8.18    
1c5z_ligand_185     4.92    
1c5z_ligand_188     0.54    
1c5z_ligand_197     5.92    
1c5z_ligand_20      -12.91  
1c5z_ligand_200     5.98    
1c5z_ligand_206     5.52    
1c5z_ligand_208     6.14    
1c5z_ligand_209     5.71    
1c5z_ligand_21      14.02   
1c5z_ligand_211     9.65    
1c5z_ligand_213     6.58    
1c5z_ligand_215     8.32    
1c5z_ligand_222     9.52    
1c5z_ligand_225     4.91    
1c5z_ligand_227     2.34    
1c5z_ligand_229     10.06   
1c5z_ligand_230     8.11    
1c5z_ligand_231     5.12    
1c5z_ligand_232     7.25    
1c5z_ligand_234     6.17    
1c5z_ligand_239     8.09    
1c5z_ligand_245     2.32    
1c5z_ligand_248     4.90    
1c5z_ligand_250     5.27    
1c5z_ligand_251     9.79    
1c5z_ligand_256     11.03   
1c5z_ligand_264     10.25   
1c5z_ligand_269     6.26    
1c5z_ligand_271     9.18    
1c5z_ligand_273     4.54    
1c5z_ligand_274     9.63    
1c5z_ligand_28      14.28   
1c5z_ligand_280     7.95    
1c5z_ligand_282     9.84    
1c5z_ligand_286     7.19    
1c5z_ligand_288     12.71   
1c5z_ligand_290     8.67    
1c5z_ligand_293     6.39    
1c5z_ligand_294     8.14    
1c5z_ligand_295     2.60    
1c5z_ligand_296     -1.77   
1c5z_ligand_297     11.08   
1c5z_ligand_301     9.97    
1c5z_ligand_303     0.90    
1c5z_ligand_307     9.81    
1c5z_ligand_311     0.60    
1c5z_ligand_314     1.82    
1c5z_ligand_318     2.70    
1c5z_ligand_323     -3.82   
1c5z_ligand_326     7.48    
1c5z_ligand_327     5.28    
1c5z_ligand_329     0.32    
1c5z_ligand_331     10.35   
1c5z_ligand_332     6.11    
1c5z_ligand_334     5.03    
1c5z_ligand_336     -2.85   
1c5z_ligand_339     4.01    
1c5z_ligand_340     -17.18  
1c5z_ligand_341     1.81    
1c5z_ligand_342     -2.36   
1c5z_ligand_343     11.44   
1c5z_ligand_345     -1.49   
1c5z_ligand_346     5.08    
1c5z_ligand_348     5.61    
1c5z_ligand_355     2.50    
1c5z_ligand_361     5.29    
1c5z_ligand_363     8.66    
1c5z_ligand_365     -3.17   
1c5z_ligand_367     -4.00   
1c5z_ligand_369     0.82    
1c5z_ligand_370     7.97    
1c5z_ligand_372     3.27    
1c5z_ligand_374     -2.01   
1c5z_ligand_381     3.38    
1c5z_ligand_383     3.48    
1c5z_ligand_386     3.86    
1c5z_ligand_389     1.82    
1c5z_ligand_392     -1.91   
1c5z_ligand_394     5.65    
1c5z_ligand_396     -1.20   
1c5z_ligand_399     4.38    
1c5z_ligand_421     5.00    
1c5z_ligand_443     1.45    
1c5z_ligand_445     -3.31   
1c5z_ligand_56      5.68    
1c5z_ligand_65      11.65   
1c5z_ligand_71      10.85   
1c5z_ligand_89      7.50    
1e66_ligand_10      22.91   
1e66_ligand_12      22.19   
1e66_ligand_156     -0.86   
1e66_ligand_159     -3.13   
1e66_ligand_165     -2.01   
1e66_ligand_166     -4.12   
1e66_ligand_167     4.11    
1e66_ligand_180     -19.02  
1e66_ligand_182     -11.66  
1e66_ligand_184     -13.62  
1e66_ligand_194     15.52   
1e66_ligand_195     -9.40   
1e66_ligand_197     4.27    
1e66_ligand_198     5.65    
1e66_ligand_200     -13.04  
1e66_ligand_204     16.34   
1e66_ligand_207     6.36    
1e66_ligand_208     3.37    
1e66_ligand_209     11.62   
1e66_ligand_210     5.93    
1e66_ligand_213     6.33    
1e66_ligand_215     15.07   
1e66_ligand_217     13.90   
1e66_ligand_219     10.20   
1e66_ligand_220     15.41   
1e66_ligand_222     10.94   
1e66_ligand_223     5.70    
1e66_ligand_226     12.21   
1e66_ligand_227     13.00   
1e66_ligand_229     5.01    
1e66_ligand_230     15.45   
1e66_ligand_234     13.17   
1e66_ligand_236     13.58   
1e66_ligand_239     12.69   
1e66_ligand_240     14.28   
1e66_ligand_241     16.79   
1e66_ligand_242     7.01    
1e66_ligand_245     11.62   
1e66_ligand_247     13.51   
1e66_ligand_249     17.79   
1e66_ligand_261     10.65   
1e66_ligand_262     14.29   
1e66_ligand_266     8.89    
1e66_ligand_272     14.72   
1e66_ligand_276     11.78   
1e66_ligand_280     3.52    
1e66_ligand_281     9.62    
1e66_ligand_284     2.08    
1e66_ligand_286     5.99    
1e66_ligand_299     12.55   
1e66_ligand_308     2.17    
1e66_ligand_310     -6.09   
1e66_ligand_312     -16.11  
1e66_ligand_315     3.12    
1e66_ligand_319     5.68    
1e66_ligand_320     6.07    
1e66_ligand_324     -5.12   
1e66_ligand_328     -2.83   
1e66_ligand_329     -4.20   
1e66_ligand_330     13.58   
1e66_ligand_331     8.26    
1e66_ligand_332     3.30    
1e66_ligand_333     -4.97   
1e66_ligand_336     -7.81   
1e66_ligand_337     3.06    
1e66_ligand_339     2.94    
1e66_ligand_342     -10.15  
1e66_ligand_343     1.07    
1e66_ligand_346     4.20    
1e66_ligand_348     -14.54  
1e66_ligand_352     10.98   
1e66_ligand_353     4.77    
1e66_ligand_354     -3.53   
1e66_ligand_360     -194.61 
