#code_ligand_num    score   
1a30_ligand_101     -3.3395841
1a30_ligand_103     -4.0959873
1a30_ligand_114     -2.3610322
1a30_ligand_115     -2.2869973
1a30_ligand_120     -3.2498109
1a30_ligand_122     -1.9820082
1a30_ligand_135     -3.9975991
1a30_ligand_143     -3.5487649
1a30_ligand_148     -2.9494703
1a30_ligand_158     15.421659
1a30_ligand_159     20.145351
1a30_ligand_16      -2.7762847
1a30_ligand_163     10.936544
1a30_ligand_167     20.625784
1a30_ligand_171     15.466322
1a30_ligand_175     12.731019
1a30_ligand_176     5.6647024
1a30_ligand_177     12.307574
1a30_ligand_178     14.236941
1a30_ligand_179     10.414085
1a30_ligand_18      -4.5428977
1a30_ligand_186     7.2978344
1a30_ligand_189     14.684442
1a30_ligand_190     11.198788
1a30_ligand_191     19.929625
1a30_ligand_194     24.465754
1a30_ligand_195     16.043613
1a30_ligand_196     14.159233
1a30_ligand_199     15.802099
1a30_ligand_203     -0.046464007
1a30_ligand_204     0.090379938
1a30_ligand_206     0.30304727
1a30_ligand_207     0.41365215
1a30_ligand_209     0.54265004
1a30_ligand_211     0.62614822
1a30_ligand_213     0.71645278
1a30_ligand_215     2.0313952
1a30_ligand_216     2.0915525
1a30_ligand_217     2.1824377
1a30_ligand_221     2.4290876
1a30_ligand_222     2.5307932
1a30_ligand_223     2.8976915
1a30_ligand_225     2.9457328
1a30_ligand_226     2.9907773
1a30_ligand_229     3.3309679
1a30_ligand_232     3.7727258
1a30_ligand_234     4.0900831
1a30_ligand_237     4.2157679
1a30_ligand_239     4.311223
1a30_ligand_241     4.420927
1a30_ligand_242     4.4878039
1a30_ligand_247     5.0514092
1a30_ligand_249     5.1603394
1a30_ligand_265     7.0007043
1a30_ligand_269     5.9870763
1a30_ligand_27      -2.7827563
1a30_ligand_273     6.4221807
1a30_ligand_282     7.6405859
1a30_ligand_284     8.8354311
1a30_ligand_285     6.3980799
1a30_ligand_287     11.149114
1a30_ligand_293     12.536909
1a30_ligand_294     7.6330495
1a30_ligand_296     9.9839106
1a30_ligand_297     6.4662862
1a30_ligand_30      -4.6638412
1a30_ligand_309     12.49755
1a30_ligand_317     11.436001
1a30_ligand_329     12.729142
1a30_ligand_334     17.345678
1a30_ligand_341     9.4009056
1a30_ligand_343     10.761327
1a30_ligand_344     9.8724031
1a30_ligand_349     15.707556
1a30_ligand_356     -2.6432149
1a30_ligand_36      -3.2197697
1a30_ligand_4       -2.0536859
1a30_ligand_400     -0.67914152
1a30_ligand_43      -2.9861922
1a30_ligand_44      -4.4918919
1a30_ligand_454     -3.0726242
1a30_ligand_5       -3.9418685
1a30_ligand_51      -1.6346529
1a30_ligand_52      -2.6209595
1a30_ligand_53      -3.405648
1a30_ligand_57      -3.1433065
1a30_ligand_65      -4.027113
1a30_ligand_68      -0.30215827
1a30_ligand_71      -2.3826432
1a30_ligand_76      -2.7845268
1a30_ligand_77      -2.1706336
1a30_ligand_80      -2.3639383
1a30_ligand_83      -3.4256949
1a30_ligand_85      -2.7511835
1a30_ligand_86      -4.1800666
1a30_ligand_87      -2.7603226
1a30_ligand_9       -2.5849757
1a30_ligand_91      -2.0777299
1a30_ligand_93      -2.9954629
1a30_ligand_96      -0.73669297
1bcu_ligand_155     -3.1411109
1bcu_ligand_164     0.19437256
1bcu_ligand_167     -2.630985
1bcu_ligand_171     -2.0011704
1bcu_ligand_178     -2.943145
1bcu_ligand_184     0.15743598
1bcu_ligand_185     -1.6241879
1bcu_ligand_189     -0.32155776
1bcu_ligand_195     -1.4206421
1bcu_ligand_203     -5.4720678
1bcu_ligand_215     -4.6366115
1bcu_ligand_218     -4.5712647
1bcu_ligand_223     -4.3821578
1bcu_ligand_224     -4.3794928
1bcu_ligand_227     -4.3253822
1bcu_ligand_229     -4.2935448
1bcu_ligand_231     -4.2620745
