#code_ligand_num    score   
1a30_ligand_1       -1.6245224
1a30_ligand_101     -2.6666155
1a30_ligand_104     -2.0297215
1a30_ligand_108     -2.6062846
1a30_ligand_109     -2.1291625
1a30_ligand_114     -2.1825705
1a30_ligand_121     -2.0051177
1a30_ligand_126     -2.415489
1a30_ligand_132     -2.2847929
1a30_ligand_135     -2.6565049
1a30_ligand_139     -1.820617
1a30_ligand_145     -2.5769143
1a30_ligand_16      -1.553298
1a30_ligand_160     2.4413795
1a30_ligand_163     16.622782
1a30_ligand_165     3.5087554
1a30_ligand_167     10.97569
1a30_ligand_17      -2.0524449
1a30_ligand_18      -0.83569038
1a30_ligand_184     4.9979739
1a30_ligand_194     10.027312
1a30_ligand_198     11.269637
1a30_ligand_201     -4.7563777
1a30_ligand_202     -3.3820903
1a30_ligand_203     -2.9558895
1a30_ligand_204     -2.9533675
1a30_ligand_207     -2.8148952
1a30_ligand_217     -1.8557786
1a30_ligand_219     -1.7905957
1a30_ligand_22      -1.4386598
1a30_ligand_220     -1.7658876
1a30_ligand_221     -1.758497
1a30_ligand_227     -1.4891678
1a30_ligand_230     -1.4420218
1a30_ligand_236     -1.2853793
1a30_ligand_240     -1.2571684
1a30_ligand_242     -1.1999512
1a30_ligand_249     -1.0314552
1a30_ligand_250     -1.0183551
1a30_ligand_255     -0.95071018
1a30_ligand_26      -1.6370229
1a30_ligand_264     2.6235096
1a30_ligand_265     1.0860275
1a30_ligand_266     2.2327666
1a30_ligand_269     4.4404392
1a30_ligand_27      -2.793937
1a30_ligand_278     2.1752837
1a30_ligand_280     2.7681668
1a30_ligand_285     4.3782244
1a30_ligand_291     0.70065844
1a30_ligand_294     2.1515965
1a30_ligand_295     -0.13686818
1a30_ligand_296     3.2025819
1a30_ligand_297     -0.59339118
1a30_ligand_3       -2.2158794
1a30_ligand_302     14.36648
1a30_ligand_304     7.0498881
1a30_ligand_310     -0.60572201
1a30_ligand_314     0.2697233
1a30_ligand_315     0.9177615
1a30_ligand_319     3.5354309
1a30_ligand_320     -0.69018286
1a30_ligand_321     4.8454914
1a30_ligand_322     2.9881499
1a30_ligand_324     11.087818
1a30_ligand_327     4.4023638
1a30_ligand_330     2.7174215
1a30_ligand_334     6.7375417
1a30_ligand_335     8.577796
1a30_ligand_338     1.3452455
1a30_ligand_339     -0.24899431
1a30_ligand_347     4.6393185
1a30_ligand_349     2.4888389
1a30_ligand_35      -2.0342801
1a30_ligand_372     -1.963748
1a30_ligand_380     -2.6109338
1a30_ligand_393     -1.8243033
1a30_ligand_395     -1.3175057
1a30_ligand_40      -2.169302
1a30_ligand_41      -1.441226
1a30_ligand_413     -3.6845186
1a30_ligand_416     -2.2030337
1a30_ligand_439     -1.9030626
1a30_ligand_443     -2.1972442
1a30_ligand_451     -1.1334631
1a30_ligand_454     -1.4526405
1a30_ligand_474     -1.7672774
1a30_ligand_49      -1.7524859
1a30_ligand_490     -1.2610798
1a30_ligand_56      -1.9956279
1a30_ligand_58      -1.546536
1a30_ligand_6       -3.0081589
1a30_ligand_67      -0.8004474
1a30_ligand_71      -3.8574846
1a30_ligand_72      -2.4139764
1a30_ligand_86      -0.85874718
1a30_ligand_94      -1.0148345
1a30_ligand_96      -1.7623782
1a30_ligand_98      -1.876472
1a30_ligand_99      -2.6871526
1bcu_ligand_153     -1.7158839
1bcu_ligand_172     0.039085444
1bcu_ligand_179     -1.7773769
1bcu_ligand_180     1.1018794
1bcu_ligand_197     -2.2634335
1bcu_ligand_205     -4.1151681
1bcu_ligand_218     -3.7412953
1bcu_ligand_220     -3.6771743
1bcu_ligand_221     -3.6694996
1bcu_ligand_223     -3.6384616
1bcu_ligand_227     -3.6094565
1bcu_ligand_244     -3.4208992
1bcu_ligand_247     -3.372174
1bcu_ligand_248     -3.3610017
1bcu_ligand_253     -3.1777301
1bcu_ligand_255     -3.3034601
1bcu_ligand_259     -2.3534439
1bcu_ligand_269     -0.89530981
1bcu_ligand_272     -2.4974425
1bcu_ligand_276     -2.2460396
1bcu_ligand_277     -3.2953398
1bcu_ligand_280     -2.5466383
1bcu_ligand_282     -3.0505242
1bcu_ligand_284     0.22443916
1bcu_ligand_285     -0.50051361
1bcu_ligand_287     2.7103519
1bcu_ligand_29      -3.6868269
1bcu_ligand_290     -2.0313783
1bcu_ligand_295     -0.97435999
1bcu_ligand_300     0.27582428
1bcu_ligand_304     -2.9190643
1bcu_ligand_317     -1.0466324
1bcu_ligand_320     1.4904668
1bcu_ligand_321     -2.2141106
1bcu_ligand_328     -1.7611207
1bcu_ligand_330     -1.1115428
1bcu_ligand_331     -1.8651146
1bcu_ligand_337     0.16050921
1bcu_ligand_338     0.55396289
1bcu_ligand_341     -2.2603598
1bcu_ligand_342     -1.037125
1bcu_ligand_343     -2.9407759
1bcu_ligand_345     -2.4531131
1bcu_ligand_349     -1.7826188
1bcu_ligand_351     -3.7145607
1bcu_ligand_356     -1.6147777
1bcu_ligand_359     -0.99184197
1bcu_ligand_364     -2.9119663
1bcu_ligand_366     -1.0650192
1bcu_ligand_367     -0.81190079
1bcu_ligand_369     -1.1383907
1bcu_ligand_370     -3.4454587
1bcu_ligand_372     -1.3218929
1bcu_ligand_373     -0.64802128
1bcu_ligand_374     -0.70441973
1bcu_ligand_375     -0.71085912
1bcu_ligand_376     -1.0485564
1bcu_ligand_377     -0.76904696
1bcu_ligand_378     -0.65100211
1bcu_ligand_379     -0.52207309
1bcu_ligand_382     -0.74599177
1bcu_ligand_383     -0.64440197
1bcu_ligand_384     -0.89884853
1bcu_ligand_386     -0.6739133
1bcu_ligand_388     -1.3099729
1bcu_ligand_390     -1.1077811
1bcu_ligand_391     -1.0618002
1bcu_ligand_392     -0.64284968
1bcu_ligand_395     -0.80351597
1bcu_ligand_398     -0.78022921
1bcu_ligand_399     -0.57247412
1bcu_ligand_400     -0.8792482
1bcu_ligand_406     -0.75733703
1bcu_ligand_408     -1.1856595
1bcu_ligand_412     -3.2172925
1bcu_ligand_417     -2.8475351
1bcu_ligand_421     -2.4611723
1bcu_ligand_425     -0.70022273
1bcu_ligand_426     -0.50199193
1bcu_ligand_429     -1.1646085
1bcu_ligand_430     -1.1081125
1bcu_ligand_432     -0.99074084
1bcu_ligand_437     -1.2422918
1bcu_ligand_438     -1.9230769
1bcu_ligand_44      -4.03545
1bcu_ligand_444     -3.1291168
1bcu_ligand_445     -0.72877789
1bcu_ligand_446     -0.87907684
1bcu_ligand_451     -1.1611148
1bcu_ligand_452     -0.66670322
1bcu_ligand_454     -0.81340784
1bcu_ligand_463     -0.50459975
1bcu_ligand_484     -1.1999336
1bcu_ligand_486     -3.2560732
1bcu_ligand_492     -3.3746262
1bcu_ligand_496     -3.2536922
1bcu_ligand_499     -0.85582626
1bcu_ligand_64      -3.135124
1bcu_ligand_78      -2.6873195
1bcu_ligand_79      -3.7587318
1bzc_ligand_103     -2.9600742
1bzc_ligand_109     -4.1017561
1bzc_ligand_110     -4.4998546
1bzc_ligand_129     -3.1255469
1bzc_ligand_143     -3.8948953
1bzc_ligand_146     -4.5146389
1bzc_ligand_153     9.817524
1bzc_ligand_158     5.6153288
1bzc_ligand_16      -3.8477707
1bzc_ligand_160     10.517512
1bzc_ligand_163     6.686409
1bzc_ligand_166     14.75038
1bzc_ligand_167     14.023955
1bzc_ligand_17      -4.0671835
1bzc_ligand_170     2.1129177
1bzc_ligand_174     6.5885839
1bzc_ligand_182     9.1631813
1bzc_ligand_184     8.566741
1bzc_ligand_188     7.4240818
1bzc_ligand_193     4.8108797
1bzc_ligand_194     -3.495157
1bzc_ligand_197     -1.5377197
1bzc_ligand_198     1.1517588
1bzc_ligand_199     8.9862204
1bzc_ligand_2       -4.1708293
1bzc_ligand_20      -4.1517901
1bzc_ligand_204     -3.9046965
1bzc_ligand_206     -3.6200192
1bzc_ligand_207     -3.5897315
1bzc_ligand_208     -3.503046
1bzc_ligand_211     -3.4483757
1bzc_ligand_214     -3.264714
1bzc_ligand_217     -3.129946
1bzc_ligand_218     -3.1029177
1bzc_ligand_22      -1.7622705
1bzc_ligand_221     -3.0207937
1bzc_ligand_224     -2.8094101
1bzc_ligand_227     -2.7222712
1bzc_ligand_228     -2.6539812
1bzc_ligand_231     -2.4251466
1bzc_ligand_233     -2.4232328
1bzc_ligand_234     -2.3468308
1bzc_ligand_237     -2.2829692
1bzc_ligand_238     -2.2625718
1bzc_ligand_243     -2.1336527
1bzc_ligand_246     -2.0555704
1bzc_ligand_248     -2.0219715
1bzc_ligand_249     -1.9824852
1bzc_ligand_250     -1.9792243
1bzc_ligand_256     3.0605164
1bzc_ligand_26      -4.8104239
1bzc_ligand_262     2.1796529
1bzc_ligand_269     0.046821818
1bzc_ligand_270     1.7883527
1bzc_ligand_272     3.0653498
1bzc_ligand_275     0.084562808
1bzc_ligand_277     4.1749024
1bzc_ligand_283     2.3384514
1bzc_ligand_285     0.48059508
1bzc_ligand_288     0.69138002
1bzc_ligand_290     0.93690246
1bzc_ligand_297     3.4692185
1bzc_ligand_299     3.9269521
1bzc_ligand_3       -3.6486785
1bzc_ligand_305     5.9491563
1bzc_ligand_309     3.269973
1bzc_ligand_315     2.470953
1bzc_ligand_317     -1.4252993
1bzc_ligand_318     3.2453527
1bzc_ligand_320     1.2812308
1bzc_ligand_321     0.36884665
1bzc_ligand_323     0.51287591
1bzc_ligand_325     4.3040471
1bzc_ligand_326     8.9268332
