#code_ligand_num    score   
1a30_ligand_100     -1.203187
1a30_ligand_104     -0.62712055
1a30_ligand_107     -3.1856034
1a30_ligand_110     -1.1593267
1a30_ligand_111     -1.9173949
1a30_ligand_113     -0.90447289
1a30_ligand_127     -3.0745916
1a30_ligand_13      -2.6808755
1a30_ligand_134     -2.9849427
1a30_ligand_136     -2.843399
1a30_ligand_138     -1.3833871
1a30_ligand_140     -0.81592494
1a30_ligand_144     -2.0392041
1a30_ligand_145     -1.8780755
1a30_ligand_149     -1.1318307
1a30_ligand_15      -1.8019437
1a30_ligand_151     14.110174
1a30_ligand_153     17.856474
1a30_ligand_154     24.057215
1a30_ligand_160     14.638631
1a30_ligand_161     12.871696
1a30_ligand_163     19.385368
1a30_ligand_168     8.8552704
1a30_ligand_173     24.440601
1a30_ligand_188     11.671925
1a30_ligand_19      -0.85820442
1a30_ligand_195     15.640161
1a30_ligand_197     11.282273
1a30_ligand_2       -4.0389333
1a30_ligand_20      -1.502944
1a30_ligand_21      -2.9406044
1a30_ligand_218     -0.54297256
1a30_ligand_22      -1.4381353
1a30_ligand_223     -0.96148187
1a30_ligand_226     -0.93204337
1a30_ligand_229     -0.86239445
1a30_ligand_23      -3.2432408
1a30_ligand_231     -1.0131088
1a30_ligand_235     -0.67346555
1a30_ligand_237     -0.59136564
1a30_ligand_239     -0.49364856
1a30_ligand_24      -3.3046045
1a30_ligand_246     -0.43965751
1a30_ligand_247     -0.31439099
1a30_ligand_25      -2.3606148
1a30_ligand_26      -1.3953182
1a30_ligand_271     5.36415 
1a30_ligand_274     6.8454781
1a30_ligand_275     0.43562073
1a30_ligand_287     2.0399282
1a30_ligand_288     6.1812563
1a30_ligand_293     2.6435494
1a30_ligand_297     2.6616883
1a30_ligand_31      -3.3877032
1a30_ligand_310     4.8330774
1a30_ligand_316     5.5704961
1a30_ligand_323     4.6168814
1a30_ligand_327     0.21471584
1a30_ligand_335     6.3875747
1a30_ligand_34      -2.0809352
1a30_ligand_37      -1.0764052
1a30_ligand_375     -2.9342227
1a30_ligand_38      -2.715719
1a30_ligand_388     -1.7440975
1a30_ligand_394     -1.3859534
1a30_ligand_395     -2.1490316
1a30_ligand_4       -2.3928118
1a30_ligand_41      -2.1173451
1a30_ligand_411     -1.8534975
1a30_ligand_418     -1.2911823
