#code_ligand_num    score   
1a30_ligand_10      -2.4088888
1a30_ligand_100     -2.1497924
1a30_ligand_103     -3.3447537
1a30_ligand_107     -2.6014576
1a30_ligand_110     -2.4679375
1a30_ligand_111     -2.9110777
1a30_ligand_118     -4.0755286
1a30_ligand_12      -2.3995888
1a30_ligand_128     -1.5813674
1a30_ligand_130     -1.8752999
1a30_ligand_136     -2.854248
1a30_ligand_140     -2.9233654
1a30_ligand_142     -1.9243045
1a30_ligand_143     -2.8639662
1a30_ligand_146     -2.0767648
1a30_ligand_148     -3.0275142
1a30_ligand_149     -2.6868777
1a30_ligand_16      -2.3211224
1a30_ligand_17      -1.1337161
1a30_ligand_187     -0.51218861
1a30_ligand_191     6.3673  
1a30_ligand_194     4.1515355
1a30_ligand_214     -1.7863915
1a30_ligand_215     -2.1998632
1a30_ligand_219     -2.6853657
1a30_ligand_229     -2.8683646
1a30_ligand_23      -3.0771294
1a30_ligand_232     -1.5900569
1a30_ligand_238     -2.1988733
1a30_ligand_24      -1.5626328
1a30_ligand_240     -2.1477239
1a30_ligand_244     -3.103215
1a30_ligand_251     -0.38513851
1a30_ligand_256     -2.3074217
1a30_ligand_265     2.4437237
1a30_ligand_269     0.47910199
1a30_ligand_275     5.5509501
1a30_ligand_277     0.33483061
1a30_ligand_285     -0.70308971
1a30_ligand_287     5.534121
1a30_ligand_289     1.2155246
1a30_ligand_290     -1.13398
1a30_ligand_291     -1.0756941
1a30_ligand_299     3.6108391
1a30_ligand_3       -2.7899001
1a30_ligand_30      -2.6916959
1a30_ligand_301     -1.6583475
1a30_ligand_302     5.1881075
1a30_ligand_305     -0.81478381
1a30_ligand_310     3.2335637
1a30_ligand_311     4.465394
1a30_ligand_319     4.3430681
1a30_ligand_321     0.54221147
1a30_ligand_322     1.4720697
1a30_ligand_324     4.5153527
1a30_ligand_325     -0.19755459
1a30_ligand_33      -2.283282
1a30_ligand_335     3.508141
1a30_ligand_337     0.10008792
1a30_ligand_340     2.8434675
1a30_ligand_341     -1.1318976
1a30_ligand_342     2.6339693
1a30_ligand_344     2.1263773
1a30_ligand_345     2.8694301
1a30_ligand_349     0.67744607
1a30_ligand_354     -4.8039379
1a30_ligand_361     -2.5933218
1a30_ligand_372     -2.2748418
1a30_ligand_38      -2.598609
1a30_ligand_382     -3.0063565
1a30_ligand_385     -1.7207714
1a30_ligand_39      -3.2748709
1a30_ligand_394     -2.2972872
1a30_ligand_401     -4.1716876
1a30_ligand_41      -2.5870507
1a30_ligand_412     -2.9563313
1a30_ligand_414     -2.886308
1a30_ligand_424     -3.3360789
1a30_ligand_429     -3.1155903
1a30_ligand_45      -1.785347
1a30_ligand_46      -2.3578506
1a30_ligand_48      -3.6493728
1a30_ligand_5       -1.8145665
1a30_ligand_50      -1.964884
1a30_ligand_51      -3.4100819
1a30_ligand_55      -3.6366072
1a30_ligand_58      -3.0254583
1a30_ligand_63      -3.5967131
1a30_ligand_70      -1.8265388
1a30_ligand_74      -3.1263354
1a30_ligand_76      -1.8344587
1a30_ligand_79      -3.1236079
1a30_ligand_8       -3.2821662
1a30_ligand_82      -2.4531221
1a30_ligand_83      -2.7318053
1a30_ligand_85      -2.468498
1a30_ligand_88      -2.7403018
1a30_ligand_92      -2.8971541
1a30_ligand_96      -3.159677
1a30_ligand_98      -3.0772967
1bcu_ligand_104     -2.1533074
1bcu_ligand_119     -3.4429708
1bcu_ligand_155     -2.1672521
1bcu_ligand_160     -0.59073263
1bcu_ligand_169     -2.2819524
1bcu_ligand_181     -0.61960059
1bcu_ligand_184     -1.7985857
1bcu_ligand_186     -2.2649932
1bcu_ligand_189     4.8596931
1bcu_ligand_196     -0.13821492
1bcu_ligand_197     -1.5404644
1bcu_ligand_204     -3.5680072
1bcu_ligand_209     -3.3692069
1bcu_ligand_224     -3.1169291
1bcu_ligand_232     -2.9912097
1bcu_ligand_242     -2.8646088
1bcu_ligand_243     -2.8587253
1bcu_ligand_247     -2.7366734
1bcu_ligand_258     -1.1561115
1bcu_ligand_264     -0.9292022
1bcu_ligand_276     -1.487161
1bcu_ligand_285     -2.306977
1bcu_ligand_294     -3.2437935
1bcu_ligand_296     -0.47780904
1bcu_ligand_299     -2.2768791
1bcu_ligand_300     -1.129361
1bcu_ligand_302     1.3869866
1bcu_ligand_308     -2.5913286
1bcu_ligand_319     3.1992948
1bcu_ligand_322     -0.026645774
1bcu_ligand_332     -0.65715718
1bcu_ligand_341     -1.5248781
1bcu_ligand_343     -0.92993426
1bcu_ligand_349     -1.7198637
1bcu_ligand_352     -2.9558334
1bcu_ligand_354     -3.4347334
1bcu_ligand_356     -3.0976574
1bcu_ligand_357     -1.1730068
1bcu_ligand_359     -0.40227485
1bcu_ligand_360     -2.1587615
1bcu_ligand_361     -0.058003403
1bcu_ligand_362     -3.4860926
1bcu_ligand_364     -1.2348645
1bcu_ligand_365     -2.2246215
1bcu_ligand_367     -0.76055068
1bcu_ligand_368     -0.04960468
1bcu_ligand_369     -1.5184982
1bcu_ligand_370     -1.3780216
1bcu_ligand_371     -1.7543386
1bcu_ligand_372     -0.020926356
1bcu_ligand_376     -1.2993137
1bcu_ligand_377     -0.2541357
1bcu_ligand_378     -0.9895637
1bcu_ligand_379     -1.1438446
1bcu_ligand_383     -1.3207884
1bcu_ligand_386     -2.5872734
1bcu_ligand_388     -1.4827029
1bcu_ligand_389     -1.6976414
1bcu_ligand_391     -0.1809327
1bcu_ligand_393     -1.9553404
1bcu_ligand_394     -0.59511495
1bcu_ligand_395     -0.5628528
1bcu_ligand_396     -0.021331377
1bcu_ligand_397     -0.86057186
1bcu_ligand_398     0.18039475
1bcu_ligand_400     -0.8266145
1bcu_ligand_402     -2.2280929
1bcu_ligand_404     -3.7799647
1bcu_ligand_410     -1.1875191
1bcu_ligand_414     -2.615489
1bcu_ligand_416     -2.1413305
1bcu_ligand_418     -1.138214
1bcu_ligand_419     -1.8725884
1bcu_ligand_421     -0.61037278
1bcu_ligand_427     -1.0449337
1bcu_ligand_430     -1.0579345
1bcu_ligand_431     -1.9495687
1bcu_ligand_437     -0.046976048
1bcu_ligand_440     -0.73312783
1bcu_ligand_443     -1.5488138
1bcu_ligand_445     -2.1654327
1bcu_ligand_446     -0.17422566
1bcu_ligand_450     -1.0469013
1bcu_ligand_452     -0.43659535
1bcu_ligand_468     -3.021678
1bcu_ligand_469     0.19987187
1bcu_ligand_47      -3.0891681
1bcu_ligand_471     -3.7538903
1bcu_ligand_473     -2.8773439
1bcu_ligand_474     -1.2990415
1bcu_ligand_478     -2.6958447
1bcu_ligand_479     -2.3717685
1bcu_ligand_483     -2.9169688
1bcu_ligand_491     -1.2652334
1bcu_ligand_492     -0.73617893
1bcu_ligand_496     -0.84063423
1bcu_ligand_71      -2.8238869
1bcu_ligand_86      -2.2011845
1bcu_ligand_94      -1.9151835
1bcu_ligand_98      -3.5835135
1bzc_ligand_100     -2.5664446
1bzc_ligand_101     -2.3528261
1bzc_ligand_102     -2.1102769
1bzc_ligand_103     -2.6072712
1bzc_ligand_105     -1.998764
1bzc_ligand_108     -2.2315323
1bzc_ligand_110     -4.2808061
1bzc_ligand_111     -6.9713655
1bzc_ligand_113     -3.3654797
1bzc_ligand_120     -1.5633277
1bzc_ligand_123     -2.6894467
1bzc_ligand_127     -1.9450858
1bzc_ligand_128     -3.4348531
1bzc_ligand_13      -5.5177608
1bzc_ligand_134     -1.3701303
1bzc_ligand_135     -3.9602625
1bzc_ligand_150     -2.8945241
1bzc_ligand_152     2.3488429
1bzc_ligand_156     7.8153625
1bzc_ligand_166     3.0229144
1bzc_ligand_167     -1.5132031
1bzc_ligand_168     17.602894
1bzc_ligand_174     4.1386704
1bzc_ligand_183     9.0015984
1bzc_ligand_186     2.4200385
1bzc_ligand_188     2.9615386
1bzc_ligand_190     -1.9868339
1bzc_ligand_194     5.3836503
1bzc_ligand_196     5.1354547
1bzc_ligand_200     0.94003624
1bzc_ligand_202     -5.5354772
1bzc_ligand_203     -3.8136675
1bzc_ligand_206     -3.1633999
1bzc_ligand_211     -2.9951949
1bzc_ligand_213     -3.5941374
1bzc_ligand_217     -3.3624928
1bzc_ligand_218     -2.7966759
1bzc_ligand_220     -2.4877436
1bzc_ligand_221     -3.5043857
1bzc_ligand_222     -2.1852524
1bzc_ligand_224     -3.1607335
1bzc_ligand_232     -3.1034887
1bzc_ligand_234     -2.4784105
1bzc_ligand_236     -2.9715014
1bzc_ligand_237     -2.3684309
1bzc_ligand_238     -2.5955925
1bzc_ligand_24      -3.5709701
1bzc_ligand_240     -2.3067935
1bzc_ligand_241     -2.375164
1bzc_ligand_246     -2.4184525
1bzc_ligand_251     -1.5952872
1bzc_ligand_253     -1.9321444
1bzc_ligand_255     5.7589245
1bzc_ligand_256     1.7689818
1bzc_ligand_257     0.096652202
1bzc_ligand_258     -0.80115235
1bzc_ligand_260     1.4514835
1bzc_ligand_263     0.41803849
1bzc_ligand_265     0.31223065
1bzc_ligand_270     2.0063977
1bzc_ligand_292     0.75353134
1bzc_ligand_300     -0.60000294
1bzc_ligand_301     1.3321393
1bzc_ligand_304     4.5548892
1bzc_ligand_306     4.879437
1bzc_ligand_308     2.5857978
1bzc_ligand_309     6.6313915
1bzc_ligand_31      -3.0455275
1bzc_ligand_311     0.3778902
1bzc_ligand_312     0.064000599
1bzc_ligand_313     3.9988413
1bzc_ligand_316     0.36411533
1bzc_ligand_323     3.2823575
1bzc_ligand_327     1.3677663
1bzc_ligand_328     3.6852136
1bzc_ligand_334     -0.64825636
1bzc_ligand_34      -2.6869543
1bzc_ligand_340     4.2627511
1bzc_ligand_342     11.382545
1bzc_ligand_346     1.0922382
1bzc_ligand_35      -1.912048
1bzc_ligand_353     -3.0999985
1bzc_ligand_359     -3.2881391
1bzc_ligand_372     -1.8294241
1bzc_ligand_386     -1.8080287
1bzc_ligand_390     -1.9309555
1bzc_ligand_393     -2.7265067
1bzc_ligand_394     -1.073314
1bzc_ligand_395     -3.7422516
1bzc_ligand_406     -2.5575664
1bzc_ligand_433     -3.891165
1bzc_ligand_47      -5.61761
1bzc_ligand_54      -0.59668928
1bzc_ligand_58      -1.1130013
1bzc_ligand_60      -1.6456228
1bzc_ligand_75      -2.4562819
1bzc_ligand_78      -2.7635992
1bzc_ligand_81      -3.5154181
1bzc_ligand_85      -1.6003035
1bzc_ligand_88      -2.5578659
1c5z_ligand_110     -2.1173849
1c5z_ligand_116     -1.0990479
1c5z_ligand_118     -1.3747026
1c5z_ligand_124     -1.2313004
1c5z_ligand_126     -1.2976558
1c5z_ligand_131     -1.9504777
1c5z_ligand_132     -1.5697728
1c5z_ligand_136     -1.2078986
1c5z_ligand_146     -2.0716774
1c5z_ligand_149     -1.7370309
1c5z_ligand_155     -0.91304612
1c5z_ligand_160     -1.3903544
1c5z_ligand_161     -0.81495136
1c5z_ligand_167     -1.1584668
1c5z_ligand_168     -0.42208055
1c5z_ligand_170     -0.90007436
1c5z_ligand_173     -0.97555888
1c5z_ligand_184     -0.45769012
1c5z_ligand_187     -1.3879194
1c5z_ligand_189     -0.43122959
1c5z_ligand_196     -1.3534645
1c5z_ligand_198     -0.83461583
1c5z_ligand_201     -3.5944719
1c5z_ligand_202     -3.1639311
1c5z_ligand_203     -2.9927413
1c5z_ligand_207     -2.2003067
1c5z_ligand_208     -2.2919402
1c5z_ligand_215     -1.8990854
1c5z_ligand_216     -2.0240853
1c5z_ligand_221     -1.8200666
1c5z_ligand_229     -2.1528029
1c5z_ligand_231     -1.7162715
1c5z_ligand_234     -1.6916595
1c5z_ligand_236     -1.6541817
1c5z_ligand_238     -1.6941555
1c5z_ligand_239     -1.9041367
1c5z_ligand_240     -1.6274002
1c5z_ligand_241     -1.6269516
1c5z_ligand_242     -1.7478402
1c5z_ligand_243     -1.9034878
1c5z_ligand_245     -1.9833851
1c5z_ligand_246     -1.7595751
1c5z_ligand_249     -1.7610067
1c5z_ligand_254     -0.59151632
1c5z_ligand_255     -0.86899358
1c5z_ligand_256     -1.5813946
1c5z_ligand_258     -1.4569472
1c5z_ligand_260     -2.0960195
1c5z_ligand_270     -1.0904114
1c5z_ligand_274     -1.3948076
1c5z_ligand_275     0.93898225
1c5z_ligand_277     -1.0411557
1c5z_ligand_279     -0.85985667
1c5z_ligand_28      -1.6520623
1c5z_ligand_282     -1.8269875
1c5z_ligand_283     -1.2451886
1c5z_ligand_284     -1.6176347
1c5z_ligand_29      -1.3481513
1c5z_ligand_290     -1.1769956
1c5z_ligand_292     -1.4655894
1c5z_ligand_293     -0.49001583
1c5z_ligand_294     1.8756063
1c5z_ligand_296     -1.5776691
1c5z_ligand_299     -0.95641971
1c5z_ligand_303     -1.1944437
1c5z_ligand_306     0.16229615
1c5z_ligand_308     -1.4865838
1c5z_ligand_313     -0.97912347
1c5z_ligand_320     -1.072477
1c5z_ligand_321     -1.1275723
1c5z_ligand_327     -0.16778149
1c5z_ligand_330     -1.0572735
1c5z_ligand_337     -1.0379133
1c5z_ligand_338     -0.88205373
1c5z_ligand_339     -1.5870113
1c5z_ligand_341     -0.18461753
1c5z_ligand_342     3.274436
1c5z_ligand_349     -1.2102207
1c5z_ligand_350     -1.8624253
1c5z_ligand_373     -1.1679372
1c5z_ligand_375     -1.2030309
1c5z_ligand_376     -0.670964
1c5z_ligand_384     -0.74739885
1c5z_ligand_386     -0.039225861
1c5z_ligand_396     -1.7884704
1c5z_ligand_397     -1.3589056
1c5z_ligand_399     -1.0280826
1c5z_ligand_41      -2.3351259
1c5z_ligand_421     -0.71356237
1c5z_ligand_433     -1.2523408
1c5z_ligand_44      -2.482481
1c5z_ligand_446     -1.1716243
1c5z_ligand_473     -0.50557339
1c5z_ligand_479     -1.5364854
1c5z_ligand_492     -0.75288558
1c5z_ligand_53      -2.0968823
1c5z_ligand_55      -1.7665403
1c5z_ligand_72      -2.1290445
1c5z_ligand_81      -1.749894
1c5z_ligand_9       -1.9808284
1e66_ligand_107     -4.3542581
1e66_ligand_110     -4.0171704
1e66_ligand_126     -2.9554722
1e66_ligand_160     -0.095737822
1e66_ligand_176     4.3708296
1e66_ligand_185     6.7634454
1e66_ligand_190     4.1128373
1e66_ligand_191     -1.5268253
1e66_ligand_193     -1.7385764
1e66_ligand_208     -3.5080104
1e66_ligand_213     -3.2117958
1e66_ligand_216     -3.0667691
1e66_ligand_218     -2.9709148
1e66_ligand_220     -2.945998
1e66_ligand_224     -2.8856187
1e66_ligand_225     -2.8793309
1e66_ligand_228     -2.7884662
1e66_ligand_230     -2.7279301
1e66_ligand_231     -2.7261045
1e66_ligand_234     -2.5806074
1e66_ligand_238     -2.5293982
1e66_ligand_239     -2.5204198
1e66_ligand_241     -2.5029137
1e66_ligand_244     -2.4684 
1e66_ligand_246     -2.4381604
1e66_ligand_247     -2.432956
1e66_ligand_249     -2.3836198
1e66_ligand_25      -2.9409864
1e66_ligand_252     -0.77777302
1e66_ligand_256     0.14014551
1e66_ligand_263     0.45725861
1e66_ligand_268     2.6499641
1e66_ligand_271     -1.7644284
1e66_ligand_274     -1.1026877
1e66_ligand_279     -2.0133681
1e66_ligand_280     -1.0276719
1e66_ligand_281     0.84073877
1e66_ligand_285     -2.2577901
1e66_ligand_287     -0.67825937
1e66_ligand_291     -0.86462373
1e66_ligand_292     -0.40594164
1e66_ligand_293     1.57707 
1e66_ligand_297     -1.4181387
1e66_ligand_302     -0.95644504
1e66_ligand_309     -0.73003024
1e66_ligand_312     1.5861964
1e66_ligand_313     1.8920202
1e66_ligand_314     -1.780021
1e66_ligand_316     -2.0443773
1e66_ligand_322     5.6256967
1e66_ligand_325     -1.8890575
1e66_ligand_326     -1.4882647
1e66_ligand_328     -1.3239402
1e66_ligand_336     0.24430487
1e66_ligand_339     0.42307982
1e66_ligand_341     -0.97352606
1e66_ligand_344     0.6160112
1e66_ligand_345     -1.7499658
1e66_ligand_346     2.4172976
1e66_ligand_348     0.22165114
1e66_ligand_353     -2.946337
1e66_ligand_354     -1.1875113
1e66_ligand_355     -2.480844
1e66_ligand_358     -0.8084752
1e66_ligand_361     -2.2930508
1e66_ligand_364     -2.3079164
1e66_ligand_366     -2.1368635
1e66_ligand_369     -1.4505752
1e66_ligand_373     -1.475318
1e66_ligand_374     -3.0049601
1e66_ligand_375     -2.2399263
1e66_ligand_376     -0.41102847
1e66_ligand_378     -0.077430382
1e66_ligand_379     -1.9466084
1e66_ligand_38      -3.4190395
1e66_ligand_381     -1.4844517
1e66_ligand_383     -2.794229
1e66_ligand_385     -2.2872195
1e66_ligand_387     -0.68002659
1e66_ligand_388     -2.5351264
1e66_ligand_395     -2.9979699
1e66_ligand_396     -2.6154516
1e66_ligand_397     -1.5558964
1e66_ligand_400     -0.11472268
1e66_ligand_401     -2.2562859
1e66_ligand_411     -3.5761077
1e66_ligand_415     -1.2714132
1e66_ligand_423     -1.0121382
1e66_ligand_438     -2.6916823
1e66_ligand_450     -3.2709012
1e66_ligand_454     -3.8557143
1e66_ligand_455     -2.8748705
1e66_ligand_467     -3.4231114
1e66_ligand_491     -3.2995455
1e66_ligand_495     -2.7198668
1e66_ligand_497     -0.52278829
1e66_ligand_498     -2.585319
1e66_ligand_54      -3.405411
1e66_ligand_97      -3.5926661
1e66_ligand_99      -3.1067798
1eby_ligand_1       -4.6694036
1eby_ligand_100     -5.0925784
1eby_ligand_102     -3.5856252
1eby_ligand_105     -3.6370068
1eby_ligand_110     -4.7661734
1eby_ligand_113     -6.1201243
1eby_ligand_116     -2.8974278
1eby_ligand_118     -3.8365786
1eby_ligand_121     -4.2754374
1eby_ligand_124     -4.3755307
1eby_ligand_126     -5.8194909
1eby_ligand_131     -4.8799834
1eby_ligand_133     -3.3312225
1eby_ligand_135     -4.4251957
1eby_ligand_136     -3.5498574
1eby_ligand_137     -4.6080546
1eby_ligand_139     -5.4709501
1eby_ligand_142     -5.3835793
1eby_ligand_145     -3.8893013
1eby_ligand_15      -5.7002664
1eby_ligand_150     -2.5627909
1eby_ligand_156     26.503439
1eby_ligand_157     23.234623
1eby_ligand_164     5.9188628
1eby_ligand_167     8.2733192
1eby_ligand_17      -5.1426783
1eby_ligand_172     19.234512
1eby_ligand_181     9.0058537
1eby_ligand_186     25.696493
1eby_ligand_19      -4.4908252
1eby_ligand_195     34.55265
1eby_ligand_197     31.891184
1eby_ligand_198     4.5322003
1eby_ligand_200     0.64537066
1eby_ligand_202     -2.6310794
1eby_ligand_204     -1.7500331
1eby_ligand_208     -1.1441339
1eby_ligand_211     -0.98490423
1eby_ligand_216     -0.40847674
1eby_ligand_218     -0.33430779
1eby_ligand_221     -0.18711215
1eby_ligand_222     -0.016519275
1eby_ligand_223     -0.0078305826
1eby_ligand_226     0.16501176
1eby_ligand_237     1.3687128
1eby_ligand_240     1.6235048
1eby_ligand_241     1.6711863
1eby_ligand_242     1.7499357
1eby_ligand_243     1.778809
1eby_ligand_248     2.2594264
1eby_ligand_249     2.4301219
1eby_ligand_25      -3.5761416
1eby_ligand_250     2.4735999
1eby_ligand_26      -5.1045141
1eby_ligand_267     2.4581115
1eby_ligand_268     10.489875
1eby_ligand_273     11.330437
1eby_ligand_275     15.524607
1eby_ligand_276     10.706941
1eby_ligand_283     5.5094237
1eby_ligand_288     5.0115161
1eby_ligand_291     8.4740181
1eby_ligand_299     10.577868
1eby_ligand_300     11.452898
1eby_ligand_305     6.7871137
1eby_ligand_306     4.2799196
1eby_ligand_308     5.0013218
1eby_ligand_321     5.4252343
1eby_ligand_325     7.8163285
1eby_ligand_329     12.242532
1eby_ligand_332     7.6926088
1eby_ligand_336     14.828918
1eby_ligand_337     14.680758
1eby_ligand_338     5.8601627
1eby_ligand_342     17.930098
1eby_ligand_343     14.674238
1eby_ligand_345     5.7394476
1eby_ligand_347     12.950153
1eby_ligand_355     -6.0706906
1eby_ligand_37      -3.2281005
1eby_ligand_382     -5.3344302
1eby_ligand_388     -4.7986183
1eby_ligand_396     -5.0777378
1eby_ligand_41      -4.2259974
1eby_ligand_424     -2.0151086
1eby_ligand_435     -3.8797908
1eby_ligand_438     -2.5021775
1eby_ligand_449     -5.2573872
1eby_ligand_50      -4.628942
1eby_ligand_52      -5.9329605
1eby_ligand_55      -5.6995707
1eby_ligand_62      -4.5679817
1eby_ligand_63      -4.3095155
1eby_ligand_65      -6.144454
1eby_ligand_70      -5.4052606
1eby_ligand_73      -4.2392716
1eby_ligand_8       -6.2105412
1eby_ligand_86      -6.1335306
1eby_ligand_9       -4.6385822
1eby_ligand_97      -4.5608907
1g2k_ligand_1       -4.6383967
1g2k_ligand_100     -4.6888967
1g2k_ligand_102     -4.9435387
1g2k_ligand_109     -5.0149741
1g2k_ligand_123     -2.3604689
