#code_ligand_num    score   
1a30_ligand_10      -2.4218421
1a30_ligand_102     -1.9240607
1a30_ligand_105     -3.5982203
1a30_ligand_108     -3.2726643
1a30_ligand_109     -2.7938256
1a30_ligand_114     -2.5958655
1a30_ligand_116     -1.8497902
1a30_ligand_124     -2.178349
1a30_ligand_128     -3.0037048
1a30_ligand_129     -2.2132137
1a30_ligand_13      -4.0504904
1a30_ligand_133     -2.3054862
1a30_ligand_135     -1.9975061
1a30_ligand_141     -1.9375215
1a30_ligand_15      -3.2911053
1a30_ligand_151     13.608933
1a30_ligand_157     -1.3618263
1a30_ligand_158     8.5957584
1a30_ligand_168     1.4573352
1a30_ligand_17      -1.8672887
1a30_ligand_174     12.479356
1a30_ligand_179     6.9338064
1a30_ligand_184     22.318394
1a30_ligand_193     13.446289
1a30_ligand_204     -2.6610103
1a30_ligand_211     -2.2245197
1a30_ligand_212     -2.2080872
1a30_ligand_214     -2.1387494
1a30_ligand_217     -1.9960217
1a30_ligand_219     -1.9200596
1a30_ligand_220     -1.8466053
1a30_ligand_222     -1.8170493
1a30_ligand_225     -1.6151842
1a30_ligand_226     -1.5522002
1a30_ligand_232     -1.2274241
1a30_ligand_233     -1.2077341
1a30_ligand_234     -1.1560551
1a30_ligand_235     -1.1563219
1a30_ligand_236     -1.1466833
1a30_ligand_237     -1.1233402
1a30_ligand_240     -1.0435686
1a30_ligand_241     -0.99773997
1a30_ligand_242     -0.92716897
1a30_ligand_244     -0.89563227
1a30_ligand_245     -0.87774527
1a30_ligand_246     -0.85665816
1a30_ligand_248     -0.84178787
1a30_ligand_249     -0.82462078
1a30_ligand_251     -0.013832305
1a30_ligand_257     -1.3594041
1a30_ligand_258     2.9892783
1a30_ligand_267     2.7830763
1a30_ligand_275     1.7115579
1a30_ligand_279     -1.0719005
1a30_ligand_283     -0.82553869
1a30_ligand_287     7.2370143
1a30_ligand_289     0.94910312
1a30_ligand_290     2.7095959
1a30_ligand_293     1.8527877
1a30_ligand_296     3.8436782
1a30_ligand_298     1.2037326
1a30_ligand_299     -0.059470467
1a30_ligand_3       -3.052963
1a30_ligand_30      -4.0996132
1a30_ligand_306     0.46962315
1a30_ligand_308     -1.6208032
1a30_ligand_309     10.728963
1a30_ligand_312     0.76146358
1a30_ligand_317     1.3903489
1a30_ligand_319     5.0479608
1a30_ligand_320     4.0988841
1a30_ligand_324     0.2052334
1a30_ligand_326     4.0693302
1a30_ligand_328     2.0236399
1a30_ligand_329     -0.36200735
1a30_ligand_334     12.958626
1a30_ligand_336     -0.40285692
1a30_ligand_337     4.9495187
1a30_ligand_339     2.867075
1a30_ligand_340     12.149184
1a30_ligand_343     8.0362568
1a30_ligand_346     5.7211251
1a30_ligand_364     -2.1823945
1a30_ligand_366     -2.6938078
