#code_ligand_num    score   
1a30_ligand_10      -73.562012
1a30_ligand_100     -117.62045
1a30_ligand_104     -131.69447
1a30_ligand_106     -104.94669
1a30_ligand_110     -105.95344
1a30_ligand_115     -86.487457
1a30_ligand_120     -52.665501
1a30_ligand_121     -95.65464
1a30_ligand_122     -128.89958
1a30_ligand_124     -137.28162
1a30_ligand_125     -108.58859
1a30_ligand_127     -122.10553
1a30_ligand_14      -49.527435
1a30_ligand_140     -132.99284
1a30_ligand_15      -85.551956
1a30_ligand_152     -70.263802
1a30_ligand_16      -116.00955
1a30_ligand_162     -76.843201
1a30_ligand_164     -69.805321
1a30_ligand_171     -92.741447
1a30_ligand_173     -78.688652
1a30_ligand_179     -111.29677
1a30_ligand_183     -74.494293
1a30_ligand_19      -104.37112
1a30_ligand_197     -88.949196
1a30_ligand_203     -44.471931
1a30_ligand_204     -61.186619
1a30_ligand_205     -55.433498
1a30_ligand_207     -73.705917
1a30_ligand_209     -79.270477
1a30_ligand_215     -87.081268
1a30_ligand_220     -80.539543
1a30_ligand_222     -98.194496
1a30_ligand_224     -59.545063
1a30_ligand_226     -30.708229
1a30_ligand_227     -66.046959
1a30_ligand_229     -104.68736
1a30_ligand_231     -75.226059
1a30_ligand_235     -101.15828
1a30_ligand_236     -85.337372
1a30_ligand_24      -115.79276
1a30_ligand_240     -85.064362
1a30_ligand_241     -66.937553
1a30_ligand_262     -108.78539
1a30_ligand_265     -109.00988
1a30_ligand_268     -107.36621
1a30_ligand_27      -114.79356
1a30_ligand_279     -92.107445
1a30_ligand_28      -86.436211
1a30_ligand_283     -72.845596
1a30_ligand_285     -103.75732
1a30_ligand_289     -111.27199
1a30_ligand_290     -106.14773
1a30_ligand_296     -94.042145
1a30_ligand_30      -95.263672
1a30_ligand_300     -92.133179
1a30_ligand_301     -76.073334
1a30_ligand_302     -74.754234
1a30_ligand_31      -36.231129
1a30_ligand_310     -85.076172
1a30_ligand_313     -57.602642
1a30_ligand_314     -72.343163
1a30_ligand_317     -80.236816
1a30_ligand_319     -84.626305
1a30_ligand_320     -99.811844
1a30_ligand_323     -74.823929
1a30_ligand_327     -89.773514
1a30_ligand_33      -104.52032
1a30_ligand_330     -84.805489
1a30_ligand_332     -93.10231
1a30_ligand_335     -81.180649
1a30_ligand_337     -85.499146
1a30_ligand_341     -74.12674
1a30_ligand_346     -88.345001
1a30_ligand_349     -79.19313
1a30_ligand_35      -101.31833
1a30_ligand_369     -100.00513
1a30_ligand_378     -132.97638
1a30_ligand_38      -86.633408
1a30_ligand_387     -119.53454
1a30_ligand_4       -77.15509
1a30_ligand_403     -113.13472
1a30_ligand_42      -29.659779
1a30_ligand_441     -33.017494
