#code_ligand_num    score   
1a30_ligand_1       -124.41376
1a30_ligand_104     -124.19225
1a30_ligand_117     -123.58528
1a30_ligand_120     -136.50978
1a30_ligand_138     -118.22985
1a30_ligand_139     -122.88707
1a30_ligand_15      -129.6801
1a30_ligand_152     -94.525475
1a30_ligand_153     -87.273239
1a30_ligand_155     -94.149422
1a30_ligand_157     -93.683716
1a30_ligand_158     -92.523697
1a30_ligand_16      -139.90942
1a30_ligand_170     -79.564423
1a30_ligand_171     -75.293159
1a30_ligand_187     -86.508316
1a30_ligand_188     -99.723152
1a30_ligand_191     -108.58488
1a30_ligand_192     -99.477951
1a30_ligand_196     -101.06844
1a30_ligand_197     -80.857483
1a30_ligand_198     -95.584221
1a30_ligand_200     -105.65613
1a30_ligand_21      -145.96251
1a30_ligand_210     -111.76432
1a30_ligand_215     -105.25993
1a30_ligand_218     -111.32619
1a30_ligand_219     -99.558388
1a30_ligand_22      -128.83629
1a30_ligand_220     -105.88604
1a30_ligand_223     -112.35497
1a30_ligand_225     -101.15867
1a30_ligand_226     -97.31118
1a30_ligand_228     -101.9665
1a30_ligand_229     -107.31812
1a30_ligand_230     -100.90453
1a30_ligand_231     -116.74697
1a30_ligand_232     -98.746315
1a30_ligand_233     -104.38258
1a30_ligand_234     -107.97785
1a30_ligand_235     -92.617119
1a30_ligand_236     -105.99007
1a30_ligand_237     -99.334579
1a30_ligand_238     -103.01232
1a30_ligand_239     -92.131462
1a30_ligand_240     -108.07622
1a30_ligand_242     -93.369629
1a30_ligand_243     -107.42199
1a30_ligand_245     -90.213013
1a30_ligand_248     -96.324371
1a30_ligand_250     -100.47193
1a30_ligand_253     -112.5506
1a30_ligand_255     -110.7203
1a30_ligand_260     -107.65527
1a30_ligand_261     -113.36959
1a30_ligand_263     -113.54781
1a30_ligand_265     -102.03591
1a30_ligand_270     -106.84486
1a30_ligand_271     -110.26514
1a30_ligand_273     -116.25182
1a30_ligand_274     -115.07143
1a30_ligand_275     -102.58691
1a30_ligand_278     -95.088776
1a30_ligand_283     -109.39119
1a30_ligand_284     -101.65568
1a30_ligand_291     -106.77537
1a30_ligand_292     -93.426811
1a30_ligand_294     -100.87529
1a30_ligand_295     -107.84541
1a30_ligand_297     -109.31744
1a30_ligand_298     -95.705757
1a30_ligand_3       -130.40381
1a30_ligand_301     -93.042816
1a30_ligand_31      -131.19234
1a30_ligand_311     -96.152893
1a30_ligand_316     -82.572701
1a30_ligand_317     -90.218903
1a30_ligand_323     -82.489708
1a30_ligand_327     -91.510582
1a30_ligand_329     -93.077362
1a30_ligand_338     -88.307785
1a30_ligand_341     -73.04921
1a30_ligand_348     -106.2303
1a30_ligand_361     -119.30443
1a30_ligand_364     -137.10065
1a30_ligand_374     -124.85632
1a30_ligand_393     -109.41932
1a30_ligand_400     -102.9053
1a30_ligand_412     -123.0007
1a30_ligand_42      -152.09834
1a30_ligand_420     -131.32503
1a30_ligand_44      -136.68704
1a30_ligand_52      -121.63479
1a30_ligand_59      -127.31145
1a30_ligand_62      -129.7377
1a30_ligand_66      -122.87841
1a30_ligand_70      -131.61639
1a30_ligand_74      -123.37528
1a30_ligand_86      -132.5815
1a30_ligand_98      -116.2917
1bcu_ligand_103     -100.37328
1bcu_ligand_11      -74.124718
1bcu_ligand_111     -73.264481
1bcu_ligand_115     -79.20475
1bcu_ligand_117     -82.356827
1bcu_ligand_12      -75.477242
1bcu_ligand_13      -79.728249
1bcu_ligand_140     -58.472713
1bcu_ligand_15      -76.855202
1bcu_ligand_161     -86.788597
1bcu_ligand_164     -79.953384
1bcu_ligand_175     -88.640305
1bcu_ligand_180     -86.343803
1bcu_ligand_186     -78.454735
1bcu_ligand_191     -86.877907
1bcu_ligand_193     -75.779831
1bcu_ligand_202     -85.79538
1bcu_ligand_205     -86.283173
1bcu_ligand_208     -102.42176
1bcu_ligand_210     -80.631805
1bcu_ligand_211     -74.819916
1bcu_ligand_217     -70.775734
1bcu_ligand_221     -89.893097
1bcu_ligand_224     -66.740692
1bcu_ligand_231     -72.948753
1bcu_ligand_239     -83.146111
1bcu_ligand_240     -84.524155
1bcu_ligand_246     -73.43821
1bcu_ligand_247     -63.358765
1bcu_ligand_248     -78.079895
1bcu_ligand_255     -94.103859
1bcu_ligand_26      -81.853989
1bcu_ligand_263     -85.609962
1bcu_ligand_264     -86.335747
1bcu_ligand_269     -84.826004
1bcu_ligand_271     -92.798347
1bcu_ligand_272     -87.175827
1bcu_ligand_281     -92.748604
1bcu_ligand_283     -81.577858
1bcu_ligand_286     -89.526993
1bcu_ligand_287     -89.045532
1bcu_ligand_288     -85.402954
1bcu_ligand_294     -78.0214
1bcu_ligand_295     -83.756203
1bcu_ligand_3       -83.388054
1bcu_ligand_300     -86.293243
1bcu_ligand_301     -81.155212
1bcu_ligand_303     -78.793381
1bcu_ligand_304     -74.76696
1bcu_ligand_305     -62.971195
1bcu_ligand_308     -70.562836
1bcu_ligand_318     -76.50618
1bcu_ligand_320     -63.928535
1bcu_ligand_321     -75.067268
1bcu_ligand_325     -74.240204
1bcu_ligand_326     -64.409157
1bcu_ligand_331     -71.861572
1bcu_ligand_332     -65.49424
1bcu_ligand_335     -76.241806
1bcu_ligand_337     -84.692963
1bcu_ligand_341     -67.988045
1bcu_ligand_342     -66.844353
1bcu_ligand_345     -70.957169
1bcu_ligand_346     -69.846832
1bcu_ligand_347     -58.266453
1bcu_ligand_348     -74.596504
1bcu_ligand_349     -66.208992
1bcu_ligand_361     -72.409775
1bcu_ligand_362     -88.373016
1bcu_ligand_368     -81.879189
1bcu_ligand_369     -87.611557
1bcu_ligand_380     -75.640038
1bcu_ligand_382     -62.823601
1bcu_ligand_383     -76.796051
1bcu_ligand_384     -76.461418
1bcu_ligand_386     -77.57975
1bcu_ligand_387     -67.355049
1bcu_ligand_390     -84.246483
1bcu_ligand_393     -67.962036
1bcu_ligand_394     -91.206711
1bcu_ligand_395     -85.925102
1bcu_ligand_396     -73.674973
1bcu_ligand_398     -73.480415
1bcu_ligand_400     -86.417831
1bcu_ligand_401     -78.345306
1bcu_ligand_412     -62.385601
1bcu_ligand_413     -73.857887
1bcu_ligand_428     -69.538925
1bcu_ligand_436     -75.956375
1bcu_ligand_440     -74.814056
1bcu_ligand_445     -78.309959
1bcu_ligand_450     -73.5812
1bcu_ligand_461     -75.451775
1bcu_ligand_56      -75.989815
1bcu_ligand_57      -68.258644
1bcu_ligand_61      -62.396477
1bcu_ligand_62      -78.186302
1bcu_ligand_77      -77.86412
1bcu_ligand_8       -70.989601
1bcu_ligand_81      -76.555496
1bzc_ligand_10      -142.17976
1bzc_ligand_105     -133.27927
1bzc_ligand_107     -122.0979
1bzc_ligand_11      -138.65628
1bzc_ligand_114     -121.35117
1bzc_ligand_115     -124.44475
1bzc_ligand_120     -142.53117
1bzc_ligand_128     -144.40717
1bzc_ligand_136     -141.61266
1bzc_ligand_146     -153.22368
1bzc_ligand_153     -126.4856
1bzc_ligand_165     -119.4001
1bzc_ligand_167     -119.48728
1bzc_ligand_170     -118.49625
1bzc_ligand_173     -104.22351
1bzc_ligand_174     -108.17762
1bzc_ligand_178     -105.56248
1bzc_ligand_18      -142.28999
1bzc_ligand_184     -119.37223
1bzc_ligand_187     -91.189919
1bzc_ligand_188     -104.71423
1bzc_ligand_189     -113.35169
1bzc_ligand_190     -130.27682
1bzc_ligand_193     -115.92095
1bzc_ligand_194     -140.06116
1bzc_ligand_195     -93.435005
1bzc_ligand_197     -125.61857
1bzc_ligand_198     -87.477234
