#code_ligand_num    score   
1a30_ligand_100     -126.41473
1a30_ligand_103     -124.41486
1a30_ligand_107     -129.01489
1a30_ligand_118     -122.65974
1a30_ligand_127     -128.24133
1a30_ligand_135     -129.03574
1a30_ligand_138     -126.89265
1a30_ligand_143     -126.55791
1a30_ligand_146     -92.928963
1a30_ligand_150     -124.35207
1a30_ligand_168     -96.810051
1a30_ligand_180     -108.2514
1a30_ligand_185     -101.81562
1a30_ligand_188     -106.84238
1a30_ligand_198     -113.60615
1a30_ligand_20      -112.9883
1a30_ligand_21      -118.56615
1a30_ligand_210     -92.962845
1a30_ligand_213     -109.66283
1a30_ligand_220     -90.20015
1a30_ligand_227     -89.802864
1a30_ligand_228     -101.07795
1a30_ligand_229     -105.85755
1a30_ligand_23      -127.65117
1a30_ligand_230     -101.2887
1a30_ligand_231     -117.3819
1a30_ligand_232     -108.97136
1a30_ligand_236     -96.23275
1a30_ligand_237     -80.755241
1a30_ligand_24      -120.90009
1a30_ligand_241     -106.51941
1a30_ligand_242     -75.989487
1a30_ligand_247     -114.73527
1a30_ligand_248     -94.088615
1a30_ligand_250     -82.430565
1a30_ligand_253     -127.76492
1a30_ligand_255     -136.21745
1a30_ligand_258     -123.35384
1a30_ligand_263     -116.62228
1a30_ligand_269     -123.27823
1a30_ligand_270     -113.054
1a30_ligand_271     -115.83926
1a30_ligand_275     -113.7674
1a30_ligand_277     -115.74793
1a30_ligand_281     -114.51379
1a30_ligand_284     -103.16393
1a30_ligand_290     -105.75506
1a30_ligand_294     -114.75004
1a30_ligand_295     -94.701195
1a30_ligand_298     -107.71565
1a30_ligand_305     -96.743813
1a30_ligand_311     -95.64325
1a30_ligand_315     -83.154793
1a30_ligand_316     -77.416519
1a30_ligand_324     -96.236763
1a30_ligand_328     -86.005547
1a30_ligand_330     -98.027245
1a30_ligand_334     -110.2156
1a30_ligand_338     -103.48083
1a30_ligand_343     -93.244873
1a30_ligand_344     -93.588661
1a30_ligand_348     -87.826035
1a30_ligand_352     -147.5336
1a30_ligand_370     -125.43626
1a30_ligand_376     -124.45758
1a30_ligand_384     -111.84075
1a30_ligand_388     -115.07716
1a30_ligand_393     -124.22272
1a30_ligand_396     -84.917831
1a30_ligand_4       -121.61042
1a30_ligand_410     -101.01067
1a30_ligand_422     -111.13391
1a30_ligand_430     -118.02254
1a30_ligand_443     -117.82121
1a30_ligand_445     -123.95025
1a30_ligand_448     -145.295
1a30_ligand_45      -92.617508
1a30_ligand_462     -147.07727
1a30_ligand_47      -120.3643
1a30_ligand_479     -92.790092
1a30_ligand_48      -135.4585
1a30_ligand_480     -146.14215
1a30_ligand_494     -116.66611
1a30_ligand_5       -122.11871
1a30_ligand_51      -118.59593
1a30_ligand_53      -111.98165
1a30_ligand_54      -136.70647
1a30_ligand_56      -119.87795
1a30_ligand_6       -119.79106
1a30_ligand_64      -111.05695
1a30_ligand_66      -86.379784
1a30_ligand_67      -119.99624
1a30_ligand_74      -111.91885
1a30_ligand_77      -116.31231
1a30_ligand_79      -125.05446
1a30_ligand_83      -146.85631
1a30_ligand_84      -113.98228
1a30_ligand_88      -104.42818
1a30_ligand_91      -122.60799
1a30_ligand_95      -129.5098
1bcu_ligand_121     -70.301437
1bcu_ligand_127     -63.789444
1bcu_ligand_13      -75.9776
1bcu_ligand_135     -62.670361
1bcu_ligand_145     -60.921097
1bcu_ligand_157     -87.302551
1bcu_ligand_162     -73.970299
1bcu_ligand_175     -77.793594
1bcu_ligand_177     -75.369476
1bcu_ligand_178     -67.331978
1bcu_ligand_179     -75.435509
1bcu_ligand_180     -88.459633
1bcu_ligand_184     -85.378181
1bcu_ligand_191     -67.58091
1bcu_ligand_196     -72.67205
1bcu_ligand_198     -83.936409
1bcu_ligand_199     -79.153671
1bcu_ligand_200     -74.660027
1bcu_ligand_203     -71.022469
1bcu_ligand_215     -78.132927
1bcu_ligand_229     -71.732513
1bcu_ligand_231     -81.085388
1bcu_ligand_235     -75.530983
1bcu_ligand_240     -90.031136
1bcu_ligand_244     -66.380722
1bcu_ligand_247     -80.695152
1bcu_ligand_256     -91.557945
1bcu_ligand_262     -87.573578
1bcu_ligand_264     -81.442604
1bcu_ligand_266     -82.57666
1bcu_ligand_272     -69.668396
1bcu_ligand_273     -80.528008
1bcu_ligand_277     -83.773308
1bcu_ligand_279     -90.351578
1bcu_ligand_280     -78.127472
1bcu_ligand_281     -82.168724
1bcu_ligand_282     -82.063118
1bcu_ligand_285     -72.124641
1bcu_ligand_287     -81.324707
1bcu_ligand_289     -87.538544
1bcu_ligand_290     -77.439636
1bcu_ligand_291     -78.786888
1bcu_ligand_295     -79.244278
1bcu_ligand_296     -87.800514
1bcu_ligand_297     -70.014404
1bcu_ligand_316     -76.858284
1bcu_ligand_317     -68.418411
1bcu_ligand_319     -71.066261
1bcu_ligand_322     -87.904221
1bcu_ligand_326     -77.99691
1bcu_ligand_329     -82.968826
1bcu_ligand_331     -68.102493
1bcu_ligand_332     -80.821701
1bcu_ligand_338     -63.450737
1bcu_ligand_340     -63.930355
1bcu_ligand_342     -79.124313
1bcu_ligand_345     -64.388618
1bcu_ligand_346     -65.041466
1bcu_ligand_351     -82.807991
1bcu_ligand_353     -68.255882
1bcu_ligand_358     -68.722168
1bcu_ligand_363     -32.786865
1bcu_ligand_365     -91.32196
1bcu_ligand_366     -55.249996
1bcu_ligand_367     -58.034523
1bcu_ligand_368     -46.727501
1bcu_ligand_372     -62.462696
1bcu_ligand_374     -43.165993
1bcu_ligand_375     -56.483345
1bcu_ligand_376     -20.047709
1bcu_ligand_377     -67.961716
1bcu_ligand_378     -51.428024
1bcu_ligand_380     -62.418285
1bcu_ligand_381     -33.451279
1bcu_ligand_384     -33.891296
1bcu_ligand_385     -38.619293
1bcu_ligand_395     -30.627213
1bcu_ligand_398     -24.349977
1bcu_ligand_400     -57.155426
1bcu_ligand_423     -77.928734
1bcu_ligand_429     -40.670311
1bcu_ligand_434     -58.079342
1bcu_ligand_437     -75.508965
1bcu_ligand_440     -91.933632
1bcu_ligand_442     -24.306187
1bcu_ligand_445     -49.270889
1bcu_ligand_447     -72.944748
1bcu_ligand_451     -81.047012
1bcu_ligand_463     -64.590828
1bcu_ligand_465     -63.008858
1bcu_ligand_466     -34.045704
1bcu_ligand_468     -67.567108
1bcu_ligand_472     -77.821968
1bcu_ligand_483     -63.117142
1bcu_ligand_487     -61.654255
1bcu_ligand_488     -81.532303
1bcu_ligand_499     -50.746376
1bcu_ligand_70      -53.133438
1bcu_ligand_78      -59.689945
1bcu_ligand_9       -88.696472
1bzc_ligand_103     -127.93613
1bzc_ligand_108     -103.9618
1bzc_ligand_109     -108.11932
1bzc_ligand_111     -145.21565
1bzc_ligand_114     -145.22005
1bzc_ligand_12      -105.35384
1bzc_ligand_127     -119.56671
1bzc_ligand_138     -145.88391
