#code_ligand_num    score   
1a30_ligand_1       -145.476
1a30_ligand_105     -143.54956
1a30_ligand_106     -58.181225
1a30_ligand_119     -118.32405
1a30_ligand_122     -124.79873
1a30_ligand_134     -123.28838
1a30_ligand_142     -96.713974
1a30_ligand_144     -93.018684
1a30_ligand_147     -123.15816
1a30_ligand_15      -109.2858
1a30_ligand_156     -77.638412
1a30_ligand_166     -70.420471
1a30_ligand_18      -123.64438
1a30_ligand_190     -98.148483
1a30_ligand_191     -76.599808
1a30_ligand_20      -135.83475
1a30_ligand_200     -98.458603
1a30_ligand_202     -86.482407
1a30_ligand_204     -111.33475
1a30_ligand_206     -33.653175
1a30_ligand_208     -71.990929
1a30_ligand_21      -110.72058
1a30_ligand_210     -47.357876
1a30_ligand_211     -54.575485
1a30_ligand_212     -59.815052
1a30_ligand_214     -49.314285
1a30_ligand_215     -57.855644
1a30_ligand_216     -64.769577
1a30_ligand_217     -55.550755
1a30_ligand_218     -67.949562
1a30_ligand_219     -55.731544
1a30_ligand_220     -71.543015
1a30_ligand_221     -83.634735
1a30_ligand_223     -111.85568
1a30_ligand_226     -82.821739
1a30_ligand_227     -78.402931
1a30_ligand_229     -89.353943
1a30_ligand_23      -27.268301
1a30_ligand_232     -66.274818
1a30_ligand_234     -73.430481
1a30_ligand_236     -78.567772
1a30_ligand_237     -104.56197
1a30_ligand_238     -118.98375
1a30_ligand_240     -39.963493
1a30_ligand_241     -56.981449
1a30_ligand_243     -49.847977
1a30_ligand_244     -38.775623
1a30_ligand_245     -55.194801
1a30_ligand_259     -103.16632
1a30_ligand_26      -114.74412
1a30_ligand_265     -105.7773
1a30_ligand_266     -102.04244
1a30_ligand_272     -99.58223
1a30_ligand_273     -106.00814
1a30_ligand_274     -87.806671
1a30_ligand_278     -94.755188
1a30_ligand_29      -45.887028
1a30_ligand_296     -100.79124
1a30_ligand_3       -129.83766
1a30_ligand_302     -85.087646
1a30_ligand_305     -62.023067
1a30_ligand_307     -69.880959
1a30_ligand_310     -76.64817
1a30_ligand_315     -90.077888
1a30_ligand_317     -78.064659
1a30_ligand_327     -67.21714
1a30_ligand_33      -79.100365
1a30_ligand_333     -90.528755
1a30_ligand_340     -78.037491
1a30_ligand_341     -80.302116
1a30_ligand_342     -99.7127
1a30_ligand_346     -74.269264
1a30_ligand_350     -90.875679
1a30_ligand_352     -136.03705
1a30_ligand_39      -54.252476
1a30_ligand_393     -92.736351
1a30_ligand_395     -103.00678
1a30_ligand_396     -111.06902
1a30_ligand_397     -134.0269
1a30_ligand_399     -148.37173
1a30_ligand_419     -144.12315
1a30_ligand_427     -115.19925
1a30_ligand_430     -121.94639
1a30_ligand_436     -136.37369
1a30_ligand_447     -131.11534
1a30_ligand_456     -120.33437
1a30_ligand_46      -109.40186
1a30_ligand_495     -139.4097
1a30_ligand_52      -44.860863
1a30_ligand_67      -131.27574
1a30_ligand_7       -119.98482
1a30_ligand_71      -43.968502
1a30_ligand_72      -46.04353
1a30_ligand_73      -60.998486
1a30_ligand_8       -21.261837
1a30_ligand_84      -94.096207
1a30_ligand_86      -121.32321
1a30_ligand_88      -93.574318
1a30_ligand_94      -118.65759
1a30_ligand_99      -131.4281
1bcu_ligand_195     -60.977409
1bcu_ligand_202     -74.665039
1bcu_ligand_213     -67.676674
1bcu_ligand_214     -57.692558
1bcu_ligand_217     -50.377457
1bcu_ligand_219     -67.135635
1bcu_ligand_221     -56.679409
1bcu_ligand_222     -68.337379
1bcu_ligand_229     -58.806469
1bcu_ligand_231     -65.75502
1bcu_ligand_240     -45.466621
1bcu_ligand_268     -79.93718
1bcu_ligand_271     -71.070213
1bcu_ligand_277     -73.425987
1bcu_ligand_285     -68.034409
1bcu_ligand_287     -80.622665
1bcu_ligand_289     -77.815506
1bcu_ligand_300     -77.514885
1bcu_ligand_301     -64.63958
1bcu_ligand_302     -64.473213
1bcu_ligand_308     -59.99662
1bcu_ligand_310     -55.480419
1bcu_ligand_311     -60.437912
1bcu_ligand_323     -68.824707
1bcu_ligand_332     -57.10376
1bcu_ligand_335     -62.702328
1bcu_ligand_341     -69.652679
1bcu_ligand_345     -65.088394
1bcu_ligand_350     -67.024376
1bcu_ligand_351     -26.307405
1bcu_ligand_352     -25.852468
1bcu_ligand_353     -43.24902
1bcu_ligand_355     -43.344551
1bcu_ligand_356     -58.720528
1bcu_ligand_358     -34.752056
1bcu_ligand_359     -62.364937
1bcu_ligand_360     -58.115925
1bcu_ligand_362     -40.927761
1bcu_ligand_363     -38.564796
1bcu_ligand_365     -44.585903
1bcu_ligand_367     -62.959072
1bcu_ligand_368     -19.242264
1bcu_ligand_370     -31.727913
1bcu_ligand_371     -10.353502
1bcu_ligand_372     -3.9999983
1bcu_ligand_373     -23.882969
1bcu_ligand_374     0.53580058
1bcu_ligand_375     -27.852661
1bcu_ligand_376     -37.309082
1bcu_ligand_378     -30.502275
1bcu_ligand_380     -8.02701
1bcu_ligand_381     -11.234593
1bcu_ligand_383     -8.7875614
1bcu_ligand_385     -44.689869
1bcu_ligand_386     -21.544119
1bcu_ligand_387     0.86612362
1bcu_ligand_388     -53.930141
1bcu_ligand_389     -40.756416
1bcu_ligand_390     -12.71371
1bcu_ligand_392     -22.431915
1bcu_ligand_393     -8.5248032
1bcu_ligand_394     -17.793667
1bcu_ligand_395     -32.139751
1bcu_ligand_396     -43.649956
1bcu_ligand_397     -23.399597
1bcu_ligand_398     -20.884298
1bcu_ligand_407     -70.304626
1bcu_ligand_412     -68.94191
1bcu_ligand_414     -69.058365
1bcu_ligand_417     -64.074638
1bcu_ligand_420     -63.591637
1bcu_ligand_421     -60.646198
1bcu_ligand_422     -99.346313
1bcu_ligand_425     -63.087643
1bcu_ligand_432     -42.444935
1bcu_ligand_435     -69.092087
1bcu_ligand_436     -70.165092
1bcu_ligand_437     -43.342205
1bcu_ligand_442     -59.084656
1bcu_ligand_445     -63.117123
1bcu_ligand_446     -48.150135
1bcu_ligand_447     -28.589407
1bcu_ligand_448     -62.968033
1bcu_ligand_449     -43.158852
1bcu_ligand_45      -64.040565
1bcu_ligand_450     -56.982445
1bcu_ligand_451     -79.877632
1bcu_ligand_454     -64.875053
1bcu_ligand_464     -75.836281
1bcu_ligand_467     -52.14769
