#code_ligand_num    score   
1a30_ligand_103     -28.053204
1a30_ligand_115     -50.848747
1a30_ligand_118     -34.445225
1a30_ligand_12      -26.60568
1a30_ligand_128     -67.480362
1a30_ligand_129     -32.539764
1a30_ligand_134     -64.038612
1a30_ligand_135     -55.417522
1a30_ligand_142     -45.93174
1a30_ligand_146     -48.400383
1a30_ligand_153     52.339703
1a30_ligand_157     62.839653
1a30_ligand_158     49.061264
1a30_ligand_159     51.423706
1a30_ligand_160     53.356831
1a30_ligand_161     65.779938
1a30_ligand_164     71.15123
1a30_ligand_167     43.220219
1a30_ligand_169     63.052353
1a30_ligand_170     49.633415
1a30_ligand_171     56.249802
1a30_ligand_172     62.082726
1a30_ligand_175     55.108372
1a30_ligand_178     58.522625
1a30_ligand_186     59.652927
1a30_ligand_188     75.502884
1a30_ligand_191     74.085724
1a30_ligand_192     37.70927
1a30_ligand_194     40.363232
1a30_ligand_196     48.207249
1a30_ligand_198     41.415417
1a30_ligand_209     -31.715183
1a30_ligand_210     -4.3341627
1a30_ligand_211     -13.6549
1a30_ligand_216     18.403061
1a30_ligand_217     -1.3813739
1a30_ligand_218     -3.9183264
1a30_ligand_219     -2.2228761
1a30_ligand_220     17.333555
1a30_ligand_221     2.3743289
1a30_ligand_222     30.645374
1a30_ligand_224     22.167788
1a30_ligand_227     23.949257
1a30_ligand_228     17.384172
1a30_ligand_230     21.259802
1a30_ligand_231     17.483982
1a30_ligand_232     12.383882
1a30_ligand_234     35.161976
1a30_ligand_235     27.765192
1a30_ligand_237     33.860989
1a30_ligand_239     31.987976
1a30_ligand_240     19.076014
1a30_ligand_245     24.446669
1a30_ligand_246     7.4925771
1a30_ligand_248     35.483253
1a30_ligand_249     8.9384022
1a30_ligand_250     -15.149603
1a30_ligand_273     18.326088
1a30_ligand_276     13.536574
1a30_ligand_280     15.074148
1a30_ligand_284     13.966276
1a30_ligand_290     22.732428
1a30_ligand_293     20.595783
1a30_ligand_295     15.407748
1a30_ligand_296     19.769379
1a30_ligand_297     23.102818
1a30_ligand_300     33.443138
1a30_ligand_322     21.728876
1a30_ligand_324     43.147358
1a30_ligand_328     22.229134
1a30_ligand_330     56.491787
1a30_ligand_333     18.701178
1a30_ligand_334     50.04213
1a30_ligand_335     61.508331
1a30_ligand_338     13.69805
1a30_ligand_34      -31.355286
1a30_ligand_341     52.144707
1a30_ligand_346     32.858356
1a30_ligand_348     34.795593
1a30_ligand_35      -31.24988
1a30_ligand_350     43.217445
1a30_ligand_373     -9.4855862
1a30_ligand_374     -49.656143
1a30_ligand_391     -7.5872531
1a30_ligand_395     -37.119892
1a30_ligand_400     -8.0864325
1a30_ligand_402     -48.299999
1a30_ligand_415     -69.702271
1a30_ligand_443     -16.780712
1a30_ligand_448     -11.123108
1a30_ligand_482     -77.988159
1a30_ligand_486     -46.055496
1a30_ligand_498     -16.947906
1a30_ligand_57      -51.196621
1a30_ligand_66      -20.008337
1a30_ligand_71      -58.530544
1a30_ligand_76      -42.866825
1a30_ligand_87      -38.173203
1a30_ligand_96      -43.510929
1a30_ligand_99      -38.985325
1bcu_ligand_1       -37.453823
1bcu_ligand_100     -43.005405
1bcu_ligand_102     -20.595383
1bcu_ligand_109     -48.246849
1bcu_ligand_11      -52.817455
1bcu_ligand_110     -56.890209
1bcu_ligand_111     -33.594246
1bcu_ligand_113     -48.646225
1bcu_ligand_114     -41.392387
1bcu_ligand_119     -46.426071
1bcu_ligand_120     -35.112991
1bcu_ligand_122     -21.477964
1bcu_ligand_123     -33.035664
1bcu_ligand_128     -40.025322
1bcu_ligand_131     -32.455883
1bcu_ligand_135     -43.20903
1bcu_ligand_138     -39.069607
1bcu_ligand_140     -25.247217
1bcu_ligand_141     -29.890419
1bcu_ligand_142     -28.783398
1bcu_ligand_143     -38.273811
1bcu_ligand_144     -34.480476
1bcu_ligand_145     -25.467911
1bcu_ligand_146     -42.1105
1bcu_ligand_151     -28.467098
1bcu_ligand_152     -17.49761
1bcu_ligand_153     -26.606916
1bcu_ligand_154     8.3644114
1bcu_ligand_155     12.893669
1bcu_ligand_16      -22.619398
1bcu_ligand_17      -48.992638
1bcu_ligand_18      -44.883316
1bcu_ligand_189     -21.23765
1bcu_ligand_19      -30.339846
1bcu_ligand_190     -40.651836
1bcu_ligand_192     13.714231
1bcu_ligand_193     -22.277027
1bcu_ligand_194     -4.8463454
1bcu_ligand_195     7.0545259
1bcu_ligand_197     -17.347675
1bcu_ligand_198     36.87138
1bcu_ligand_199     1.5351535
1bcu_ligand_2       -34.863373
1bcu_ligand_202     -26.971611
1bcu_ligand_204     5.8904042
1bcu_ligand_205     17.475422
1bcu_ligand_206     35.76503
1bcu_ligand_207     -31.008236
1bcu_ligand_208     0.75747663
1bcu_ligand_209     -12.036159
1bcu_ligand_210     -6.381391
1bcu_ligand_211     -1.5570089
1bcu_ligand_212     -14.446885
1bcu_ligand_213     -6.2193656
1bcu_ligand_218     43.045853
1bcu_ligand_219     0.53661394
1bcu_ligand_220     6.5624113
1bcu_ligand_228     -45.608444
1bcu_ligand_232     -9.2740688
1bcu_ligand_24      -26.047533
1bcu_ligand_240     -26.728619
1bcu_ligand_242     -38.44413
1bcu_ligand_246     -41.689026
1bcu_ligand_252     -37.707161
1bcu_ligand_255     -15.549817
1bcu_ligand_256     3.430609
1bcu_ligand_259     4.2929554
1bcu_ligand_26      -34.035767
1bcu_ligand_260     5.5203872
1bcu_ligand_263     0.94068885
1bcu_ligand_264     17.410049
1bcu_ligand_266     -2.4887176
1bcu_ligand_269     -4.0590935
1bcu_ligand_27      -45.43737
1bcu_ligand_29      -58.205727
1bcu_ligand_3       -40.731628
1bcu_ligand_31      -28.795294
1bcu_ligand_35      -43.47982
1bcu_ligand_39      -32.477474
1bcu_ligand_47      -43.561195
1bcu_ligand_5       -16.903009
1bcu_ligand_52      -29.679764
1bcu_ligand_53      -40.28627
1bcu_ligand_54      -46.259701
1bcu_ligand_55      -39.771957
1bcu_ligand_59      -32.895897
1bcu_ligand_61      -25.735317
1bcu_ligand_62      -33.134247
1bcu_ligand_65      -45.119896
1bcu_ligand_69      -29.118153
1bcu_ligand_7       -53.731773
1bcu_ligand_71      -45.186882
1bcu_ligand_75      -17.87112
1bcu_ligand_78      -33.835999
1bcu_ligand_8       -42.433586
1bcu_ligand_81      -34.403896
1bcu_ligand_83      -46.335442
1bcu_ligand_85      -34.753761
1bcu_ligand_95      -22.729166
1bcu_ligand_99      -39.757935
1bzc_ligand_100     -66.436081
1bzc_ligand_101     -39.916016
1bzc_ligand_103     -59.113972
1bzc_ligand_108     -37.838764
1bzc_ligand_113     -14.142664
1bzc_ligand_116     -26.253878
1bzc_ligand_122     -41.507854
1bzc_ligand_131     -35.538532
1bzc_ligand_132     -32.927536
1bzc_ligand_137     -62.464149
1bzc_ligand_140     -24.456247
1bzc_ligand_144     -46.203896
1bzc_ligand_152     151.17867
1bzc_ligand_160     154.06502
1bzc_ligand_167     171.43872
1bzc_ligand_169     119.65088
1bzc_ligand_170     180.50305
1bzc_ligand_173     163.36441
1bzc_ligand_174     160.95999
1bzc_ligand_175     173.79086
1bzc_ligand_176     127.64297
1bzc_ligand_178     188.9588
1bzc_ligand_179     173.18506
1bzc_ligand_180     183.8506
1bzc_ligand_184     139.04709
1bzc_ligand_188     150.28049
1bzc_ligand_190     54.7253 
1bzc_ligand_192     189.52327
1bzc_ligand_194     137.20107
1bzc_ligand_196     144.64119
1bzc_ligand_2       -88.973572
1bzc_ligand_200     154.88622
1bzc_ligand_202     97.056541
1bzc_ligand_205     96.790619
1bzc_ligand_209     81.799942
1bzc_ligand_211     102.75001
1bzc_ligand_214     101.78366
1bzc_ligand_218     89.452003
1bzc_ligand_219     119.26195
1bzc_ligand_225     117.49779
1bzc_ligand_228     116.74912
1bzc_ligand_229     120.0451
1bzc_ligand_23      -43.075348
1bzc_ligand_231     107.84796
1bzc_ligand_233     113.10191
1bzc_ligand_235     150.01494
1bzc_ligand_236     132.34059
1bzc_ligand_240     124.07158
1bzc_ligand_241     139.05148
1bzc_ligand_243     119.50652
1bzc_ligand_244     113.85374
1bzc_ligand_245     133.00327
1bzc_ligand_246     85.110008
1bzc_ligand_249     146.22659
1bzc_ligand_273     108.18792
1bzc_ligand_278     109.23491
1bzc_ligand_290     119.1945
1bzc_ligand_292     119.54057
1bzc_ligand_300     122.91645
1bzc_ligand_31      -43.352497
1bzc_ligand_311     120.38321
1bzc_ligand_317     176.56912
1bzc_ligand_325     144.14885
1bzc_ligand_328     138.63994
1bzc_ligand_330     130.76564
1bzc_ligand_334     121.72726
1bzc_ligand_346     132.54478
1bzc_ligand_354     43.281879
1bzc_ligand_357     29.083931
1bzc_ligand_360     22.669062
1bzc_ligand_361     -16.442669
1bzc_ligand_365     -9.961833
1bzc_ligand_366     77.138794
1bzc_ligand_367     62.855358
1bzc_ligand_374     22.69562
1bzc_ligand_377     63.754646
1bzc_ligand_385     -8.9934206
1bzc_ligand_391     -50.363922
1bzc_ligand_394     46.677574
1bzc_ligand_396     -31.829979
1bzc_ligand_398     -14.046164
1bzc_ligand_399     53.398296
1bzc_ligand_4       -49.189911
1bzc_ligand_400     202.3096
1bzc_ligand_410     49.069942
1bzc_ligand_413     -17.025517
1bzc_ligand_423     42.800762
1bzc_ligand_43      -26.354156
1bzc_ligand_446     -25.583906
1bzc_ligand_452     -11.070283
1bzc_ligand_499     -50.356663
1bzc_ligand_68      -76.1604
1bzc_ligand_69      -8.6047783
1bzc_ligand_70      -18.883503
1bzc_ligand_71      -3.583287
1bzc_ligand_74      -13.982818
1bzc_ligand_88      -7.8203964
1bzc_ligand_89      -2.2020068
1bzc_ligand_90      -49.824184
1bzc_ligand_99      -4.9940848
1c5z_ligand_102     -55.766716
1c5z_ligand_120     -55.814327
1c5z_ligand_129     -60.3992
1c5z_ligand_133     -61.414631
1c5z_ligand_139     -41.177277
1c5z_ligand_14      -62.166313
1c5z_ligand_163     -4.7358208
1c5z_ligand_172     -28.403973
1c5z_ligand_184     -18.134966
1c5z_ligand_188     -22.297264
1c5z_ligand_189     -19.215054
1c5z_ligand_190     -45.91151
1c5z_ligand_191     -36.026562
1c5z_ligand_192     -27.223799
1c5z_ligand_193     -8.8919821
1c5z_ligand_194     -23.026842
1c5z_ligand_195     -9.5717239
1c5z_ligand_196     -8.4962749
1c5z_ligand_197     5.6509118
1c5z_ligand_198     -23.42643
1c5z_ligand_199     -30.405708
1c5z_ligand_200     -39.737198
1c5z_ligand_201     -33.226479
1c5z_ligand_203     -48.4118
1c5z_ligand_204     -38.806919
1c5z_ligand_205     -60.281895
1c5z_ligand_206     -56.404396
1c5z_ligand_207     -49.217228
1c5z_ligand_208     -36.113491
1c5z_ligand_209     -18.976959
1c5z_ligand_21      -53.720058
1c5z_ligand_210     -35.905838
1c5z_ligand_211     -17.139174
1c5z_ligand_212     -20.377874
1c5z_ligand_214     -16.182623
1c5z_ligand_215     -29.859886
1c5z_ligand_217     -21.963257
1c5z_ligand_218     -30.259518
1c5z_ligand_219     -33.270164
1c5z_ligand_220     -36.582932
1c5z_ligand_221     -34.396389
1c5z_ligand_222     -18.237339
1c5z_ligand_223     -13.662156
