#code_ligand_num    score   
1a30_ligand_101     -98.277443
1a30_ligand_106     -93.440979
1a30_ligand_110     -100.84788
1a30_ligand_113     -68.413933
1a30_ligand_118     -112.50723
1a30_ligand_119     -111.54602
1a30_ligand_121     -85.855614
1a30_ligand_122     -104.47942
1a30_ligand_123     -97.759102
1a30_ligand_128     -97.327408
1a30_ligand_130     -119.30031
1a30_ligand_135     -118.43404
1a30_ligand_136     -112.57859
1a30_ligand_14      -127.90202
1a30_ligand_148     -62.195538
1a30_ligand_158     -93.580139
1a30_ligand_160     -96.747101
1a30_ligand_168     -82.563744
1a30_ligand_170     -76.225616
1a30_ligand_186     -62.29808
1a30_ligand_187     -75.238586
1a30_ligand_188     -84.494232
1a30_ligand_20      -111.72084
1a30_ligand_208     -40.560474
1a30_ligand_211     -86.982544
1a30_ligand_212     -79.850327
1a30_ligand_213     -75.323547
1a30_ligand_215     -80.415184
1a30_ligand_218     -81.574036
1a30_ligand_220     -53.877274
1a30_ligand_222     -66.518501
1a30_ligand_224     -77.623787
1a30_ligand_226     -99.96595
1a30_ligand_229     -55.28756
1a30_ligand_234     -72.209808
1a30_ligand_237     -68.138786
1a30_ligand_244     -58.446587
1a30_ligand_247     -64.172073
1a30_ligand_248     -63.888935
1a30_ligand_249     -57.547279
1a30_ligand_250     -64.206207
1a30_ligand_265     -103.27642
1a30_ligand_273     -96.360077
1a30_ligand_275     -94.32563
1a30_ligand_282     -86.037964
1a30_ligand_285     -103.17966
1a30_ligand_287     -98.834 
1a30_ligand_296     -98.810669
1a30_ligand_299     -68.016022
1a30_ligand_30      -79.187714
1a30_ligand_300     -83.660889
1a30_ligand_304     -56.884758
1a30_ligand_305     -74.706802
1a30_ligand_307     -72.997719
1a30_ligand_308     -80.381935
1a30_ligand_310     -82.801353
1a30_ligand_318     -77.366776
1a30_ligand_319     -95.593277
1a30_ligand_335     -83.81041
1a30_ligand_337     -73.612442
1a30_ligand_34      -99.399811
1a30_ligand_344     -83.689697
1a30_ligand_351     -112.448
1a30_ligand_360     -75.692902
1a30_ligand_369     -107.05669
1a30_ligand_38      -88.82209
1a30_ligand_383     -91.024323
1a30_ligand_389     -102.22252
1a30_ligand_393     -51.941357
1a30_ligand_403     -96.332642
1a30_ligand_42      -100.27934
1a30_ligand_423     -108.06581
1a30_ligand_427     -77.740936
1a30_ligand_435     -112.07381
1a30_ligand_442     -44.242691
1a30_ligand_444     -120.48532
1a30_ligand_445     -112.16213
1a30_ligand_447     -113.78249
1a30_ligand_467     -116.44714
1a30_ligand_5       -96.086098
1a30_ligand_51      -55.991962
1a30_ligand_52      -73.766174
1a30_ligand_53      -100.79972
1a30_ligand_56      -51.644989
1a30_ligand_58      -112.40876
1a30_ligand_59      -66.638283
1a30_ligand_64      -102.91044
1a30_ligand_66      -88.527328
1a30_ligand_69      -64.488602
1a30_ligand_7       -81.501617
1a30_ligand_74      -73.579575
1a30_ligand_76      -115.36279
1a30_ligand_79      -72.407387
1a30_ligand_81      -104.95428
1a30_ligand_85      -68.263077
1a30_ligand_87      -105.66162
1a30_ligand_88      -76.529823
1a30_ligand_9       -112.10078
1a30_ligand_94      -78.051331
1a30_ligand_96      -94.197136
1bcu_ligand_1       -40.215458
1bcu_ligand_104     -36.961235
1bcu_ligand_107     -59.547871
1bcu_ligand_118     -67.765472
1bcu_ligand_150     -93.806816
1bcu_ligand_161     -56.232521
1bcu_ligand_181     -57.81918
1bcu_ligand_188     -50.307911
1bcu_ligand_195     -59.416374
1bcu_ligand_212     -60.98518
1bcu_ligand_213     -51.320999
1bcu_ligand_214     -46.277931
1bcu_ligand_228     -46.408302
1bcu_ligand_23      -47.684963
1bcu_ligand_231     -72.711113
1bcu_ligand_232     -67.05471
1bcu_ligand_233     -60.472221
1bcu_ligand_235     -62.649387
1bcu_ligand_236     -81.04393
1bcu_ligand_239     -63.862667
1bcu_ligand_24      -32.800686
1bcu_ligand_241     -65.284683
1bcu_ligand_243     -51.694191
1bcu_ligand_247     -74.304062
1bcu_ligand_255     -78.808601
1bcu_ligand_265     -75.133324
1bcu_ligand_284     -65.543083
1bcu_ligand_290     -66.479805
1bcu_ligand_30      -43.588417
1bcu_ligand_301     -48.334816
1bcu_ligand_308     -39.034763
1bcu_ligand_316     -45.151443
1bcu_ligand_320     -59.013783
1bcu_ligand_321     -54.932163
1bcu_ligand_330     -53.685387
1bcu_ligand_335     -50.524609
1bcu_ligand_341     -64.739197
1bcu_ligand_343     -49.605942
1bcu_ligand_345     -62.028854
1bcu_ligand_351     -69.074341
1bcu_ligand_352     -46.669598
1bcu_ligand_357     -35.164089
1bcu_ligand_362     -17.229565
1bcu_ligand_363     -31.875103
1bcu_ligand_369     -28.186251
1bcu_ligand_370     -33.293179
1bcu_ligand_371     -13.152802
1bcu_ligand_373     -26.841074
1bcu_ligand_375     -17.379616
1bcu_ligand_377     -3.4902272
1bcu_ligand_378     -18.060188
1bcu_ligand_380     -1.2202706
1bcu_ligand_383     -9.6754141
1bcu_ligand_385     -34.434433
1bcu_ligand_386     -3.1982379
1bcu_ligand_387     0.080215558
1bcu_ligand_388     -16.679018
1bcu_ligand_39      -57.276306
1bcu_ligand_390     -5.1540499
1bcu_ligand_392     -17.792828
1bcu_ligand_393     -11.405775
1bcu_ligand_395     -12.843793
1bcu_ligand_396     -8.9989328
1bcu_ligand_397     0.36929703
1bcu_ligand_399     -18.832884
1bcu_ligand_400     -10.322907
1bcu_ligand_401     -45.648113
1bcu_ligand_403     -36.201057
1bcu_ligand_405     -42.216251
1bcu_ligand_408     -44.981354
1bcu_ligand_410     -50.189354
1bcu_ligand_413     -8.1298561
1bcu_ligand_414     -10.166588
1bcu_ligand_415     -30.654282
1bcu_ligand_417     -20.359556
1bcu_ligand_420     -12.416538
1bcu_ligand_421     -45.388714
1bcu_ligand_422     -29.373369
1bcu_ligand_425     -6.7070522
1bcu_ligand_429     -27.303396
1bcu_ligand_430     -16.44643
1bcu_ligand_433     -12.441037
1bcu_ligand_439     -0.79846108
1bcu_ligand_442     -1.3473036
1bcu_ligand_447     -9.7160015
1bcu_ligand_449     -12.8045
1bcu_ligand_456     -62.551945
1bcu_ligand_459     -13.419044
1bcu_ligand_46      -43.688538
1bcu_ligand_460     -50.140324
1bcu_ligand_462     -36.711411
1bcu_ligand_48      -47.698078
1bcu_ligand_480     -24.293665
1bcu_ligand_482     -64.152473
1bcu_ligand_483     -22.847109
1bcu_ligand_485     -15.6707
1bcu_ligand_488     -44.791225
1bcu_ligand_494     -17.745472
1bcu_ligand_7       -53.988903
1bcu_ligand_86      26.404106
1bzc_ligand_1       -116.58266
1bzc_ligand_115     -121.40659
1bzc_ligand_117     -73.182648
1bzc_ligand_120     -58.512932
1bzc_ligand_123     -118.30876
1bzc_ligand_15      -51.299805
1bzc_ligand_152     -81.135323
1bzc_ligand_16      -91.490501
1bzc_ligand_176     -77.615555
1bzc_ligand_18      -128.17917
1bzc_ligand_191     -91.1287
1bzc_ligand_192     -98.092834
1bzc_ligand_198     -83.12674
1bzc_ligand_200     -90.316292
1bzc_ligand_202     -97.859703
1bzc_ligand_204     -66.10392
1bzc_ligand_206     -89.188568
1bzc_ligand_208     -90.23172
1bzc_ligand_210     -63.591843
1bzc_ligand_212     -67.229431
1bzc_ligand_217     -116.48234
1bzc_ligand_218     -79.133598
1bzc_ligand_219     -64.463661
1bzc_ligand_221     -114.25275
1bzc_ligand_222     -75.468094
1bzc_ligand_225     -68.71949
1bzc_ligand_227     -73.120575
1bzc_ligand_228     -70.878105
1bzc_ligand_229     -66.90863
1bzc_ligand_233     -99.396889
1bzc_ligand_235     -77.485718
1bzc_ligand_238     -91.924629
1bzc_ligand_245     -48.123978
1bzc_ligand_246     -52.490242
1bzc_ligand_247     -99.351952
1bzc_ligand_249     -88.169647
1bzc_ligand_25      -114.436
1bzc_ligand_250     -61.113964
1bzc_ligand_251     -126.63611
1bzc_ligand_257     -117.03211
1bzc_ligand_26      -66.02404
1bzc_ligand_262     -103.55132
1bzc_ligand_265     -99.239494
1bzc_ligand_277     -103.51378
1bzc_ligand_279     -105.57286
1bzc_ligand_286     -96.344261
1bzc_ligand_292     -97.174934
1bzc_ligand_297     -102.96526
1bzc_ligand_299     -103.61005
1bzc_ligand_304     -85.146812
1bzc_ligand_309     -86.541473
1bzc_ligand_31      -119.48898
1bzc_ligand_311     -76.892075
1bzc_ligand_312     -86.072205
1bzc_ligand_314     -83.609322
1bzc_ligand_317     -87.66111
1bzc_ligand_319     -63.981743
1bzc_ligand_32      -68.35434
1bzc_ligand_329     -86.001877
1bzc_ligand_330     -89.662483
1bzc_ligand_333     -92.779388
1bzc_ligand_334     -77.464302
1bzc_ligand_340     -112.08714
1bzc_ligand_344     -99.935394
1bzc_ligand_347     -97.680717
1bzc_ligand_352     -104.21764
1bzc_ligand_354     -88.138908
1bzc_ligand_360     -70.169365
1bzc_ligand_369     -68.616867
1bzc_ligand_37      -87.645782
1bzc_ligand_370     -104.05755
1bzc_ligand_375     -52.380951
1bzc_ligand_377     -37.352886
1bzc_ligand_38      -75.2164
1bzc_ligand_385     -57.397232
1bzc_ligand_388     -125.06354
1bzc_ligand_389     -77.204117
1bzc_ligand_398     -48.057957
