#code_ligand_num    score   
1a30_ligand_100     -44.939964
1a30_ligand_102     -99.023155
1a30_ligand_104     -85.9375
1a30_ligand_110     -74.333015
1a30_ligand_113     -109.90574
1a30_ligand_115     -26.630625
1a30_ligand_119     -96.141159
1a30_ligand_12      -67.61573
1a30_ligand_121     -114.74856
1a30_ligand_124     -105.30569
1a30_ligand_125     -141.63553
1a30_ligand_127     -95.303123
1a30_ligand_132     -27.019167
1a30_ligand_133     -31.287117
1a30_ligand_134     -33.83268
1a30_ligand_137     -120.5786
1a30_ligand_15      -93.62661
1a30_ligand_16      -68.240768
1a30_ligand_160     -74.57547
1a30_ligand_18      -41.522423
1a30_ligand_185     -70.56163
1a30_ligand_19      -71.54953
1a30_ligand_2       -32.625435
1a30_ligand_20      -34.534752
1a30_ligand_201     -7.249845
1a30_ligand_202     -57.792866
1a30_ligand_204     -38.594864
1a30_ligand_206     -60.010754
1a30_ligand_208     -24.395733
1a30_ligand_209     -38.27589
1a30_ligand_212     -38.831989
1a30_ligand_216     -51.599228
1a30_ligand_217     -22.713287
1a30_ligand_218     -23.971514
1a30_ligand_219     -21.507597
1a30_ligand_22      -60.313927
1a30_ligand_220     -35.231182
1a30_ligand_221     -32.022884
1a30_ligand_223     -29.448812
1a30_ligand_224     -38.898376
1a30_ligand_226     -11.05292
1a30_ligand_227     -26.643621
1a30_ligand_228     -24.59285
1a30_ligand_230     -28.698296
1a30_ligand_231     -33.617352
1a30_ligand_236     -17.171824
1a30_ligand_24      -48.128666
1a30_ligand_240     -47.221207
1a30_ligand_244     -46.095467
1a30_ligand_245     -32.479752
1a30_ligand_246     -2.432416
1a30_ligand_247     -18.573736
1a30_ligand_249     -19.731125
1a30_ligand_253     -58.24667
1a30_ligand_26      -29.253498
1a30_ligand_267     -68.111641
1a30_ligand_27      -117.64896
1a30_ligand_270     -87.40374
1a30_ligand_272     -99.943542
1a30_ligand_278     -52.060898
1a30_ligand_281     -57.9063
1a30_ligand_289     -68.682091
1a30_ligand_297     -53.938343
1a30_ligand_298     -80.777122
1a30_ligand_299     -64.342468
1a30_ligand_300     -50.44622
1a30_ligand_313     -59.954494
1a30_ligand_32      -41.297314
1a30_ligand_322     -60.003944
1a30_ligand_327     -62.592358
1a30_ligand_341     -52.160294
1a30_ligand_343     -58.944466
1a30_ligand_347     -61.148251
1a30_ligand_348     -56.252304
1a30_ligand_357     -129.55019
1a30_ligand_38      -45.48473
1a30_ligand_384     -125.66528
1a30_ligand_389     -94.157951
1a30_ligand_40      -31.231695
1a30_ligand_42      -56.249031
1a30_ligand_46      -59.675514
1a30_ligand_49      -56.179443
1a30_ligand_5       -27.733826
1a30_ligand_50      -47.320576
1a30_ligand_51      -84.913567
1a30_ligand_52      -72.835373
1a30_ligand_54      -40.097958
1a30_ligand_56      -73.374069
1a30_ligand_62      -22.523876
1a30_ligand_64      -34.991322
1a30_ligand_65      -64.77784
1a30_ligand_67      -42.392616
1a30_ligand_70      -47.469509
1a30_ligand_76      -29.011581
1a30_ligand_78      -64.87236
1a30_ligand_79      -54.727459
1a30_ligand_86      -81.713684
1a30_ligand_90      -19.874899
1a30_ligand_92      -59.079334
1a30_ligand_98      -75.505836
1bcu_ligand_126     -73.853493
1bcu_ligand_158     -64.11454
1bcu_ligand_161     -63.052284
1bcu_ligand_166     -49.074772
1bcu_ligand_168     -70.934288
1bcu_ligand_171     -62.937378
1bcu_ligand_174     -56.783688
1bcu_ligand_175     -54.59988
1bcu_ligand_177     -69.288399
1bcu_ligand_180     -51.539276
1bcu_ligand_182     -58.946938
1bcu_ligand_185     -48.056965
1bcu_ligand_19      -71.113312
1bcu_ligand_193     -58.239929
1bcu_ligand_194     -48.523441
1bcu_ligand_196     -52.674709
1bcu_ligand_199     -40.859272
1bcu_ligand_21      -74.361847
1bcu_ligand_210     -85.37262
1bcu_ligand_214     -85.162674
1bcu_ligand_225     -73.261993
1bcu_ligand_226     -63.723675
1bcu_ligand_230     -61.507553
1bcu_ligand_233     -54.075771
1bcu_ligand_234     -49.921196
1bcu_ligand_237     -79.099945
1bcu_ligand_240     -63.68008
1bcu_ligand_243     -75.391411
1bcu_ligand_244     -78.177185
1bcu_ligand_248     -55.610958
1bcu_ligand_250     -55.70966
1bcu_ligand_273     -83.4058
1bcu_ligand_276     -85.720192
1bcu_ligand_286     -78.864365
1bcu_ligand_297     -77.783562
1bcu_ligand_302     -68.886017
1bcu_ligand_303     -72.761086
1bcu_ligand_314     -54.312206
1bcu_ligand_315     -60.142246
1bcu_ligand_317     -62.671314
1bcu_ligand_33      -72.963364
1bcu_ligand_330     -71.155014
1bcu_ligand_333     -53.750111
1bcu_ligand_337     -54.038692
1bcu_ligand_338     -68.659531
1bcu_ligand_339     -65.024467
1bcu_ligand_343     -54.447815
1bcu_ligand_349     -57.528233
1bcu_ligand_363     -52.800941
1bcu_ligand_366     -19.543674
1bcu_ligand_369     -16.268452
1bcu_ligand_370     -27.637005
1bcu_ligand_372     -19.834459
1bcu_ligand_373     -21.57085
1bcu_ligand_374     -19.504528
1bcu_ligand_375     -52.669159
1bcu_ligand_376     -12.640437
1bcu_ligand_377     -46.092648
1bcu_ligand_38      -68.794571
1bcu_ligand_380     -27.838581
1bcu_ligand_381     -24.564342
1bcu_ligand_383     1.7186209
1bcu_ligand_384     -21.401785
1bcu_ligand_385     -19.670227
1bcu_ligand_386     -7.7054739
1bcu_ligand_387     -25.354019
1bcu_ligand_388     -27.203768
1bcu_ligand_389     -21.90346
1bcu_ligand_392     -24.400581
1bcu_ligand_393     -14.285604
1bcu_ligand_396     -22.691338
1bcu_ligand_398     -22.255194
1bcu_ligand_400     -20.17581
1bcu_ligand_402     -40.119251
1bcu_ligand_403     -67.239891
1bcu_ligand_409     -25.860033
1bcu_ligand_424     -50.086746
1bcu_ligand_425     -29.443895
1bcu_ligand_426     -34.328117
1bcu_ligand_43      -65.105812
1bcu_ligand_430     -40.911625
1bcu_ligand_432     -44.53614
1bcu_ligand_437     -57.220211
1bcu_ligand_44      -74.868988
1bcu_ligand_443     -40.556946
1bcu_ligand_445     -22.532356
1bcu_ligand_447     -9.969697
