#code_ligand_num    score   
1a30_ligand_1       -109.75967
1a30_ligand_105     -123.46941
1a30_ligand_107     -160.13292
1a30_ligand_114     -120.86773
1a30_ligand_12      -140.80864
1a30_ligand_132     -123.53197
1a30_ligand_135     -133.96275
1a30_ligand_137     -93.738998
1a30_ligand_153     -96.446991
1a30_ligand_163     -91.485733
1a30_ligand_166     -115.34872
1a30_ligand_17      -101.62832
1a30_ligand_172     -81.65126
1a30_ligand_178     -95.705734
1a30_ligand_179     -89.726242
1a30_ligand_180     -80.805832
1a30_ligand_185     -130.18137
1a30_ligand_186     -91.856514
1a30_ligand_188     -120.04532
1a30_ligand_19      -151.63939
1a30_ligand_193     -93.737495
1a30_ligand_196     -91.684563
1a30_ligand_209     -100.97572
1a30_ligand_210     -112.03455
1a30_ligand_211     -99.106163
1a30_ligand_213     -84.869583
1a30_ligand_216     -96.357613
1a30_ligand_218     -94.586586
1a30_ligand_219     -104.65974
1a30_ligand_222     -77.70166
1a30_ligand_224     -96.616142
1a30_ligand_227     -115.22567
1a30_ligand_228     -112.52393
1a30_ligand_229     -33.560043
1a30_ligand_230     -99.305183
1a30_ligand_232     -117.08237
1a30_ligand_233     -91.307129
1a30_ligand_234     -95.044861
1a30_ligand_238     -112.07353
1a30_ligand_239     -86.040146
1a30_ligand_24      -116.68116
1a30_ligand_241     -89.720177
1a30_ligand_245     -91.411499
1a30_ligand_246     -88.3545
1a30_ligand_254     -140.62747
1a30_ligand_257     -148.52927
1a30_ligand_258     -127.10801
1a30_ligand_262     -135.78143
1a30_ligand_264     -131.17458
1a30_ligand_266     -116.03802
1a30_ligand_267     -131.31024
1a30_ligand_269     -131.81958
1a30_ligand_270     -136.04668
1a30_ligand_271     -121.16711
1a30_ligand_276     -122.30663
1a30_ligand_279     -121.81494
1a30_ligand_282     -129.57256
1a30_ligand_285     -144.96164
1a30_ligand_287     -130.23695
1a30_ligand_288     -101.64745
1a30_ligand_290     -119.96011
1a30_ligand_293     -129.43643
1a30_ligand_295     -111.49155
1a30_ligand_296     -119.29557
1a30_ligand_298     -119.16776
1a30_ligand_299     -127.40256
1a30_ligand_3       -123.31686
