#code_ligand_num    score   
1g2k_ligand_101     -5.51657
1g2k_ligand_105     -3.85595
1g2k_ligand_109     -4.86649
1g2k_ligand_12      -4.24040
1g2k_ligand_129     -3.91903
1g2k_ligand_13      -4.84935
1g2k_ligand_136     -4.27722
1g2k_ligand_139     -3.36497
1g2k_ligand_140     -4.04720
1g2k_ligand_149     -4.06022
1g2k_ligand_156     23.43823
1g2k_ligand_174     -1.53068
1g2k_ligand_184     5.65664 
1g2k_ligand_186     3.47922 
1g2k_ligand_192     12.76469
1g2k_ligand_199     17.00237
1g2k_ligand_2       -4.13686
1g2k_ligand_206     -3.79784
1g2k_ligand_215     -2.70249
1g2k_ligand_218     -1.52971
1g2k_ligand_221     -3.49744
1g2k_ligand_222     -2.69931
1g2k_ligand_223     -2.59624
1g2k_ligand_227     -0.93301
1g2k_ligand_228     -1.49026
1g2k_ligand_229     0.15352 
1g2k_ligand_230     -1.85177
1g2k_ligand_232     -1.71888
1g2k_ligand_235     -1.89450
1g2k_ligand_236     -1.00348
1g2k_ligand_237     -1.53963
1g2k_ligand_238     -1.56028
1g2k_ligand_241     -1.43245
1g2k_ligand_243     -2.13541
1g2k_ligand_247     -0.88891
1g2k_ligand_248     0.18283 
1g2k_ligand_252     -0.40400
1g2k_ligand_254     1.69413 
1g2k_ligand_255     8.50020 
1g2k_ligand_256     -1.16667
1g2k_ligand_261     -0.89297
1g2k_ligand_264     8.63241 
1g2k_ligand_265     -1.00016
1g2k_ligand_266     6.31678 
1g2k_ligand_267     1.62054 
1g2k_ligand_269     4.13526 
1g2k_ligand_271     2.56536 
1g2k_ligand_272     15.18491
1g2k_ligand_273     4.39374 
1g2k_ligand_275     9.80678 
1g2k_ligand_283     -2.25000
1g2k_ligand_289     3.14373 
1g2k_ligand_29      -4.08697
1g2k_ligand_290     0.06639 
1g2k_ligand_294     -2.04288
1g2k_ligand_305     -1.40046
1g2k_ligand_312     9.18904 
1g2k_ligand_313     7.54855 
1g2k_ligand_315     6.87933 
1g2k_ligand_324     12.31827
1g2k_ligand_325     -1.60236
1g2k_ligand_328     0.92236 
1g2k_ligand_330     0.44551 
1g2k_ligand_331     -0.41087
1g2k_ligand_332     6.90828 
1g2k_ligand_334     4.54596 
1g2k_ligand_337     6.08314 
1g2k_ligand_338     0.02669 
1g2k_ligand_341     7.95664 
1g2k_ligand_344     3.47481 
1g2k_ligand_346     5.61320 
1g2k_ligand_35      -4.72295
1g2k_ligand_356     -6.09831
1g2k_ligand_37      -3.15724
1g2k_ligand_400     -5.05982
1g2k_ligand_41      -4.00233
1g2k_ligand_421     -3.37068
1g2k_ligand_433     -2.62504
1g2k_ligand_443     -4.20772
1g2k_ligand_47      -3.80960
1g2k_ligand_49      -4.07067
1g2k_ligand_5       -2.99583
1g2k_ligand_52      -4.77768
1g2k_ligand_53      -3.59779
1g2k_ligand_59      -4.41310
1g2k_ligand_62      -4.09271
1g2k_ligand_7       -4.40038
1g2k_ligand_70      -4.04095
1g2k_ligand_71      -2.71333
1g2k_ligand_73      -3.25235
1g2k_ligand_75      -4.54005
1g2k_ligand_76      -2.23069
1g2k_ligand_80      -4.47448
1g2k_ligand_81      -3.72380
1g2k_ligand_86      -0.40346
1g2k_ligand_87      -3.29508
1g2k_ligand_89      -2.94186
1g2k_ligand_94      -3.72440
1g2k_ligand_96      -4.86065
1g2k_ligand_99      -4.84014
2v00_ligand_10      -4.47986
2v00_ligand_106     -4.52629
2v00_ligand_109     -4.70791
2v00_ligand_116     -4.32305
2v00_ligand_122     -4.51834
2v00_ligand_132     -5.32142
2v00_ligand_137     -4.98963
