#code_ligand_num    score   
1g2k_ligand_1       -7.73898
1g2k_ligand_107     -6.79390
1g2k_ligand_108     -6.96591
1g2k_ligand_113     -6.05270
1g2k_ligand_117     -7.70320
1g2k_ligand_118     -6.70663
1g2k_ligand_119     -7.05801
1g2k_ligand_123     -8.36228
1g2k_ligand_124     -6.01524
1g2k_ligand_126     -7.09804
1g2k_ligand_127     -6.61864
1g2k_ligand_128     -6.06393
1g2k_ligand_129     -5.83612
1g2k_ligand_133     -6.69245
1g2k_ligand_137     -7.09568
1g2k_ligand_151     35.59491
1g2k_ligand_153     17.41750
1g2k_ligand_159     16.80597
1g2k_ligand_174     15.40181
1g2k_ligand_180     28.00670
1g2k_ligand_181     19.17144
1g2k_ligand_191     19.81995
1g2k_ligand_192     5.88615 
1g2k_ligand_193     22.36373
1g2k_ligand_195     22.82062
1g2k_ligand_196     21.96127
1g2k_ligand_202     -5.44065
1g2k_ligand_203     -5.23366
1g2k_ligand_205     -2.22429
1g2k_ligand_21      -6.25145
1g2k_ligand_210     -3.96347
1g2k_ligand_218     0.03973 
1g2k_ligand_220     -0.59278
1g2k_ligand_221     -0.86693
1g2k_ligand_223     -0.80961
1g2k_ligand_233     -0.33057
1g2k_ligand_234     1.58490 
1g2k_ligand_235     -0.96623
1g2k_ligand_237     1.58695 
1g2k_ligand_238     1.37508 
1g2k_ligand_239     1.15810 
1g2k_ligand_244     1.65691 
1g2k_ligand_245     1.48782 
1g2k_ligand_246     2.70024 
1g2k_ligand_249     0.69594 
1g2k_ligand_250     0.16093 
1g2k_ligand_252     1.84938 
1g2k_ligand_253     4.26044 
1g2k_ligand_265     4.38331 
1g2k_ligand_268     1.67325 
1g2k_ligand_27      -5.74790
1g2k_ligand_274     22.10708
1g2k_ligand_277     3.34489 
1g2k_ligand_278     7.29867 
1g2k_ligand_280     6.19358 
1g2k_ligand_281     1.56489 
1g2k_ligand_283     7.68316 
1g2k_ligand_284     15.59082
1g2k_ligand_286     3.97950 
1g2k_ligand_288     -0.93994
1g2k_ligand_289     10.98561
1g2k_ligand_290     5.84305 
1g2k_ligand_291     14.31083
1g2k_ligand_3       -8.14837
1g2k_ligand_304     2.55034 
1g2k_ligand_309     0.82486 
1g2k_ligand_310     -2.12557
1g2k_ligand_311     11.11725
1g2k_ligand_312     0.25527 
1g2k_ligand_314     0.29436 
1g2k_ligand_318     2.13343 
1g2k_ligand_319     -2.37779
1g2k_ligand_322     9.93499 
1g2k_ligand_327     8.37528 
1g2k_ligand_328     -1.51768
1g2k_ligand_329     1.21776 
1g2k_ligand_330     13.95748
1g2k_ligand_331     1.71048 
1g2k_ligand_335     5.31827 
1g2k_ligand_338     1.83258 
1g2k_ligand_341     6.44424 
1g2k_ligand_343     4.70924 
1g2k_ligand_344     11.27437
1g2k_ligand_35      -7.60654
1g2k_ligand_361     -5.69899
1g2k_ligand_365     -7.34216
1g2k_ligand_372     -4.51032
1g2k_ligand_39      -7.31701
1g2k_ligand_390     -6.72835
1g2k_ligand_412     -2.90112
1g2k_ligand_444     -6.13339
1g2k_ligand_462     -4.81652
1g2k_ligand_486     -3.89774
1g2k_ligand_495     -4.87303
1g2k_ligand_498     -5.02626
1g2k_ligand_500     -2.36993
1g2k_ligand_66      -6.66289
1g2k_ligand_82      -4.46857
1g2k_ligand_85      -4.99074
1g2k_ligand_88      -5.21888
2v00_ligand_104     -6.69957
2v00_ligand_118     -6.80168
2v00_ligand_119     -7.16605
2v00_ligand_122     -6.61134
2v00_ligand_128     -5.69203
2v00_ligand_130     -6.95920
2v00_ligand_139     -5.94074
2v00_ligand_14      -6.81078
2v00_ligand_147     -6.65045
2v00_ligand_163     -1.92589
2v00_ligand_174     -4.33943
2v00_ligand_176     -4.36367
2v00_ligand_177     -0.99435
2v00_ligand_18      -6.80342
2v00_ligand_183     1.73320 
2v00_ligand_19      -7.00295
2v00_ligand_191     -4.65002
2v00_ligand_192     5.35304 
2v00_ligand_194     1.12611 
2v00_ligand_196     0.04863 
2v00_ligand_199     -3.92645
2v00_ligand_200     1.77636 
2v00_ligand_202     -2.03980
2v00_ligand_203     -4.70178
