#code_ligand_num    score   
1g2k_ligand_1       3.80481 
1g2k_ligand_104     3.36777 
1g2k_ligand_105     5.13620 
1g2k_ligand_106     3.09132 
1g2k_ligand_115     -1.19135
1g2k_ligand_122     2.51757 
1g2k_ligand_135     6.09664 
1g2k_ligand_146     1.25700 
1g2k_ligand_152     25.83323
1g2k_ligand_154     42.72047
1g2k_ligand_157     22.57637
1g2k_ligand_159     40.72594
1g2k_ligand_162     31.42812
1g2k_ligand_172     21.07709
1g2k_ligand_173     62.35184
1g2k_ligand_174     32.98335
1g2k_ligand_175     49.39606
1g2k_ligand_177     49.04679
1g2k_ligand_178     45.69822
1g2k_ligand_181     53.55971
1g2k_ligand_182     58.62675
1g2k_ligand_183     40.24976
1g2k_ligand_184     37.84530
1g2k_ligand_185     62.50300
1g2k_ligand_187     44.31009
1g2k_ligand_189     60.91412
1g2k_ligand_190     52.32668
1g2k_ligand_192     68.11168
1g2k_ligand_193     24.28501
1g2k_ligand_194     57.83301
1g2k_ligand_195     40.42606
1g2k_ligand_198     34.62454
1g2k_ligand_211     24.73583
1g2k_ligand_216     25.03346
1g2k_ligand_218     27.30484
1g2k_ligand_226     26.04324
1g2k_ligand_228     26.61881
1g2k_ligand_235     35.16363
1g2k_ligand_236     30.96228
1g2k_ligand_239     34.65895
1g2k_ligand_243     29.21936
1g2k_ligand_244     31.90583
1g2k_ligand_249     36.26071
1g2k_ligand_250     31.87547
1g2k_ligand_256     29.49317
1g2k_ligand_264     29.86720
1g2k_ligand_266     40.18812
1g2k_ligand_271     37.80782
1g2k_ligand_272     35.47815
1g2k_ligand_273     43.18557
1g2k_ligand_274     34.33251
1g2k_ligand_277     32.26087
1g2k_ligand_278     36.74754
1g2k_ligand_282     33.16903
1g2k_ligand_283     38.09871
1g2k_ligand_284     46.50483
1g2k_ligand_289     37.34285
1g2k_ligand_291     43.59863
1g2k_ligand_293     40.45582
1g2k_ligand_294     40.85069
1g2k_ligand_298     41.95753
1g2k_ligand_299     41.12868
1g2k_ligand_301     21.85709
1g2k_ligand_303     27.88998
1g2k_ligand_304     38.20860
1g2k_ligand_312     33.96610
1g2k_ligand_314     35.88662
1g2k_ligand_318     36.24297
1g2k_ligand_320     37.90995
1g2k_ligand_323     47.82303
1g2k_ligand_327     38.23074
1g2k_ligand_333     36.21762
1g2k_ligand_334     38.50090
1g2k_ligand_336     31.44609
1g2k_ligand_340     33.79653
1g2k_ligand_341     47.74835
1g2k_ligand_343     36.62993
1g2k_ligand_345     39.95988
1g2k_ligand_348     34.63589
1g2k_ligand_349     36.94076
1g2k_ligand_350     42.98624
