#code_ligand_num    score   
1g2k_ligand_105     -6.23870
1g2k_ligand_11      -4.21052
1g2k_ligand_114     -5.29512
1g2k_ligand_120     -4.09898
1g2k_ligand_127     -5.93756
1g2k_ligand_13      -3.55576
1g2k_ligand_131     -4.85671
1g2k_ligand_135     -4.43481
1g2k_ligand_14      -5.06579
1g2k_ligand_140     -1.88891
1g2k_ligand_146     -4.97774
1g2k_ligand_15      -3.94355
1g2k_ligand_16      -4.26631
1g2k_ligand_161     29.94288
1g2k_ligand_170     18.00267
1g2k_ligand_171     24.55567
1g2k_ligand_177     46.24388
1g2k_ligand_179     25.74938
1g2k_ligand_180     35.64185
1g2k_ligand_192     32.69943
1g2k_ligand_196     19.30794
1g2k_ligand_200     21.34485
1g2k_ligand_201     2.01106 
1g2k_ligand_209     8.53463 
1g2k_ligand_218     11.03102
1g2k_ligand_22      -5.25280
1g2k_ligand_220     8.98903 
1g2k_ligand_224     11.42721
1g2k_ligand_226     10.07469
1g2k_ligand_228     13.43339
1g2k_ligand_229     13.12111
1g2k_ligand_23      -5.96431
1g2k_ligand_231     13.09312
1g2k_ligand_234     15.64123
1g2k_ligand_237     15.28858
1g2k_ligand_242     13.90157
1g2k_ligand_245     15.88457
1g2k_ligand_249     18.53212
1g2k_ligand_26      -4.25532
1g2k_ligand_28      -4.31233
1g2k_ligand_280     17.86630
1g2k_ligand_288     26.28494
1g2k_ligand_289     10.89478
1g2k_ligand_29      -5.20369
1g2k_ligand_292     -0.64261
1g2k_ligand_293     24.16989
1g2k_ligand_294     6.31776 
1g2k_ligand_297     26.01454
1g2k_ligand_3       -5.82908
1g2k_ligand_30      -5.06346
1g2k_ligand_304     14.24921
1g2k_ligand_305     22.79899
1g2k_ligand_306     14.70466
1g2k_ligand_307     10.40135
1g2k_ligand_312     10.63025
1g2k_ligand_319     14.75858
1g2k_ligand_327     22.40138
1g2k_ligand_33      -5.18239
1g2k_ligand_334     14.49213
1g2k_ligand_337     23.92727
1g2k_ligand_338     17.84851
1g2k_ligand_339     9.90073 
1g2k_ligand_340     9.21577 
1g2k_ligand_341     18.62395
1g2k_ligand_342     22.08475
1g2k_ligand_343     23.19879
1g2k_ligand_346     24.85353
1g2k_ligand_347     24.63965
1g2k_ligand_35      -5.94683
1g2k_ligand_350     17.58722
1g2k_ligand_354     -0.47386
1g2k_ligand_359     0.78927 
1g2k_ligand_36      -4.91683
1g2k_ligand_38      -4.10573
1g2k_ligand_380     -2.07378
1g2k_ligand_382     -3.00405
1g2k_ligand_386     -0.12360
1g2k_ligand_4       -4.38974
1g2k_ligand_42      -4.32935
1g2k_ligand_424     -4.38854
1g2k_ligand_43      -6.10841
1g2k_ligand_436     -2.50532
1g2k_ligand_442     -3.30677
1g2k_ligand_445     -1.76926
1g2k_ligand_453     -4.55456
1g2k_ligand_465     -5.30014
1g2k_ligand_472     1.46294 
1g2k_ligand_473     -3.87228
1g2k_ligand_48      -4.42114
1g2k_ligand_488     -4.76579
1g2k_ligand_498     -3.63208
1g2k_ligand_5       -5.11235
1g2k_ligand_53      -4.80929
1g2k_ligand_56      -4.58725
