#code_ligand_num    score   
1g2k_ligand_104     -6.58319
1g2k_ligand_111     -6.94179
1g2k_ligand_116     -4.78814
1g2k_ligand_12      -4.33514
1g2k_ligand_124     -4.62634
1g2k_ligand_130     -5.97065
1g2k_ligand_131     -4.12350
1g2k_ligand_135     -2.74842
1g2k_ligand_146     -3.47995
1g2k_ligand_147     -6.01262
1g2k_ligand_148     -5.03784
1g2k_ligand_158     22.40530
1g2k_ligand_16      -4.26927
1g2k_ligand_168     20.45714
1g2k_ligand_169     27.75480
1g2k_ligand_17      -5.45704
1g2k_ligand_179     19.01374
1g2k_ligand_18      -5.95374
1g2k_ligand_188     20.06577
1g2k_ligand_19      -5.56967
1g2k_ligand_190     29.08361
1g2k_ligand_193     24.50082
1g2k_ligand_195     25.13665
1g2k_ligand_198     33.93372
1g2k_ligand_206     -1.90904
1g2k_ligand_207     -1.04784
1g2k_ligand_208     -0.38568
1g2k_ligand_209     0.45710 
1g2k_ligand_210     -1.73469
1g2k_ligand_211     0.02879 
1g2k_ligand_217     0.54750 
1g2k_ligand_218     0.32934 
1g2k_ligand_222     2.46379 
1g2k_ligand_223     1.27234 
1g2k_ligand_224     3.15962 
1g2k_ligand_226     0.60588 
1g2k_ligand_233     2.48834 
1g2k_ligand_234     3.10166 
1g2k_ligand_235     1.73521 
1g2k_ligand_237     1.79416 
1g2k_ligand_238     1.44348 
1g2k_ligand_239     4.01457 
1g2k_ligand_241     2.06905 
1g2k_ligand_242     5.04912 
1g2k_ligand_243     1.03482 
1g2k_ligand_244     5.20164 
1g2k_ligand_245     2.27596 
1g2k_ligand_247     1.91374 
1g2k_ligand_248     3.46826 
1g2k_ligand_251     12.86672
1g2k_ligand_26      -3.08565
1g2k_ligand_262     0.44157 
1g2k_ligand_265     9.84872 
1g2k_ligand_27      -6.33469
1g2k_ligand_273     -1.99479
1g2k_ligand_274     4.06436 
1g2k_ligand_276     16.66403
1g2k_ligand_279     3.99847 
1g2k_ligand_284     13.84654
1g2k_ligand_286     2.81795 
1g2k_ligand_287     12.27099
1g2k_ligand_292     11.35640
1g2k_ligand_293     11.46338
1g2k_ligand_294     4.50118 
1g2k_ligand_295     11.03419
1g2k_ligand_297     7.75870 
1g2k_ligand_304     0.11991 
1g2k_ligand_307     1.78830 
1g2k_ligand_310     3.22162 
