#code_ligand_num    score   
1g2k_ligand_1       -6.16196
1g2k_ligand_100     -4.81233
1g2k_ligand_101     -5.54298
1g2k_ligand_102     -4.03570
1g2k_ligand_107     -5.04528
1g2k_ligand_113     -7.02984
1g2k_ligand_114     -5.19289
1g2k_ligand_127     -5.43189
1g2k_ligand_128     -5.69929
1g2k_ligand_135     -5.25417
1g2k_ligand_137     -5.22323
1g2k_ligand_155     24.43970
1g2k_ligand_159     17.38206
1g2k_ligand_168     23.55556
1g2k_ligand_174     15.91421
1g2k_ligand_175     19.69020
1g2k_ligand_179     11.78156
1g2k_ligand_18      -6.14706
1g2k_ligand_183     15.81178
1g2k_ligand_184     11.94702
1g2k_ligand_185     9.99701 
1g2k_ligand_197     26.06451
1g2k_ligand_201     -4.54786
1g2k_ligand_203     -4.12157
1g2k_ligand_204     -2.85180
1g2k_ligand_208     -3.03768
1g2k_ligand_210     -3.47515
1g2k_ligand_211     -1.79860
1g2k_ligand_215     -2.19256
1g2k_ligand_217     -2.70735
1g2k_ligand_218     -2.26001
1g2k_ligand_219     -2.60213
1g2k_ligand_220     -3.07208
1g2k_ligand_221     -3.36528
1g2k_ligand_222     -2.63498
1g2k_ligand_223     -2.67534
1g2k_ligand_226     -2.19153
1g2k_ligand_228     -2.34779
1g2k_ligand_229     -2.36386
1g2k_ligand_231     -2.74431
1g2k_ligand_233     -1.90329
1g2k_ligand_234     -0.88363
1g2k_ligand_241     -1.44613
1g2k_ligand_242     -1.62429
1g2k_ligand_243     -2.31814
1g2k_ligand_248     -1.92834
1g2k_ligand_25      -4.65832
1g2k_ligand_250     -1.59010
1g2k_ligand_257     -2.94150
1g2k_ligand_266     25.21313
1g2k_ligand_267     2.80748 
1g2k_ligand_269     10.20917
1g2k_ligand_276     1.28218 
1g2k_ligand_278     0.54367 
1g2k_ligand_281     -1.16426
1g2k_ligand_283     4.31844 
1g2k_ligand_285     0.26978 
1g2k_ligand_29      -6.68848
1g2k_ligand_290     -2.28565
1g2k_ligand_291     -4.15294
1g2k_ligand_292     1.30093 
1g2k_ligand_293     6.29505 
1g2k_ligand_298     -2.80902
1g2k_ligand_300     -3.57407
1g2k_ligand_307     9.27342 
1g2k_ligand_31      -5.72489
1g2k_ligand_313     10.78096
1g2k_ligand_316     -0.41468
1g2k_ligand_317     3.44190 
1g2k_ligand_322     11.99297
1g2k_ligand_329     -4.23655
1g2k_ligand_33      -6.04626
1g2k_ligand_331     -0.17825
1g2k_ligand_340     -3.29480
1g2k_ligand_344     15.77442
1g2k_ligand_346     4.80450 
1g2k_ligand_347     4.16103 
1g2k_ligand_348     2.21186 
1g2k_ligand_380     -1.13492
1g2k_ligand_389     -2.88711
1g2k_ligand_390     -1.24137
1g2k_ligand_40      -6.67628
1g2k_ligand_424     -4.42903
1g2k_ligand_426     -3.82659
1g2k_ligand_437     -2.94685
1g2k_ligand_444     -2.03849
1g2k_ligand_457     -0.83306
1g2k_ligand_476     -0.37642
1g2k_ligand_480     -3.20559
1g2k_ligand_482     -0.95412
1g2k_ligand_51      -6.29954
1g2k_ligand_61      -5.87958
1g2k_ligand_64      -3.62397
1g2k_ligand_65      -5.75024
1g2k_ligand_67      -4.60495
1g2k_ligand_69      -5.14174
1g2k_ligand_70      -6.54731
1g2k_ligand_73      -3.76522
1g2k_ligand_78      -5.56145
1g2k_ligand_95      -3.68418
2v00_ligand_100     -6.08262
2v00_ligand_108     -6.55402
2v00_ligand_118     -5.23215
2v00_ligand_123     -5.40002
2v00_ligand_128     -5.65173
2v00_ligand_14      -5.42668
2v00_ligand_15      -5.17859
2v00_ligand_150     -6.66423
2v00_ligand_153     0.33130 
2v00_ligand_154     -1.05201
2v00_ligand_155     1.68431 
2v00_ligand_158     -4.17546
2v00_ligand_189     -4.55664
2v00_ligand_191     -3.88581
2v00_ligand_193     9.36450 
2v00_ligand_197     -1.96611
2v00_ligand_199     0.23748 
2v00_ligand_202     -3.76547
2v00_ligand_206     -5.10020
2v00_ligand_207     -3.55922
2v00_ligand_211     -1.90796
2v00_ligand_219     -4.85317
2v00_ligand_220     -4.38628
2v00_ligand_221     -2.25801
2v00_ligand_224     -4.83146
2v00_ligand_231     -0.89948
2v00_ligand_232     -3.69962
2v00_ligand_233     -3.60148
2v00_ligand_236     -3.45524
2v00_ligand_237     -4.68169
2v00_ligand_24      -5.76506
2v00_ligand_240     -2.60558
2v00_ligand_243     -2.58753
2v00_ligand_245     -4.90791
2v00_ligand_246     -2.90151
2v00_ligand_249     -4.35037
2v00_ligand_25      -5.43560
2v00_ligand_252     0.63561 
2v00_ligand_254     -2.33428
2v00_ligand_256     -2.32608
2v00_ligand_262     1.48720 
2v00_ligand_263     2.70202 
2v00_ligand_264     -5.38236
2v00_ligand_265     -3.90944
2v00_ligand_267     -1.37709
