#code_ligand_num    score   
1g2k_ligand_104     21.86225
1g2k_ligand_141     38.70893
1g2k_ligand_145     38.12929
1g2k_ligand_150     25.82759
1g2k_ligand_157     85.95905
1g2k_ligand_161     96.70735
1g2k_ligand_163     86.54204
1g2k_ligand_165     88.73373
1g2k_ligand_169     69.25628
1g2k_ligand_177     89.76604
1g2k_ligand_179     104.11038
1g2k_ligand_180     86.24526
1g2k_ligand_182     66.52305
1g2k_ligand_183     71.33368
1g2k_ligand_184     93.14649
1g2k_ligand_189     118.11780
1g2k_ligand_192     87.55388
1g2k_ligand_201     40.38467
1g2k_ligand_204     52.66584
1g2k_ligand_205     52.51569
1g2k_ligand_207     54.74439
1g2k_ligand_217     63.53908
1g2k_ligand_220     58.96771
1g2k_ligand_221     59.52860
1g2k_ligand_223     57.34441
1g2k_ligand_224     57.77531
1g2k_ligand_227     61.67096
1g2k_ligand_234     60.33470
1g2k_ligand_241     60.32452
1g2k_ligand_242     62.43624
1g2k_ligand_243     61.83435
1g2k_ligand_251     55.30124
1g2k_ligand_252     45.93020
1g2k_ligand_253     55.81996
1g2k_ligand_257     63.42107
1g2k_ligand_260     57.94852
1g2k_ligand_261     58.35562
1g2k_ligand_270     52.63830
1g2k_ligand_271     59.37696
1g2k_ligand_272     78.24111
1g2k_ligand_275     61.31112
1g2k_ligand_279     86.08785
1g2k_ligand_280     60.97441
1g2k_ligand_282     93.30887
1g2k_ligand_283     70.26055
1g2k_ligand_284     69.34349
1g2k_ligand_293     74.55344
1g2k_ligand_295     50.35155
1g2k_ligand_299     54.81863
1g2k_ligand_303     52.99849
1g2k_ligand_312     59.39980
1g2k_ligand_316     75.55816
1g2k_ligand_317     56.18208
1g2k_ligand_319     65.08560
1g2k_ligand_321     61.18407
1g2k_ligand_322     82.15686
1g2k_ligand_325     50.80061
1g2k_ligand_328     85.26536
1g2k_ligand_329     62.44213
1g2k_ligand_331     68.55899
1g2k_ligand_334     63.59845
1g2k_ligand_338     68.07228
1g2k_ligand_339     68.52080
1g2k_ligand_343     66.22365
1g2k_ligand_347     67.41937
1g2k_ligand_348     69.83572
1g2k_ligand_349     89.40496
1g2k_ligand_350     84.48699
1g2k_ligand_369     37.92197
1g2k_ligand_370     30.82780
1g2k_ligand_372     42.64743
1g2k_ligand_377     52.16533
1g2k_ligand_386     39.67352
1g2k_ligand_387     48.91479
1g2k_ligand_391     51.09807
1g2k_ligand_393     41.15187
1g2k_ligand_396     74.55149
1g2k_ligand_410     29.15915
1g2k_ligand_415     28.01345
1g2k_ligand_421     23.97221
1g2k_ligand_429     32.85570
1g2k_ligand_431     31.43053
1g2k_ligand_432     30.41463
1g2k_ligand_433     36.16466
1g2k_ligand_439     36.09237
1g2k_ligand_440     31.03648
1g2k_ligand_442     34.62339
1g2k_ligand_443     38.40308
1g2k_ligand_454     20.56449
1g2k_ligand_479     20.89673
1g2k_ligand_484     32.38141
1g2k_ligand_485     35.67379
1g2k_ligand_496     35.03034
1g2k_ligand_51      36.19780
1g2k_ligand_68      30.06297
1g2k_ligand_84      34.94273
1g2k_ligand_86      29.17004
1g2k_ligand_90      40.94177
1g2k_ligand_93      8.99521 
1g2k_ligand_97      34.59062
2v00_ligand_113     -6.59257
2v00_ligand_117     -6.51731
2v00_ligand_124     -6.35307
2v00_ligand_127     -5.94532
2v00_ligand_133     -5.27061
2v00_ligand_137     -5.80267
2v00_ligand_138     -6.97446
2v00_ligand_139     -4.40912
2v00_ligand_141     -5.76410
2v00_ligand_145     -5.87919
2v00_ligand_151     0.31879 
2v00_ligand_153     1.20591 
2v00_ligand_157     7.53398 
2v00_ligand_158     2.07673 
2v00_ligand_161     7.55508 
2v00_ligand_163     8.20302 
2v00_ligand_164     2.71482 
2v00_ligand_167     5.13796 
2v00_ligand_169     2.82565 
2v00_ligand_172     4.66360 
2v00_ligand_173     3.67337 
2v00_ligand_174     7.08597 
2v00_ligand_175     2.57927 
2v00_ligand_177     6.62619 
2v00_ligand_178     16.31427
2v00_ligand_179     2.69708 
2v00_ligand_184     1.51296 
2v00_ligand_187     10.66846
2v00_ligand_190     5.25510 
2v00_ligand_192     8.20201 
2v00_ligand_194     5.82931 
2v00_ligand_198     5.57719 
2v00_ligand_199     -1.28416
2v00_ligand_201     -1.93724
2v00_ligand_202     -4.06385
2v00_ligand_210     -0.47790
2v00_ligand_214     -0.52978
2v00_ligand_217     -0.59713
2v00_ligand_223     0.26772 
2v00_ligand_224     -1.67524
2v00_ligand_226     0.63601 
2v00_ligand_228     -2.82480
2v00_ligand_231     -0.50255
2v00_ligand_232     -2.60968
2v00_ligand_233     0.62802 
2v00_ligand_236     -1.47715
2v00_ligand_237     0.99843 
2v00_ligand_241     -2.57338
2v00_ligand_243     -3.30890
2v00_ligand_246     1.44449 
2v00_ligand_248     -0.61739
2v00_ligand_250     -0.80030
2v00_ligand_253     9.34369 
2v00_ligand_257     1.12790 
2v00_ligand_260     6.46625 
2v00_ligand_275     0.13202 
2v00_ligand_276     7.42506 
2v00_ligand_282     -0.06407
2v00_ligand_283     7.80312 
2v00_ligand_286     2.41181 
2v00_ligand_287     5.32407 
2v00_ligand_288     0.77793 
2v00_ligand_289     1.02017 
2v00_ligand_294     3.10404 
2v00_ligand_295     5.12832 
2v00_ligand_297     -1.66205
2v00_ligand_301     -0.01340
2v00_ligand_302     0.12583 
2v00_ligand_306     0.63923 
2v00_ligand_310     -1.33520
2v00_ligand_313     2.50844 
2v00_ligand_318     0.34698 
2v00_ligand_329     -0.45010
2v00_ligand_332     -3.52126
2v00_ligand_333     5.54632 
2v00_ligand_341     1.70322 
2v00_ligand_348     2.39232 
2v00_ligand_361     -0.06265
2v00_ligand_364     -1.65085
2v00_ligand_369     -3.21673
2v00_ligand_373     -0.56980
2v00_ligand_375     -3.53608
2v00_ligand_379     -0.33915
2v00_ligand_382     -0.35377
2v00_ligand_392     -1.57231
2v00_ligand_394     -0.51295
2v00_ligand_396     0.82020 
2v00_ligand_397     -0.63307
2v00_ligand_399     -2.64000
2v00_ligand_400     2.22478 
2v00_ligand_41      -5.09020
2v00_ligand_432     -1.79891
2v00_ligand_445     -1.17648
2v00_ligand_446     -4.40548
2v00_ligand_449     -2.81811
2v00_ligand_50      -4.65707
2v00_ligand_75      -1.71145
2v00_ligand_77      -4.73984
2v00_ligand_8       -5.71772
2v00_ligand_80      -4.67569
3prs_ligand_100     23.41481
3prs_ligand_103     27.66328
3prs_ligand_106     27.67013
3prs_ligand_136     26.74591
3prs_ligand_152     110.38932
3prs_ligand_156     94.59390
3prs_ligand_157     95.76202
3prs_ligand_163     113.97631
3prs_ligand_170     103.47626
3prs_ligand_171     107.82833
3prs_ligand_172     102.31610
3prs_ligand_177     75.71028
3prs_ligand_181     56.07283
3prs_ligand_183     101.03990
3prs_ligand_187     82.53075
3prs_ligand_19      19.54410
3prs_ligand_191     100.22861
3prs_ligand_193     106.77777
3prs_ligand_194     103.37362
3prs_ligand_196     106.36515
3prs_ligand_200     111.85387
3prs_ligand_206     48.72946
3prs_ligand_208     53.85420
3prs_ligand_209     53.00317
3prs_ligand_210     52.26836
3prs_ligand_211     54.13585
3prs_ligand_212     49.26839
3prs_ligand_213     52.07647
3prs_ligand_217     55.61450
3prs_ligand_219     54.12893
3prs_ligand_220     55.08230
3prs_ligand_231     60.13374
3prs_ligand_232     60.13773
3prs_ligand_235     58.68195
3prs_ligand_239     63.68633
3prs_ligand_241     67.06722
3prs_ligand_244     60.58175
3prs_ligand_245     63.29792
3prs_ligand_246     68.60480
3prs_ligand_250     65.82958
3prs_ligand_252     39.24685
3prs_ligand_255     37.76864
3prs_ligand_257     44.70185
3prs_ligand_258     51.47984
3prs_ligand_261     44.30137
3prs_ligand_269     63.00437
3prs_ligand_270     59.88104
3prs_ligand_273     55.61745
3prs_ligand_276     69.87447
3prs_ligand_277     71.16131
3prs_ligand_286     64.10775
3prs_ligand_292     70.77927
3prs_ligand_294     57.90891
3prs_ligand_300     69.45986
3prs_ligand_302     37.57291
3prs_ligand_303     55.10667
3prs_ligand_304     51.52378
3prs_ligand_305     43.68547
3prs_ligand_307     43.68465
3prs_ligand_308     45.95613
3prs_ligand_309     60.72728
3prs_ligand_312     55.89648
3prs_ligand_313     49.45284
3prs_ligand_315     56.15906
3prs_ligand_318     54.45880
3prs_ligand_323     65.80990
3prs_ligand_324     57.20716
3prs_ligand_325     54.27238
3prs_ligand_328     53.68401
3prs_ligand_329     56.42245
3prs_ligand_330     70.73672
3prs_ligand_331     67.36568
3prs_ligand_332     72.47834
3prs_ligand_334     70.30298
3prs_ligand_336     62.38413
3prs_ligand_344     79.27914
3prs_ligand_346     65.46562
3prs_ligand_347     65.22094
3prs_ligand_348     76.47241
3prs_ligand_350     81.57685
3prs_ligand_367     30.85272
3prs_ligand_375     23.59318
3prs_ligand_377     23.59007
3prs_ligand_387     30.86380
3prs_ligand_389     43.64814
3prs_ligand_392     30.24648
3prs_ligand_397     34.79441
