#code_ligand_num    score   
1g2k_ligand_104     24.00671
1g2k_ligand_118     20.21421
1g2k_ligand_122     24.54573
1g2k_ligand_125     22.77192
1g2k_ligand_130     20.74139
1g2k_ligand_139     18.33153
1g2k_ligand_151     73.49226
1g2k_ligand_153     46.05012
1g2k_ligand_154     53.43209
1g2k_ligand_156     52.38856
1g2k_ligand_162     61.29568
1g2k_ligand_164     85.21307
1g2k_ligand_168     87.01039
1g2k_ligand_171     49.16014
1g2k_ligand_172     47.14863
1g2k_ligand_175     69.98575
1g2k_ligand_176     47.79722
1g2k_ligand_177     50.29911
1g2k_ligand_182     64.80565
1g2k_ligand_184     62.75824
1g2k_ligand_186     77.49719
1g2k_ligand_188     86.02617
1g2k_ligand_189     82.00456
1g2k_ligand_190     76.64102
1g2k_ligand_194     72.21474
1g2k_ligand_196     62.32098
1g2k_ligand_199     89.87996
1g2k_ligand_206     46.76622
1g2k_ligand_208     43.07321
1g2k_ligand_209     46.03208
1g2k_ligand_210     47.79405
1g2k_ligand_211     47.50360
1g2k_ligand_212     45.07910
1g2k_ligand_216     47.26607
1g2k_ligand_219     53.07557
1g2k_ligand_220     51.60303
1g2k_ligand_223     55.49084
1g2k_ligand_224     57.24024
1g2k_ligand_225     48.27052
1g2k_ligand_227     54.01949
1g2k_ligand_228     52.86035
1g2k_ligand_231     54.64628
1g2k_ligand_232     51.05295
1g2k_ligand_233     54.75598
1g2k_ligand_242     52.54452
1g2k_ligand_243     56.85130
1g2k_ligand_244     54.88886
1g2k_ligand_249     54.59158
1g2k_ligand_250     61.83323
1g2k_ligand_260     41.62623
1g2k_ligand_262     49.38595
1g2k_ligand_263     51.39640
1g2k_ligand_279     57.27921
1g2k_ligand_281     58.30709
1g2k_ligand_282     52.03815
1g2k_ligand_286     50.05356
1g2k_ligand_287     60.89112
1g2k_ligand_288     52.12791
1g2k_ligand_292     49.63803
1g2k_ligand_293     52.96623
1g2k_ligand_294     45.73677
1g2k_ligand_295     51.91315
1g2k_ligand_296     47.44649
1g2k_ligand_297     60.39104
1g2k_ligand_300     52.38747
1g2k_ligand_301     47.20173
1g2k_ligand_304     52.07010
1g2k_ligand_320     52.58166
1g2k_ligand_323     51.92846
1g2k_ligand_330     50.56902
1g2k_ligand_332     41.36478
1g2k_ligand_334     54.73022
1g2k_ligand_335     51.99542
1g2k_ligand_336     50.14845
1g2k_ligand_339     46.60873
1g2k_ligand_345     54.76486
1g2k_ligand_347     56.53201
1g2k_ligand_348     74.57605
1g2k_ligand_350     53.37636
1g2k_ligand_369     23.84909
1g2k_ligand_374     27.07731
1g2k_ligand_375     23.63451
1g2k_ligand_377     29.90587
1g2k_ligand_385     29.26385
1g2k_ligand_392     23.12780
1g2k_ligand_394     22.98119
1g2k_ligand_401     13.93303
1g2k_ligand_421     15.65130
1g2k_ligand_430     27.12081
1g2k_ligand_440     20.82823
1g2k_ligand_449     22.23502
1g2k_ligand_454     12.29970
1g2k_ligand_457     13.42670
1g2k_ligand_491     14.25644
1g2k_ligand_494     19.74707
1g2k_ligand_498     23.26471
1g2k_ligand_53      20.61058
