#code_ligand_num    score   
1g2k_ligand_10      1.55164 
1g2k_ligand_100     -3.31201
1g2k_ligand_106     -2.67853
1g2k_ligand_107     -6.31143
1g2k_ligand_109     -2.97094
1g2k_ligand_11      -4.45062
1g2k_ligand_112     -5.54402
1g2k_ligand_115     -4.65353
1g2k_ligand_116     -0.58945
1g2k_ligand_119     -4.94674
1g2k_ligand_125     -3.93524
1g2k_ligand_127     -4.13769
1g2k_ligand_129     -4.86737
1g2k_ligand_131     -4.84851
1g2k_ligand_136     -3.24237
1g2k_ligand_14      -5.15650
1g2k_ligand_140     -5.02708
1g2k_ligand_141     -5.27560
1g2k_ligand_145     -4.01399
1g2k_ligand_154     47.97476
1g2k_ligand_168     86.94212
1g2k_ligand_17      -4.33360
1g2k_ligand_171     54.75777
1g2k_ligand_177     80.26855
1g2k_ligand_180     83.73391
1g2k_ligand_185     87.92001
1g2k_ligand_186     52.89695
1g2k_ligand_190     60.52988
1g2k_ligand_199     90.84273
1g2k_ligand_2       -4.55620
1g2k_ligand_20      -4.87410
1g2k_ligand_201     0.12519 
1g2k_ligand_202     4.68970 
1g2k_ligand_204     5.35963 
1g2k_ligand_206     8.46129 
1g2k_ligand_212     13.16650
1g2k_ligand_215     14.70433
1g2k_ligand_220     17.55667
1g2k_ligand_221     20.51168
1g2k_ligand_228     23.75466
1g2k_ligand_233     21.44584
1g2k_ligand_242     27.78417
1g2k_ligand_249     25.71655
1g2k_ligand_25      -4.40060
1g2k_ligand_255     7.04353 
1g2k_ligand_26      -5.75849
1g2k_ligand_261     2.63615 
1g2k_ligand_27      -4.86307
1g2k_ligand_276     14.48721
1g2k_ligand_28      -4.42164
1g2k_ligand_280     16.89369
1g2k_ligand_281     39.76903
1g2k_ligand_287     23.67511
1g2k_ligand_288     12.25434
1g2k_ligand_291     26.23607
1g2k_ligand_297     14.38992
1g2k_ligand_307     0.07833 
1g2k_ligand_308     10.01582
1g2k_ligand_309     1.51399 
1g2k_ligand_31      -3.30118
1g2k_ligand_320     7.40953 
1g2k_ligand_322     9.12811 
1g2k_ligand_328     18.89483
1g2k_ligand_361     0.72835 
1g2k_ligand_37      -5.97244
1g2k_ligand_384     1.27309 
1g2k_ligand_388     6.34471 
1g2k_ligand_39      -5.00177
1g2k_ligand_392     12.73993
1g2k_ligand_398     16.62048
1g2k_ligand_407     -3.00434
1g2k_ligand_412     -1.61219
1g2k_ligand_414     -3.93512
1g2k_ligand_428     -0.85329
1g2k_ligand_43      -4.15332
1g2k_ligand_434     -1.81270
1g2k_ligand_439     -1.50448
1g2k_ligand_441     -0.80364
1g2k_ligand_444     -0.13997
1g2k_ligand_465     -4.08827
1g2k_ligand_479     2.58384 
1g2k_ligand_486     -2.17768
1g2k_ligand_49      -3.95775
1g2k_ligand_490     -2.75760
1g2k_ligand_491     -1.02986
1g2k_ligand_5       -0.67297
