#code_ligand_num    score   
1g2k_ligand_104     -4.74710
1g2k_ligand_106     -4.15520
1g2k_ligand_11      -5.37864
1g2k_ligand_118     -4.43047
1g2k_ligand_12      -4.41864
1g2k_ligand_123     -4.22718
1g2k_ligand_125     -3.48971
1g2k_ligand_128     -4.73265
1g2k_ligand_129     -5.24165
1g2k_ligand_13      -5.48989
1g2k_ligand_133     -5.12252
1g2k_ligand_134     -5.15034
1g2k_ligand_145     -3.92815
1g2k_ligand_148     -3.88053
1g2k_ligand_15      -2.96330
1g2k_ligand_157     21.40097
1g2k_ligand_176     14.13445
1g2k_ligand_18      -2.68303
1g2k_ligand_181     12.05867
1g2k_ligand_182     12.46606
1g2k_ligand_19      -5.40102
1g2k_ligand_192     31.46779
1g2k_ligand_197     31.15371
1g2k_ligand_20      -3.94181
1g2k_ligand_203     -3.47933
1g2k_ligand_204     0.91086 
1g2k_ligand_206     -3.18381
1g2k_ligand_210     -2.32436
1g2k_ligand_212     -3.13171
1g2k_ligand_214     -3.21664
1g2k_ligand_216     -1.66334
1g2k_ligand_217     -3.46895
1g2k_ligand_218     -2.48818
1g2k_ligand_22      -3.81285
1g2k_ligand_221     -3.13039
1g2k_ligand_222     -3.61805
1g2k_ligand_226     -3.42554
1g2k_ligand_229     -2.47192
1g2k_ligand_231     -1.77617
1g2k_ligand_233     -1.66665
1g2k_ligand_24      -5.21217
1g2k_ligand_241     -2.64591
1g2k_ligand_242     -2.32503
1g2k_ligand_243     -2.32407
1g2k_ligand_246     -2.39825
1g2k_ligand_248     -1.25588
1g2k_ligand_25      -3.79848
1g2k_ligand_250     -2.44210
1g2k_ligand_268     2.78703 
1g2k_ligand_270     0.68518 
1g2k_ligand_274     16.99765
1g2k_ligand_277     -1.09268
1g2k_ligand_278     4.22565 
1g2k_ligand_280     0.43843 
1g2k_ligand_282     2.19672 
1g2k_ligand_286     6.83968 
1g2k_ligand_288     10.61410
1g2k_ligand_289     1.92956 
1g2k_ligand_296     -1.28604
1g2k_ligand_298     -1.15013
1g2k_ligand_299     4.94704 
1g2k_ligand_3       -3.51010
1g2k_ligand_300     4.03374 
1g2k_ligand_302     4.00461 
1g2k_ligand_305     8.29398 
1g2k_ligand_306     4.05687 
1g2k_ligand_309     13.51260
1g2k_ligand_310     1.02112 
1g2k_ligand_326     -2.32154
1g2k_ligand_327     9.79754 
1g2k_ligand_328     2.48823 
1g2k_ligand_33      -5.69473
1g2k_ligand_34      -3.52367
1g2k_ligand_342     2.09824 
1g2k_ligand_348     2.78705 
1g2k_ligand_383     -4.03360
1g2k_ligand_394     -1.24014
1g2k_ligand_408     -3.38135
1g2k_ligand_410     -3.27357
1g2k_ligand_42      -3.45406
1g2k_ligand_429     -2.12118
1g2k_ligand_44      -5.05550
1g2k_ligand_47      -5.02142
1g2k_ligand_490     -3.78916
1g2k_ligand_51      -2.82555
1g2k_ligand_57      -3.33415
1g2k_ligand_58      -5.10850
1g2k_ligand_6       -3.74440
1g2k_ligand_67      -3.38090
1g2k_ligand_72      -3.04742
1g2k_ligand_75      -4.20153
1g2k_ligand_77      -3.99503
1g2k_ligand_78      -4.05935
1g2k_ligand_8       -3.47221
1g2k_ligand_81      -2.84818
1g2k_ligand_83      -4.82737
1g2k_ligand_9       -5.24500
1g2k_ligand_91      -4.61432
1g2k_ligand_97      -5.12721
1g2k_ligand_98      -1.72946
2v00_ligand_100     -3.51648
2v00_ligand_113     -6.46936
2v00_ligand_123     -5.48626
2v00_ligand_125     -5.43134
2v00_ligand_13      -5.37129
2v00_ligand_130     -5.81732
2v00_ligand_133     -4.79568
2v00_ligand_141     -6.35555
2v00_ligand_149     -6.13564
2v00_ligand_15      -5.68294
2v00_ligand_154     -5.38113
2v00_ligand_159     -4.14046
2v00_ligand_16      -5.94151
2v00_ligand_161     4.91411 
2v00_ligand_17      -5.08508
2v00_ligand_171     -4.81022
2v00_ligand_183     -0.84616
2v00_ligand_185     -0.76706
2v00_ligand_187     -2.75698
2v00_ligand_189     4.31144 
2v00_ligand_199     -4.50105
2v00_ligand_20      -4.86458
2v00_ligand_205     -0.22293
2v00_ligand_209     -3.72498
2v00_ligand_214     -4.70292
2v00_ligand_217     -3.97268
2v00_ligand_218     -2.71869
2v00_ligand_219     -1.08527
2v00_ligand_220     -4.47427
2v00_ligand_236     -3.53115
2v00_ligand_237     -2.98918
2v00_ligand_24      -6.20197
2v00_ligand_242     -4.12805
2v00_ligand_243     -3.58960
2v00_ligand_244     -2.91168
2v00_ligand_26      -4.79586
2v00_ligand_268     -1.93163
2v00_ligand_269     0.31703 
2v00_ligand_270     -1.43136
2v00_ligand_271     -0.94668
2v00_ligand_272     -2.90373
2v00_ligand_273     0.93841 
2v00_ligand_275     -1.08728
2v00_ligand_276     -1.77358
2v00_ligand_281     -1.53921
2v00_ligand_288     -1.45781
2v00_ligand_290     2.68308 
2v00_ligand_293     -3.64375
2v00_ligand_300     -0.51076
2v00_ligand_301     -0.20502
2v00_ligand_304     -1.38940
2v00_ligand_305     2.13694 
2v00_ligand_306     -3.33194
2v00_ligand_312     -2.66463
2v00_ligand_316     -3.27099
2v00_ligand_322     -0.98443
2v00_ligand_327     0.31231 
2v00_ligand_328     0.80278 
2v00_ligand_329     1.74711 
2v00_ligand_334     1.26702 
2v00_ligand_335     -2.32573
2v00_ligand_337     2.96300 
2v00_ligand_340     -0.84793
2v00_ligand_341     -0.78888
2v00_ligand_344     -3.52589
2v00_ligand_346     -2.10593
2v00_ligand_347     -2.44352
2v00_ligand_349     -2.98728
2v00_ligand_36      -5.44483
2v00_ligand_362     -1.75795
2v00_ligand_368     -3.40032
2v00_ligand_37      -5.00958
2v00_ligand_371     -4.67977
2v00_ligand_373     -2.47479
2v00_ligand_374     -3.91847
2v00_ligand_378     -3.45236
2v00_ligand_379     -2.24871
2v00_ligand_380     -2.85036
2v00_ligand_381     -1.35235
2v00_ligand_383     -3.11474
2v00_ligand_39      -5.75215
2v00_ligand_391     -2.19881
2v00_ligand_393     -2.83562
2v00_ligand_395     -3.36831
2v00_ligand_399     -1.38730
2v00_ligand_400     -3.28628
2v00_ligand_428     -4.61652
2v00_ligand_45      -5.26674
2v00_ligand_460     -3.89684
2v00_ligand_466     -3.62224
2v00_ligand_49      -5.10604
2v00_ligand_492     -3.92486
2v00_ligand_500     -3.25260
2v00_ligand_51      -4.79370
2v00_ligand_56      -3.20836
2v00_ligand_63      -4.71616
2v00_ligand_67      -4.36710
2v00_ligand_73      -4.29897
2v00_ligand_77      -5.18010
2v00_ligand_81      -4.84035
3prs_ligand_105     -3.48733
3prs_ligand_107     -2.48722
3prs_ligand_117     -4.35209
3prs_ligand_121     -2.56843
3prs_ligand_124     -3.56347
3prs_ligand_129     -3.31898
3prs_ligand_130     -3.46457
3prs_ligand_135     -3.08276
3prs_ligand_136     -4.15262
3prs_ligand_138     -3.86961
3prs_ligand_139     -3.75014
3prs_ligand_165     19.64560
3prs_ligand_168     16.34387
3prs_ligand_170     23.59498
3prs_ligand_171     8.24253 
3prs_ligand_176     29.27958
3prs_ligand_187     12.78342
3prs_ligand_190     4.07176 
3prs_ligand_196     1.63427 
3prs_ligand_200     8.38805 
3prs_ligand_201     -2.49193
3prs_ligand_203     -1.63684
3prs_ligand_206     -1.76234
3prs_ligand_207     -0.86044
3prs_ligand_208     -0.99788
3prs_ligand_213     -1.96232
3prs_ligand_214     -1.21017
3prs_ligand_218     -0.80765
3prs_ligand_219     0.98766 
3prs_ligand_222     -0.82056
3prs_ligand_224     -1.34662
3prs_ligand_225     -1.39990
3prs_ligand_228     -0.12988
3prs_ligand_229     0.66361 
3prs_ligand_230     -0.37485
3prs_ligand_231     0.01893 
