#code_ligand_num    score   
1g2k_ligand_10      -4.41184
1g2k_ligand_101     -6.82531
1g2k_ligand_102     -3.45836
1g2k_ligand_103     -4.85234
1g2k_ligand_105     -4.54033
1g2k_ligand_106     -6.62217
1g2k_ligand_109     -3.62860
1g2k_ligand_110     -3.38948
1g2k_ligand_117     -4.44744
1g2k_ligand_118     -4.17872
1g2k_ligand_12      -3.73995
1g2k_ligand_121     -3.47219
1g2k_ligand_125     -3.51591
1g2k_ligand_127     -3.30092
1g2k_ligand_129     -3.27962
1g2k_ligand_13      -3.20929
1g2k_ligand_131     -5.21381
1g2k_ligand_134     -3.88343
1g2k_ligand_14      -4.61275
1g2k_ligand_143     -4.96824
1g2k_ligand_144     2.14248 
1g2k_ligand_145     -6.78137
1g2k_ligand_147     -3.76669
1g2k_ligand_149     -4.72098
1g2k_ligand_153     23.44116
1g2k_ligand_155     20.02142
1g2k_ligand_164     18.46271
1g2k_ligand_17      -4.13546
1g2k_ligand_174     54.15982
1g2k_ligand_177     31.32700
1g2k_ligand_180     59.58927
1g2k_ligand_186     56.73051
1g2k_ligand_187     43.66444
1g2k_ligand_190     29.24970
1g2k_ligand_2       -4.77014
1g2k_ligand_201     -2.34266
1g2k_ligand_202     6.86702 
1g2k_ligand_211     8.85069 
1g2k_ligand_212     8.46365 
1g2k_ligand_214     7.19892 
1g2k_ligand_218     7.58286 
1g2k_ligand_228     12.80389
1g2k_ligand_23      -3.43537
1g2k_ligand_232     11.23992
1g2k_ligand_237     13.62779
1g2k_ligand_239     15.43400
1g2k_ligand_240     14.77570
1g2k_ligand_241     14.61331
1g2k_ligand_244     18.32463
1g2k_ligand_247     15.37486
1g2k_ligand_25      -3.18475
1g2k_ligand_253     16.94597
1g2k_ligand_255     10.22249
1g2k_ligand_265     12.93456
1g2k_ligand_277     20.17133
1g2k_ligand_28      -3.95281
1g2k_ligand_284     2.27127 
1g2k_ligand_285     16.72013
1g2k_ligand_287     28.05058
1g2k_ligand_29      -2.23299
1g2k_ligand_299     9.91399 
1g2k_ligand_3       -4.77363
1g2k_ligand_307     15.85824
1g2k_ligand_31      -5.15712
1g2k_ligand_321     19.46996
1g2k_ligand_325     34.25489
1g2k_ligand_349     22.58894
1g2k_ligand_353     -3.94358
1g2k_ligand_362     -2.42832
1g2k_ligand_363     0.28554 
1g2k_ligand_380     6.23513 
1g2k_ligand_391     2.27434 
1g2k_ligand_400     6.85424 
1g2k_ligand_41      -4.80009
1g2k_ligand_411     1.92114 
1g2k_ligand_43      -2.65830
1g2k_ligand_45      -3.95794
1g2k_ligand_468     -1.15013
