#code_ligand_num    score   
1g2k_ligand_103     -4.40959
1g2k_ligand_104     -3.65943
1g2k_ligand_105     -3.64621
1g2k_ligand_109     -5.22166
1g2k_ligand_116     -5.27424
1g2k_ligand_123     -4.31033
1g2k_ligand_127     -4.76632
1g2k_ligand_128     -5.36773
1g2k_ligand_13      -4.20723
1g2k_ligand_137     -4.33670
1g2k_ligand_148     -4.99508
1g2k_ligand_149     -5.01291
1g2k_ligand_150     -3.58653
1g2k_ligand_157     5.28327 
1g2k_ligand_158     24.99700
1g2k_ligand_16      -3.58070
1g2k_ligand_165     6.20138 
1g2k_ligand_170     23.26904
1g2k_ligand_176     27.31093
1g2k_ligand_178     33.31832
1g2k_ligand_184     24.49947
1g2k_ligand_185     34.49453
1g2k_ligand_19      -4.32291
1g2k_ligand_196     38.57081
1g2k_ligand_197     23.64288
1g2k_ligand_2       -4.18300
1g2k_ligand_202     -1.12085
1g2k_ligand_203     4.10917 
1g2k_ligand_205     1.18353 
1g2k_ligand_207     4.38224 
1g2k_ligand_209     6.10406 
1g2k_ligand_212     5.42954 
1g2k_ligand_213     7.46278 
1g2k_ligand_214     5.63554 
1g2k_ligand_229     12.81648
1g2k_ligand_231     12.10508
1g2k_ligand_234     13.31407
1g2k_ligand_235     11.21705
1g2k_ligand_239     10.91938
1g2k_ligand_24      -4.02949
1g2k_ligand_240     13.44975
1g2k_ligand_242     8.56434 
1g2k_ligand_244     15.18899
1g2k_ligand_245     11.70056
1g2k_ligand_246     11.99176
1g2k_ligand_249     10.99095
1g2k_ligand_25      -3.59055
1g2k_ligand_258     7.95946 
1g2k_ligand_26      -4.23745
1g2k_ligand_262     21.49276
1g2k_ligand_265     25.08887
1g2k_ligand_27      -4.24847
1g2k_ligand_270     26.35017
1g2k_ligand_274     14.34733
1g2k_ligand_275     12.27565
1g2k_ligand_287     8.92569 
1g2k_ligand_29      -4.79014
1g2k_ligand_294     15.89417
1g2k_ligand_300     13.03624
1g2k_ligand_305     19.99351
1g2k_ligand_307     8.76602 
1g2k_ligand_310     11.24249
