#code_ligand_num    score   
1a30_ligand_1       -2.56427
1a30_ligand_10      -4.41708
1a30_ligand_106     -2.52184
1a30_ligand_109     -3.53049
1a30_ligand_110     -2.67705
1a30_ligand_111     -5.12626
1a30_ligand_115     -3.37257
1a30_ligand_116     -3.59224
1a30_ligand_118     -5.09508
1a30_ligand_121     -3.82439
1a30_ligand_126     -3.88489
1a30_ligand_130     -3.52454
1a30_ligand_147     -4.22991
1a30_ligand_15      -5.15090
1a30_ligand_151     2.66232 
1a30_ligand_152     5.82162 
1a30_ligand_167     8.99382 
1a30_ligand_171     7.92566 
1a30_ligand_180     9.19624 
1a30_ligand_201     -1.98019
1a30_ligand_202     -1.93204
1a30_ligand_203     -2.12683
1a30_ligand_205     -2.61230
1a30_ligand_206     -1.35479
1a30_ligand_208     -3.00857
1a30_ligand_210     -2.13767
1a30_ligand_211     -2.48772
1a30_ligand_213     -0.92856
1a30_ligand_214     -2.59033
1a30_ligand_218     -1.48582
1a30_ligand_219     -2.45789
1a30_ligand_220     -2.10077
1a30_ligand_222     -1.79610
1a30_ligand_223     -2.66539
1a30_ligand_224     -0.97066
1a30_ligand_226     0.07846 
1a30_ligand_227     -2.20191
1a30_ligand_228     -1.98036
1a30_ligand_229     -1.28774
1a30_ligand_230     -1.51868
1a30_ligand_232     -0.43249
1a30_ligand_233     -0.47732
1a30_ligand_234     -1.70985
1a30_ligand_243     0.05635 
1a30_ligand_244     -1.59056
1a30_ligand_245     -2.04692
1a30_ligand_247     -1.54053
1a30_ligand_248     -1.95584
1a30_ligand_249     -1.62024
1a30_ligand_250     -2.35554
1a30_ligand_252     7.54820 
1a30_ligand_253     0.29729 
1a30_ligand_255     2.51592 
1a30_ligand_256     -1.87126
1a30_ligand_257     -3.44521
1a30_ligand_259     2.36421 
1a30_ligand_262     -1.55083
1a30_ligand_263     -1.03432
1a30_ligand_269     -2.38696
1a30_ligand_27      -3.23903
1a30_ligand_270     -0.26081
1a30_ligand_276     10.34162
1a30_ligand_281     1.64133 
1a30_ligand_282     -1.65389
1a30_ligand_289     11.34558
1a30_ligand_292     10.90654
1a30_ligand_296     4.87246 
1a30_ligand_298     4.00293 
1a30_ligand_300     7.75497 
1a30_ligand_305     8.57317 
1a30_ligand_312     6.80327 
1a30_ligand_314     2.16876 
1a30_ligand_322     4.68938 
1a30_ligand_325     5.41404 
1a30_ligand_33      -2.38887
1a30_ligand_34      -4.61792
1a30_ligand_340     10.62968
1a30_ligand_345     11.49258
1a30_ligand_346     1.36331 
1a30_ligand_348     0.52386 
1a30_ligand_35      -4.57054
1a30_ligand_42      -2.44371
1a30_ligand_44      -4.58018
1a30_ligand_46      -2.63488
1a30_ligand_5       -2.79515
1a30_ligand_53      -1.79683
1a30_ligand_55      -4.63760
1a30_ligand_58      -2.90644
1a30_ligand_59      -1.96011
1a30_ligand_69      -3.05028
1a30_ligand_70      -2.94439
1a30_ligand_75      -5.04436
1a30_ligand_76      -2.36985
1a30_ligand_77      -2.65070
1a30_ligand_79      -2.09354
1a30_ligand_8       -3.77092
1a30_ligand_82      -2.57149
1a30_ligand_95      -3.34959
1a30_ligand_96      -3.51581
1a30_ligand_98      -3.44777
1bcu_ligand_151     -6.85797
1bcu_ligand_155     -0.94391
1bcu_ligand_162     -4.93040
1bcu_ligand_179     -2.26243
1bcu_ligand_180     -0.97874
1bcu_ligand_182     -4.70013
1bcu_ligand_187     -5.35368
1bcu_ligand_188     -2.38472
1bcu_ligand_196     -4.67771
1bcu_ligand_200     0.25006 
1bcu_ligand_208     -7.12158
1bcu_ligand_210     -6.74415
1bcu_ligand_216     -5.48103
1bcu_ligand_221     -4.90677
1bcu_ligand_222     -7.23777
1bcu_ligand_223     -4.71667
1bcu_ligand_227     -3.54841
1bcu_ligand_228     -3.62199
1bcu_ligand_231     -4.67420
1bcu_ligand_233     -4.71236
1bcu_ligand_243     -7.18308
1bcu_ligand_259     -7.42835
1bcu_ligand_261     -5.71622
1bcu_ligand_263     -6.47870
1bcu_ligand_267     -7.47264
1bcu_ligand_269     -7.59105
1bcu_ligand_273     -6.58616
1bcu_ligand_297     -3.86446
1bcu_ligand_300     -4.59020
1bcu_ligand_303     -3.29728
1bcu_ligand_308     -0.73232
1bcu_ligand_319     -2.41977
1bcu_ligand_328     -2.79896
1bcu_ligand_335     -2.62290
1bcu_ligand_346     1.88362 
1bcu_ligand_350     -3.69799
1bcu_ligand_352     -4.50945
1bcu_ligand_354     -2.63679
1bcu_ligand_355     -4.58964
1bcu_ligand_356     -2.51109
1bcu_ligand_358     0.18738 
1bcu_ligand_361     0.08395 
1bcu_ligand_362     -4.09380
1bcu_ligand_363     -0.34798
1bcu_ligand_364     -3.09948
1bcu_ligand_365     -2.75776
1bcu_ligand_369     -3.29784
1bcu_ligand_370     -2.58151
1bcu_ligand_371     -1.30850
1bcu_ligand_372     -2.97159
1bcu_ligand_373     -0.56731
1bcu_ligand_374     -2.49481
1bcu_ligand_375     -0.98434
1bcu_ligand_376     -2.62970
1bcu_ligand_379     -2.47691
1bcu_ligand_380     -2.24604
1bcu_ligand_381     -2.36153
1bcu_ligand_382     -2.33327
1bcu_ligand_383     -3.58198
1bcu_ligand_384     -2.83047
1bcu_ligand_385     -1.26692
1bcu_ligand_386     -2.22095
1bcu_ligand_387     -1.49780
1bcu_ligand_388     -0.56254
1bcu_ligand_389     -2.05557
1bcu_ligand_390     0.19781 
1bcu_ligand_392     -1.46019
1bcu_ligand_393     -1.76098
1bcu_ligand_395     -3.51837
1bcu_ligand_396     -1.19663
1bcu_ligand_397     -1.79216
1bcu_ligand_398     -2.57166
1bcu_ligand_399     -1.34684
1bcu_ligand_400     -2.92508
1bcu_ligand_408     -5.72418
1bcu_ligand_411     -5.35286
1bcu_ligand_413     -3.05636
1bcu_ligand_420     -1.74849
1bcu_ligand_429     -1.43012
1bcu_ligand_431     -2.88741
1bcu_ligand_433     -2.27089
1bcu_ligand_435     -2.03870
1bcu_ligand_437     -2.12363
1bcu_ligand_438     -0.83590
1bcu_ligand_441     -3.56624
1bcu_ligand_443     -1.57888
1bcu_ligand_448     -2.33869
1bcu_ligand_449     -2.10629
1bcu_ligand_450     -2.35558
1bcu_ligand_468     -1.93445
1bcu_ligand_471     -1.67078
1bcu_ligand_472     -2.01351
1bcu_ligand_473     -2.04486
1bcu_ligand_477     -5.05861
1bcu_ligand_479     -0.11108
1bcu_ligand_480     -1.29889
1bcu_ligand_488     -2.91845
1bcu_ligand_489     -3.03941
1bcu_ligand_495     -1.65155
1bcu_ligand_6       -7.42258
1bzc_ligand_1       -7.39520
1bzc_ligand_104     -7.18156
1bzc_ligand_120     -7.83633
1bzc_ligand_129     -6.13164
1bzc_ligand_134     -7.72560
1bzc_ligand_138     -7.96437
1bzc_ligand_142     -6.95563
1bzc_ligand_155     3.30017 
1bzc_ligand_156     0.31278 
1bzc_ligand_160     3.02413 
1bzc_ligand_161     12.30763
1bzc_ligand_164     11.49143
1bzc_ligand_168     8.73143 
1bzc_ligand_174     1.67602 
1bzc_ligand_180     7.63058 
1bzc_ligand_181     11.17594
1bzc_ligand_183     14.00546
1bzc_ligand_184     9.72316 
1bzc_ligand_185     2.17868 
1bzc_ligand_19      -5.33409
1bzc_ligand_191     13.08129
1bzc_ligand_193     10.74771
1bzc_ligand_198     15.52787
1bzc_ligand_199     10.49831
1bzc_ligand_200     6.69143 
1bzc_ligand_204     -3.88858
1bzc_ligand_205     -3.10343
1bzc_ligand_206     -1.55903
1bzc_ligand_207     0.03984 
1bzc_ligand_208     -2.72499
1bzc_ligand_209     -3.11309
1bzc_ligand_212     -3.25821
1bzc_ligand_215     -3.64702
1bzc_ligand_216     -2.45151
1bzc_ligand_217     -1.97961
1bzc_ligand_218     -1.87724
1bzc_ligand_219     1.93577 
1bzc_ligand_220     -0.30705
1bzc_ligand_221     -1.96555
1bzc_ligand_222     -0.30111
1bzc_ligand_223     -1.43794
1bzc_ligand_225     -0.68391
1bzc_ligand_226     -1.26173
1bzc_ligand_228     -0.78288
1bzc_ligand_229     -1.99182
1bzc_ligand_230     -1.65535
1bzc_ligand_231     -1.84723
1bzc_ligand_232     -2.01189
1bzc_ligand_233     -1.38669
1bzc_ligand_236     -0.07425
1bzc_ligand_237     -0.57719
1bzc_ligand_239     0.63812 
1bzc_ligand_241     -1.33393
1bzc_ligand_242     -2.62714
1bzc_ligand_243     -2.23479
1bzc_ligand_244     0.01388 
1bzc_ligand_246     0.48765 
1bzc_ligand_247     -0.99062
1bzc_ligand_249     -1.88429
1bzc_ligand_250     -1.06785
1bzc_ligand_254     1.22048 
1bzc_ligand_257     -2.73516
1bzc_ligand_259     -1.05468
1bzc_ligand_261     -4.37943
1bzc_ligand_267     0.70725 
1bzc_ligand_272     0.83890 
1bzc_ligand_273     6.78414 
1bzc_ligand_276     3.79803 
1bzc_ligand_277     8.14861 
1bzc_ligand_279     2.90098 
1bzc_ligand_280     -1.99219
1bzc_ligand_285     0.25033 
1bzc_ligand_286     -2.70423
1bzc_ligand_287     -0.82625
1bzc_ligand_288     -1.89582
1bzc_ligand_291     -0.21886
1bzc_ligand_292     1.36439 
1bzc_ligand_294     8.84148 
1bzc_ligand_295     3.44909 
1bzc_ligand_297     0.44102 
1bzc_ligand_298     1.48311 
1bzc_ligand_301     -1.19134
1bzc_ligand_302     8.55775 
1bzc_ligand_307     5.92578 
1bzc_ligand_312     2.61625 
1bzc_ligand_315     4.59677 
1bzc_ligand_316     -3.17801
1bzc_ligand_322     4.70383 
1bzc_ligand_325     3.12568 
1bzc_ligand_327     -2.23151
1bzc_ligand_329     5.39588 
1bzc_ligand_331     11.36203
1bzc_ligand_334     2.69189 
1bzc_ligand_336     9.04603 
1bzc_ligand_338     1.75890 
1bzc_ligand_339     5.01067 
1bzc_ligand_342     7.95050 
1bzc_ligand_344     0.35642 
1bzc_ligand_347     3.31724 
1bzc_ligand_75      -7.00546
1c5z_ligand_140     -4.48458
1c5z_ligand_155     -4.24983
1c5z_ligand_156     -4.82386
1c5z_ligand_158     -4.65618
1c5z_ligand_163     -5.06756
1c5z_ligand_167     -3.80853
1c5z_ligand_172     -4.38273
1c5z_ligand_175     -5.25801
