#code_ligand_num    score   
1a30_ligand_1       13.86   
1a30_ligand_102     39.99   
1a30_ligand_104     52.56   
1a30_ligand_105     42.60   
1a30_ligand_108     45.73   
1a30_ligand_109     43.70   
1a30_ligand_110     43.53   
1a30_ligand_111     44.97   
1a30_ligand_112     46.50   
1a30_ligand_113     44.06   
1a30_ligand_115     47.34   
1a30_ligand_117     42.70   
1a30_ligand_125     45.31   
1a30_ligand_128     45.77   
1a30_ligand_129     46.38   
1a30_ligand_131     46.45   
1a30_ligand_132     39.10   
1a30_ligand_134     44.38   
1a30_ligand_146     41.20   
1a30_ligand_150     46.14   
1a30_ligand_155     -113.86 
1a30_ligand_158     -129.15 
1a30_ligand_159     -92.39  
1a30_ligand_16      30.52   
1a30_ligand_165     -108.21 
1a30_ligand_172     -73.45  
1a30_ligand_178     -68.85  
1a30_ligand_18      21.15   
1a30_ligand_185     -357.64 
1a30_ligand_188     -140.05 
1a30_ligand_19      28.31   
1a30_ligand_194     -27.48  
1a30_ligand_2       41.09   
1a30_ligand_200     -168.50 
1a30_ligand_203     -82.87  
1a30_ligand_205     -37.87  
1a30_ligand_209     6.54    
1a30_ligand_22      28.37   
1a30_ligand_225     -36.83  
1a30_ligand_228     -44.62  
1a30_ligand_229     -231.19 
1a30_ligand_235     -83.81  
1a30_ligand_243     -90.74  
1a30_ligand_247     8.17    
1a30_ligand_248     -95.70  
1a30_ligand_257     3.30    
1a30_ligand_269     -42.60  
1a30_ligand_27      24.13   
1a30_ligand_271     -27.35  
1a30_ligand_273     -72.45  
1a30_ligand_274     -77.06  
1a30_ligand_275     -56.13  
1a30_ligand_279     -69.20  
1a30_ligand_28      46.64   
1a30_ligand_283     -117.37 
1a30_ligand_294     -217.17 
1a30_ligand_299     -16.37  
1a30_ligand_306     -43.42  
1a30_ligand_315     -67.34  
1a30_ligand_317     -113.44 
1a30_ligand_321     -128.63 
1a30_ligand_322     -65.56  
1a30_ligand_323     -99.47  
1a30_ligand_326     -60.91  
1a30_ligand_330     -81.57  
1a30_ligand_336     -63.67  
1a30_ligand_337     -182.27 
1a30_ligand_340     -128.18 
1a30_ligand_341     -36.02  
1a30_ligand_349     -45.14  
1a30_ligand_357     31.14   
1a30_ligand_372     28.98   
1a30_ligand_376     31.41   
1a30_ligand_378     18.05   
1a30_ligand_382     24.97   
1a30_ligand_385     16.59   
1a30_ligand_392     24.50   
1a30_ligand_398     13.96   
1a30_ligand_433     19.66   
1a30_ligand_44      17.30   
1a30_ligand_45      31.76   
1a30_ligand_455     41.76   
1a30_ligand_47      25.44   
1a30_ligand_489     37.10   
1a30_ligand_497     18.60   
1a30_ligand_51      23.45   
1a30_ligand_55      19.36   
1a30_ligand_57      37.63   
1a30_ligand_6       34.78   
1a30_ligand_60      32.88   
1a30_ligand_61      15.01   
1a30_ligand_63      23.94   
1a30_ligand_64      32.08   
1a30_ligand_69      23.16   
1a30_ligand_70      36.24   
1a30_ligand_75      30.30   
1a30_ligand_80      39.34   
1a30_ligand_82      28.50   
1a30_ligand_86      32.24   
1a30_ligand_87      23.51   
1bcu_ligand_124     40.18   
1bcu_ligand_136     45.84   
1bcu_ligand_142     40.31   
1bcu_ligand_147     41.53   
1bcu_ligand_153     33.80   
1bcu_ligand_155     29.42   
1bcu_ligand_180     32.40   
1bcu_ligand_188     32.89   
1bcu_ligand_196     24.78   
1bcu_ligand_208     30.69   
1bcu_ligand_210     33.19   
1bcu_ligand_211     18.34   
1bcu_ligand_225     28.49   
1bcu_ligand_231     20.77   
1bcu_ligand_232     30.73   
1bcu_ligand_238     31.99   
1bcu_ligand_239     30.86   
1bcu_ligand_245     26.99   
1bcu_ligand_246     24.75   
1bcu_ligand_247     18.80   
1bcu_ligand_25      24.99   
1bcu_ligand_257     27.65   
1bcu_ligand_259     6.08    
1bcu_ligand_261     29.21   
1bcu_ligand_262     28.82   
1bcu_ligand_276     33.51   
1bcu_ligand_281     16.39   
1bcu_ligand_284     18.70   
1bcu_ligand_302     11.78   
1bcu_ligand_303     30.45   
1bcu_ligand_304     35.29   
1bcu_ligand_305     15.85   
1bcu_ligand_307     -4.44   
1bcu_ligand_309     16.74   
1bcu_ligand_310     5.27    
1bcu_ligand_311     16.04   
1bcu_ligand_312     23.10   
1bcu_ligand_321     21.41   
1bcu_ligand_327     32.87   
1bcu_ligand_328     12.51   
1bcu_ligand_330     -23.11  
1bcu_ligand_332     3.83    
1bcu_ligand_333     16.50   
1bcu_ligand_336     28.25   
1bcu_ligand_339     25.59   
1bcu_ligand_342     34.47   
1bcu_ligand_35      36.18   
1bcu_ligand_351     27.18   
1bcu_ligand_354     25.36   
1bcu_ligand_355     27.51   
1bcu_ligand_356     33.03   
1bcu_ligand_361     34.87   
1bcu_ligand_365     -0.72   
1bcu_ligand_366     34.72   
1bcu_ligand_367     14.65   
1bcu_ligand_370     23.49   
1bcu_ligand_373     35.30   
1bcu_ligand_374     34.78   
1bcu_ligand_376     11.05   
1bcu_ligand_377     30.26   
1bcu_ligand_379     26.68   
1bcu_ligand_380     7.08    
1bcu_ligand_381     34.84   
1bcu_ligand_382     9.38    
1bcu_ligand_383     35.25   
1bcu_ligand_384     30.89   
1bcu_ligand_386     30.10   
1bcu_ligand_387     8.44    
1bcu_ligand_388     25.99   
1bcu_ligand_389     21.21   
1bcu_ligand_390     34.85   
1bcu_ligand_391     26.31   
1bcu_ligand_392     14.14   
1bcu_ligand_393     10.16   
1bcu_ligand_394     26.95   
1bcu_ligand_395     35.88   
1bcu_ligand_396     19.81   
1bcu_ligand_397     22.67   
1bcu_ligand_398     25.45   
1bcu_ligand_399     33.66   
1bcu_ligand_400     27.32   
1bcu_ligand_401     31.42   
1bcu_ligand_408     30.51   
1bcu_ligand_409     29.45   
1bcu_ligand_426     24.12   
1bcu_ligand_427     25.21   
1bcu_ligand_439     34.02   
1bcu_ligand_441     30.58   
1bcu_ligand_443     27.96   
1bcu_ligand_444     31.39   
1bcu_ligand_445     19.12   
1bcu_ligand_446     20.57   
1bcu_ligand_449     27.33   
1bcu_ligand_456     27.11   
1bcu_ligand_482     20.33   
1bcu_ligand_487     24.05   
1bcu_ligand_493     26.44   
1bcu_ligand_82      32.28   
1bcu_ligand_87      37.23   
1bcu_ligand_91      36.86   
1bzc_ligand_101     54.05   
1bzc_ligand_114     54.22   
1bzc_ligand_12      48.50   
1bzc_ligand_124     60.05   
1bzc_ligand_139     52.36   
1bzc_ligand_155     3.01    
1bzc_ligand_163     -38.84  
1bzc_ligand_164     6.55    
1bzc_ligand_166     -48.72  
1bzc_ligand_168     11.10   
1bzc_ligand_170     -37.07  
1bzc_ligand_175     -144.84 
1bzc_ligand_179     -2.37   
1bzc_ligand_181     -33.34  
1bzc_ligand_182     -40.65  
1bzc_ligand_183     -50.56  
1bzc_ligand_186     -37.52  
1bzc_ligand_192     -78.92  
1bzc_ligand_193     -67.36  
1bzc_ligand_195     -0.76   
1bzc_ligand_196     -34.58  
1bzc_ligand_197     -9.81   
1bzc_ligand_198     -7.13   
1bzc_ligand_205     31.48   
1bzc_ligand_206     -0.69   
1bzc_ligand_209     28.89   
1bzc_ligand_210     24.04   
1bzc_ligand_213     8.44    
1bzc_ligand_214     -20.63  
1bzc_ligand_215     9.26    
1bzc_ligand_222     -112.33 
1bzc_ligand_224     -4.02   
1bzc_ligand_225     -4.99   
1bzc_ligand_226     25.75   
1bzc_ligand_228     22.40   
1bzc_ligand_229     -23.27  
1bzc_ligand_235     -1.69   
1bzc_ligand_237     -18.83  
1bzc_ligand_238     -39.49  
1bzc_ligand_239     6.22    
1bzc_ligand_240     -94.11  
1bzc_ligand_242     -102.99 
1bzc_ligand_247     11.82   
1bzc_ligand_248     8.43    
1bzc_ligand_249     -11.09  
1bzc_ligand_250     -75.69  
1bzc_ligand_253     -27.86  
1bzc_ligand_256     8.66    
1bzc_ligand_263     -62.24  
1bzc_ligand_267     -49.16  
1bzc_ligand_270     -64.69  
1bzc_ligand_273     -13.58  
1bzc_ligand_274     3.00    
1bzc_ligand_276     -4.26   
1bzc_ligand_277     -15.23  
1bzc_ligand_279     -9.41   
1bzc_ligand_280     -6.26   
1bzc_ligand_285     -40.90  
1bzc_ligand_286     -21.04  
1bzc_ligand_288     -58.76  
1bzc_ligand_291     -30.59  
1bzc_ligand_298     -0.44   
1bzc_ligand_300     -46.86  
1bzc_ligand_301     -24.41  
1bzc_ligand_302     -58.22  
1bzc_ligand_303     -15.43  
1bzc_ligand_312     -4.07   
1bzc_ligand_313     -28.22  
1bzc_ligand_325     -109.76 
1bzc_ligand_328     -232.82 
1bzc_ligand_329     -63.10  
1bzc_ligand_330     -57.70  
1bzc_ligand_339     -37.23  
1bzc_ligand_343     -29.03  
1bzc_ligand_344     -116.42 
1bzc_ligand_346     -48.44  
1bzc_ligand_347     -21.97  
1bzc_ligand_348     -79.56  
1bzc_ligand_35      45.40   
1bzc_ligand_369     30.01   
1bzc_ligand_384     31.48   
1bzc_ligand_389     17.79   
1bzc_ligand_398     27.11   
1bzc_ligand_4       50.24   
1bzc_ligand_420     35.07   
1bzc_ligand_437     22.99   
1bzc_ligand_442     -12.96  
1bzc_ligand_446     26.68   
1bzc_ligand_449     12.29   
1bzc_ligand_479     38.64   
1bzc_ligand_492     36.24   
1bzc_ligand_493     34.05   
1bzc_ligand_52      42.53   
1bzc_ligand_65      48.51   
1bzc_ligand_69      46.60   
1bzc_ligand_75      42.65   
1bzc_ligand_8       29.27   
1bzc_ligand_90      50.30   
1bzc_ligand_94      28.62   
1bzc_ligand_95      54.99   
1c5z_ligand_101     30.21   
1c5z_ligand_108     24.76   
1c5z_ligand_110     27.66   
1c5z_ligand_118     24.45   
1c5z_ligand_120     24.97   
1c5z_ligand_126     26.31   
1c5z_ligand_130     23.07   
1c5z_ligand_138     24.82   
1c5z_ligand_150     29.51   
1c5z_ligand_153     18.53   
1c5z_ligand_155     14.63   
1c5z_ligand_158     20.65   
1c5z_ligand_160     19.37   
1c5z_ligand_161     16.74   
1c5z_ligand_166     12.51   
1c5z_ligand_169     21.54   
1c5z_ligand_170     19.00   
1c5z_ligand_173     19.24   
1c5z_ligand_174     18.03   
1c5z_ligand_176     7.87    
1c5z_ligand_182     18.56   
1c5z_ligand_185     11.63   
1c5z_ligand_189     6.76    
1c5z_ligand_193     18.58   
1c5z_ligand_194     19.49   
1c5z_ligand_195     18.40   
1c5z_ligand_196     11.81   
1c5z_ligand_198     14.18   
1c5z_ligand_205     20.72   
1c5z_ligand_214     -0.47   
1c5z_ligand_216     19.00   
1c5z_ligand_217     13.32   
1c5z_ligand_218     3.67    
1c5z_ligand_219     12.40   
1c5z_ligand_221     13.16   
1c5z_ligand_222     9.91    
1c5z_ligand_229     14.37   
1c5z_ligand_23      25.95   
1c5z_ligand_230     17.69   
1c5z_ligand_233     11.35   
1c5z_ligand_238     0.78    
1c5z_ligand_239     7.51    
1c5z_ligand_242     22.97   
1c5z_ligand_243     13.17   
1c5z_ligand_244     12.72   
1c5z_ligand_245     7.93    
1c5z_ligand_247     18.11   
1c5z_ligand_248     18.55   
1c5z_ligand_250     16.32   
1c5z_ligand_258     18.37   
1c5z_ligand_261     16.56   
1c5z_ligand_263     14.99   
1c5z_ligand_265     16.21   
1c5z_ligand_268     16.89   
1c5z_ligand_27      15.60   
1c5z_ligand_271     2.77    
1c5z_ligand_272     7.73    
1c5z_ligand_274     15.14   
1c5z_ligand_277     17.40   
1c5z_ligand_278     19.82   
1c5z_ligand_279     11.76   
1c5z_ligand_284     26.26   
1c5z_ligand_285     14.73   
1c5z_ligand_287     17.12   
1c5z_ligand_289     10.51   
1c5z_ligand_292     13.64   
1c5z_ligand_295     4.91    
1c5z_ligand_299     11.83   
1c5z_ligand_3       24.02   
1c5z_ligand_30      23.11   
1c5z_ligand_300     -5.28   
1c5z_ligand_301     -0.74   
1c5z_ligand_304     9.98    
1c5z_ligand_308     -4.29   
1c5z_ligand_310     8.92    
1c5z_ligand_312     6.73    
1c5z_ligand_313     3.99    
1c5z_ligand_316     6.27    
1c5z_ligand_317     16.65   
1c5z_ligand_318     15.05   
1c5z_ligand_319     4.05    
1c5z_ligand_321     21.47   
1c5z_ligand_324     -2.68   
1c5z_ligand_335     6.09    
1c5z_ligand_338     12.95   
1c5z_ligand_344     8.60    
1c5z_ligand_346     18.41   
1c5z_ligand_374     17.56   
1c5z_ligand_393     16.53   
1c5z_ligand_400     9.81    
1c5z_ligand_44      31.80   
1c5z_ligand_449     19.61   
1c5z_ligand_481     16.90   
1c5z_ligand_49      23.36   
1c5z_ligand_57      30.39   
1c5z_ligand_68      25.15   
1c5z_ligand_69      32.80   
1c5z_ligand_91      28.64   
1c5z_ligand_92      27.46   
1c5z_ligand_95      24.01   
1e66_ligand_101     45.67   
1e66_ligand_125     42.59   
1e66_ligand_143     44.55   
1e66_ligand_169     21.52   
1e66_ligand_170     -20.99  
1e66_ligand_176     0.75    
1e66_ligand_188     -9.31   
1e66_ligand_189     20.19   
1e66_ligand_193     16.54   
1e66_ligand_195     8.41    
1e66_ligand_197     -9.46   
1e66_ligand_199     1.90    
1e66_ligand_201     35.36   
1e66_ligand_205     38.74   
1e66_ligand_218     31.19   
1e66_ligand_223     22.10   
1e66_ligand_224     28.38   
1e66_ligand_225     29.45   
1e66_ligand_237     32.19   
1e66_ligand_241     26.11   
1e66_ligand_244     18.71   
1e66_ligand_247     21.65   
1e66_ligand_248     26.82   
1e66_ligand_250     37.85   
1e66_ligand_255     22.55   
1e66_ligand_268     23.04   
1e66_ligand_273     21.77   
1e66_ligand_274     13.71   
1e66_ligand_276     17.93   
1e66_ligand_277     28.27   
1e66_ligand_278     9.24    
1e66_ligand_279     21.08   
1e66_ligand_280     15.12   
1e66_ligand_284     -4.99   
1e66_ligand_285     5.46    
1e66_ligand_289     29.72   
1e66_ligand_290     23.74   
1e66_ligand_294     15.40   
1e66_ligand_299     -4.81   
1e66_ligand_301     11.50   
1e66_ligand_302     -5.21   
1e66_ligand_303     19.13   
1e66_ligand_305     21.20   
1e66_ligand_306     6.08    
1e66_ligand_307     25.20   
1e66_ligand_308     17.65   
1e66_ligand_309     31.56   
1e66_ligand_310     18.21   
1e66_ligand_313     17.02   
1e66_ligand_314     7.90    
1e66_ligand_316     -11.50  
1e66_ligand_320     20.53   
1e66_ligand_321     10.52   
1e66_ligand_331     27.42   
1e66_ligand_333     2.44    
1e66_ligand_334     31.01   
1e66_ligand_338     16.18   
1e66_ligand_343     5.63    
1e66_ligand_346     26.03   
1e66_ligand_348     11.55   
1e66_ligand_349     4.36    
1e66_ligand_350     16.17   
1e66_ligand_360     43.21   
1e66_ligand_361     28.48   
1e66_ligand_369     25.81   
1e66_ligand_370     28.22   
1e66_ligand_372     18.17   
1e66_ligand_373     35.01   
1e66_ligand_376     37.56   
1e66_ligand_377     43.42   
1e66_ligand_384     19.35   
1e66_ligand_385     30.60   
1e66_ligand_386     28.26   
1e66_ligand_387     7.59    
1e66_ligand_389     26.38   
1e66_ligand_390     29.24   
1e66_ligand_391     28.60   
1e66_ligand_397     27.38   
1e66_ligand_40      44.59   
1e66_ligand_400     3.51    
1e66_ligand_410     30.59   
1e66_ligand_419     37.81   
1e66_ligand_420     17.01   
1e66_ligand_421     37.44   
1e66_ligand_435     4.77    
1e66_ligand_445     37.14   
1e66_ligand_450     34.65   
1e66_ligand_461     25.95   
1e66_ligand_465     32.70   
1e66_ligand_466     40.27   
1e66_ligand_468     39.58   
1e66_ligand_471     24.91   
1e66_ligand_485     38.46   
1e66_ligand_495     36.42   
1e66_ligand_496     18.13   
1e66_ligand_498     35.22   
1e66_ligand_75      39.60   
1e66_ligand_79      41.65   
1e66_ligand_84      49.86   
1e66_ligand_9       39.44   
1eby_ligand_10      40.04   
1eby_ligand_100     28.34   
1eby_ligand_103     33.74   
1eby_ligand_106     57.05   
1eby_ligand_109     61.35   
1eby_ligand_11      -6971.87
1eby_ligand_110     39.47   
1eby_ligand_114     40.70   
1eby_ligand_116     50.14   
1eby_ligand_117     50.58   
1eby_ligand_119     -2954.84
1eby_ligand_120     50.00   
1eby_ligand_123     -4945.46
1eby_ligand_127     50.52   
1eby_ligand_129     25.99   
1eby_ligand_13      -4.07   
1eby_ligand_130     39.43   
1eby_ligand_131     66.08   
