#code_ligand_num    score   
1a30_ligand_105     -966.96 
1a30_ligand_107     34.20   
1a30_ligand_108     -979.53 
1a30_ligand_115     24.26   
1a30_ligand_120     40.95   
1a30_ligand_124     34.41   
1a30_ligand_131     38.80   
1a30_ligand_134     38.91   
1a30_ligand_138     32.08   
1a30_ligand_156     -26006.98
1a30_ligand_158     -26016.10
1a30_ligand_163     -26076.16
1a30_ligand_17      33.86   
1a30_ligand_172     -26042.77
1a30_ligand_175     -26025.59
1a30_ligand_185     -26005.33
1a30_ligand_186     -26028.92
1a30_ligand_194     -26070.78
1a30_ligand_195     -26006.23
1a30_ligand_196     -26069.18
1a30_ligand_198     -26045.25
1a30_ligand_205     -26021.12
1a30_ligand_206     -26050.22
1a30_ligand_208     -26084.72
1a30_ligand_210     -26018.98
1a30_ligand_211     -26057.95
1a30_ligand_215     -26016.47
1a30_ligand_216     -26026.66
1a30_ligand_218     -26007.13
1a30_ligand_224     -26015.12
1a30_ligand_225     -26004.38
1a30_ligand_226     -26112.07
1a30_ligand_232     -26145.06
1a30_ligand_233     -26016.08
1a30_ligand_235     -26073.37
1a30_ligand_236     -26010.32
1a30_ligand_237     -26033.86
1a30_ligand_238     -26007.33
1a30_ligand_239     -26041.38
1a30_ligand_24      35.89   
1a30_ligand_242     -26016.95
1a30_ligand_243     -26083.13
1a30_ligand_245     -26003.79
1a30_ligand_246     -26062.78
1a30_ligand_247     -26036.54
1a30_ligand_248     -26006.01
1a30_ligand_249     -26062.26
1a30_ligand_250     -26044.79
1a30_ligand_254     -26035.33
1a30_ligand_258     -26016.14
1a30_ligand_267     -26079.21
1a30_ligand_268     -26008.85
1a30_ligand_271     -26028.94
1a30_ligand_275     -26064.62
1a30_ligand_276     -26083.51
1a30_ligand_277     -26023.44
1a30_ligand_28      29.48   
1a30_ligand_281     -26107.16
1a30_ligand_287     -26074.47
1a30_ligand_288     -26074.43
1a30_ligand_291     -26079.21
1a30_ligand_299     -26070.89
1a30_ligand_300     -26045.78
1a30_ligand_303     -26022.73
1a30_ligand_305     -26076.19
1a30_ligand_306     -26022.13
1a30_ligand_307     -26106.48
1a30_ligand_315     -26050.64
1a30_ligand_316     -26077.54
1a30_ligand_318     -26061.00
1a30_ligand_321     -26044.52
