#code_ligand_num    score   
1a30_ligand_1       23.35   
1a30_ligand_100     22.84   
1a30_ligand_101     43.06   
1a30_ligand_108     46.28   
1a30_ligand_120     34.02   
1a30_ligand_121     47.51   
1a30_ligand_127     49.40   
1a30_ligand_13      22.27   
1a30_ligand_132     33.41   
1a30_ligand_140     52.34   
1a30_ligand_145     34.41   
1a30_ligand_151     -141.43 
1a30_ligand_161     -38.85  
1a30_ligand_162     -33.43  
1a30_ligand_165     -99.27  
1a30_ligand_171     -107.15 
1a30_ligand_178     -88.47  
1a30_ligand_185     -140.58 
1a30_ligand_19      26.17   
1a30_ligand_191     -82.01  
1a30_ligand_194     -71.00  
1a30_ligand_198     -34.59  
1a30_ligand_199     -144.96 
1a30_ligand_200     -82.89  
1a30_ligand_202     -96.23  
1a30_ligand_210     -42.25  
1a30_ligand_211     -109.79 
1a30_ligand_215     -109.20 
1a30_ligand_216     -47.25  
1a30_ligand_218     -112.23 
1a30_ligand_219     -107.47 
1a30_ligand_223     -112.85 
1a30_ligand_229     -31.21  
1a30_ligand_231     -28.93  
1a30_ligand_233     -36.05  
1a30_ligand_236     -89.68  
1a30_ligand_241     -148.20 
1a30_ligand_245     10.18   
1a30_ligand_246     -24.36  
1a30_ligand_248     -66.63  
1a30_ligand_253     -65.32  
1a30_ligand_258     -41.60  
1a30_ligand_266     -74.43  
1a30_ligand_27      37.63   
1a30_ligand_276     -136.14 
1a30_ligand_277     -16.22  
1a30_ligand_278     -69.55  
1a30_ligand_279     -23.98  
1a30_ligand_290     -351.56 
1a30_ligand_295     -215.89 
1a30_ligand_302     -32.04  
1a30_ligand_303     5.11    
1a30_ligand_309     -74.21  
1a30_ligand_31      26.43   
1a30_ligand_316     -19.14  
1a30_ligand_320     -163.73 
1a30_ligand_323     -150.22 
1a30_ligand_328     -115.03 
1a30_ligand_332     -57.46  
1a30_ligand_335     -28.92  
1a30_ligand_338     -22.64  
1a30_ligand_34      33.53   
1a30_ligand_344     -23.80  
1a30_ligand_346     -81.81  
1a30_ligand_350     -135.85 
1a30_ligand_365     23.53   
1a30_ligand_37      38.44   
1a30_ligand_377     32.56   
1a30_ligand_38      41.41   
1a30_ligand_389     33.45   
1a30_ligand_40      23.78   
1a30_ligand_401     13.43   
1a30_ligand_406     1.22    
1a30_ligand_41      42.23   
1a30_ligand_417     -3.14   
1a30_ligand_42      36.45   
1a30_ligand_422     20.54   
1a30_ligand_425     43.15   
1a30_ligand_438     11.48   
1a30_ligand_44      29.82   
1a30_ligand_447     33.04   
1a30_ligand_45      40.32   
1a30_ligand_46      37.65   
1a30_ligand_461     -25.01  
1a30_ligand_465     29.12   
1a30_ligand_482     29.58   
1a30_ligand_49      34.73   
1a30_ligand_50      38.26   
1a30_ligand_56      20.83   
1a30_ligand_57      23.35   
1a30_ligand_60      40.85   
1a30_ligand_63      20.78   
1a30_ligand_67      32.49   
1a30_ligand_68      24.83   
1a30_ligand_69      25.96   
1a30_ligand_70      31.43   
1a30_ligand_82      39.62   
1a30_ligand_91      23.99   
1a30_ligand_94      29.50   
1a30_ligand_97      21.95   
1bcu_ligand_103     53.87   
1bcu_ligand_113     53.72   
1bcu_ligand_123     53.27   
1bcu_ligand_127     54.61   
1bcu_ligand_138     53.80   
1bcu_ligand_158     53.54   
1bcu_ligand_166     36.32   
1bcu_ligand_170     44.26   
1bcu_ligand_171     37.59   
1bcu_ligand_182     37.75   
1bcu_ligand_187     41.80   
1bcu_ligand_194     38.55   
1bcu_ligand_197     45.22   
1bcu_ligand_198     38.48   
1bcu_ligand_199     33.22   
1bcu_ligand_203     50.71   
1bcu_ligand_210     48.67   
1bcu_ligand_229     30.68   
1bcu_ligand_23      50.38   
1bcu_ligand_230     44.40   
1bcu_ligand_231     46.21   
1bcu_ligand_233     39.15   
1bcu_ligand_238     50.64   
1bcu_ligand_240     43.44   
1bcu_ligand_244     46.01   
1bcu_ligand_262     36.45   
1bcu_ligand_263     37.01   
1bcu_ligand_271     27.97   
1bcu_ligand_274     37.11   
1bcu_ligand_277     38.26   
1bcu_ligand_280     47.35   
1bcu_ligand_284     37.57   
1bcu_ligand_289     32.96   
1bcu_ligand_293     44.02   
1bcu_ligand_294     33.88   
1bcu_ligand_295     33.70   
1bcu_ligand_298     37.23   
1bcu_ligand_300     39.80   
1bcu_ligand_304     31.18   
1bcu_ligand_311     31.26   
1bcu_ligand_312     30.06   
1bcu_ligand_316     31.81   
1bcu_ligand_317     40.74   
1bcu_ligand_322     44.24   
1bcu_ligand_326     16.27   
1bcu_ligand_331     18.94   
1bcu_ligand_334     19.09   
1bcu_ligand_337     32.33   
1bcu_ligand_344     33.59   
1bcu_ligand_346     40.45   
1bcu_ligand_356     48.31   
1bcu_ligand_357     53.41   
1bcu_ligand_363     27.43   
1bcu_ligand_364     41.27   
1bcu_ligand_368     30.60   
1bcu_ligand_369     37.83   
1bcu_ligand_372     41.12   
1bcu_ligand_373     18.53   
1bcu_ligand_375     28.27   
1bcu_ligand_376     23.26   
1bcu_ligand_377     32.72   
1bcu_ligand_378     29.59   
1bcu_ligand_380     30.80   
1bcu_ligand_381     22.96   
1bcu_ligand_383     19.99   
1bcu_ligand_385     14.38   
1bcu_ligand_386     15.13   
1bcu_ligand_387     20.46   
1bcu_ligand_388     16.40   
