#code_ligand_num    score   
1a30_ligand_103     -124.03 
1a30_ligand_115     -112.37 
1a30_ligand_118     -126.86 
1a30_ligand_12      -164.50 
1a30_ligand_128     -81.65  
1a30_ligand_129     -122.34 
1a30_ligand_134     -91.86  
1a30_ligand_135     -99.82  
1a30_ligand_142     -96.88  
1a30_ligand_146     -84.00  
1a30_ligand_153     -518.98 
1a30_ligand_157     -481.65 
1a30_ligand_158     -373.97 
1a30_ligand_159     -422.67 
1a30_ligand_160     -469.97 
1a30_ligand_161     -523.30 
1a30_ligand_164     -466.02 
1a30_ligand_167     -459.38 
1a30_ligand_169     -470.61 
1a30_ligand_170     -370.39 
1a30_ligand_171     -531.56 
1a30_ligand_172     -494.52 
1a30_ligand_175     -471.70 
1a30_ligand_178     -490.52 
1a30_ligand_186     -476.15 
1a30_ligand_188     -480.72 
1a30_ligand_191     -597.25 
1a30_ligand_192     -431.05 
1a30_ligand_194     -275.31 
1a30_ligand_196     -453.01 
1a30_ligand_198     -402.41 
1a30_ligand_209     -257.96 
1a30_ligand_210     -355.44 
1a30_ligand_211     -242.30 
1a30_ligand_216     -442.00 
1a30_ligand_217     -520.11 
1a30_ligand_218     -215.62 
1a30_ligand_219     -240.65 
1a30_ligand_220     -381.77 
1a30_ligand_221     -436.78 
1a30_ligand_222     -265.93 
1a30_ligand_224     -328.24 
1a30_ligand_227     -353.97 
1a30_ligand_228     -637.34 
1a30_ligand_230     -259.72 
1a30_ligand_231     -321.69 
1a30_ligand_232     -269.98 
1a30_ligand_234     -440.19 
1a30_ligand_235     -317.39 
1a30_ligand_237     -289.37 
1a30_ligand_239     -247.77 
1a30_ligand_240     -449.27 
1a30_ligand_245     -294.13 
1a30_ligand_246     -278.69 
1a30_ligand_248     -418.91 
1a30_ligand_249     -316.23 
1a30_ligand_250     -283.16 
1a30_ligand_273     -335.55 
1a30_ligand_276     -365.76 
1a30_ligand_280     -322.07 
1a30_ligand_284     -371.92 
1a30_ligand_290     -417.06 
1a30_ligand_293     -294.80 
1a30_ligand_295     -372.24 
1a30_ligand_296     -287.94 
1a30_ligand_297     -424.62 
1a30_ligand_300     -332.66 
1a30_ligand_322     -263.59 
1a30_ligand_324     -313.49 
1a30_ligand_328     -342.56 
1a30_ligand_330     -374.40 
1a30_ligand_333     -332.56 
1a30_ligand_334     -297.97 
1a30_ligand_335     -314.67 
1a30_ligand_338     -266.04 
1a30_ligand_34      -137.98 
1a30_ligand_341     -435.60 
1a30_ligand_346     -324.93 
1a30_ligand_348     -392.77 
1a30_ligand_35      -113.47 
1a30_ligand_350     -333.78 
1a30_ligand_373     -183.04 
1a30_ligand_374     -143.78 
1a30_ligand_391     -238.95 
1a30_ligand_395     -160.03 
1a30_ligand_400     -226.68 
1a30_ligand_402     -163.81 
1a30_ligand_415     -160.95 
1a30_ligand_443     -193.39 
1a30_ligand_448     -215.07 
1a30_ligand_482     -119.19 
1a30_ligand_486     -146.94 
1a30_ligand_498     -204.75 
1a30_ligand_57      -179.24 
1a30_ligand_66      -154.04 
1a30_ligand_71      -83.79  
1a30_ligand_76      -113.04 
1a30_ligand_87      -150.15 
1a30_ligand_96      -101.65 
1a30_ligand_99      -135.25 
1bcu_ligand_1       -10.65  
1bcu_ligand_100     -13.10  
1bcu_ligand_102     -43.28  
1bcu_ligand_109     -14.38  
1bcu_ligand_11      -5.94   
1bcu_ligand_110     -10.46  
1bcu_ligand_111     -13.07  
1bcu_ligand_113     -4.07   
1bcu_ligand_114     -4.28   
1bcu_ligand_119     -7.62   
1bcu_ligand_120     -12.72  
1bcu_ligand_122     -17.50  
1bcu_ligand_123     -15.04  
1bcu_ligand_128     -23.77  
1bcu_ligand_131     -28.83  
1bcu_ligand_135     -16.57  
1bcu_ligand_138     -30.86  
1bcu_ligand_140     -12.25  
1bcu_ligand_141     -57.52  
1bcu_ligand_142     -23.95  
1bcu_ligand_143     -8.94   
1bcu_ligand_144     -10.81  
1bcu_ligand_145     -16.16  
1bcu_ligand_146     -5.49   
1bcu_ligand_151     -55.72  
1bcu_ligand_152     -86.53  
1bcu_ligand_153     -77.14  
1bcu_ligand_154     -138.43 
1bcu_ligand_155     -150.35 
1bcu_ligand_16      -15.33  
1bcu_ligand_17      -12.29  
1bcu_ligand_18      -12.73  
1bcu_ligand_189     -56.67  
1bcu_ligand_19      -29.86  
1bcu_ligand_190     -81.78  
1bcu_ligand_192     -124.43 
1bcu_ligand_193     -49.52  
1bcu_ligand_194     -58.30  
1bcu_ligand_195     -78.81  
1bcu_ligand_197     -63.45  
1bcu_ligand_198     -138.24 
1bcu_ligand_199     -78.07  
1bcu_ligand_2       -14.14  
1bcu_ligand_202     -55.24  
1bcu_ligand_204     -85.52  
1bcu_ligand_205     -133.04 
1bcu_ligand_206     -131.17 
1bcu_ligand_207     -68.37  
1bcu_ligand_208     -59.67  
1bcu_ligand_209     -70.29  
1bcu_ligand_210     -86.20  
1bcu_ligand_211     -89.46  
1bcu_ligand_212     -68.89  
1bcu_ligand_213     -73.08  
