#code_ligand_num    score   
1a30_ligand_10      23.38   
1a30_ligand_102     40.41   
1a30_ligand_113     37.69   
1a30_ligand_118     29.11   
1a30_ligand_119     31.03   
1a30_ligand_12      18.22   
1a30_ligand_123     39.24   
1a30_ligand_127     30.92   
1a30_ligand_128     38.13   
1a30_ligand_13      14.99   
1a30_ligand_131     34.84   
1a30_ligand_134     49.92   
1a30_ligand_138     35.66   
1a30_ligand_139     53.75   
1a30_ligand_140     43.06   
1a30_ligand_143     39.51   
1a30_ligand_145     47.93   
1a30_ligand_147     26.95   
1a30_ligand_148     39.71   
1a30_ligand_160     -109.08 
1a30_ligand_166     -68.86  
1a30_ligand_17      18.05   
1a30_ligand_19      26.94   
1a30_ligand_194     -154.25 
1a30_ligand_197     -103.81 
1a30_ligand_2       27.28   
1a30_ligand_20      30.57   
1a30_ligand_204     -41.60  
1a30_ligand_205     -233.79 
1a30_ligand_207     -73.84  
1a30_ligand_209     -8.96   
1a30_ligand_21      21.00   
1a30_ligand_210     2.54    
1a30_ligand_214     -57.08  
1a30_ligand_215     15.64   
1a30_ligand_216     -73.42  
1a30_ligand_219     12.89   
1a30_ligand_22      15.93   
1a30_ligand_223     -1068.95
1a30_ligand_224     -12.04  
1a30_ligand_23      22.51   
1a30_ligand_232     -65.95  
1a30_ligand_235     -76.33  
1a30_ligand_238     -20.38  
1a30_ligand_244     -45.77  
1a30_ligand_245     13.58   
1a30_ligand_247     -12.35  
1a30_ligand_248     -32.79  
1a30_ligand_25      22.09   
1a30_ligand_250     -3072.37
1a30_ligand_270     -81.47  
1a30_ligand_271     -148.13 
1a30_ligand_273     -33.51  
1a30_ligand_278     -59.91  
1a30_ligand_28      20.65   
1a30_ligand_290     -19.18  
1a30_ligand_292     -162.21 
1a30_ligand_293     -27.41  
1a30_ligand_294     -105.97 
1a30_ligand_3       16.82   
1a30_ligand_307     -22.11  
1a30_ligand_310     -41.07  
1a30_ligand_311     -22.25  
1a30_ligand_321     -91.18  
1a30_ligand_335     -71.78  
1a30_ligand_343     -16.51  
1a30_ligand_349     -60.51  
1a30_ligand_354     33.32   
1a30_ligand_36      31.83   
1a30_ligand_386     29.94   
1a30_ligand_390     22.85   
1a30_ligand_391     20.05   
1a30_ligand_399     41.97   
1a30_ligand_4       18.77   
1a30_ligand_40      35.97   
1a30_ligand_402     35.22   
1a30_ligand_428     39.77   
1a30_ligand_43      23.10   
1a30_ligand_454     20.30   
1a30_ligand_455     -1990.17
1a30_ligand_464     37.97   
1a30_ligand_478     37.48   
1a30_ligand_48      12.87   
1a30_ligand_481     35.33   
1a30_ligand_490     30.60   
1a30_ligand_52      41.30   
1a30_ligand_55      52.71   
1a30_ligand_58      37.70   
1a30_ligand_63      31.23   
1a30_ligand_65      23.04   
1a30_ligand_67      40.17   
1a30_ligand_78      40.83   
1a30_ligand_8       37.37   
1a30_ligand_81      47.95   
1a30_ligand_86      26.49   
1a30_ligand_87      28.46   
1a30_ligand_89      27.33   
1a30_ligand_91      23.43   
1a30_ligand_96      22.71   
1a30_ligand_98      39.32   
1bcu_ligand_147     37.80   
1bcu_ligand_159     -1.82   
1bcu_ligand_171     23.73   
1bcu_ligand_177     -15.22  
1bcu_ligand_185     26.16   
1bcu_ligand_187     14.09   
1bcu_ligand_202     19.53   
1bcu_ligand_215     22.88   
1bcu_ligand_225     16.03   
1bcu_ligand_236     31.35   
1bcu_ligand_240     21.13   
1bcu_ligand_259     10.97   
1bcu_ligand_265     22.58   
1bcu_ligand_267     11.97   
1bcu_ligand_268     22.27   
1bcu_ligand_272     21.65   
1bcu_ligand_273     15.36   
1bcu_ligand_276     22.87   
1bcu_ligand_280     18.05   
1bcu_ligand_281     30.30   
1bcu_ligand_283     31.87   
1bcu_ligand_289     12.54   
1bcu_ligand_301     -26.91  
1bcu_ligand_313     27.28   
1bcu_ligand_314     5.73    
1bcu_ligand_318     4.90    
1bcu_ligand_320     15.71   
1bcu_ligand_331     2.59    
1bcu_ligand_337     15.29   
1bcu_ligand_341     13.18   
1bcu_ligand_345     6.41    
1bcu_ligand_347     6.55    
1bcu_ligand_348     13.28   
1bcu_ligand_351     -1978.66
1bcu_ligand_352     20.96   
1bcu_ligand_353     31.69   
1bcu_ligand_355     15.94   
1bcu_ligand_357     -4995.67
1bcu_ligand_360     30.63   
1bcu_ligand_361     1.29    
1bcu_ligand_362     16.51   
1bcu_ligand_363     11.77   
1bcu_ligand_366     14.72   
1bcu_ligand_367     2.94    
1bcu_ligand_368     13.72   
1bcu_ligand_369     4.79    
1bcu_ligand_370     -6.76   
1bcu_ligand_371     -3.03   
1bcu_ligand_373     12.58   
1bcu_ligand_376     6.24    
1bcu_ligand_377     -7.69   
1bcu_ligand_378     -10.75  
1bcu_ligand_379     -3.49   
1bcu_ligand_380     -984.54 
1bcu_ligand_381     8.19    
1bcu_ligand_382     7.37    
1bcu_ligand_383     3.40    
1bcu_ligand_384     16.46   
1bcu_ligand_385     14.14   
1bcu_ligand_386     11.52   
1bcu_ligand_387     4.80    
1bcu_ligand_388     11.76   
1bcu_ligand_389     -995.22 
1bcu_ligand_390     11.64   
1bcu_ligand_391     10.14   
1bcu_ligand_396     17.33   
1bcu_ligand_397     13.16   
1bcu_ligand_399     -4996.38
1bcu_ligand_400     0.88    
1bcu_ligand_407     15.09   
1bcu_ligand_412     23.11   
1bcu_ligand_413     17.54   
1bcu_ligand_418     20.82   
1bcu_ligand_419     18.98   
1bcu_ligand_422     18.17   
1bcu_ligand_426     -1988.00
1bcu_ligand_428     -992.95 
1bcu_ligand_430     9.53    
1bcu_ligand_431     16.99   
1bcu_ligand_433     -6.53   
1bcu_ligand_435     19.34   
1bcu_ligand_437     26.19   
1bcu_ligand_438     15.56   
1bcu_ligand_439     12.89   
1bcu_ligand_441     -3989.10
1bcu_ligand_444     12.54   
1bcu_ligand_447     6.76    
1bcu_ligand_450     14.32   
1bcu_ligand_459     -1987.90
1bcu_ligand_461     10.18   
1bcu_ligand_463     25.31   
1bcu_ligand_466     -2988.33
1bcu_ligand_474     6.20    
1bcu_ligand_477     21.68   
1bcu_ligand_478     25.38   
1bcu_ligand_484     16.47   
1bcu_ligand_485     13.53   
1bcu_ligand_490     23.15   
1bcu_ligand_498     27.85   
1bcu_ligand_81      39.00   
1bzc_ligand_106     44.15   
1bzc_ligand_108     37.51   
1bzc_ligand_113     42.22   
1bzc_ligand_116     36.12   
1bzc_ligand_117     38.72   
1bzc_ligand_118     43.91   
1bzc_ligand_123     41.90   
1bzc_ligand_13      13.69   
1bzc_ligand_151     -240.28 
1bzc_ligand_156     -50.74  
1bzc_ligand_16      33.35   
1bzc_ligand_169     -265.56 
1bzc_ligand_173     -67.23  
1bzc_ligand_180     -85.97  
1bzc_ligand_181     -109.49 
1bzc_ligand_189     -29.07  
1bzc_ligand_193     -15.18  
1bzc_ligand_194     -25.96  
1bzc_ligand_196     -20.00  
1bzc_ligand_197     -86.22  
1bzc_ligand_202     22.19   
1bzc_ligand_204     -4.52   
1bzc_ligand_206     6.51    
1bzc_ligand_209     2.01    
1bzc_ligand_21      30.93   
1bzc_ligand_216     -185.44 
1bzc_ligand_219     18.64   
1bzc_ligand_220     3.80    
1bzc_ligand_221     21.11   
1bzc_ligand_222     24.31   
1bzc_ligand_223     -8.72   
1bzc_ligand_224     -6.69   
1bzc_ligand_227     -11.32  
1bzc_ligand_229     10.46   
1bzc_ligand_232     -169.65 
1bzc_ligand_233     -55.78  
1bzc_ligand_237     -35.64  
1bzc_ligand_239     8.65    
1bzc_ligand_241     -28.49  
1bzc_ligand_242     -0.44   
1bzc_ligand_244     -87.47  
1bzc_ligand_245     10.94   
1bzc_ligand_248     -87.39  
1bzc_ligand_250     -0.79   
1bzc_ligand_258     -10.76  
1bzc_ligand_268     -22.09  
1bzc_ligand_269     -64.54  
1bzc_ligand_271     -34.79  
1bzc_ligand_272     -77.81  
1bzc_ligand_273     -63.14  
1bzc_ligand_279     -21.57  
1bzc_ligand_281     -10.13  
1bzc_ligand_284     -22.69  
1bzc_ligand_290     -49.03  
1bzc_ligand_30      29.97   
1bzc_ligand_305     -96.20  
1bzc_ligand_31      35.16   
1bzc_ligand_310     -24.98  
1bzc_ligand_311     -44.55  
1bzc_ligand_316     -42.02  
1bzc_ligand_327     -67.60  
1bzc_ligand_331     -23.59  
1bzc_ligand_346     -32.69  
1bzc_ligand_351     -10996.16
1bzc_ligand_353     26.75   
1bzc_ligand_357     8.26    
1bzc_ligand_358     28.79   
1bzc_ligand_359     -2982.43
1bzc_ligand_360     28.06   
1bzc_ligand_362     20.13   
1bzc_ligand_365     18.69   
1bzc_ligand_368     30.94   
1bzc_ligand_378     29.59   
1bzc_ligand_379     3.37    
1bzc_ligand_385     4.33    
1bzc_ligand_386     33.18   
1bzc_ligand_388     -3985.78
1bzc_ligand_392     -9.64   
1bzc_ligand_393     21.81   
1bzc_ligand_398     33.18   
1bzc_ligand_40      38.85   
1bzc_ligand_400     30.30   
1bzc_ligand_421     30.25   
1bzc_ligand_426     33.90   
1bzc_ligand_43      17.47   
1bzc_ligand_467     13.84   
1bzc_ligand_479     22.06   
1bzc_ligand_484     -3987.76
1bzc_ligand_5       37.17   
1bzc_ligand_50      32.88   
1bzc_ligand_57      24.00   
1bzc_ligand_64      23.98   
1bzc_ligand_77      18.44   
1bzc_ligand_85      34.08   
1bzc_ligand_86      40.01   
1bzc_ligand_90      36.56   
1bzc_ligand_92      31.45   
1bzc_ligand_93      43.74   
1bzc_ligand_95      32.41   
1bzc_ligand_97      25.61   
1c5z_ligand_154     19.29   
1c5z_ligand_162     12.68   
1c5z_ligand_164     -4.24   
1c5z_ligand_167     8.72    
1c5z_ligand_171     11.62   
1c5z_ligand_172     7.40    
1c5z_ligand_178     12.90   
1c5z_ligand_181     7.08    
1c5z_ligand_183     20.46   
1c5z_ligand_189     -2.66   
1c5z_ligand_19      25.02   
1c5z_ligand_192     16.00   
1c5z_ligand_193     1.26    
1c5z_ligand_194     11.75   
1c5z_ligand_195     18.01   
1c5z_ligand_197     -7.00   
1c5z_ligand_198     10.80   
1c5z_ligand_207     -0.58   
1c5z_ligand_212     3.39    
1c5z_ligand_214     13.39   
1c5z_ligand_216     18.61   
1c5z_ligand_217     12.71   
1c5z_ligand_218     23.65   
1c5z_ligand_220     19.17   
1c5z_ligand_223     6.35    
1c5z_ligand_225     12.54   
1c5z_ligand_227     22.94   
1c5z_ligand_229     15.26   
1c5z_ligand_230     8.36    
1c5z_ligand_235     17.52   
1c5z_ligand_236     11.80   
1c5z_ligand_239     10.75   
1c5z_ligand_241     19.57   
1c5z_ligand_243     15.23   
1c5z_ligand_244     13.06   
1c5z_ligand_245     8.89    
1c5z_ligand_246     10.51   
1c5z_ligand_247     15.54   
1c5z_ligand_252     20.34   
1c5z_ligand_258     14.19   
1c5z_ligand_259     8.59    
1c5z_ligand_265     4.73    
1c5z_ligand_268     9.22    
1c5z_ligand_27      26.26   
1c5z_ligand_271     5.90    
1c5z_ligand_276     7.70    
1c5z_ligand_277     15.25   
1c5z_ligand_280     12.76   
1c5z_ligand_281     16.20   
1c5z_ligand_282     8.99    
1c5z_ligand_285     1.39    
1c5z_ligand_286     -6.67   
1c5z_ligand_287     24.64   
1c5z_ligand_288     -3.74   
1c5z_ligand_291     -9.97   
1c5z_ligand_292     3.89    
1c5z_ligand_294     -10.70  
1c5z_ligand_300     -9.11   
1c5z_ligand_301     -4.95   
1c5z_ligand_303     -12.22  
1c5z_ligand_304     1.64    
1c5z_ligand_305     -0.19   
1c5z_ligand_306     3.21    
1c5z_ligand_308     -22.15  
1c5z_ligand_311     6.36    
1c5z_ligand_312     1.47    
1c5z_ligand_313     -20.29  
1c5z_ligand_315     -4.01   
1c5z_ligand_316     19.73   
1c5z_ligand_319     12.56   
1c5z_ligand_320     -20.55  
1c5z_ligand_321     -5.80   
1c5z_ligand_326     -0.72   
1c5z_ligand_327     16.58   
1c5z_ligand_332     2.70    
1c5z_ligand_333     10.78   
1c5z_ligand_339     3.45    
1c5z_ligand_341     -6.03   
1c5z_ligand_348     2.53    
1c5z_ligand_362     11.06   
1c5z_ligand_370     18.09   
1c5z_ligand_372     17.92   
1c5z_ligand_38      22.45   
1c5z_ligand_381     13.56   
1c5z_ligand_383     19.66   
1c5z_ligand_386     13.46   
1c5z_ligand_392     2.97    
1c5z_ligand_397     2.88    
1c5z_ligand_398     14.79   
1c5z_ligand_400     14.14   
1c5z_ligand_421     9.05    
1c5z_ligand_44      22.26   
1c5z_ligand_442     9.70    
1c5z_ligand_449     11.30   
1c5z_ligand_45      21.26   
1c5z_ligand_457     15.94   
1c5z_ligand_47      25.86   
1c5z_ligand_480     6.76    
1c5z_ligand_485     10.68   
1c5z_ligand_84      20.38   
1e66_ligand_104     39.42   
1e66_ligand_128     33.83   
1e66_ligand_166     -40.32  
1e66_ligand_167     -4.19   
1e66_ligand_169     -12.95  
1e66_ligand_177     -9.25   
1e66_ligand_179     -15.09  
1e66_ligand_180     -15.68  
1e66_ligand_192     -32.95  
1e66_ligand_199     25.28   
1e66_ligand_201     20.80   
1e66_ligand_202     21.05   
1e66_ligand_204     33.81   
1e66_ligand_217     15.70   
1e66_ligand_219     30.79   
1e66_ligand_223     16.98   
1e66_ligand_225     20.96   
1e66_ligand_226     22.49   
1e66_ligand_228     26.95   
1e66_ligand_229     23.54   
1e66_ligand_230     21.53   
1e66_ligand_232     25.61   
1e66_ligand_233     20.96   
1e66_ligand_239     18.61   
1e66_ligand_240     17.09   
1e66_ligand_243     28.26   
1e66_ligand_244     21.37   
1e66_ligand_246     31.88   
1e66_ligand_261     9.65    
1e66_ligand_263     20.02   
1e66_ligand_270     23.08   
1e66_ligand_276     27.33   
1e66_ligand_277     1.93    
1e66_ligand_28      27.76   
1e66_ligand_281     16.54   
1e66_ligand_284     -10.49  
1e66_ligand_285     17.51   
1e66_ligand_291     22.62   
1e66_ligand_294     10.04   
1e66_ligand_299     -8.97   
1e66_ligand_300     3.87    
1e66_ligand_303     7.53    
1e66_ligand_307     14.61   
1e66_ligand_315     15.92   
1e66_ligand_317     12.35   
1e66_ligand_319     0.70    
1e66_ligand_330     8.43    
1e66_ligand_332     22.42   
1e66_ligand_335     -7.96   
1e66_ligand_336     -3.82   
1e66_ligand_339     11.54   
1e66_ligand_34      -981.82 
1e66_ligand_340     10.73   
1e66_ligand_344     11.63   
1e66_ligand_350     -1.52   
1e66_ligand_354     25.81   
1e66_ligand_359     23.41   
1e66_ligand_360     36.19   
1e66_ligand_368     4.02    
1e66_ligand_369     24.65   
1e66_ligand_370     10.76   
1e66_ligand_371     27.73   
1e66_ligand_374     16.87   
1e66_ligand_375     13.21   
1e66_ligand_376     23.20   
1e66_ligand_377     7.88    
1e66_ligand_383     27.16   
1e66_ligand_385     2.57    
1e66_ligand_390     6.94    
1e66_ligand_391     17.79   
1e66_ligand_393     25.62   
1e66_ligand_394     9.40    
1e66_ligand_395     20.70   
1e66_ligand_396     13.72   
1e66_ligand_40      31.97   
1e66_ligand_400     -15.41  
