#code_ligand_num    score   
1a30_ligand_100     50.86   
1a30_ligand_118     58.58   
1a30_ligand_119     42.52   
1a30_ligand_12      32.06   
1a30_ligand_120     50.82   
1a30_ligand_121     47.86   
1a30_ligand_123     49.99   
1a30_ligand_126     38.27   
1a30_ligand_13      28.99   
1a30_ligand_130     68.62   
1a30_ligand_131     49.80   
1a30_ligand_14      54.96   
1a30_ligand_140     36.05   
1a30_ligand_143     47.24   
1a30_ligand_148     49.54   
1a30_ligand_15      45.98   
1a30_ligand_152     -141.79 
1a30_ligand_155     -114.25 
1a30_ligand_159     -274.22 
1a30_ligand_16      49.69   
1a30_ligand_160     -77.03  
1a30_ligand_164     -97.92  
1a30_ligand_17      32.89   
1a30_ligand_171     -110.29 
1a30_ligand_175     -131.96 
1a30_ligand_176     -63.83  
1a30_ligand_177     -108.48 
1a30_ligand_178     -200.84 
1a30_ligand_182     -171.28 
1a30_ligand_183     -154.14 
1a30_ligand_194     -153.54 
1a30_ligand_200     -104.53 
1a30_ligand_201     7.67    
1a30_ligand_203     -100.02 
1a30_ligand_209     -52.18  
1a30_ligand_210     -111.52 
1a30_ligand_213     -2.36   
1a30_ligand_216     -219.79 
1a30_ligand_220     -6.31   
1a30_ligand_221     -12.14  
1a30_ligand_222     -2.32   
1a30_ligand_223     -51.99  
1a30_ligand_232     -24.68  
1a30_ligand_235     -40.61  
1a30_ligand_236     -111.89 
1a30_ligand_237     -56.97  
1a30_ligand_238     -63.34  
1a30_ligand_239     -104.09 
1a30_ligand_240     -8.45   
1a30_ligand_241     -124.39 
1a30_ligand_243     -5.72   
1a30_ligand_244     -2.97   
1a30_ligand_245     -107.55 
1a30_ligand_246     -18.22  
1a30_ligand_247     4.26    
1a30_ligand_250     -84.22  
1a30_ligand_251     -10.43  
1a30_ligand_259     -131.33 
1a30_ligand_261     -158.26 
1a30_ligand_267     -84.96  
1a30_ligand_27      11.69   
1a30_ligand_274     -25.10  
1a30_ligand_283     -6.52   
1a30_ligand_289     -91.37  
1a30_ligand_292     -153.97 
1a30_ligand_296     -179.36 
1a30_ligand_301     -115.85 
1a30_ligand_303     -110.09 
1a30_ligand_306     -84.95  
1a30_ligand_311     -86.31  
1a30_ligand_314     -57.90  
1a30_ligand_32      41.46   
1a30_ligand_326     -139.46 
1a30_ligand_330     -53.74  
1a30_ligand_331     -44.23  
1a30_ligand_335     -94.80  
1a30_ligand_338     -155.43 
1a30_ligand_34      42.95   
1a30_ligand_340     -76.61  
1a30_ligand_350     -99.77  
1a30_ligand_369     61.28   
1a30_ligand_38      45.90   
1a30_ligand_383     60.58   
1a30_ligand_40      15.65   
1a30_ligand_443     38.57   
