#code_ligand_num    score   
1a30_ligand_1       40.17   
1a30_ligand_11      25.68   
1a30_ligand_112     52.47   
1a30_ligand_114     42.25   
1a30_ligand_115     50.76   
1a30_ligand_117     40.22   
1a30_ligand_128     52.39   
1a30_ligand_129     48.32   
1a30_ligand_131     37.80   
1a30_ligand_14      33.71   
1a30_ligand_141     34.40   
1a30_ligand_146     32.68   
1a30_ligand_148     36.45   
1a30_ligand_149     29.71   
1a30_ligand_155     -22.15  
1a30_ligand_16      29.33   
1a30_ligand_161     -155.00 
1a30_ligand_164     -187.31 
1a30_ligand_166     -68.24  
1a30_ligand_168     -102.04 
1a30_ligand_169     -73.67  
1a30_ligand_173     -171.03 
1a30_ligand_175     -40.64  
1a30_ligand_177     -90.68  
1a30_ligand_178     -82.13  
1a30_ligand_180     -224.98 
1a30_ligand_184     -100.28 
1a30_ligand_19      31.11   
1a30_ligand_190     -93.17  
1a30_ligand_195     -151.21 
1a30_ligand_198     -63.61  
1a30_ligand_200     -85.57  
1a30_ligand_204     -123.47 
1a30_ligand_206     -42.34  
1a30_ligand_212     -272.25 
1a30_ligand_217     -103.37 
1a30_ligand_221     -17.67  
1a30_ligand_225     -54.54  
1a30_ligand_227     -77.16  
1a30_ligand_232     -71.00  
1a30_ligand_234     -20.54  
1a30_ligand_235     -63.60  
1a30_ligand_241     -62.93  
1a30_ligand_246     -132.25 
1a30_ligand_255     -25.93  
1a30_ligand_265     -123.03 
1a30_ligand_267     -117.62 
1a30_ligand_277     -61.08  
1a30_ligand_279     -67.84  
1a30_ligand_28      34.17   
1a30_ligand_280     -53.73  
1a30_ligand_286     -163.45 
1a30_ligand_291     -292.17 
1a30_ligand_305     -51.15  
1a30_ligand_31      27.10   
1a30_ligand_316     -100.31 
1a30_ligand_320     -107.13 
1a30_ligand_327     -32.21  
1a30_ligand_333     -95.13  
1a30_ligand_335     -76.45  
1a30_ligand_34      12.56   
1a30_ligand_345     -40.34  
1a30_ligand_349     -85.62  
1a30_ligand_359     25.82   
1a30_ligand_36      22.27   
1a30_ligand_360     27.18   
1a30_ligand_362     13.25   
1a30_ligand_371     -0.00   
1a30_ligand_374     27.17   
1a30_ligand_376     32.25   
1a30_ligand_381     12.79   
1a30_ligand_388     18.52   
1a30_ligand_397     17.36   
1a30_ligand_399     -0.17   
1a30_ligand_400     14.80   
1a30_ligand_422     32.64   
1a30_ligand_434     25.20   
1a30_ligand_45      19.72   
1a30_ligand_488     41.05   
1a30_ligand_493     32.23   
1a30_ligand_495     29.66   
1a30_ligand_5       27.69   
1a30_ligand_50      28.47   
1a30_ligand_53      30.68   
1a30_ligand_56      33.58   
1a30_ligand_59      29.61   
1a30_ligand_6       25.61   
1a30_ligand_60      30.77   
1a30_ligand_62      25.59   
1a30_ligand_68      28.26   
1a30_ligand_69      10.48   
1a30_ligand_73      42.51   
1a30_ligand_75      28.22   
1a30_ligand_76      7.70    
1a30_ligand_77      26.50   
1a30_ligand_83      24.55   
1a30_ligand_86      33.52   
1a30_ligand_87      26.17   
1a30_ligand_89      32.26   
1a30_ligand_99      39.26   
1bcu_ligand_106     50.54   
1bcu_ligand_113     50.98   
1bcu_ligand_118     45.09   
1bcu_ligand_123     48.33   
1bcu_ligand_131     45.22   
1bcu_ligand_137     42.25   
1bcu_ligand_155     16.46   
1bcu_ligand_156     38.64   
1bcu_ligand_159     23.75   
1bcu_ligand_169     33.92   
1bcu_ligand_171     33.34   
1bcu_ligand_177     35.06   
1bcu_ligand_182     28.32   
1bcu_ligand_187     12.06   
1bcu_ligand_189     32.48   
1bcu_ligand_190     29.52   
1bcu_ligand_194     18.13   
1bcu_ligand_199     34.64   
1bcu_ligand_20      44.70   
1bcu_ligand_200     22.20   
1bcu_ligand_202     31.96   
1bcu_ligand_21      46.99   
1bcu_ligand_212     40.49   
1bcu_ligand_220     42.26   
1bcu_ligand_230     36.88   
1bcu_ligand_241     33.91   
1bcu_ligand_251     31.32   
1bcu_ligand_260     43.42   
1bcu_ligand_261     32.27   
1bcu_ligand_262     32.62   
1bcu_ligand_269     39.76   
1bcu_ligand_274     25.63   
1bcu_ligand_280     34.50   
1bcu_ligand_284     34.50   
1bcu_ligand_285     34.03   
1bcu_ligand_286     16.52   
1bcu_ligand_290     16.93   
1bcu_ligand_291     31.77   
1bcu_ligand_294     34.12   
1bcu_ligand_296     20.01   
1bcu_ligand_298     30.92   
