#code_ligand_num    score   
1a30_ligand_11      10.61   
1a30_ligand_112     52.25   
1a30_ligand_113     52.96   
1a30_ligand_117     52.29   
1a30_ligand_119     62.20   
1a30_ligand_120     56.19   
1a30_ligand_128     53.67   
1a30_ligand_13      48.89   
1a30_ligand_134     63.65   
1a30_ligand_14      41.48   
1a30_ligand_146     54.22   
1a30_ligand_150     56.46   
1a30_ligand_151     -90.44  
1a30_ligand_156     -173.01 
1a30_ligand_159     -48.66  
1a30_ligand_165     -58.02  
1a30_ligand_173     -43.55  
1a30_ligand_179     -32.77  
1a30_ligand_181     -34.70  
1a30_ligand_182     -153.01 
1a30_ligand_188     -80.98  
1a30_ligand_189     -77.83  
1a30_ligand_191     -141.43 
1a30_ligand_192     -94.60  
1a30_ligand_194     -25.60  
1a30_ligand_197     -101.55 
1a30_ligand_198     -172.81 
1a30_ligand_20      34.23   
1a30_ligand_200     -51.93  
1a30_ligand_206     -6.10   
1a30_ligand_209     -42.27  
1a30_ligand_221     -48.32  
1a30_ligand_223     -85.51  
1a30_ligand_225     -34.37  
1a30_ligand_228     -103.61 
1a30_ligand_232     -37.80  
1a30_ligand_235     21.62   
1a30_ligand_236     -57.57  
1a30_ligand_237     -37.24  
1a30_ligand_238     -32.45  
1a30_ligand_241     -102.47 
1a30_ligand_244     -3.30   
1a30_ligand_247     -29.72  
1a30_ligand_249     -46.76  
1a30_ligand_250     -82.01  
1a30_ligand_251     -52.77  
1a30_ligand_259     -47.10  
1a30_ligand_26      42.56   
1a30_ligand_263     -247.15 
1a30_ligand_271     -75.56  
1a30_ligand_272     -50.31  
1a30_ligand_273     -15.87  
1a30_ligand_276     -64.11  
1a30_ligand_278     -42.78  
1a30_ligand_282     -21.92  
1a30_ligand_287     -18.03  
1a30_ligand_288     -50.23  
1a30_ligand_29      44.62   
1a30_ligand_294     -29.66  
1a30_ligand_296     -138.63 
1a30_ligand_298     -237.45 
1a30_ligand_306     -257.26 
1a30_ligand_307     -58.95  
1a30_ligand_308     -150.82 
1a30_ligand_322     -121.36 
1a30_ligand_328     -122.15 
1a30_ligand_329     -144.45 
1a30_ligand_330     -80.41  
1a30_ligand_331     -85.40  
1a30_ligand_335     -86.29  
1a30_ligand_341     -123.53 
1a30_ligand_343     -51.21  
1a30_ligand_348     -105.06 
1a30_ligand_349     -91.96  
1a30_ligand_36      42.26   
1a30_ligand_373     49.29   
1a30_ligand_375     5.94    
1a30_ligand_381     16.77   
1a30_ligand_390     24.18   
1a30_ligand_391     33.97   
1a30_ligand_393     40.85   
1a30_ligand_398     51.75   
1a30_ligand_399     39.01   
1a30_ligand_448     30.49   
1a30_ligand_49      40.20   
1a30_ligand_55      37.77   
1a30_ligand_60      51.67   
1a30_ligand_67      11.18   
1a30_ligand_68      26.66   
1a30_ligand_69      21.71   
1a30_ligand_72      31.93   
1a30_ligand_75      41.67   
1a30_ligand_77      19.79   
1a30_ligand_82      19.54   
1a30_ligand_83      20.65   
1a30_ligand_85      37.54   
1a30_ligand_86      20.34   
1a30_ligand_91      25.50   
1a30_ligand_95      37.29   
1a30_ligand_96      39.40   
1bcu_ligand_157     -22.58  
1bcu_ligand_173     36.20   
1bcu_ligand_175     43.92   
1bcu_ligand_191     18.88   
1bcu_ligand_204     20.07   
1bcu_ligand_212     16.70   
1bcu_ligand_215     30.96   
1bcu_ligand_219     28.09   
1bcu_ligand_221     10.11   
1bcu_ligand_225     31.83   
1bcu_ligand_227     24.81   
1bcu_ligand_232     36.68   
1bcu_ligand_233     25.97   
1bcu_ligand_234     21.06   
1bcu_ligand_235     26.52   
1bcu_ligand_236     28.26   
1bcu_ligand_238     21.63   
1bcu_ligand_243     22.74   
1bcu_ligand_245     10.48   
1bcu_ligand_252     35.97   
1bcu_ligand_259     -8.05   
1bcu_ligand_260     43.56   
1bcu_ligand_267     24.20   
1bcu_ligand_269     4.68    
1bcu_ligand_273     2.56    
1bcu_ligand_275     34.99   
1bcu_ligand_277     36.91   
1bcu_ligand_285     18.53   
1bcu_ligand_297     -18.76  
1bcu_ligand_301     20.81   
1bcu_ligand_304     21.02   
1bcu_ligand_305     17.85   
1bcu_ligand_306     15.12   
1bcu_ligand_318     8.95    
1bcu_ligand_319     15.41   
1bcu_ligand_321     30.02   
1bcu_ligand_324     9.67    
1bcu_ligand_330     32.84   
1bcu_ligand_347     16.63   
1bcu_ligand_354     8.09    
1bcu_ligand_355     22.10   
1bcu_ligand_362     9.92    
1bcu_ligand_365     12.99   
1bcu_ligand_368     19.32   
1bcu_ligand_369     -983.84 
1bcu_ligand_370     6.82    
1bcu_ligand_373     17.13   
1bcu_ligand_378     28.36   
1bcu_ligand_379     -2977.85
1bcu_ligand_380     15.47   
1bcu_ligand_382     11.27   
1bcu_ligand_386     21.88   
1bcu_ligand_387     23.76   
1bcu_ligand_388     -983.34 
1bcu_ligand_389     11.41   
1bcu_ligand_390     -3.35   
1bcu_ligand_391     1.75    
1bcu_ligand_392     10.04   
1bcu_ligand_393     10.09   
1bcu_ligand_394     18.10   
1bcu_ligand_395     4.14    
1bcu_ligand_396     18.02   
1bcu_ligand_397     -4.85   
1bcu_ligand_398     9.54    
1bcu_ligand_399     12.20   
1bcu_ligand_400     7.13    
1bcu_ligand_404     20.76   
1bcu_ligand_407     1.46    
1bcu_ligand_411     22.81   
1bcu_ligand_412     -13.92  
1bcu_ligand_414     -3983.67
1bcu_ligand_415     12.29   
1bcu_ligand_416     24.23   
1bcu_ligand_418     -21.08  
1bcu_ligand_419     22.25   
1bcu_ligand_420     -2.08   
1bcu_ligand_424     -2978.21
1bcu_ligand_425     -984.49 
1bcu_ligand_428     29.40   
1bcu_ligand_432     28.84   
1bcu_ligand_437     13.06   
1bcu_ligand_438     20.22   
1bcu_ligand_439     3.62    
1bcu_ligand_442     17.88   
1bcu_ligand_447     2.05    
1bcu_ligand_449     -15.34  
1bcu_ligand_451     -24.65  
1bcu_ligand_452     -7.47   
1bcu_ligand_459     23.03   
1bcu_ligand_461     19.88   
1bcu_ligand_463     -28.69  
1bcu_ligand_464     20.74   
1bcu_ligand_471     12.83   
1bcu_ligand_477     10.74   
1bcu_ligand_479     20.39   
1bcu_ligand_487     36.28   
1bcu_ligand_489     -16.48  
1bcu_ligand_495     11.20   
1bcu_ligand_498     7.23    
1bcu_ligand_70      33.92   
1bzc_ligand_111     67.37   
1bzc_ligand_139     57.47   
1bzc_ligand_153     -21.37  
1bzc_ligand_158     -54.95  
1bzc_ligand_165     -33.22  
1bzc_ligand_169     -23.56  
1bzc_ligand_171     -67.86  
1bzc_ligand_178     -58.13  
1bzc_ligand_18      34.72   
1bzc_ligand_186     -96.92  
1bzc_ligand_191     -102.99 
1bzc_ligand_192     -170.15 
1bzc_ligand_194     -13.47  
1bzc_ligand_195     -13.27  
1bzc_ligand_196     -38.99  
1bzc_ligand_197     -64.02  
1bzc_ligand_198     -40.70  
1bzc_ligand_201     19.36   
1bzc_ligand_205     -40.34  
1bzc_ligand_206     14.90   
1bzc_ligand_207     7.23    
1bzc_ligand_208     -45.42  
1bzc_ligand_210     12.55   
1bzc_ligand_211     12.24   
1bzc_ligand_212     -111.51 
1bzc_ligand_213     -14.58  
1bzc_ligand_215     -15.33  
1bzc_ligand_216     13.31   
1bzc_ligand_218     -13.46  
1bzc_ligand_222     -38.57  
1bzc_ligand_227     -55.02  
1bzc_ligand_228     5.31    
1bzc_ligand_230     21.68   
1bzc_ligand_236     0.49    
1bzc_ligand_237     13.74   
1bzc_ligand_239     -2.74   
1bzc_ligand_240     8.59    
1bzc_ligand_242     4.35    
1bzc_ligand_248     -29.26  
1bzc_ligand_249     28.79   
1bzc_ligand_254     -23.22  
1bzc_ligand_256     -19.18  
1bzc_ligand_261     -64.55  
1bzc_ligand_265     3.15    
1bzc_ligand_269     -7.41   
1bzc_ligand_270     -6.41   
1bzc_ligand_273     -46.03  
1bzc_ligand_276     -32.33  
1bzc_ligand_278     -45.36  
1bzc_ligand_281     -51.46  
1bzc_ligand_285     -4.83   
1bzc_ligand_289     -150.15 
1bzc_ligand_290     -3.85   
1bzc_ligand_291     -52.15  
1bzc_ligand_292     -50.79  
1bzc_ligand_295     -94.14  
1bzc_ligand_296     -44.60  
1bzc_ligand_298     -192.22 
1bzc_ligand_299     -32.95  
1bzc_ligand_301     -70.74  
1bzc_ligand_303     -65.35  
1bzc_ligand_306     -110.65 
1bzc_ligand_310     -113.24 
1bzc_ligand_313     -36.48  
1bzc_ligand_314     -51.92  
1bzc_ligand_316     -60.33  
1bzc_ligand_317     -76.54  
1bzc_ligand_319     -4.03   
1bzc_ligand_324     -95.10  
1bzc_ligand_326     -92.24  
1bzc_ligand_329     -110.33 
1bzc_ligand_330     -41.68  
1bzc_ligand_335     -48.96  
1bzc_ligand_336     -37.44  
1bzc_ligand_338     -51.00  
1bzc_ligand_339     -44.55  
1bzc_ligand_341     -60.90  
1bzc_ligand_346     -179.52 
1bzc_ligand_348     -51.71  
1bzc_ligand_349     -54.75  
1bzc_ligand_352     18.34   
1bzc_ligand_37      45.22   
1bzc_ligand_371     24.12   
1bzc_ligand_383     25.58   
1bzc_ligand_385     -13.55  
1bzc_ligand_387     -15.59  
1bzc_ligand_399     3.59    
1bzc_ligand_4       57.85   
1bzc_ligand_418     14.75   
1bzc_ligand_424     -1017.64
1bzc_ligand_441     -16.93  
1bzc_ligand_442     -9.81   
1bzc_ligand_443     20.56   
1bzc_ligand_464     14.16   
1bzc_ligand_487     13.51   
1bzc_ligand_491     26.35   
1bzc_ligand_500     -7.72   
1bzc_ligand_68      47.19   
1bzc_ligand_82      24.00   
1bzc_ligand_99      60.25   
1c5z_ligand_124     34.62   
1c5z_ligand_134     33.01   
1c5z_ligand_154     17.43   
1c5z_ligand_155     21.75   
1c5z_ligand_158     17.53   
1c5z_ligand_163     4.97    
1c5z_ligand_170     9.32    
1c5z_ligand_171     6.09    
1c5z_ligand_175     22.47   
1c5z_ligand_177     5.07    
1c5z_ligand_184     19.78   
1c5z_ligand_185     6.57    
1c5z_ligand_186     28.89   
1c5z_ligand_188     26.58   
1c5z_ligand_189     -3.59   
1c5z_ligand_190     9.51    
1c5z_ligand_191     14.88   
1c5z_ligand_208     13.14   
1c5z_ligand_209     -1.95   
1c5z_ligand_210     18.00   
1c5z_ligand_212     19.90   
1c5z_ligand_215     21.72   
1c5z_ligand_217     4.88    
1c5z_ligand_219     8.06    
1c5z_ligand_221     23.36   
1c5z_ligand_222     17.50   
1c5z_ligand_224     14.02   
1c5z_ligand_225     12.98   
1c5z_ligand_227     22.59   
1c5z_ligand_232     14.33   
1c5z_ligand_234     3.82    
1c5z_ligand_235     13.21   
1c5z_ligand_237     13.22   
1c5z_ligand_238     -0.86   
1c5z_ligand_239     24.66   
1c5z_ligand_246     19.59   
1c5z_ligand_247     11.62   
1c5z_ligand_248     11.49   
1c5z_ligand_249     26.99   
1c5z_ligand_251     16.40   
1c5z_ligand_255     11.49   
1c5z_ligand_257     3.16    
1c5z_ligand_260     9.76    
1c5z_ligand_267     20.94   
1c5z_ligand_268     13.30   
1c5z_ligand_269     18.36   
1c5z_ligand_270     8.66    
1c5z_ligand_274     19.64   
1c5z_ligand_275     -5.42   
1c5z_ligand_276     20.12   
1c5z_ligand_283     19.95   
1c5z_ligand_284     -0.22   
1c5z_ligand_287     19.08   
1c5z_ligand_288     9.27    
1c5z_ligand_289     20.51   
1c5z_ligand_293     14.71   
1c5z_ligand_294     8.70    
1c5z_ligand_295     12.99   
1c5z_ligand_298     21.83   
1c5z_ligand_302     -5.93   
1c5z_ligand_303     17.70   
1c5z_ligand_306     9.13    
1c5z_ligand_310     2.55    
1c5z_ligand_314     18.30   
1c5z_ligand_315     8.34    
1c5z_ligand_316     -16.84  
1c5z_ligand_323     -3.62   
1c5z_ligand_326     17.31   
1c5z_ligand_327     3.78    
1c5z_ligand_330     -12.09  
1c5z_ligand_335     -12.18  
1c5z_ligand_337     5.80    
1c5z_ligand_338     26.32   
1c5z_ligand_343     17.33   
1c5z_ligand_345     13.44   
1c5z_ligand_350     7.54    
1c5z_ligand_36      28.36   
1c5z_ligand_382     6.68    
1c5z_ligand_386     2.33    
1c5z_ligand_387     16.38   
1c5z_ligand_388     -2.72   
1c5z_ligand_390     -13.32  
1c5z_ligand_394     10.92   
1c5z_ligand_396     13.66   
1c5z_ligand_397     7.80    
1c5z_ligand_400     14.33   
1c5z_ligand_423     2.27    
1c5z_ligand_427     13.90   
1c5z_ligand_438     25.11   
1c5z_ligand_441     17.17   
1c5z_ligand_445     25.27   
1c5z_ligand_495     17.39   
1c5z_ligand_51      30.79   
1c5z_ligand_62      32.55   
1c5z_ligand_67      21.00   
1c5z_ligand_70      25.39   
1c5z_ligand_75      24.74   
1c5z_ligand_90      17.29   
1c5z_ligand_92      20.11   
1c5z_ligand_95      24.80   
1e66_ligand_100     39.40   
1e66_ligand_104     39.82   
1e66_ligand_128     48.85   
1e66_ligand_137     46.35   
1e66_ligand_143     45.18   
1e66_ligand_149     46.82   
1e66_ligand_161     -13.61  
1e66_ligand_168     19.24   
1e66_ligand_177     19.22   
1e66_ligand_189     20.60   
1e66_ligand_195     -4.12   
1e66_ligand_20      41.37   
1e66_ligand_200     17.25   
1e66_ligand_203     35.83   
1e66_ligand_205     25.36   
1e66_ligand_206     24.73   
1e66_ligand_210     30.07   
1e66_ligand_219     11.58   
1e66_ligand_220     28.12   
1e66_ligand_222     40.83   
1e66_ligand_223     22.46   
1e66_ligand_224     21.42   
1e66_ligand_228     18.73   
1e66_ligand_230     30.83   
1e66_ligand_233     43.11   
1e66_ligand_234     28.20   
1e66_ligand_235     25.19   
1e66_ligand_239     20.97   
1e66_ligand_240     21.46   
1e66_ligand_244     22.62   
1e66_ligand_245     23.68   
1e66_ligand_248     27.33   
1e66_ligand_251     17.97   
1e66_ligand_260     2.16    
1e66_ligand_265     32.33   
1e66_ligand_268     26.11   
1e66_ligand_269     15.72   
1e66_ligand_270     13.59   
1e66_ligand_273     37.11   
1e66_ligand_278     8.40    
1e66_ligand_282     -12.15  
1e66_ligand_285     21.39   
1e66_ligand_286     21.22   
1e66_ligand_287     -12.01  
1e66_ligand_288     25.03   
1e66_ligand_297     -6.40   
1e66_ligand_300     36.63   
1e66_ligand_301     4.35    
1e66_ligand_309     3.70    
1e66_ligand_315     18.74   
1e66_ligand_331     7.23    
1e66_ligand_334     21.57   
1e66_ligand_337     5.81    
1e66_ligand_338     -28.06  
1e66_ligand_341     1.62    
1e66_ligand_342     2.08    
1e66_ligand_343     27.40   
1e66_ligand_346     7.36    
1e66_ligand_347     -18.91  
1e66_ligand_348     18.52   
1e66_ligand_350     -3.43   
1e66_ligand_352     26.19   
1e66_ligand_355     17.81   
1e66_ligand_367     7.66    
1e66_ligand_368     19.23   
1e66_ligand_369     41.38   
1e66_ligand_372     16.67   
1e66_ligand_378     3.28    
1e66_ligand_381     14.67   
1e66_ligand_387     19.35   
1e66_ligand_389     24.02   
1e66_ligand_391     14.62   
1e66_ligand_393     35.78   
1e66_ligand_394     21.09   
1e66_ligand_395     20.72   
1e66_ligand_397     38.19   
1e66_ligand_400     14.85   
1e66_ligand_401     28.35   
1e66_ligand_414     20.04   
1e66_ligand_419     11.67   
1e66_ligand_439     16.62   
1e66_ligand_440     24.57   
1e66_ligand_441     32.22   
1e66_ligand_447     14.20   
1e66_ligand_450     26.68   
1e66_ligand_467     -983.40 
1e66_ligand_468     -2982.08
1e66_ligand_471     31.01   
1e66_ligand_500     32.18   
1e66_ligand_53      29.63   
1e66_ligand_64      31.24   
1e66_ligand_65      -1960.81
1e66_ligand_70      37.20   
1e66_ligand_73      43.57   
1e66_ligand_78      40.59   
1e66_ligand_82      34.44   
1e66_ligand_86      38.01   
1e66_ligand_91      42.15   
1e66_ligand_95      29.76   
1e66_ligand_98      39.81   
1eby_ligand_101     65.53   
1eby_ligand_102     51.78   
1eby_ligand_104     50.67   
1eby_ligand_106     47.18   
1eby_ligand_112     48.88   
1eby_ligand_117     48.63   
1eby_ligand_121     47.58   
1eby_ligand_124     58.69   
1eby_ligand_125     -940.03 
1eby_ligand_127     55.03   
1eby_ligand_131     71.85   
1eby_ligand_132     55.58   
1eby_ligand_135     62.42   
1eby_ligand_141     40.90   
1eby_ligand_143     66.10   
1eby_ligand_144     57.31   
1eby_ligand_145     59.49   
1eby_ligand_149     51.78   
1eby_ligand_150     90.64   
1eby_ligand_165     -276.83 
1eby_ligand_166     -269.00 
1eby_ligand_174     -131.21 
1eby_ligand_177     -121.39 
1eby_ligand_179     -256.87 
1eby_ligand_18      28.91   
1eby_ligand_180     -181.94 
1eby_ligand_181     -347.34 
1eby_ligand_199     -177.01 
1eby_ligand_203     -9.42   
1eby_ligand_204     -87.93  
1eby_ligand_205     -99.28  
1eby_ligand_206     -57.96  
1eby_ligand_207     -132.88 
1eby_ligand_208     -64.71  
1eby_ligand_209     -29.67  
