#code_ligand_num    score   
1a30_ligand_1       35.56   
1a30_ligand_11      29.18   
1a30_ligand_129     45.35   
1a30_ligand_135     37.89   
1a30_ligand_141     37.88   
1a30_ligand_142     49.32   
1a30_ligand_150     44.66   
1a30_ligand_154     -7.44   
1a30_ligand_167     -27.53  
1a30_ligand_169     -25.46  
1a30_ligand_170     -14.43  
1a30_ligand_174     -14.66  
1a30_ligand_178     -45.63  
1a30_ligand_18      35.83   
1a30_ligand_181     -30.94  
1a30_ligand_183     -59.57  
1a30_ligand_186     -5.09   
1a30_ligand_190     15.27   
1a30_ligand_191     -37.92  
1a30_ligand_196     -94.59  
1a30_ligand_197     -43.35  
1a30_ligand_203     3.76    
1a30_ligand_205     1.52    
1a30_ligand_206     -13.29  
1a30_ligand_210     -33.53  
1a30_ligand_211     -12.22  
1a30_ligand_212     -1.39   
1a30_ligand_213     3.21    
1a30_ligand_214     3.32    
1a30_ligand_215     -6.60   
1a30_ligand_217     2.27    
1a30_ligand_223     -10.43  
1a30_ligand_225     -7.40   
1a30_ligand_227     -19.17  
1a30_ligand_230     1.52    
1a30_ligand_231     -0.04   
1a30_ligand_235     -17.82  
1a30_ligand_238     -9.58   
1a30_ligand_239     3.76    
1a30_ligand_24      37.52   
1a30_ligand_240     -16.50  
1a30_ligand_242     -4.66   
1a30_ligand_245     -19.55  
1a30_ligand_246     3.42    
1a30_ligand_247     -5.35   
1a30_ligand_249     2.45    
1a30_ligand_250     -1012.98
1a30_ligand_255     14.29   
1a30_ligand_26      30.13   
1a30_ligand_265     -15.86  
1a30_ligand_27      22.24   
1a30_ligand_272     13.75   
1a30_ligand_274     -0.26   
1a30_ligand_276     -12.94  
1a30_ligand_277     -8.22   
1a30_ligand_278     -26.09  
1a30_ligand_28      30.16   
1a30_ligand_280     -41.79  
1a30_ligand_284     -9.05   
1a30_ligand_286     -18.37  
1a30_ligand_291     -17.52  
1a30_ligand_293     -17.71  
1a30_ligand_294     -50.52  
1a30_ligand_297     -24.75  
1a30_ligand_3       31.25   
1a30_ligand_30      26.84   
1a30_ligand_302     -52.31  
1a30_ligand_303     -70.07  
1a30_ligand_305     -25.06  
1a30_ligand_307     -28.04  
1a30_ligand_309     -11.88  
1a30_ligand_311     -46.60  
1a30_ligand_314     -16.85  
1a30_ligand_318     -44.57  
1a30_ligand_322     -2.25   
1a30_ligand_327     -6.58   
1a30_ligand_329     -18.87  
1a30_ligand_33      -292.95 
1a30_ligand_330     -20.55  
1a30_ligand_338     -29.26  
1a30_ligand_343     -18.85  
1a30_ligand_35      34.48   
1a30_ligand_350     -2.20   
1a30_ligand_374     20.64   
1a30_ligand_383     10.25   
1a30_ligand_384     13.00   
1a30_ligand_385     22.04   
1a30_ligand_39      19.44   
1a30_ligand_404     28.50   
1a30_ligand_421     20.73   
1a30_ligand_47      34.47   
1a30_ligand_497     30.22   
1a30_ligand_5       44.91   
1a30_ligand_57      44.27   
1a30_ligand_58      49.83   
1a30_ligand_62      38.28   
1a30_ligand_63      34.73   
1a30_ligand_64      34.04   
1a30_ligand_8       30.67   
1a30_ligand_92      42.66   
1bcu_ligand_151     42.01   
1bcu_ligand_157     35.60   
1bcu_ligand_163     36.48   
1bcu_ligand_164     38.43   
1bcu_ligand_173     23.21   
1bcu_ligand_182     34.88   
1bcu_ligand_183     35.05   
1bcu_ligand_185     16.57   
1bcu_ligand_190     34.86   
1bcu_ligand_191     30.97   
1bcu_ligand_194     33.14   
1bcu_ligand_207     39.68   
1bcu_ligand_211     41.78   
1bcu_ligand_215     36.49   
1bcu_ligand_220     37.53   
1bcu_ligand_221     35.52   
1bcu_ligand_223     30.97   
1bcu_ligand_224     42.01   
1bcu_ligand_228     46.07   
1bcu_ligand_245     32.76   
1bcu_ligand_246     30.24   
1bcu_ligand_249     41.18   
1bcu_ligand_250     37.04   
1bcu_ligand_252     29.79   
1bcu_ligand_256     31.73   
1bcu_ligand_265     24.13   
1bcu_ligand_274     14.48   
1bcu_ligand_277     29.15   
1bcu_ligand_278     18.83   
1bcu_ligand_283     24.90   
1bcu_ligand_284     14.50   
1bcu_ligand_285     36.88   
1bcu_ligand_291     20.10   
1bcu_ligand_292     16.85   
1bcu_ligand_293     26.08   
1bcu_ligand_296     36.25   
1bcu_ligand_297     24.20   
1bcu_ligand_299     16.75   
1bcu_ligand_300     36.58   
1bcu_ligand_304     35.97   
1bcu_ligand_310     26.42   
1bcu_ligand_313     32.91   
1bcu_ligand_314     26.50   
1bcu_ligand_315     8.97    
1bcu_ligand_32      42.62   
1bcu_ligand_337     26.98   
1bcu_ligand_344     36.35   
1bcu_ligand_345     37.13   
1bcu_ligand_346     -14.27  
1bcu_ligand_347     27.22   
1bcu_ligand_348     39.23   
1bcu_ligand_351     29.71   
1bcu_ligand_353     34.35   
1bcu_ligand_356     26.53   
1bcu_ligand_361     30.20   
1bcu_ligand_362     25.09   
1bcu_ligand_363     23.38   
1bcu_ligand_365     5.65    
1bcu_ligand_366     42.22   
1bcu_ligand_367     20.23   
1bcu_ligand_369     14.43   
1bcu_ligand_370     17.31   
1bcu_ligand_373     15.61   
1bcu_ligand_374     20.77   
1bcu_ligand_375     -5005.45
1bcu_ligand_376     10.98   
1bcu_ligand_377     14.66   
1bcu_ligand_378     27.79   
1bcu_ligand_379     10.91   
1bcu_ligand_381     13.76   
1bcu_ligand_382     17.53   
1bcu_ligand_383     20.26   
1bcu_ligand_384     24.90   
1bcu_ligand_385     6.61    
1bcu_ligand_386     17.55   
1bcu_ligand_387     9.88    
1bcu_ligand_389     23.67   
1bcu_ligand_390     19.78   
1bcu_ligand_391     13.78   
1bcu_ligand_392     24.80   
1bcu_ligand_393     13.30   
1bcu_ligand_394     11.05   
1bcu_ligand_395     12.46   
1bcu_ligand_396     20.21   
1bcu_ligand_398     -11.03  
1bcu_ligand_399     8.44    
1bcu_ligand_400     -3994.20
1bcu_ligand_425     28.84   
1bcu_ligand_426     11.67   
1bcu_ligand_435     15.21   
1bcu_ligand_437     30.94   
1bcu_ligand_438     16.75   
1bcu_ligand_440     25.01   
1bcu_ligand_443     33.20   
1bcu_ligand_447     22.33   
1bcu_ligand_448     29.43   
1bcu_ligand_449     -2.00   
1bcu_ligand_479     34.32   
1bcu_ligand_495     19.69   
1bcu_ligand_500     29.43   
1bzc_ligand_119     43.54   
1bzc_ligand_128     40.81   
1bzc_ligand_144     42.88   
1bzc_ligand_150     53.63   
1bzc_ligand_153     -3.63   
1bzc_ligand_154     -43.99  
1bzc_ligand_159     -59.98  
1bzc_ligand_160     -35.02  
1bzc_ligand_168     1.73    
1bzc_ligand_170     -53.74  
1bzc_ligand_172     -52.62  
1bzc_ligand_173     -40.65  
1bzc_ligand_174     -51.75  
1bzc_ligand_175     -73.04  
1bzc_ligand_177     -22.16  
1bzc_ligand_178     -91.51  
1bzc_ligand_180     -44.46  
1bzc_ligand_182     -59.10  
1bzc_ligand_184     -26.45  
1bzc_ligand_187     -75.65  
1bzc_ligand_188     -95.94  
1bzc_ligand_19      39.84   
1bzc_ligand_191     -77.87  
1bzc_ligand_196     -22.49  
1bzc_ligand_198     7.82    
1bzc_ligand_199     -104.97 
1bzc_ligand_2       30.27   
1bzc_ligand_200     -42.15  
1bzc_ligand_204     -0.25   
1bzc_ligand_205     0.51    
1bzc_ligand_206     20.04   
1bzc_ligand_208     15.27   
1bzc_ligand_209     -19.33  
1bzc_ligand_212     0.08    
1bzc_ligand_216     20.63   
1bzc_ligand_219     14.61   
1bzc_ligand_222     14.36   
1bzc_ligand_224     3.62    
1bzc_ligand_226     18.80   
1bzc_ligand_228     1.07    
1bzc_ligand_232     5.58    
1bzc_ligand_234     7.07    
1bzc_ligand_235     -5.51   
1bzc_ligand_236     9.50    
1bzc_ligand_237     14.70   
1bzc_ligand_238     -50.73  
1bzc_ligand_24      23.90   
1bzc_ligand_242     -17.31  
1bzc_ligand_246     17.05   
1bzc_ligand_247     -24.23  
1bzc_ligand_248     3.98    
1bzc_ligand_249     8.68    
1bzc_ligand_253     -1.17   
1bzc_ligand_26      39.70   
1bzc_ligand_263     -20.19  
1bzc_ligand_265     -5.43   
1bzc_ligand_270     -32.44  
1bzc_ligand_275     -48.60  
1bzc_ligand_276     -11.88  
1bzc_ligand_277     -8.85   
1bzc_ligand_280     -29.70  
1bzc_ligand_286     -42.83  
1bzc_ligand_290     -22.63  
1bzc_ligand_292     -16.83  
1bzc_ligand_293     16.00   
1bzc_ligand_295     1.80    
1bzc_ligand_300     -2.78   
1bzc_ligand_302     -27.03  
1bzc_ligand_303     -21.12  
1bzc_ligand_305     -75.85  
1bzc_ligand_308     -7.65   
1bzc_ligand_309     -51.63  
1bzc_ligand_310     -42.78  
1bzc_ligand_311     -19.29  
1bzc_ligand_312     -27.95  
1bzc_ligand_313     -22.40  
1bzc_ligand_314     -42.12  
1bzc_ligand_324     -28.15  
1bzc_ligand_325     -5.78   
1bzc_ligand_327     -43.49  
1bzc_ligand_330     -51.03  
1bzc_ligand_337     5.22    
1bzc_ligand_338     -44.27  
1bzc_ligand_339     16.52   
1bzc_ligand_344     -24.07  
1bzc_ligand_345     -49.69  
1bzc_ligand_346     -25.49  
1bzc_ligand_349     -2.27   
1bzc_ligand_37      27.58   
1bzc_ligand_395     25.60   
1bzc_ligand_443     15.23   
1bzc_ligand_48      28.52   
1bzc_ligand_488     23.89   
1bzc_ligand_55      46.37   
1bzc_ligand_66      35.41   
1bzc_ligand_73      30.13   
1bzc_ligand_83      40.41   
1bzc_ligand_93      39.60   
1bzc_ligand_94      32.79   
1bzc_ligand_99      33.73   
1c5z_ligand_107     34.72   
1c5z_ligand_116     28.71   
1c5z_ligand_139     31.23   
1c5z_ligand_153     23.28   
1c5z_ligand_156     18.59   
1c5z_ligand_157     23.55   
1c5z_ligand_163     14.61   
1c5z_ligand_166     20.40   
1c5z_ligand_167     15.93   
1c5z_ligand_168     20.69   
1c5z_ligand_169     19.00   
1c5z_ligand_171     24.52   
1c5z_ligand_172     8.94    
1c5z_ligand_173     20.07   
1c5z_ligand_176     18.44   
1c5z_ligand_179     22.61   
1c5z_ligand_181     14.02   
1c5z_ligand_182     16.88   
1c5z_ligand_185     24.06   
1c5z_ligand_186     14.86   
1c5z_ligand_187     12.43   
1c5z_ligand_188     15.42   
1c5z_ligand_190     15.22   
1c5z_ligand_195     4.20    
1c5z_ligand_197     14.67   
1c5z_ligand_199     18.40   
1c5z_ligand_202     7.92    
1c5z_ligand_205     15.78   
1c5z_ligand_206     15.42   
1c5z_ligand_208     14.31   
1c5z_ligand_209     18.69   
1c5z_ligand_210     16.88   
1c5z_ligand_216     17.96   
1c5z_ligand_218     20.29   
1c5z_ligand_219     18.91   
1c5z_ligand_220     7.13    
1c5z_ligand_222     10.82   
1c5z_ligand_224     10.28   
1c5z_ligand_226     11.81   
1c5z_ligand_231     15.08   
1c5z_ligand_236     23.73   
1c5z_ligand_243     10.46   
1c5z_ligand_253     21.66   
1c5z_ligand_256     16.33   
1c5z_ligand_257     13.63   
1c5z_ligand_26      27.92   
1c5z_ligand_261     7.79    
1c5z_ligand_262     21.07   
1c5z_ligand_264     17.23   
1c5z_ligand_265     12.68   
