#code_ligand_num    score   
1a30_ligand_1       2.77    
1a30_ligand_101     -1.67   
1a30_ligand_106     3.72    
1a30_ligand_108     0.01    
1a30_ligand_11      -0.26   
1a30_ligand_113     1.94    
1a30_ligand_124     2.53    
1a30_ligand_126     0.42    
1a30_ligand_133     -6.28   
1a30_ligand_139     -9.13   
1a30_ligand_140     -3.75   
1a30_ligand_142     -3.18   
1a30_ligand_148     3.16    
1a30_ligand_167     -32.84  
1a30_ligand_185     -17.31  
1a30_ligand_187     -47.93  
1a30_ligand_188     -37.13  
1a30_ligand_190     -33.41  
1a30_ligand_191     -19.34  
1a30_ligand_192     -44.62  
1a30_ligand_199     -31.10  
1a30_ligand_204     -21.43  
1a30_ligand_208     -24.45  
1a30_ligand_211     -11.18  
1a30_ligand_213     -25.17  
1a30_ligand_215     -39.60  
1a30_ligand_216     -28.79  
1a30_ligand_217     -21.34  
1a30_ligand_22      2.40    
1a30_ligand_224     -30.39  
1a30_ligand_227     -17.76  
1a30_ligand_23      -0.91   
1a30_ligand_231     -22.45  
1a30_ligand_233     -25.15  
1a30_ligand_240     -29.89  
1a30_ligand_245     -18.40  
1a30_ligand_246     -35.72  
1a30_ligand_248     -16.55  
1a30_ligand_249     -25.70  
1a30_ligand_25      4.05    
1a30_ligand_250     -51.09  
1a30_ligand_261     -22.75  
1a30_ligand_267     -15.26  
1a30_ligand_27      0.33    
1a30_ligand_271     -25.45  
1a30_ligand_272     -36.21  
1a30_ligand_283     -29.04  
1a30_ligand_290     -21.95  
1a30_ligand_293     -34.30  
1a30_ligand_299     -22.17  
1a30_ligand_300     -36.44  
1a30_ligand_308     -25.22  
1a30_ligand_309     -30.65  
1a30_ligand_310     -40.39  
1a30_ligand_315     -38.23  
1a30_ligand_316     -43.31  
1a30_ligand_317     -35.74  
1a30_ligand_318     -35.59  
1a30_ligand_319     -39.91  
1a30_ligand_32      1.65    
1a30_ligand_323     -41.84  
1a30_ligand_327     -22.05  
1a30_ligand_337     -26.14  
1a30_ligand_344     -23.43  
1a30_ligand_345     -34.85  
1a30_ligand_350     -36.69  
1a30_ligand_353     3.78    
1a30_ligand_37      -15.04  
1a30_ligand_370     -3.14   
1a30_ligand_374     -3.33   
1a30_ligand_378     0.87    
1a30_ligand_380     -5.46   
1a30_ligand_382     4.10    
1a30_ligand_39      -1.60   
1a30_ligand_393     3.93    
1a30_ligand_401     0.08    
1a30_ligand_411     -6.64   
1a30_ligand_43      -0.64   
1a30_ligand_45      1.63    
1a30_ligand_462     4.32    
1a30_ligand_467     4.66    
1a30_ligand_47      -1.39   
1a30_ligand_474     -14.15  
1a30_ligand_477     -2.06   
1a30_ligand_49      2.89    
1a30_ligand_5       -0.26   
1a30_ligand_55      12.35   
1a30_ligand_6       -0.64   
1a30_ligand_64      6.22    
1a30_ligand_68      7.98    
1a30_ligand_70      3.97    
1a30_ligand_75      8.00    
1a30_ligand_76      3.92    
1a30_ligand_77      6.80    
1a30_ligand_81      14.20   
1a30_ligand_85      -2.25   
1a30_ligand_87      13.97   
1a30_ligand_88      2.76    
1a30_ligand_94      9.46    
1a30_ligand_99      3.85    
1bcu_ligand_117     -25.13  
1bcu_ligand_121     23.48   
1bcu_ligand_135     28.76   
1bcu_ligand_16      27.61   
1bcu_ligand_182     21.32   
1bcu_ligand_184     20.30   
1bcu_ligand_192     17.06   
1bcu_ligand_193     18.68   
1bcu_ligand_194     17.69   
1bcu_ligand_195     17.68   
1bcu_ligand_199     24.67   
1bcu_ligand_207     23.79   
1bcu_ligand_219     23.45   
1bcu_ligand_222     16.92   
1bcu_ligand_231     25.91   
1bcu_ligand_241     19.60   
1bcu_ligand_250     21.08   
1bcu_ligand_253     19.31   
1bcu_ligand_254     24.03   
1bcu_ligand_255     19.50   
1bcu_ligand_256     13.62   
1bcu_ligand_262     9.61    
1bcu_ligand_264     19.58   
1bcu_ligand_265     10.06   
1bcu_ligand_275     14.09   
1bcu_ligand_278     21.65   
1bcu_ligand_279     9.68    
1bcu_ligand_28      25.79   
1bcu_ligand_281     14.45   
1bcu_ligand_289     19.14   
1bcu_ligand_298     5.54    
1bcu_ligand_30      23.59   
1bcu_ligand_31      24.63   
1bcu_ligand_313     11.75   
1bcu_ligand_315     8.61    
1bcu_ligand_317     21.28   
1bcu_ligand_325     23.48   
1bcu_ligand_326     15.26   
