#code_ligand_num    score   
1a30_ligand_1       -7.27   
1a30_ligand_105     1.60    
1a30_ligand_106     -2.84   
1a30_ligand_119     -0.46   
1a30_ligand_122     -0.63   
1a30_ligand_134     -14.25  
1a30_ligand_142     -4.51   
1a30_ligand_144     -4011.10
1a30_ligand_147     -2.37   
1a30_ligand_15      -7.85   
1a30_ligand_156     -33.23  
1a30_ligand_166     -55.72  
1a30_ligand_18      2.02    
1a30_ligand_190     -31.91  
1a30_ligand_191     -52.52  
1a30_ligand_20      -8.56   
1a30_ligand_200     -34.35  
1a30_ligand_202     -40.44  
1a30_ligand_204     -30.33  
1a30_ligand_206     -26.09  
1a30_ligand_208     -20.15  
1a30_ligand_21      -1.86   
1a30_ligand_210     -20.57  
1a30_ligand_211     -22.00  
1a30_ligand_212     -51.28  
1a30_ligand_214     -24.61  
1a30_ligand_215     -38.76  
1a30_ligand_216     -39.81  
1a30_ligand_217     -21.97  
1a30_ligand_218     -28.32  
1a30_ligand_219     -28.58  
1a30_ligand_220     -21.91  
1a30_ligand_221     -27.54  
1a30_ligand_223     -29.59  
1a30_ligand_226     -23.19  
1a30_ligand_227     -24.64  
1a30_ligand_229     -39.51  
1a30_ligand_23      -7005.22
1a30_ligand_232     -34.77  
1a30_ligand_234     -25.09  
1a30_ligand_236     -41.17  
1a30_ligand_237     -23.44  
1a30_ligand_238     -42.06  
1a30_ligand_240     -30.58  
1a30_ligand_241     -1039.57
1a30_ligand_243     -36.09  
1a30_ligand_244     -27.38  
1a30_ligand_245     -24.70  
1a30_ligand_259     -45.93  
1a30_ligand_26      -7.18   
1a30_ligand_265     -32.97  
1a30_ligand_266     -43.25  
1a30_ligand_272     -22.14  
1a30_ligand_273     -47.32  
1a30_ligand_274     -29.90  
1a30_ligand_278     -35.30  
1a30_ligand_29      -0.36   
1a30_ligand_296     -22.55  
1a30_ligand_3       -6.32   
1a30_ligand_302     -24.76  
1a30_ligand_305     -53.01  
1a30_ligand_307     -41.60  
1a30_ligand_310     -42.78  
1a30_ligand_315     -67.33  
1a30_ligand_317     -51.87  
1a30_ligand_327     -63.39  
1a30_ligand_33      -1003.62
1a30_ligand_333     -35.13  
1a30_ligand_340     -42.95  
1a30_ligand_341     -46.93  
1a30_ligand_342     -41.17  
1a30_ligand_346     -42.46  
1a30_ligand_350     -58.08  
1a30_ligand_352     -6.48   
1a30_ligand_39      -0.72   
1a30_ligand_393     -11.91  
1a30_ligand_395     -5.67   
1a30_ligand_396     -19.57  
1a30_ligand_397     -11.95  
1a30_ligand_399     -5.99   
1a30_ligand_419     -8.74   
1a30_ligand_427     -18.64  
1a30_ligand_430     -19.09  
1a30_ligand_436     -12.98  
1a30_ligand_447     -3.73   
1a30_ligand_456     -14.63  
1a30_ligand_46      -6.35   
1a30_ligand_495     -2.47   
1a30_ligand_52      -1.23   
1a30_ligand_67      8.97    
1a30_ligand_7       -9.37   
1a30_ligand_71      -2.71   
1a30_ligand_72      -7.98   
1a30_ligand_73      -3.43   
1a30_ligand_8       -2009.11
1a30_ligand_84      -1.17   
1a30_ligand_86      -1.68   
1a30_ligand_88      0.74    
1a30_ligand_94      3.25    
1a30_ligand_99      4.11    
1bcu_ligand_195     16.57   
1bcu_ligand_202     18.95   
1bcu_ligand_213     24.27   
1bcu_ligand_214     19.20   
1bcu_ligand_217     19.72   
1bcu_ligand_219     24.29   
1bcu_ligand_221     22.53   
1bcu_ligand_222     19.18   
1bcu_ligand_229     18.38   
1bcu_ligand_231     22.27   
1bcu_ligand_240     19.00   
1bcu_ligand_268     18.45   
1bcu_ligand_271     15.55   
1bcu_ligand_277     10.77   
1bcu_ligand_285     13.82   
1bcu_ligand_287     16.56   
1bcu_ligand_289     17.90   
1bcu_ligand_300     14.80   
1bcu_ligand_301     12.56   
1bcu_ligand_302     10.98   
1bcu_ligand_308     22.84   
1bcu_ligand_310     1.23    
1bcu_ligand_311     19.97   
1bcu_ligand_323     4.94    
1bcu_ligand_332     25.37   
1bcu_ligand_335     15.71   
1bcu_ligand_341     22.22   
1bcu_ligand_345     14.33   
1bcu_ligand_350     19.29   
1bcu_ligand_351     18.07   
1bcu_ligand_352     11.75   
1bcu_ligand_353     14.44   
1bcu_ligand_355     18.98   
1bcu_ligand_356     12.16   
1bcu_ligand_358     15.90   
1bcu_ligand_359     11.88   
1bcu_ligand_360     19.38   
1bcu_ligand_362     11.64   
1bcu_ligand_363     9.56    
1bcu_ligand_365     6.48    
1bcu_ligand_367     9.22    
1bcu_ligand_368     16.70   
1bcu_ligand_370     11.35   
1bcu_ligand_371     9.29    
1bcu_ligand_372     -1992.44
1bcu_ligand_373     13.64   
1bcu_ligand_374     -1987.97
1bcu_ligand_375     5.59    
1bcu_ligand_376     12.99   
1bcu_ligand_378     2.77    
1bcu_ligand_380     9.11    
1bcu_ligand_381     12.23   
1bcu_ligand_383     9.77    
1bcu_ligand_385     5.62    
1bcu_ligand_386     9.51    
1bcu_ligand_387     12.33   
1bcu_ligand_388     8.35    
1bcu_ligand_389     3.94    
1bcu_ligand_390     10.88   
1bcu_ligand_392     12.90   
1bcu_ligand_393     14.76   
1bcu_ligand_394     10.83   
1bcu_ligand_395     12.40   
1bcu_ligand_396     -995.66 
1bcu_ligand_397     12.84   
1bcu_ligand_398     10.99   
1bcu_ligand_407     18.86   
1bcu_ligand_412     25.23   
1bcu_ligand_414     20.15   
1bcu_ligand_417     19.49   
1bcu_ligand_420     23.02   
1bcu_ligand_421     28.91   
1bcu_ligand_422     8.94    
1bcu_ligand_425     19.36   
1bcu_ligand_432     19.90   
1bcu_ligand_435     21.58   
1bcu_ligand_436     21.83   
1bcu_ligand_437     6.40    
1bcu_ligand_442     16.86   
1bcu_ligand_445     9.67    
1bcu_ligand_446     11.84   
1bcu_ligand_447     13.55   
1bcu_ligand_448     14.26   
1bcu_ligand_449     11.19   
1bcu_ligand_45      25.92   
1bcu_ligand_450     4.06    
1bcu_ligand_451     25.95   
1bcu_ligand_454     21.01   
1bcu_ligand_464     18.25   
1bcu_ligand_467     20.71   
1bcu_ligand_471     14.88   
1bcu_ligand_479     14.56   
1bcu_ligand_480     9.68    
1bcu_ligand_485     18.17   
1bcu_ligand_49      25.72   
1bcu_ligand_493     19.98   
1bcu_ligand_495     20.59   
1bcu_ligand_497     10.10   
1bcu_ligand_79      29.58   
1bcu_ligand_88      29.09   
1bzc_ligand_108     11.61   
1bzc_ligand_132     11.11   
1bzc_ligand_142     7.03    
1bzc_ligand_151     -31.60  
