#code_ligand_num    score   
1a30_ligand_102     -3.06   
1a30_ligand_11      -11.75  
1a30_ligand_120     -12.02  
1a30_ligand_126     -0.93   
1a30_ligand_138     0.92    
1a30_ligand_148     -1.17   
1a30_ligand_149     -8.32   
1a30_ligand_153     -48.43  
1a30_ligand_156     -45.61  
1a30_ligand_16      -3.08   
1a30_ligand_164     -35.52  
1a30_ligand_168     -52.74  
1a30_ligand_170     -48.03  
1a30_ligand_174     -32.64  
1a30_ligand_175     -39.33  
1a30_ligand_182     -54.59  
1a30_ligand_184     -31.68  
1a30_ligand_186     -57.59  
1a30_ligand_191     -47.39  
1a30_ligand_195     -28.98  
1a30_ligand_196     -47.96  
1a30_ligand_198     -46.16  
1a30_ligand_201     -16.47  
1a30_ligand_202     -25.17  
1a30_ligand_206     -27.41  
1a30_ligand_209     -20.55  
1a30_ligand_211     -30.65  
1a30_ligand_214     -34.35  
1a30_ligand_217     -51.81  
1a30_ligand_218     -30.57  
1a30_ligand_219     -17.93  
1a30_ligand_222     -13.61  
1a30_ligand_224     -56.25  
1a30_ligand_225     -25.33  
1a30_ligand_226     -27.58  
1a30_ligand_228     -35.63  
1a30_ligand_232     -31.45  
1a30_ligand_233     -27.79  
1a30_ligand_235     -18.48  
1a30_ligand_237     -14.45  
1a30_ligand_243     -43.14  
1a30_ligand_245     -16.02  
1a30_ligand_247     -28.30  
1a30_ligand_249     -33.37  
1a30_ligand_257     -24.52  
1a30_ligand_261     -28.94  
1a30_ligand_265     -39.98  
1a30_ligand_267     -29.46  
1a30_ligand_268     -30.42  
1a30_ligand_269     -28.87  
1a30_ligand_272     -30.07  
1a30_ligand_284     -36.88  
1a30_ligand_285     -28.98  
1a30_ligand_287     -33.33  
1a30_ligand_291     -36.70  
1a30_ligand_295     -37.80  
1a30_ligand_297     -43.69  
1a30_ligand_304     -30.46  
1a30_ligand_307     -43.49  
1a30_ligand_319     -44.56  
1a30_ligand_325     -28.55  
1a30_ligand_330     -45.43  
1a30_ligand_334     -57.28  
1a30_ligand_344     -30.25  
1a30_ligand_351     -18.78  
1a30_ligand_36      -6.21   
1a30_ligand_366     -1.80   
1a30_ligand_374     -7.86   
1a30_ligand_379     -2.59   
1a30_ligand_4       -4.38   
1a30_ligand_40      -2.27   
1a30_ligand_413     -13.08  
1a30_ligand_427     -11.03  
1a30_ligand_428     -12.01  
1a30_ligand_43      -5.16   
1a30_ligand_446     -15.80  
1a30_ligand_482     -13.87  
1a30_ligand_51      -1.08   
1a30_ligand_56      -2.40   
1a30_ligand_57      -11.39  
1a30_ligand_58      -1.62   
1a30_ligand_65      0.66    
1a30_ligand_67      -11.81  
1a30_ligand_69      -5.00   
1a30_ligand_7       -4.09   
1a30_ligand_73      3.68    
1a30_ligand_75      -5.37   
1a30_ligand_78      -12.60  
1a30_ligand_79      0.07    
1a30_ligand_8       -7.08   
1a30_ligand_81      0.87    
1a30_ligand_86      -0.23   
1a30_ligand_88      -11.54  
1a30_ligand_9       -9.22   
1a30_ligand_90      -2006.19
1a30_ligand_92      -6.39   
1a30_ligand_93      -3.66   
1a30_ligand_95      0.30    
1a30_ligand_96      -8.29   
1a30_ligand_97      -3007.06
1bcu_ligand_14      22.56   
1bcu_ligand_153     8.44    
1bcu_ligand_174     22.39   
1bcu_ligand_177     13.28   
1bcu_ligand_189     17.83   
1bcu_ligand_196     22.26   
1bcu_ligand_204     12.13   
1bcu_ligand_212     16.42   
1bcu_ligand_216     15.59   
1bcu_ligand_218     11.32   
1bcu_ligand_220     20.11   
1bcu_ligand_225     16.42   
1bcu_ligand_227     10.85   
1bcu_ligand_232     8.98    
1bcu_ligand_234     12.18   
1bcu_ligand_240     15.75   
1bcu_ligand_243     18.85   
1bcu_ligand_245     18.22   
1bcu_ligand_246     16.06   
1bcu_ligand_248     15.56   
1bcu_ligand_263     17.80   
1bcu_ligand_268     16.53   
1bcu_ligand_271     8.93    
1bcu_ligand_274     17.25   
1bcu_ligand_279     21.76   
1bcu_ligand_280     15.42   
1bcu_ligand_281     9.22    
1bcu_ligand_288     14.78   
1bcu_ligand_293     19.62   
1bcu_ligand_294     14.92   
1bcu_ligand_298     10.16   
1bcu_ligand_33      23.61   
1bcu_ligand_332     18.55   
1bcu_ligand_336     17.28   
1bcu_ligand_337     14.16   
1bcu_ligand_341     12.65   
1bcu_ligand_346     10.77   
1bcu_ligand_348     12.87   
1bcu_ligand_351     18.54   
1bcu_ligand_358     17.03   
1bcu_ligand_362     17.08   
1bcu_ligand_364     17.32   
1bcu_ligand_365     11.26   
1bcu_ligand_367     -4988.34
1bcu_ligand_368     17.41   
1bcu_ligand_369     15.02   
1bcu_ligand_373     11.51   
1bcu_ligand_375     10.64   
1bcu_ligand_376     12.29   
1bcu_ligand_378     12.00   
1bcu_ligand_379     14.16   
1bcu_ligand_380     17.13   
1bcu_ligand_381     10.71   
1bcu_ligand_382     -986.23 
1bcu_ligand_383     -4992.04
1bcu_ligand_385     8.70    
1bcu_ligand_387     6.92    
1bcu_ligand_388     8.02    
1bcu_ligand_389     -1990.52
1bcu_ligand_391     -8993.92
1bcu_ligand_392     6.98    
1bcu_ligand_394     11.93   
1bcu_ligand_395     -2992.06
1bcu_ligand_397     -5994.48
1bcu_ligand_406     21.84   
1bcu_ligand_411     18.55   
1bcu_ligand_412     7.09    
1bcu_ligand_415     15.00   
1bcu_ligand_418     8.50    
1bcu_ligand_419     14.16   
1bcu_ligand_420     8.66    
1bcu_ligand_422     16.35   
1bcu_ligand_427     10.85   
1bcu_ligand_430     -1990.90
1bcu_ligand_431     15.31   
1bcu_ligand_434     12.03   
1bcu_ligand_435     15.36   
1bcu_ligand_441     -2986.84
