#code_ligand_num    score   
1a30_ligand_10      -5.38   
1a30_ligand_100     -3.45   
1a30_ligand_103     -3.21   
1a30_ligand_107     0.43    
1a30_ligand_110     1.43    
1a30_ligand_111     -10.77  
1a30_ligand_118     -10.74  
1a30_ligand_12      -3.17   
1a30_ligand_128     -2.30   
1a30_ligand_130     0.35    
1a30_ligand_136     -0.28   
1a30_ligand_140     1.09    
1a30_ligand_142     -4.91   
1a30_ligand_143     -4.20   
1a30_ligand_146     -6.26   
1a30_ligand_148     0.66    
1a30_ligand_149     -5.11   
1a30_ligand_16      -5.32   
1a30_ligand_17      -3.57   
1a30_ligand_187     -19.85  
1a30_ligand_191     -44.10  
1a30_ligand_194     -43.04  
1a30_ligand_214     -21.65  
1a30_ligand_215     -13.89  
1a30_ligand_219     -21.79  
1a30_ligand_229     -23.90  
1a30_ligand_23      -0.90   
1a30_ligand_232     -23.69  
1a30_ligand_238     -24.62  
1a30_ligand_24      -2.78   
1a30_ligand_240     -27.52  
1a30_ligand_244     -20.98  
1a30_ligand_251     -20.72  
1a30_ligand_256     -13.75  
1a30_ligand_265     -21.42  
1a30_ligand_269     -33.25  
1a30_ligand_275     -22.81  
1a30_ligand_277     -39.37  
1a30_ligand_285     -17.25  
1a30_ligand_287     -29.89  
1a30_ligand_289     -35.25  
1a30_ligand_290     -47.60  
1a30_ligand_291     -28.68  
1a30_ligand_299     -39.28  
1a30_ligand_3       -4.76   
1a30_ligand_30      -5.31   
1a30_ligand_301     -29.56  
1a30_ligand_302     -35.83  
1a30_ligand_305     -22.11  
1a30_ligand_310     -38.29  
1a30_ligand_311     -30.43  
1a30_ligand_319     -29.89  
1a30_ligand_321     -33.81  
1a30_ligand_322     -20.84  
1a30_ligand_324     -34.60  
1a30_ligand_325     -48.06  
1a30_ligand_33      -7.28   
1a30_ligand_335     -32.11  
1a30_ligand_337     -26.66  
1a30_ligand_340     -48.01  
1a30_ligand_341     -27.05  
1a30_ligand_342     -30.38  
1a30_ligand_344     -22.26  
1a30_ligand_345     -41.13  
1a30_ligand_349     -34.86  
1a30_ligand_354     -6.72   
1a30_ligand_361     -5.79   
1a30_ligand_372     -1.82   
1a30_ligand_38      -1.72   
1a30_ligand_382     -4.76   
1a30_ligand_385     -3.60   
1a30_ligand_39      0.42    
1a30_ligand_394     -5.97   
1a30_ligand_401     1.23    
1a30_ligand_41      -0.89   
1a30_ligand_412     -3.99   
1a30_ligand_414     -0.62   
1a30_ligand_424     0.75    
1a30_ligand_429     7.33    
1a30_ligand_45      -3.74   
1a30_ligand_46      -2.65   
1a30_ligand_48      -7.56   
1a30_ligand_5       -3.65   
1a30_ligand_50      0.24    
1a30_ligand_51      -0.25   
1a30_ligand_55      4.94    
1a30_ligand_58      5.04    
1a30_ligand_63      3.90    
1a30_ligand_70      0.45    
1a30_ligand_74      8.13    
1a30_ligand_76      1.67    
1a30_ligand_79      8.44    
1a30_ligand_8       0.14    
1a30_ligand_82      0.04    
1a30_ligand_83      3.98    
1a30_ligand_85      3.45    
1a30_ligand_88      7.72    
1a30_ligand_92      3.97    
1a30_ligand_96      0.14    
1a30_ligand_98      -3.81   
1bcu_ligand_104     15.54   
1bcu_ligand_119     21.23   
1bcu_ligand_155     17.48   
1bcu_ligand_160     12.66   
1bcu_ligand_169     17.89   
1bcu_ligand_181     10.15   
1bcu_ligand_184     15.22   
1bcu_ligand_186     17.27   
1bcu_ligand_189     10.31   
1bcu_ligand_196     9.16    
1bcu_ligand_197     12.73   
1bcu_ligand_204     13.22   
1bcu_ligand_209     15.91   
1bcu_ligand_224     16.91   
1bcu_ligand_232     15.36   
1bcu_ligand_242     8.51    
1bcu_ligand_243     19.27   
1bcu_ligand_247     16.11   
1bcu_ligand_258     7.82    
1bcu_ligand_264     12.36   
1bcu_ligand_276     11.52   
1bcu_ligand_285     14.31   
1bcu_ligand_294     17.61   
1bcu_ligand_296     12.07   
1bcu_ligand_299     14.17   
1bcu_ligand_300     13.80   
1bcu_ligand_302     -2.01   
1bcu_ligand_308     18.14   
1bcu_ligand_319     9.31    
1bcu_ligand_322     6.81    
1bcu_ligand_332     9.75    
1bcu_ligand_341     22.34   
1bcu_ligand_343     8.50    
1bcu_ligand_349     18.23   
1bcu_ligand_352     20.35   
1bcu_ligand_354     20.86   
1bcu_ligand_356     20.82   
1bcu_ligand_357     16.28   
1bcu_ligand_359     12.86   
1bcu_ligand_360     17.20   
1bcu_ligand_361     5.18    
1bcu_ligand_362     20.23   
1bcu_ligand_364     12.84   
1bcu_ligand_365     19.80   
1bcu_ligand_367     11.86   
1bcu_ligand_368     14.09   
1bcu_ligand_369     13.49   
1bcu_ligand_370     14.67   
1bcu_ligand_371     14.38   
1bcu_ligand_372     5.83    
1bcu_ligand_376     -990.69 
1bcu_ligand_377     13.39   
1bcu_ligand_378     12.89   
1bcu_ligand_379     10.14   
1bcu_ligand_383     10.84   
1bcu_ligand_386     15.59   
1bcu_ligand_388     11.85   
1bcu_ligand_389     14.48   
1bcu_ligand_391     13.45   
1bcu_ligand_393     12.47   
1bcu_ligand_394     8.77    
1bcu_ligand_395     9.74    
1bcu_ligand_396     9.35    
1bcu_ligand_397     9.02    
1bcu_ligand_398     10.51   
1bcu_ligand_400     9.81    
1bcu_ligand_402     16.44   
1bcu_ligand_404     20.45   
1bcu_ligand_410     7.08    
1bcu_ligand_414     13.76   
1bcu_ligand_416     14.05   
1bcu_ligand_418     14.66   
1bcu_ligand_419     10.26   
1bcu_ligand_421     5.94    
1bcu_ligand_427     8.23    
1bcu_ligand_430     11.56   
1bcu_ligand_431     20.93   
1bcu_ligand_437     6.82    
1bcu_ligand_440     15.31   
1bcu_ligand_443     12.87   
1bcu_ligand_445     15.75   
1bcu_ligand_446     9.46    
1bcu_ligand_450     11.05   
1bcu_ligand_452     5.60    
1bcu_ligand_468     21.15   
1bcu_ligand_469     11.21   
1bcu_ligand_47      22.80   
1bcu_ligand_471     24.36   
1bcu_ligand_473     21.71   
1bcu_ligand_474     15.35   
1bcu_ligand_478     23.10   
1bcu_ligand_479     16.62   
1bcu_ligand_483     21.64   
1bcu_ligand_491     5.98    
1bcu_ligand_492     11.89   
1bcu_ligand_496     14.74   
1bcu_ligand_71      24.64   
1bcu_ligand_86      23.15   
1bcu_ligand_94      23.57   
1bcu_ligand_98      24.20   
1bzc_ligand_100     10.53   
1bzc_ligand_101     -3.95   
1bzc_ligand_102     3.55    
1bzc_ligand_103     -1000.65
1bzc_ligand_105     5.30    
1bzc_ligand_108     -2.30   
1bzc_ligand_110     -1001.46
1bzc_ligand_111     4.08    
1bzc_ligand_113     -0.39   
1bzc_ligand_120     1.74    
1bzc_ligand_123     2.26    
1bzc_ligand_127     -2.67   
1bzc_ligand_128     2.00    
1bzc_ligand_13      1.42    
1bzc_ligand_134     -2.07   
1bzc_ligand_135     1.43    
1bzc_ligand_150     5.01    
1bzc_ligand_152     -29.22  
1bzc_ligand_156     -47.54  
1bzc_ligand_166     -31.81  
1bzc_ligand_167     -7.99   
1bzc_ligand_168     -49.62  
1bzc_ligand_174     -33.43  
1bzc_ligand_183     -24.94  
1bzc_ligand_186     -23.41  
1bzc_ligand_188     -28.78  
1bzc_ligand_190     -12.88  
1bzc_ligand_194     -19.26  
1bzc_ligand_196     -11.25  
1bzc_ligand_200     -12.96  
1bzc_ligand_202     -14.03  
1bzc_ligand_203     -6.68   
1bzc_ligand_206     -13.16  
1bzc_ligand_211     -26.11  
1bzc_ligand_213     -14.58  
1bzc_ligand_217     -9.37   
1bzc_ligand_218     -10.58  
1bzc_ligand_220     -24.46  
1bzc_ligand_221     -10.49  
1bzc_ligand_222     -6.30   
1bzc_ligand_224     -4.80   
1bzc_ligand_232     -12.17  
1bzc_ligand_234     -4.12   
1bzc_ligand_236     -8.93   
1bzc_ligand_237     -35.44  
1bzc_ligand_238     -14.13  
1bzc_ligand_24      5.65    
1bzc_ligand_240     -10.83  
1bzc_ligand_241     -15.26  
1bzc_ligand_246     -9.72   
1bzc_ligand_251     -12.42  
1bzc_ligand_253     -19.32  
1bzc_ligand_255     -31.20  
1bzc_ligand_256     -15.76  
1bzc_ligand_257     -3.37   
1bzc_ligand_258     -12.43  
1bzc_ligand_260     -3.05   
1bzc_ligand_263     -22.14  
1bzc_ligand_265     -17.57  
1bzc_ligand_270     -7.43   
1bzc_ligand_292     -27.93  
1bzc_ligand_300     -8.00   
1bzc_ligand_301     -21.55  
1bzc_ligand_304     -23.78  
1bzc_ligand_306     -17.95  
1bzc_ligand_308     -16.86  
1bzc_ligand_309     -36.71  
1bzc_ligand_31      4.69    
1bzc_ligand_311     -25.62  
1bzc_ligand_312     -23.28  
1bzc_ligand_313     -21.66  
1bzc_ligand_316     -32.63  
1bzc_ligand_323     -22.39  
1bzc_ligand_327     -25.28  
1bzc_ligand_328     -20.03  
1bzc_ligand_334     -40.50  
1bzc_ligand_34      3.04    
1bzc_ligand_340     -38.29  
1bzc_ligand_342     -44.59  
1bzc_ligand_346     -5.95   
1bzc_ligand_35      5.62    
1bzc_ligand_353     -10.26  
1bzc_ligand_359     -6.50   
1bzc_ligand_372     -8.45   
1bzc_ligand_386     -12.34  
1bzc_ligand_390     -11.76  
1bzc_ligand_393     -6.09   
1bzc_ligand_394     -2.72   
1bzc_ligand_395     -5.88   
1bzc_ligand_406     7.40    
1bzc_ligand_433     9.23    
1bzc_ligand_47      -0.64   
1bzc_ligand_54      -998.39 
1bzc_ligand_58      -998.71 
1bzc_ligand_60      5.89    
1bzc_ligand_75      8.84    
1bzc_ligand_78      -1.70   
1bzc_ligand_81      7.28    
1bzc_ligand_85      4.03    
1bzc_ligand_88      3.48    
1c5z_ligand_110     13.92   
1c5z_ligand_116     12.80   
1c5z_ligand_118     13.33   
1c5z_ligand_124     13.04   
1c5z_ligand_126     13.60   
1c5z_ligand_131     7.24    
1c5z_ligand_132     13.03   
1c5z_ligand_136     9.00    
1c5z_ligand_146     13.97   
1c5z_ligand_149     13.42   
1c5z_ligand_155     7.91    
1c5z_ligand_160     8.25    
1c5z_ligand_161     4.24    
1c5z_ligand_167     6.01    
1c5z_ligand_168     5.48    
1c5z_ligand_170     6.33    
1c5z_ligand_173     6.67    
1c5z_ligand_184     3.85    
1c5z_ligand_187     6.98    
1c5z_ligand_189     10.06   
1c5z_ligand_196     10.73   
1c5z_ligand_198     13.51   
1c5z_ligand_201     8.12    
1c5z_ligand_202     18.77   
1c5z_ligand_203     9.32    
1c5z_ligand_207     7.48    
1c5z_ligand_208     9.76    
1c5z_ligand_215     10.14   
1c5z_ligand_216     12.58   
1c5z_ligand_221     11.53   
1c5z_ligand_229     10.98   
1c5z_ligand_231     9.10    
1c5z_ligand_234     10.49   
1c5z_ligand_236     2.53    
1c5z_ligand_238     12.87   
1c5z_ligand_239     11.85   
1c5z_ligand_240     11.49   
1c5z_ligand_241     9.85    
1c5z_ligand_242     8.10    
1c5z_ligand_243     8.64    
1c5z_ligand_245     13.84   
1c5z_ligand_246     6.94    
1c5z_ligand_249     11.81   
1c5z_ligand_254     5.96    
1c5z_ligand_255     5.26    
1c5z_ligand_256     8.05    
1c5z_ligand_258     10.86   
1c5z_ligand_260     5.58    
1c5z_ligand_270     6.54    
1c5z_ligand_274     7.99    
1c5z_ligand_275     -4.47   
1c5z_ligand_277     8.55    
1c5z_ligand_279     5.05    
1c5z_ligand_28      13.49   
1c5z_ligand_282     11.62   
1c5z_ligand_283     6.11    
1c5z_ligand_284     11.29   
1c5z_ligand_29      13.92   
1c5z_ligand_290     7.79    
1c5z_ligand_292     12.86   
1c5z_ligand_293     10.39   
1c5z_ligand_294     -0.12   
1c5z_ligand_296     11.14   
1c5z_ligand_299     13.69   
1c5z_ligand_303     2.85    
1c5z_ligand_306     -0.63   
1c5z_ligand_308     9.88    
1c5z_ligand_313     8.86    
1c5z_ligand_320     12.02   
1c5z_ligand_321     10.34   
1c5z_ligand_327     2.44    
1c5z_ligand_330     8.00    
1c5z_ligand_337     5.21    
1c5z_ligand_338     6.25    
1c5z_ligand_339     6.62    
1c5z_ligand_341     6.17    
1c5z_ligand_342     -5.39   
1c5z_ligand_349     6.38    
1c5z_ligand_350     4.60    
1c5z_ligand_373     6.11    
1c5z_ligand_375     13.90   
1c5z_ligand_376     4.23    
1c5z_ligand_384     10.09   
1c5z_ligand_386     12.05   
1c5z_ligand_396     12.31   
1c5z_ligand_397     12.99   
1c5z_ligand_399     6.27    
1c5z_ligand_41      13.18   
1c5z_ligand_421     6.07    
1c5z_ligand_433     8.25    
1c5z_ligand_44      12.02   
1c5z_ligand_446     12.33   
1c5z_ligand_473     11.11   
1c5z_ligand_479     5.00    
1c5z_ligand_492     12.93   
1c5z_ligand_53      16.88   
1c5z_ligand_55      14.56   
1c5z_ligand_72      18.60   
1c5z_ligand_81      18.31   
1c5z_ligand_9       14.04   
1e66_ligand_107     20.06   
1e66_ligand_110     21.24   
1e66_ligand_126     17.05   
1e66_ligand_160     8.49    
1e66_ligand_176     3.16    
1e66_ligand_185     1.51    
1e66_ligand_190     12.77   
1e66_ligand_191     12.37   
1e66_ligand_193     14.80   
1e66_ligand_208     18.75   
1e66_ligand_213     16.86   
1e66_ligand_216     14.37   
1e66_ligand_218     17.44   
1e66_ligand_220     15.98   
1e66_ligand_224     13.37   
1e66_ligand_225     17.29   
1e66_ligand_228     15.54   
1e66_ligand_230     19.30   
1e66_ligand_231     17.30   
1e66_ligand_234     14.66   
1e66_ligand_238     16.78   
1e66_ligand_239     15.24   
1e66_ligand_241     15.48   
1e66_ligand_244     12.94   
1e66_ligand_246     17.43   
1e66_ligand_247     14.60   
1e66_ligand_249     11.84   
1e66_ligand_25      18.29   
1e66_ligand_252     12.84   
1e66_ligand_256     9.55    
1e66_ligand_263     10.46   
1e66_ligand_268     8.90    
1e66_ligand_271     12.65   
1e66_ligand_274     10.00   
1e66_ligand_279     14.77   
1e66_ligand_280     10.07   
1e66_ligand_281     14.08   
1e66_ligand_285     17.60   
1e66_ligand_287     15.87   
1e66_ligand_291     13.00   
1e66_ligand_292     7.82    
1e66_ligand_293     14.01   
1e66_ligand_297     13.09   
1e66_ligand_302     10.07   
1e66_ligand_309     13.71   
1e66_ligand_312     10.58   
1e66_ligand_313     -1.67   
1e66_ligand_314     12.47   
1e66_ligand_316     18.95   
1e66_ligand_322     -3.02   
1e66_ligand_325     15.00   
1e66_ligand_326     14.45   
