#code_ligand_num    score   
1a30_ligand_101     -2.64   
1a30_ligand_102     -6.69   
1a30_ligand_107     -10.51  
1a30_ligand_109     -5.67   
1a30_ligand_110     -1.01   
1a30_ligand_111     -8.18   
1a30_ligand_112     -9.20   
1a30_ligand_124     -4.04   
1a30_ligand_125     -2.24   
1a30_ligand_127     -8.01   
1a30_ligand_131     -11.11  
1a30_ligand_139     -1000.11
1a30_ligand_142     -3.55   
1a30_ligand_144     -5.34   
1a30_ligand_145     -11.29  
1a30_ligand_148     -2.42   
1a30_ligand_150     0.11    
1a30_ligand_159     -73.22  
1a30_ligand_16      0.84    
1a30_ligand_160     -77.45  
1a30_ligand_17      -5.59   
1a30_ligand_184     -79.74  
1a30_ligand_196     -83.06  
1a30_ligand_201     -7.83   
1a30_ligand_202     -18.00  
1a30_ligand_203     -14.61  
1a30_ligand_205     -1034.88
1a30_ligand_207     -24.31  
1a30_ligand_208     -21.42  
1a30_ligand_209     -39.43  
1a30_ligand_21      -2.18   
1a30_ligand_211     -3015.64
1a30_ligand_220     -16.34  
1a30_ligand_227     -36.09  
1a30_ligand_228     -30.58  
1a30_ligand_230     -1044.57
1a30_ligand_232     -28.45  
1a30_ligand_234     -32.05  
1a30_ligand_235     -1012.17
1a30_ligand_237     -31.07  
1a30_ligand_238     -28.00  
1a30_ligand_242     -33.50  
1a30_ligand_248     -39.84  
1a30_ligand_273     -33.09  
1a30_ligand_28      -1005.05
1a30_ligand_285     -41.45  
1a30_ligand_287     -44.71  
1a30_ligand_295     -42.23  
1a30_ligand_30      -3.78   
1a30_ligand_301     -38.65  
1a30_ligand_308     -37.73  
1a30_ligand_313     -53.16  
1a30_ligand_326     -50.69  
1a30_ligand_336     -52.77  
1a30_ligand_339     -43.93  
1a30_ligand_34      -14.70  
1a30_ligand_348     -41.02  
1a30_ligand_351     -11.82  
1a30_ligand_366     -5.95   
1a30_ligand_378     -20.77  
1a30_ligand_382     -20.54  
1a30_ligand_383     -27.27  
1a30_ligand_385     -18.30  
1a30_ligand_387     -17.54  
1a30_ligand_39      1.09    
1a30_ligand_419     -14.98  
1a30_ligand_421     -25.99  
1a30_ligand_428     -17.64  
1a30_ligand_43      -3.48   
1a30_ligand_435     -42.49  
1a30_ligand_436     -25.76  
1a30_ligand_439     -15.53  
1a30_ligand_444     -7.04   
1a30_ligand_447     -9.09   
1a30_ligand_45      -1000.48
1a30_ligand_47      -1005.37
1a30_ligand_474     -3.12   
1a30_ligand_5       -10.26  
1a30_ligand_50      -10.90  
1a30_ligand_51      -1002.57
1a30_ligand_55      2.93    
1a30_ligand_57      -6.19   
1a30_ligand_58      -1.73   
1a30_ligand_60      -2.10   
1a30_ligand_64      6.09    
1a30_ligand_67      0.71    
1a30_ligand_68      -0.18   
1a30_ligand_7       -4.56   
1a30_ligand_71      1.79    
1a30_ligand_72      -2.88   
1a30_ligand_74      0.58    
1a30_ligand_77      2.18    
1a30_ligand_79      -2003.62
