#code_ligand_num    score   
1a30_ligand_100     8.82    
1a30_ligand_104     -9.77   
1a30_ligand_107     1.15    
1a30_ligand_109     -4.95   
1a30_ligand_111     -2.47   
1a30_ligand_113     -12.97  
1a30_ligand_119     -10.88  
1a30_ligand_122     -1.70   
1a30_ligand_126     2.56    
1a30_ligand_127     0.57    
1a30_ligand_136     3.46    
1a30_ligand_139     -0.64   
1a30_ligand_146     1.00    
1a30_ligand_149     -4.50   
1a30_ligand_150     -9.20   
1a30_ligand_156     -28.78  
1a30_ligand_171     -65.24  
1a30_ligand_186     -25.57  
1a30_ligand_187     -36.28  
1a30_ligand_188     -71.63  
1a30_ligand_194     -79.52  
1a30_ligand_2       2.30    
1a30_ligand_206     -28.86  
1a30_ligand_207     -13.39  
1a30_ligand_208     -27.32  
1a30_ligand_209     -17.25  
1a30_ligand_210     -18.91  
1a30_ligand_211     -7.39   
1a30_ligand_214     -23.42  
1a30_ligand_215     -42.13  
1a30_ligand_217     -29.83  
1a30_ligand_218     -15.81  
1a30_ligand_222     -13.14  
1a30_ligand_223     -18.29  
1a30_ligand_224     -20.28  
1a30_ligand_231     -27.88  
1a30_ligand_233     -16.39  
1a30_ligand_236     -30.49  
1a30_ligand_239     -25.48  
1a30_ligand_240     -20.88  
1a30_ligand_241     -23.13  
1a30_ligand_243     -17.85  
1a30_ligand_246     -12.65  
1a30_ligand_248     -20.85  
1a30_ligand_249     -24.01  
1a30_ligand_25      -3.35   
1a30_ligand_258     -27.65  
1a30_ligand_260     -40.01  
1a30_ligand_275     -33.81  
1a30_ligand_287     -31.96  
1a30_ligand_296     -23.57  
1a30_ligand_306     -24.69  
1a30_ligand_31      -5.82   
1a30_ligand_314     -37.24  
1a30_ligand_324     -35.30  
1a30_ligand_325     -48.12  
1a30_ligand_334     -29.35  
1a30_ligand_337     -49.91  
1a30_ligand_341     -63.68  
1a30_ligand_345     -42.74  
1a30_ligand_350     -23.21  
1a30_ligand_36      0.27    
1a30_ligand_364     -4.83   
1a30_ligand_368     -7.64   
1a30_ligand_37      -4.67   
1a30_ligand_370     -4.33   
1a30_ligand_388     -12.12  
1a30_ligand_393     -3.96   
1a30_ligand_400     -7.96   
1a30_ligand_42      0.22    
1a30_ligand_425     -7.87   
1a30_ligand_426     -10.66  
1a30_ligand_437     -6.16   
1a30_ligand_44      -1.03   
1a30_ligand_467     -4.27   
1a30_ligand_48      -0.66   
1a30_ligand_5       -1.17   
1a30_ligand_52      0.33    
1a30_ligand_54      2.91    
1a30_ligand_57      10.79   
1a30_ligand_59      1.21    
1a30_ligand_61      -2.29   
1a30_ligand_62      -1.70   
1a30_ligand_65      -1.39   
1a30_ligand_68      1.23    
1a30_ligand_71      5.48    
1a30_ligand_73      -1.58   
1a30_ligand_76      2.86    
1a30_ligand_77      8.27    
1a30_ligand_78      4.66    
1a30_ligand_81      0.40    
1a30_ligand_86      2.93    
1a30_ligand_87      0.63    
1a30_ligand_9       -5.84   
1a30_ligand_91      2.66    
1a30_ligand_92      -2.05   
1a30_ligand_93      7.91    
1a30_ligand_94      6.67    
1a30_ligand_97      5.11    
1a30_ligand_99      7.97    
1bcu_ligand_105     19.83   
1bcu_ligand_127     17.83   
1bcu_ligand_14      19.22   
1bcu_ligand_15      24.55   
1bcu_ligand_160     13.98   
1bcu_ligand_163     12.77   
1bcu_ligand_171     7.17    
1bcu_ligand_174     9.35    
1bcu_ligand_191     22.38   
1bcu_ligand_196     2.38    
1bcu_ligand_199     -2.94   
1bcu_ligand_201     19.43   
1bcu_ligand_203     21.50   
1bcu_ligand_215     17.72   
1bcu_ligand_216     20.40   
1bcu_ligand_218     21.48   
1bcu_ligand_219     19.11   
1bcu_ligand_220     12.53   
1bcu_ligand_222     19.48   
1bcu_ligand_231     17.82   
1bcu_ligand_232     6.61    
1bcu_ligand_234     12.16   
1bcu_ligand_236     18.05   
1bcu_ligand_237     18.30   
1bcu_ligand_240     17.57   
1bcu_ligand_241     12.23   
1bcu_ligand_243     13.22   
1bcu_ligand_263     6.30    
1bcu_ligand_264     3.93    
1bcu_ligand_269     5.56    
1bcu_ligand_280     7.17    
1bcu_ligand_282     9.71    
1bcu_ligand_283     13.66   
1bcu_ligand_284     9.95    
1bcu_ligand_295     9.35    
1bcu_ligand_300     16.26   
1bcu_ligand_312     16.63   
1bcu_ligand_317     14.01   
1bcu_ligand_327     6.06    
1bcu_ligand_33      23.16   
1bcu_ligand_335     13.50   
1bcu_ligand_348     18.75   
1bcu_ligand_350     3.31    
1bcu_ligand_355     11.32   
1bcu_ligand_359     16.63   
1bcu_ligand_360     15.68   
1bcu_ligand_361     10.23   
1bcu_ligand_362     13.92   
1bcu_ligand_364     14.13   
1bcu_ligand_365     13.58   
1bcu_ligand_369     15.92   
1bcu_ligand_372     18.09   
1bcu_ligand_377     15.98   
1bcu_ligand_379     15.00   
1bcu_ligand_380     10.72   
1bcu_ligand_382     13.93   
1bcu_ligand_384     14.84   
1bcu_ligand_386     15.45   
1bcu_ligand_387     12.68   
1bcu_ligand_388     17.34   
1bcu_ligand_389     15.68   
1bcu_ligand_390     14.01   
1bcu_ligand_391     15.87   
1bcu_ligand_393     -2988.68
1bcu_ligand_394     14.92   
1bcu_ligand_398     -989.65 
1bcu_ligand_4       25.12   
1bcu_ligand_400     -1990.19
1bcu_ligand_403     23.21   
1bcu_ligand_409     18.48   
1bcu_ligand_410     17.14   
1bcu_ligand_412     18.77   
1bcu_ligand_413     15.21   
1bcu_ligand_417     14.18   
1bcu_ligand_423     17.34   
1bcu_ligand_427     18.17   
1bcu_ligand_434     13.11   
1bcu_ligand_438     16.68   
1bcu_ligand_440     14.03   
1bcu_ligand_444     17.66   
1bcu_ligand_446     15.94   
1bcu_ligand_447     15.39   
1bcu_ligand_448     14.88   
1bcu_ligand_451     21.44   
1bcu_ligand_453     18.90   
1bcu_ligand_454     8.45    
1bcu_ligand_456     18.38   
1bcu_ligand_459     20.07   
1bcu_ligand_463     17.81   
1bcu_ligand_478     18.32   
1bcu_ligand_479     18.63   
1bcu_ligand_483     17.12   
1bcu_ligand_484     19.22   
1bcu_ligand_486     19.39   
1bcu_ligand_494     17.94   
1bcu_ligand_495     18.22   
1bcu_ligand_50      24.63   
1bcu_ligand_60      26.52   
1bcu_ligand_90      26.94   
1bcu_ligand_97      25.49   
1bzc_ligand_100     7.09    
1bzc_ligand_110     -0.92   
1bzc_ligand_122     -1003.68
1bzc_ligand_125     6.10    
1bzc_ligand_136     3.05    
1bzc_ligand_137     6.24    
1bzc_ligand_138     6.45    
1bzc_ligand_14      6.67    
1bzc_ligand_167     -26.09  
1bzc_ligand_187     -50.48  
1bzc_ligand_188     -46.01  
1bzc_ligand_19      7.84    
1bzc_ligand_192     -25.22  
1bzc_ligand_196     -33.92  
1bzc_ligand_200     -43.03  
1bzc_ligand_202     0.42    
1bzc_ligand_204     -1.10   
1bzc_ligand_206     -4.40   
1bzc_ligand_207     -15.53  
1bzc_ligand_209     -2.45   
1bzc_ligand_21      2.15    
1bzc_ligand_210     -16.59  
1bzc_ligand_211     -11.49  
1bzc_ligand_212     -4.32   
1bzc_ligand_213     -1004.78
1bzc_ligand_214     -4.30   
1bzc_ligand_215     -22.43  
1bzc_ligand_216     -12.68  
1bzc_ligand_218     -41.91  
1bzc_ligand_219     -20.64  
1bzc_ligand_220     -5.69   
1bzc_ligand_221     -5.21   
1bzc_ligand_223     -3.55   
1bzc_ligand_224     -5.19   
1bzc_ligand_226     -4.84   
1bzc_ligand_228     -19.25  
1bzc_ligand_229     -10.19  
1bzc_ligand_231     -6.90   
1bzc_ligand_233     -19.05  
1bzc_ligand_236     -9.21   
1bzc_ligand_237     -1.37   
1bzc_ligand_238     -12.10  
1bzc_ligand_239     -5.70   
1bzc_ligand_241     -13.20  
1bzc_ligand_242     -20.58  
1bzc_ligand_243     -33.00  
1bzc_ligand_245     -14.96  
1bzc_ligand_246     -26.60  
1bzc_ligand_256     -23.48  
1bzc_ligand_263     -19.97  
1bzc_ligand_269     -14.05  
1bzc_ligand_27      3.15    
1bzc_ligand_280     -12.72  
1bzc_ligand_281     -28.66  
1bzc_ligand_284     -22.45  
1bzc_ligand_289     -23.03  
1bzc_ligand_290     -16.40  
1bzc_ligand_3       4.31    
1bzc_ligand_30      4.88    
1bzc_ligand_304     -55.89  
1bzc_ligand_307     -29.17  
1bzc_ligand_308     -56.02  
1bzc_ligand_310     -33.83  
1bzc_ligand_312     -32.42  
1bzc_ligand_317     -19.47  
1bzc_ligand_318     -28.62  
1bzc_ligand_328     -28.27  
1bzc_ligand_329     -42.00  
1bzc_ligand_335     -15.86  
1bzc_ligand_336     -23.40  
1bzc_ligand_341     -26.90  
1bzc_ligand_350     -3.89   
1bzc_ligand_353     11.64   
1bzc_ligand_363     0.57    
1bzc_ligand_376     -0.99   
1bzc_ligand_38      0.49    
1bzc_ligand_384     -1.03   
1bzc_ligand_4       3.49    
1bzc_ligand_44      1.26    
1bzc_ligand_48      -0.58   
1bzc_ligand_50      5.87    
1bzc_ligand_51      5.69    
1bzc_ligand_58      11.74   
