#code_ligand_num    score   
1a30_ligand_10      -0.01   
1a30_ligand_102     -2.99   
1a30_ligand_105     -2.49   
1a30_ligand_108     -5.09   
1a30_ligand_109     -5.56   
1a30_ligand_114     -2.33   
1a30_ligand_116     -0.86   
1a30_ligand_124     -0.19   
1a30_ligand_128     -6.00   
1a30_ligand_129     -1.38   
1a30_ligand_13      0.65    
1a30_ligand_133     -10.15  
1a30_ligand_135     -5.23   
1a30_ligand_141     0.51    
1a30_ligand_15      1.28    
1a30_ligand_151     -41.37  
1a30_ligand_157     -16.08  
1a30_ligand_158     -36.00  
1a30_ligand_168     -18.96  
1a30_ligand_17      -3.15   
1a30_ligand_174     -46.16  
1a30_ligand_179     -34.90  
1a30_ligand_184     -55.56  
1a30_ligand_193     -53.06  
1a30_ligand_204     -15.03  
1a30_ligand_211     -16.73  
1a30_ligand_212     -16.66  
1a30_ligand_214     -13.37  
1a30_ligand_217     -13.66  
1a30_ligand_219     -10.58  
1a30_ligand_220     -19.56  
1a30_ligand_222     -7.48   
1a30_ligand_225     -18.68  
1a30_ligand_226     -19.74  
1a30_ligand_232     -22.64  
1a30_ligand_233     -14.95  
1a30_ligand_234     -11.81  
1a30_ligand_235     -15.34  
1a30_ligand_236     -5.47   
1a30_ligand_237     -24.09  
1a30_ligand_240     -17.33  
1a30_ligand_241     -23.10  
1a30_ligand_242     -10.43  
1a30_ligand_244     -17.24  
1a30_ligand_245     -30.13  
1a30_ligand_246     -16.26  
1a30_ligand_248     -19.58  
1a30_ligand_249     -6.84   
1a30_ligand_251     -7.13   
1a30_ligand_257     -17.61  
1a30_ligand_258     -20.49  
1a30_ligand_267     -21.29  
1a30_ligand_275     -11.31  
1a30_ligand_279     -20.33  
1a30_ligand_283     -16.47  
1a30_ligand_287     -32.45  
1a30_ligand_289     -22.77  
1a30_ligand_290     -15.94  
1a30_ligand_293     -28.34  
1a30_ligand_296     -31.00  
1a30_ligand_298     -13.88  
1a30_ligand_299     -13.62  
1a30_ligand_3       -5.08   
1a30_ligand_30      -0.56   
1a30_ligand_306     -22.09  
1a30_ligand_308     -13.35  
1a30_ligand_309     -30.80  
1a30_ligand_312     -33.02  
1a30_ligand_317     -14.58  
1a30_ligand_319     -19.01  
1a30_ligand_320     -26.01  
1a30_ligand_324     -16.86  
1a30_ligand_326     -18.67  
1a30_ligand_328     -28.37  
1a30_ligand_329     -17.58  
1a30_ligand_334     -28.50  
1a30_ligand_336     -23.40  
1a30_ligand_337     -23.00  
1a30_ligand_339     -24.99  
1a30_ligand_340     -41.54  
1a30_ligand_343     -27.44  
1a30_ligand_346     -29.77  
1a30_ligand_364     -6.79   
1a30_ligand_366     0.72    
1a30_ligand_376     -13.51  
1a30_ligand_387     0.80    
1a30_ligand_390     7.17    
1a30_ligand_419     -2.61   
1a30_ligand_426     -0.95   
1a30_ligand_49      -2.56   
1a30_ligand_5       0.86    
1a30_ligand_60      2.64    
1a30_ligand_61      0.11    
1a30_ligand_76      4.92    
1a30_ligand_79      5.13    
1a30_ligand_86      0.67    
1a30_ligand_90      4.15    
1a30_ligand_93      0.63    
1a30_ligand_96      -13.43  
1a30_ligand_98      5.58    
1bcu_ligand_149     -7.68   
1bcu_ligand_153     17.26   
1bcu_ligand_155     17.33   
1bcu_ligand_156     12.83   
1bcu_ligand_157     12.33   
1bcu_ligand_161     4.88    
1bcu_ligand_164     11.87   
1bcu_ligand_170     12.52   
1bcu_ligand_174     4.48    
1bcu_ligand_189     6.84    
1bcu_ligand_192     18.82   
1bcu_ligand_198     16.91   
1bcu_ligand_203     18.59   
1bcu_ligand_208     16.55   
1bcu_ligand_215     19.04   
1bcu_ligand_217     18.93   
1bcu_ligand_219     21.69   
1bcu_ligand_224     17.96   
1bcu_ligand_229     18.61   
1bcu_ligand_233     19.16   
1bcu_ligand_241     18.04   
1bcu_ligand_242     15.28   
1bcu_ligand_250     17.24   
1bcu_ligand_256     11.25   
1bcu_ligand_261     11.41   
1bcu_ligand_268     15.17   
1bcu_ligand_272     18.73   
1bcu_ligand_274     19.38   
1bcu_ligand_278     15.54   
