#code_ligand_num    score   
1a30_ligand_10      -3.36   
1a30_ligand_101     3.32    
1a30_ligand_102     2.76    
1a30_ligand_108     6.86    
1a30_ligand_109     0.80    
1a30_ligand_11      -1.85   
1a30_ligand_110     2.75    
1a30_ligand_111     -4.47   
1a30_ligand_114     -3.90   
1a30_ligand_116     -1.44   
1a30_ligand_120     -10.52  
1a30_ligand_122     -3.33   
1a30_ligand_123     -2.93   
1a30_ligand_124     -4.78   
1a30_ligand_129     -2.90   
1a30_ligand_133     -0.21   
1a30_ligand_134     3.32    
1a30_ligand_139     -4.06   
1a30_ligand_14      -4.93   
1a30_ligand_147     -6.39   
1a30_ligand_152     -48.39  
1a30_ligand_157     -75.66  
1a30_ligand_16      -0.08   
1a30_ligand_162     -55.76  
1a30_ligand_163     -50.05  
1a30_ligand_164     -61.47  
1a30_ligand_168     -65.43  
1a30_ligand_170     -58.72  
1a30_ligand_186     -38.98  
1a30_ligand_189     -31.02  
1a30_ligand_195     -64.86  
1a30_ligand_202     -30.33  
1a30_ligand_203     -17.28  
1a30_ligand_209     -22.05  
1a30_ligand_210     -15.59  
1a30_ligand_212     -17.99  
1a30_ligand_217     -14.42  
1a30_ligand_218     -30.70  
1a30_ligand_220     -24.31  
1a30_ligand_222     -56.66  
1a30_ligand_223     -12.45  
1a30_ligand_224     -21.03  
1a30_ligand_226     -17.88  
1a30_ligand_230     -25.38  
1a30_ligand_232     -20.32  
1a30_ligand_235     -21.28  
1a30_ligand_236     -21.28  
1a30_ligand_238     -14.53  
1a30_ligand_244     -18.84  
1a30_ligand_246     -22.32  
1a30_ligand_249     -16.73  
1a30_ligand_256     -22.97  
1a30_ligand_263     -27.16  
1a30_ligand_27      1.05    
1a30_ligand_271     -31.00  
1a30_ligand_273     -42.25  
1a30_ligand_29      -4.97   
1a30_ligand_298     -33.17  
1a30_ligand_299     -27.69  
1a30_ligand_311     -26.13  
1a30_ligand_317     -20.06  
1a30_ligand_318     -30.97  
1a30_ligand_32      -0.90   
1a30_ligand_322     -22.36  
1a30_ligand_33      -3.49   
1a30_ligand_333     -35.19  
1a30_ligand_337     -25.16  
1a30_ligand_340     -24.72  
1a30_ligand_350     -30.61  
1a30_ligand_357     -8.77   
1a30_ligand_36      -1.06   
