#code_ligand_num    score   
1a30_ligand_1       2.40    
1a30_ligand_11      -1.26   
1a30_ligand_112     -5.21   
1a30_ligand_114     -0.74   
1a30_ligand_115     -2.59   
1a30_ligand_117     -9.17   
1a30_ligand_128     -0.43   
1a30_ligand_129     -1.27   
1a30_ligand_131     -5.67   
1a30_ligand_14      0.47    
1a30_ligand_141     -11.99  
1a30_ligand_146     -9.30   
1a30_ligand_148     -2.50   
1a30_ligand_149     -9.33   
1a30_ligand_155     -28.60  
1a30_ligand_16      -4.71   
1a30_ligand_161     -52.41  
1a30_ligand_164     -41.81  
1a30_ligand_166     -34.54  
1a30_ligand_168     -44.93  
1a30_ligand_169     -43.02  
1a30_ligand_173     -52.51  
1a30_ligand_175     -30.69  
1a30_ligand_177     -33.46  
1a30_ligand_178     -46.97  
1a30_ligand_180     -70.13  
1a30_ligand_184     -42.07  
1a30_ligand_19      -2.50   
1a30_ligand_190     -38.41  
1a30_ligand_195     -47.61  
1a30_ligand_198     -45.04  
1a30_ligand_200     -49.82  
1a30_ligand_204     -38.04  
1a30_ligand_206     -28.11  
1a30_ligand_212     -62.66  
1a30_ligand_217     -37.32  
1a30_ligand_221     -15.44  
1a30_ligand_225     -26.69  
1a30_ligand_227     -32.30  
1a30_ligand_232     -31.05  
1a30_ligand_234     -23.97  
1a30_ligand_235     -28.95  
1a30_ligand_241     -35.89  
1a30_ligand_246     -39.64  
1a30_ligand_255     -26.31  
1a30_ligand_265     -47.05  
1a30_ligand_267     -55.50  
1a30_ligand_277     -32.81  
1a30_ligand_279     -48.84  
1a30_ligand_28      2.95    
1a30_ligand_280     -44.72  
1a30_ligand_286     -47.99  
1a30_ligand_291     -65.74  
1a30_ligand_305     -30.50  
1a30_ligand_31      -7.52   
1a30_ligand_316     -37.95  
1a30_ligand_320     -42.37  
1a30_ligand_327     -28.13  
1a30_ligand_333     -44.45  
1a30_ligand_335     -32.46  
1a30_ligand_34      -9.37   
1a30_ligand_345     -39.88  
1a30_ligand_349     -36.65  
1a30_ligand_359     -4.84   
1a30_ligand_36      -3.40   
1a30_ligand_360     -13.06  
1a30_ligand_362     -25.11  
1a30_ligand_371     -22.62  
1a30_ligand_374     -4.40   
1a30_ligand_376     -8.47   
1a30_ligand_381     -14.46  
1a30_ligand_388     -7.59   
1a30_ligand_397     -8.38   
1a30_ligand_399     -13.75  
1a30_ligand_400     -11.19  
1a30_ligand_422     0.39    
1a30_ligand_434     -5.13   
1a30_ligand_45      -3.88   
1a30_ligand_488     -0.21   
1a30_ligand_493     -5.47   
1a30_ligand_495     -9.40   
1a30_ligand_5       -3.85   
1a30_ligand_50      -2.30   
1a30_ligand_53      6.02    
1a30_ligand_56      4.04    
1a30_ligand_59      -1.26   
1a30_ligand_6       -3.58   
1a30_ligand_60      0.54    
1a30_ligand_62      -2.16   
1a30_ligand_68      2.51    
1a30_ligand_69      -5.15   
1a30_ligand_73      4.69    
1a30_ligand_75      1.37    
1a30_ligand_76      -4.22   
1a30_ligand_77      2.10    
1a30_ligand_83      -1.06   
1a30_ligand_86      4.05    
1a30_ligand_87      -5.33   
1a30_ligand_89      4.53    
1a30_ligand_99      5.93    
1bcu_ligand_106     25.83   
1bcu_ligand_113     26.74   
1bcu_ligand_118     24.11   
1bcu_ligand_123     25.31   
1bcu_ligand_131     24.33   
1bcu_ligand_137     19.01   
1bcu_ligand_155     17.73   
1bcu_ligand_156     21.29   
1bcu_ligand_159     21.06   
1bcu_ligand_169     20.17   
1bcu_ligand_171     19.13   
1bcu_ligand_177     23.77   
1bcu_ligand_182     19.90   
1bcu_ligand_187     16.05   
1bcu_ligand_189     20.73   
1bcu_ligand_190     20.74   
1bcu_ligand_194     17.90   
1bcu_ligand_199     23.38   
1bcu_ligand_20      23.90   
1bcu_ligand_200     18.31   
1bcu_ligand_202     20.05   
1bcu_ligand_21      25.89   
1bcu_ligand_212     24.22   
1bcu_ligand_220     23.61   
1bcu_ligand_230     19.59   
1bcu_ligand_241     18.39   
1bcu_ligand_251     20.96   
1bcu_ligand_260     24.46   
1bcu_ligand_261     19.96   
1bcu_ligand_262     17.91   
1bcu_ligand_269     22.60   
1bcu_ligand_274     19.89   
1bcu_ligand_280     20.19   
