#code_ligand_num    score   
1a30_ligand_104     -14.30  
1a30_ligand_113     1.58    
1a30_ligand_116     -14.77  
1a30_ligand_118     -0.89   
1a30_ligand_122     -3.59   
1a30_ligand_123     -6014.53
1a30_ligand_130     -6.79   
1a30_ligand_132     -8.54   
1a30_ligand_133     -12.27  
1a30_ligand_136     -5.99   
1a30_ligand_137     1.85    
1a30_ligand_14      -1.60   
1a30_ligand_147     -1.58   
1a30_ligand_148     -2.65   
1a30_ligand_15      -5.39   
1a30_ligand_150     -2.05   
1a30_ligand_152     -29.26  
1a30_ligand_154     -27.40  
1a30_ligand_164     -35.07  
1a30_ligand_167     -33.66  
1a30_ligand_168     -57.23  
1a30_ligand_169     -31.44  
1a30_ligand_170     -44.41  
1a30_ligand_174     -36.63  
1a30_ligand_181     -44.69  
1a30_ligand_183     -20.44  
1a30_ligand_199     -40.30  
1a30_ligand_200     -32.76  
1a30_ligand_203     -24.17  
1a30_ligand_204     -20.94  
1a30_ligand_209     -17.94  
1a30_ligand_21      -6.70   
1a30_ligand_210     -25.53  
1a30_ligand_211     -25.09  
1a30_ligand_213     -8.76   
1a30_ligand_215     -14.48  
1a30_ligand_218     -3022.44
1a30_ligand_219     -3017.80
1a30_ligand_222     -16.97  
1a30_ligand_224     -16.15  
1a30_ligand_225     -22.23  
1a30_ligand_226     -23.18  
1a30_ligand_227     -3014.93
1a30_ligand_229     -16.54  
1a30_ligand_230     -22.56  
1a30_ligand_232     -14.62  
1a30_ligand_233     -19.20  
1a30_ligand_238     -16.68  
1a30_ligand_239     -5.76   
1a30_ligand_243     -1017.54
1a30_ligand_247     -23.81  
1a30_ligand_248     -16.35  
1a30_ligand_266     -22.60  
1a30_ligand_267     -20.55  
1a30_ligand_27      -3.44   
1a30_ligand_276     -33.65  
1a30_ligand_284     -23.57  
1a30_ligand_287     -22.94  
1a30_ligand_297     -26.89  
1a30_ligand_299     -27.35  
1a30_ligand_30      -5.91   
1a30_ligand_309     -7.44   
1a30_ligand_31      -1007.28
1a30_ligand_311     -23.56  
1a30_ligand_317     -41.61  
1a30_ligand_32      -1.74   
1a30_ligand_320     -29.20  
1a30_ligand_321     -25.27  
1a30_ligand_323     -31.08  
1a30_ligand_325     -12.83  
1a30_ligand_331     -16.18  
1a30_ligand_333     -31.70  
1a30_ligand_336     -28.10  
1a30_ligand_337     -22.45  
1a30_ligand_338     -28.03  
1a30_ligand_339     -14.65  
1a30_ligand_34      -8.72   
1a30_ligand_343     -31.80  
1a30_ligand_36      -2.24   
1a30_ligand_363     -12.79  
1a30_ligand_367     -11.02  
1a30_ligand_372     -19.55  
1a30_ligand_375     -19.25  
1a30_ligand_39      0.47    
1a30_ligand_4       2.58    
1a30_ligand_48      -7.51   
1a30_ligand_487     -12.11  
1a30_ligand_49      -4.24   
1a30_ligand_54      -3.29   
1a30_ligand_57      0.80    
1a30_ligand_60      -4005.37
1a30_ligand_66      3.69    
1a30_ligand_69      1.64    
1a30_ligand_76      2.49    
1a30_ligand_77      -1.84   
1a30_ligand_83      2.04    
1a30_ligand_88      5.26    
1a30_ligand_9       -11.14  
1a30_ligand_91      -1006.93
1a30_ligand_99      -3006.76
1bcu_ligand_105     32.21   
1bcu_ligand_158     25.13   
1bcu_ligand_162     23.81   
1bcu_ligand_165     22.04   
1bcu_ligand_169     21.90   
1bcu_ligand_177     26.69   
1bcu_ligand_183     23.10   
1bcu_ligand_187     26.42   
1bcu_ligand_188     13.86   
1bcu_ligand_197     25.23   
1bcu_ligand_199     12.79   
1bcu_ligand_212     30.06   
1bcu_ligand_214     28.78   
1bcu_ligand_215     24.25   
1bcu_ligand_223     26.99   
