#code_ligand_num    score   
1a30_ligand_100     5.30    
1a30_ligand_102     -3.10   
1a30_ligand_108     -9.94   
1a30_ligand_12      -4.43   
1a30_ligand_121     -3.35   
1a30_ligand_13      -1002.41
1a30_ligand_130     -10.05  
1a30_ligand_135     -0.55   
1a30_ligand_138     -3.65   
1a30_ligand_148     -4.95   
1a30_ligand_149     -0.83   
1a30_ligand_15      -0.80   
1a30_ligand_150     -5.02   
1a30_ligand_153     -15.88  
1a30_ligand_161     -26.12  
1a30_ligand_162     -24.41  
1a30_ligand_169     -44.56  
1a30_ligand_173     -29.97  
1a30_ligand_18      -6.98   
1a30_ligand_198     -21.26  
1a30_ligand_199     -43.60  
1a30_ligand_20      -5.95   
1a30_ligand_203     -20.79  
1a30_ligand_204     -13.32  
1a30_ligand_209     -13.48  
1a30_ligand_21      -2.43   
1a30_ligand_210     -22.42  
1a30_ligand_212     -22.89  
1a30_ligand_217     -11.17  
1a30_ligand_218     -11.45  
1a30_ligand_22      -2.64   
1a30_ligand_222     -16.89  
1a30_ligand_223     -15.51  
1a30_ligand_224     -14.32  
1a30_ligand_226     -17.17  
1a30_ligand_23      -5.71   
1a30_ligand_232     -16.20  
1a30_ligand_233     -26.82  
1a30_ligand_237     -12.79  
1a30_ligand_240     -19.81  
1a30_ligand_241     -14.61  
1a30_ligand_244     -16.69  
1a30_ligand_251     -20.84  
1a30_ligand_252     -10.43  
1a30_ligand_253     -22.94  
1a30_ligand_256     -24.27  
1a30_ligand_257     -17.53  
1a30_ligand_261     -29.91  
1a30_ligand_269     -19.64  
1a30_ligand_270     -12.43  
1a30_ligand_272     -39.97  
1a30_ligand_277     -20.74  
1a30_ligand_278     -5.95   
1a30_ligand_28      -2.40   
1a30_ligand_281     -22.78  
1a30_ligand_286     -21.50  
1a30_ligand_288     -42.69  
1a30_ligand_296     -27.23  
1a30_ligand_297     -12.33  
1a30_ligand_30      -7.03   
1a30_ligand_302     -21.54  
1a30_ligand_306     -15.67  
1a30_ligand_307     -9.45   
1a30_ligand_309     -18.45  
1a30_ligand_31      -0.64   
1a30_ligand_311     -20.98  
1a30_ligand_312     -21.13  
1a30_ligand_315     -19.53  
1a30_ligand_320     -18.32  
1a30_ligand_321     -18.10  
1a30_ligand_322     -19.13  
1a30_ligand_324     -14.18  
1a30_ligand_325     -18.75  
1a30_ligand_327     -17.26  
1a30_ligand_33      -6.14   
1a30_ligand_334     -16.73  
1a30_ligand_338     -21.27  
1a30_ligand_340     -20.14  
